Exclude,Lifeform,TreeCode,EnglishName,ScientificName,Code,Native,Notes,
x,2,Aa,narrowleaf cottonwood,Populus angustifolia,POPUANG,P,POAN3,
,2,Ac,black cottonwood/,Populus trichocarpa/balsamifera,,N,,
,2,Acb,balsam poplar,Populus balsamifera,POPUBAL,N,,
,2,Act,black cottonwood,Populus trichocarpa,POPUTRI,N,POTR5,
x,2,Ad,eastern cottonwood,Populus deltoides,POPUDEL,E,,
x,2,Adc,plains cottonwood,Populus deltoides ssp. monilifera,,E,,
x,2,Add,eastern cottonwood,Populus deltoides ssp. deltoides,,E,,
x,2,Af,Fremont cottonwood,Populus freemontii,,E,,
,2,At,trembling aspen,Populus tremuloides,POPUTRE,N,,
x,2,Ax,poplar hybrid,Populus sp. x Populus sp.,POPULX,N,,
,1,Ba,amabilis fir,Abies amabilis,ABIEAMA,N,,
,1,Bb,balsam fir,Abies balsamea,ABIEBAL,E,,
,1,Bc,white fir,Abies concolor,ABIECON,P,,
,1,Bg,grand fir,Abies grandis,ABIEGRA,N,,
,1,Bl,subalpine fir,Abies lasiocarpa,ABIELAS,N,,
x,1,Bla,corkbark fir,Abies lasiocarpa var. arizonica,ABIELAS?????????,P,,
x,1,Bm,Shasta red fir,Abies magnifica var. shastensis,ABIEMAG1,P,,
,1,Bp,noble fir,Abies procera,ABIEPRO,P,,
,1,Cw,western redcedar,Thuja plicata,THUJPLI,N,,
,2,Dr,red alder,Alnus rubra,ALNURUB,N,,
x,2,Dw,white alder,Alnus rhombifolia,,E,,
x,2,Ea,Alaska paper birch,Betula neoalaskana,BETUNEO,N,,
x,2,Ee,European birch,Betula pendula,BETUPEN,E,,
,2,Ep,common paper birch,Betula papyrifera,BETUPAP,N,,
x,2,Es,silver birch,Betula pubescens,BETUPUB,E,,
x,2,Ew,water birch,Betula occidentalis,BETUOCC,N,,
x,2,Exp,Alaska x paper birch hybrid,Betula x winteri,BETUXWI,N,,
x,2,Ey,yellow birch,Betula alleghaniensis,BETUALL,P,,
,1,Fd,Douglas-fir,Pseudotsuga menziesii,PSEUMEN,N,,
,1,Fdc,coast Douglas-fir,Pseudotsuga menziesii var. menziesii,PSEUMEN2,N,,
,1,Fdi,Rocky Mountain Douglas-fir,Pseudotsuga menziesii var. glauca,PSEUMEN1,N,,
x,2,Gp,western flowering dogwood,Cornus nuttallii,CORNNUT,N,,
,1,Hm,mountain hemlock,Tsuga mertensiana,TSUGMER,N,,
,1,Hw,western hemlock,Tsuga heterophylla,TSUGHET,N,,
x,1,Hxm,mountain x western hemlock hybrid,Tsuga heterophylla x mertensiana,TSUGHEE,N,,
x,1,Jo,oneseed juniper,Juniperus monosperma,JUNIMON,P,,
x,1,Jr,Rocky Mountain juniper,Juniperus scopulorum,JUNISCO,N,JUSC2,
x,1,Js,seaside juniper,Juniperus maritima,JUNIMAR,N,,
x,1,Ju,Utah juniper,Juniperus osteosperma,JUNIOST,P,JUOS,
x,1,Jw,western juniper,Juniperus occidentalis,JUNIOCC,P,,
x,2,Kc,cascara,Rhamnus purshiana,RHAMPUR,N,,
x,1,La,subalpine larch,Larix lyallii,LARILYA,N,,
x,1,Ld,Dahurian larch,Larix gmelinii,LARIGME,P,,
x,1,Ls,Siberian larch,Larix siberica,LARISIB,P,,
x,1,Lt,tamarack,Larix laricina,LARILAR,N,,
,1,Lw,western larch,Larix occidentalis,LARIOCC,N,,
,2,Mb,bigleaf maple,Acer macrophyllum,ACERMAC,N,,
x,2,Me,box-elder,Acer negundo,ACERNEG,E,,
x,2,Mn,Norway maple,Acer platanoides,ACERPLA,E,,
x,2,Ms,sycamore maple,Acer pseudoplatanus,ACERPSE,E,,
x,2,Mt,bigtooth maple,Acer grandidentatum,,P,,
x,2,Mv,vine maple,Acer circinatum,ACERCIR,N,,
x,1,Oa,incense-cedar,Calocedrus decurrens,CALODEC,P,coded CADE change in tree suit,
x,1,Ob,giant sequoia,Sequoiadendron giganteum,SEQUGIG,P,,
,1,Oc,coast redwood,Sequoia sempervirens,SEQUSEM,P,,
x,2,Od,European mountain-ash,Sorbus aucuparia,SORBAUC,E,,
x,2,Oe,Siberian elm,Ulmus pumila,ULMUPUM,E,,
x,2,Of,common pear,Pyrus communis,PYRUCOM,E,,
x,2,Og,Oregon ash,Fraxinus latifolia,FRAXLAT,E,,
x,2,Oh,white ash,Fraxinus americana,FRAXAME,P,,
x,2,Oi,shagbark hickory,Carya ovata,CARYOVA,P,,
x,1,Oj,tree-of-heaven,Ailanthus altissima,AILAALT,E,,
x,2,Ok,Japanese walnut,Juglans ailanthifolia,JUGLAIL,E,,
x,2,Ol,California laurel,Umbellularia californica,UMBECAL,P,coded change in tree suit,
x,2,Om,curl-leaf mountain mahogany,Cercocarpus ledifolius,CERCLED,P,TYPO IN GENUS NAME,CELE3
x,2,On,California buckeye,Aesculus califorica,,N,,
x,2,Op,green ash,Fraxinus pennsylvanica,,N,,
x,2,Ot,tanoak,Lithocarpus densiflorus,LITHDEN,P,coded change in tree suit,
x,2,Oy,giant chinkapin,Chrysolepis chrysophylla,CHRYCHR,P,coded CHCH change in tree suit,
x,2,Oz,western sycamore,Platanus racemosa,,N,,
x,1,Pa,whitebark pine,Pinus albicaulis,PINUALB,N,,
x,1,Pb,bristlecone pine,Pinus aristida,PINUARI,P,,
x,1,Pc,California foothill pine,Pinus sabiniana,,N,,
x,1,Pe,twoneedle pinyon,Pinus edulis,PINUEDU,P,PIED,
x,1,Pf,limber pine,Pinus flexilis,PINUFLE,N,,
,1,Pj,jack pine,Pinus banksiana,PINUBAN,E,,
,1,Pl,lodgepole pine,Pinus contorta,PINUCON,N,,
,1,Plc,shore pine,Pinus contorta var. contorta,PINUCON1,N,,
,1,Pli,lodgepole pine,Pinus contorta var. latifolia,PINUCON2,N,,
x,1,Pm,Monterey pine,Pinus radiata,PINURAD,P,,
