SpecialCode,Special2
Ag,alpine grassland
Ah,alpine heath
Af,alpine fellfield
Am,alpine meadow
As,alpine snowbed
At,alpine tundra
Az,alpine zoogenic
Bb,beachland
Br,headland
Ed,estuarine meadow
Em,estuarine marsh
Et,esturaine tidal flat
Fa,active fluvial
Fl,low fluvial bench
Fm,mid fluvial bench
Ff,fringe fluvial 
Gg,grassland 
Gb,brushland
Ga,alkaline meadow
Gs,shrub-steppe
Hs,spring seepage
Hv,vernal pool
Hw,waterfall spray
Ro,rock outcrop
Rc,cliff
Rt,talus
Rl,lava flow
Rd,dune
Sc,subalpine
Sk,subalpine krummholz
Vs,avalanche shrub
Vh,avalanche herb
Vt,avalanche treed
Xv,vegetation disclimax
Xz,zoogenic disclimax
Xa,anthropogenic disclimax
Wb,wetland bog 
Wm,wetland marsh
Ws,wetland swamp
Wf,wetland fen
Wa,wetland alpine
Ww,shallow-water wetland
