"","Region","ZoneSubzone","CFRG_SS","SiteSeries","Standard","Suitability","PreferredAcceptable","Species","FN1","FN2","FN3","FN4","FN5","FN6","Flag"
"1","LMH20-Nelson","ICHvk1","06","06",83080,0,"X","At",901,NA,NA,NA,NA,NA,0
"2","LMH20-Nelson","ICHvk1","06","06",83080,0,"X","Ep",901,NA,NA,NA,NA,NA,0
"3","LMH20-Nelson","ICHvk1","06","06",83080,1,"P","Cw",1,32,NA,NA,NA,NA,0
"4","LMH20-Nelson","ICHvk1","06","06",83080,1,"P","Hw",1,32,NA,NA,NA,NA,0
"5","LMH20-Nelson","ICHvk1","06","06",83080,1,"P","Sx",1,NA,NA,NA,NA,NA,0
"6","LMH20-Nelson","ICHvk1","06","06",83080,2,"A","Bl",1,NA,NA,NA,NA,NA,0
"7","LMH20-Nelson","ICHvk1","06","06",83080,3,"X","Pl",23,34,NA,NA,NA,NA,0
"8","LMH20-Nelson","ICHvk1","06","06",83080,3,"A","Pw",1,31,NA,NA,NA,NA,0
"9","LMH20-Nelson","ICHwk1","01","01",83081,0,"X","Act",900,NA,NA,NA,NA,NA,0
"10","LMH20-Nelson","ICHwk1","01","01",83081,0,"X","At",900,NA,NA,NA,NA,NA,0
"11","LMH20-Nelson","ICHwk1","01","01",83081,0,"X","Ep",900,NA,NA,NA,NA,NA,0
"12","LMH20-Nelson","ICHwk1","01","01",83081,1,"P","Cw",NA,NA,NA,NA,NA,NA,0
"13","LMH20-Nelson","ICHwk1","01","01",83081,1,"P","Fd",9,14,NA,NA,NA,NA,0
"14","LMH20-Nelson","ICHwk1","01","01",83081,1,"P","Hw",NA,NA,NA,NA,NA,NA,0
"15","LMH20-Nelson","ICHwk1","01","01",83081,1,"P","Sx",NA,NA,NA,NA,NA,NA,0
"16","LMH20-Nelson","ICHwk1","01","01",83081,2,"A","Bl",10,13,NA,NA,NA,NA,0
"17","LMH20-Nelson","ICHwk1","01","01",83081,3,"X","Lw",9,14,23,32,NA,NA,0
"18","LMH20-Nelson","ICHwk1","01","01",83081,3,"X","Pl",23,34,NA,NA,NA,NA,0
"19","LMH20-Nelson","ICHwk1","01","01",83081,3,"A","Pw",31,NA,NA,NA,NA,NA,0
"20","LMH20-Nelson","ICHwk1","02","02",999,0,"X","X",NA,NA,NA,NA,NA,NA,0
"21","LMH20-Nelson","ICHwk1","04","04",83082,0,"X","Act",901,NA,NA,NA,NA,NA,0
"22","LMH20-Nelson","ICHwk1","04","04",83082,0,"X","At",900,NA,NA,NA,NA,NA,0
"23","LMH20-Nelson","ICHwk1","04","04",83082,0,"X","Ep",900,NA,NA,NA,NA,NA,0
"24","LMH20-Nelson","ICHwk1","04","04",83082,1,"P","Fd",9,14,NA,NA,NA,NA,0
"25","LMH20-Nelson","ICHwk1","04","04",83082,2,"P","Cw",NA,NA,NA,NA,NA,NA,0
"26","LMH20-Nelson","ICHwk1","04","04",83082,2,"A","Hw",NA,NA,NA,NA,NA,NA,0
