BGC,Missing
BGdh_OR,C0
BGdh_OR,D0
BGdh_OR,E0
BGdh_OR,E1
BGdh_OR,E2
BGdh_OR,A3
BGdh_OR,E3
BGdh_OR,A4
BGdh_OR,E4
BGdh_OR,A5
BGdh_OR,A6
BGdh_OR,A7
BGdh_OR,B7
BGdh_OR,C7
BGdh_OR,D7
BGdh_OR,E7
BGdw_OR,C0
BGdw_OR,D0
BGdw_OR,E0
BGdw_OR,E1
BGdw_OR,E2
BGdw_OR,A3
BGdw_OR,E3
BGdw_OR,A4
BGdw_OR,E4
BGdw_OR,A5
BGdw_OR,A6
BGdw_OR,A7
BGdw_OR,B7
BGdw_OR,C7
BGdw_OR,D7
BGdw_OR,E7
BGdw_WA,C0
BGdw_WA,D0
BGdw_WA,E0
BGdw_WA,E1
BGdw_WA,E2
BGdw_WA,A3
BGdw_WA,E3
BGdw_WA,A4
BGdw_WA,E4
BGdw_WA,A5
BGdw_WA,A6
BGdw_WA,A7
BGdw_WA,B7
BGdw_WA,C7
BGdw_WA,D7
BGdw_WA,E7
BGmk_ID,C0
BGmk_ID,D0
BGmk_ID,E0
BGmk_ID,E1
BGmk_ID,E2
BGmk_ID,A3
BGmk_ID,E3
BGmk_ID,A4
BGmk_ID,E4
BGmk_ID,A5
BGmk_ID,A6
BGmk_ID,A7
BGmk_ID,B7
BGmk_ID,C7
BGmk_ID,D7
BGmk_ID,E7
BGmk_MT,C0
BGmk_MT,D0
BGmk_MT,E0
BGmk_MT,E1
BGmk_MT,E2
BGmk_MT,A3
BGmk_MT,E3
BGmk_MT,A4
BGmk_MT,E4
BGmk_MT,A5
BGmk_MT,A6
BGmk_MT,A7
BGmk_MT,B7
BGmk_MT,C7
BGmk_MT,D7
BGmk_MT,E7
BGmk_NV,C0
BGmk_NV,D0
BGmk_NV,E0
BGmk_NV,E1
BGmk_NV,E2
BGmk_NV,A3
BGmk_NV,E3
BGmk_NV,A4
BGmk_NV,E4
BGmk_NV,A5
BGmk_NV,A6
BGmk_NV,A7
BGmk_NV,B7
BGmk_NV,C7
BGmk_NV,D7
BGmk_NV,E7
BGmm_MT,C0
BGmm_MT,D0
BGmm_MT,E0
BGmm_MT,E1
BGmm_MT,E2
BGmm_MT,A3
BGmm_MT,E3
BGmm_MT,A4
BGmm_MT,E4
BGmm_MT,A5
BGmm_MT,A6
BGmm_MT,A7
BGmm_MT,B7
BGmm_MT,C7
BGmm_MT,D7
BGmm_MT,E7
BGmw_OR,C0
BGmw_OR,D0
BGmw_OR,E0
BGmw_OR,E1
BGmw_OR,E2
