"","BGC","ss_nospace"
"92","ICHxw","ICHxw/Fm01"
"93","ICHxwa","ICHxwa/Fm01"
"94","IDFdc","IDFdc/04"
"95","IDFdc","IDFdc/07"
"96","IDFdc","IDFdc/08"
"97","IDFdh","IDFdh/Fm01"
"98","IDFdh","IDFdh/Fm05"
"99","IDFdk5","IDFdk5/Fm01"
"100","IDFdk5","IDFdk5/Fm02"
"101","IDFdk5","IDFdk5/Fm07"
"102","IDFdm1","IDFdm1/Fm01"
"103","IDFdm1","IDFdm1/Fm05"
"104","IDFdw","IDFdw/Fm02"
"105","IDFww","IDFww/Wb"
"106","IDFww","IDFww/Ws"
"107","IDFxk","IDFxk/Fm01"
"108","IDFxk","IDFxk/Fm02"
"109","IDFxk","IDFxk/Fm07"
"110","IDFxm","IDFxm/10"
"111","IDFxx2","IDFxx2/Fm01"
"112","IDFxx2","IDFxx2/Fm02"
"113","IDFxx2","IDFxx2/Fm07"
"114","MHdmp_OR","MHdmp_OR/00"
"115","MHmm2","MHmm2/Wb"
"116","MHmmp_WA","MHmmp_WA/00"
"117","MHmsp_WA","MHmsp_WA/00"
"118","MHRFdmp_OR","MHRFdmp_OR/00"
"119","MHRFdsp_CA","MHRFdsp_CA/00"
"120","MSabN","MSabN/a"
"121","MSabS","MSabS/a"
"122","MSdc1","MSdc1/05"
"123","MSdc3","MSdc3/05"
"124","MSdc3","MSdc3/06"
"125","MSdc3","MSdc3/07"
"126","MSdc3","MSdc3/08"
"127","MSdk","MSdk/Fm01"
"128","MSdk","MSdk/Fm02"
"129","MSdm3","MSdm3/02"
"130","MSdw","MSdw/Fm01"
"131","MSdw","MSdw/Fm02"
"132","MSxk3","MSxk3/03"
"133","MSxk3","MSxk3/04"
"134","MSxv","MSxv/02a"
"135","MSxv","MSxv/02b"
"136","PPxh2","PPxh2/103b"
"137","SBAPcp","SBAPcp/a"
"138","SBAPcp","SBAPcp/i"
"139","SBAPcp","SBAPcp/j"
"140","SBAPcp","SBAPcp/k"
"141","SBAPfp","SBAPfp/d"
