"","BGC","ss_nospace"
"1","BGxh3","BGxh3/Fm01"
"2","BWBSlf","BWBSlf/a"
"3","BWBSlf","BWBSlf/g"
"4","BWBSlf","BWBSlf/n"
"5","BWBSnm","BWBSnm/l"
"6","BWBSpp","BWBSpp/l"
"7","BWBSuf","BWBSuf/a"
"8","BWBSuf","BWBSuf/g"
"9","CWHdm1","CWHdm1/Ws"
"10","CWHdm2","CWHdm2/102.1"
"11","CWHdm2","CWHdm2/102.2"
"12","CWHdm2","CWHdm2/Fl"
"13","CWHdm2","CWHdm2/Fm"
"14","CWHdm3","CWHdm3/Fl"
"15","CWHmm2","CWHmm2/Wb"
"16","CWHmm2","CWHmm2/Ws"
"17","CWHms1","CWHms1/101"
"18","CWHms1","CWHms1/102"
"19","CWHms1","CWHms1/103"
"20","CWHms1","CWHms1/104"
"21","CWHms1","CWHms1/110"
"22","CWHms1","CWHms1/111"
"23","CWHms1","CWHms1/112"
"24","CWHms1","CWHms1/113"
"25","CWHms1","CWHms1/Fl51"
"26","CWHms1","CWHms1/Fm51.1"
"27","CWHms1","CWHms1/Wb50.2"
"28","CWHms1","CWHms1/Wf"
"29","CWHms1","CWHms1/Wm"
"30","CWHms1","CWHms1/Ws56.1"
"31","CWHms2","CWHms2/101"
"32","CWHms2","CWHms2/102"
"33","CWHms2","CWHms2/103"
"34","CWHms2","CWHms2/104"
"35","CWHms2","CWHms2/105"
"36","CWHms2","CWHms2/110"
"37","CWHms2","CWHms2/111"
"38","CWHms2","CWHms2/112"
"39","CWHms2","CWHms2/Wb50.2"
"40","CWHms2","CWHms2/Ws56.1"
"41","CWHms3","CWHms3/101.1"
"42","CWHms3","CWHms3/101.2"
"43","CWHms3","CWHms3/103.1"
"44","CWHms3","CWHms3/103.2"
"45","CWHvh2","CWHvh2/Wb58"
"46","CWHvm3","CWHvm3/Wb55"
"47","CWHwm","CWHwm/101.1"
"48","CWHwm","CWHwm/101.2"
"49","CWHwm","CWHwm/112a"
"50","CWHwm","CWHwm/112b"
"51","CWHws1","CWHws1/Fm"
"52","CWHws3","CWHws3/Wb56"
"53","ESSFabC","ESSFabC/a"
"54","ESSFabC","ESSFabC/e"
"55","ESSFabE","ESSFabE/a"
"56","ESSFabE","ESSFabE/e"
"57","ESSFabN","ESSFabN/a"
"58","ESSFabN","ESSFabN/e"
"59","ESSFabS","ESSFabS/a"
"60","ESSFabS","ESSFabS/e"
"61","ESSFdc3","ESSFdc3/09"
"62","ESSFvc","ESSFvc/06"
"63","ESSFvcw","ESSFvcw/06"
"64","ESSFwc2","ESSFwc2/10"
"65","ESSFxc2","ESSFxc2/Ws12"
"66","ESSFxc3","ESSFxc3/03"
"67","ESSFxc3","ESSFxc3/04"
"68","ESSFxc3","ESSFxc3/09"
"69","ESSFxc3","ESSFxc3/10"
"70","ESSFxcw","ESSFxcw/111"
"71","ESSFxcw","ESSFxcw/112"
"72","ICHdm","ICHdm/Fm01"
"73","ICHdm","ICHdm/Fm02"
"74","ICHdm","ICHdm/Fm04"
"75","ICHdw1","ICHdw1/Fm01"
"76","ICHdw1","ICHdw1/Fm02"
"77","ICHdw1","ICHdw1/Fm04"
"78","ICHdw4","ICHdw4/Fm01"
"79","ICHdw4","ICHdw4/Fm02"
"80","ICHdw4","ICHdw4/Fm04"
"81","ICHmk4","ICHmk4/Fm01"
"82","ICHmk4","ICHmk4/Fm02"
"83","ICHmw2","ICHmw2/Fm01"
"84","ICHmw2","ICHmw2/Fm02"
"85","ICHmw2","ICHmw2/Fm04"
"86","ICHmw3","ICHmw3/09"
"87","ICHmw4","ICHmw4/Fm01"
"88","ICHmw4","ICHmw4/Fm02"
"89","ICHmw4","ICHmw4/Fm04"
"90","ICHmw5","ICHmw5/Fm01"
"91","ICHmw5","ICHmw5/Fm02"
