"","BGC","ss_nospace"
"1","BGxh3","BGxh3/Fm01"
"2","BWBSlf","BWBSlf/a"
"3","BWBSlf","BWBSlf/g"
"4","BWBSlf","BWBSlf/n"
"5","BWBSnm","BWBSnm/l"
"6","BWBSpp","BWBSpp/l"
"7","BWBSuf","BWBSuf/a"
"8","BWBSuf","BWBSuf/g"
"9","ESSFabC","ESSFabC/a"
"10","ESSFabC","ESSFabC/e"
"11","ESSFabE","ESSFabE/a"
"12","ESSFabE","ESSFabE/e"
"13","ESSFabN","ESSFabN/a"
"14","ESSFabN","ESSFabN/e"
"15","ESSFabS","ESSFabS/a"
"16","ESSFabS","ESSFabS/e"
"17","ESSFdc3","ESSFdc3/09"
"18","ESSFvc","ESSFvc/06"
"19","ESSFvcw","ESSFvcw/06"
"20","ESSFwc2","ESSFwc2/10"
"21","ESSFxc2","ESSFxc2/Ws12"
"22","ESSFxc3","ESSFxc3/03"
"23","ESSFxc3","ESSFxc3/04"
"24","ESSFxc3","ESSFxc3/09"
"25","ESSFxc3","ESSFxc3/10"
"26","ESSFxcw","ESSFxcw/111"
"27","ESSFxcw","ESSFxcw/112"
"28","ICHdm","ICHdm/Fm01"
"29","ICHdm","ICHdm/Fm02"
"30","ICHdm","ICHdm/Fm04"
"31","ICHdw1","ICHdw1/Fm01"
"32","ICHdw1","ICHdw1/Fm02"
"33","ICHdw1","ICHdw1/Fm04"
"34","ICHdw4","ICHdw4/Fm01"
"35","ICHdw4","ICHdw4/Fm02"
"36","ICHdw4","ICHdw4/Fm04"
"37","ICHmk4","ICHmk4/Fm01"
"38","ICHmk4","ICHmk4/Fm02"
"39","ICHmw2","ICHmw2/Fm01"
"40","ICHmw2","ICHmw2/Fm02"
"41","ICHmw2","ICHmw2/Fm04"
"42","ICHmw3","ICHmw3/09"
"43","ICHmw4","ICHmw4/Fm01"
"44","ICHmw4","ICHmw4/Fm02"
"45","ICHmw4","ICHmw4/Fm04"
"46","ICHmw5","ICHmw5/Fm01"
"47","ICHmw5","ICHmw5/Fm02"
"48","ICHxw","ICHxw/Fm01"
"49","ICHxwa","ICHxwa/Fm01"
"50","IDFdc","IDFdc/04"
"51","IDFdc","IDFdc/07"
"52","IDFdc","IDFdc/08"
"53","IDFdh","IDFdh/Fm01"
"54","IDFdh","IDFdh/Fm05"
"55","IDFdk5","IDFdk5/Fm01"
"56","IDFdk5","IDFdk5/Fm02"
"57","IDFdk5","IDFdk5/Fm07"
"58","IDFdm1","IDFdm1/Fm01"
"59","IDFdm1","IDFdm1/Fm05"
"60","IDFdw","IDFdw/Fm02"
"61","IDFww","IDFww/Wb"
"62","IDFww","IDFww/Ws"
"63","IDFxk","IDFxk/Fm01"
"64","IDFxk","IDFxk/Fm02"
"65","IDFxk","IDFxk/Fm07"
"66","IDFxm","IDFxm/10"
"67","IDFxx2","IDFxx2/Fm01"
"68","IDFxx2","IDFxx2/Fm02"
"69","IDFxx2","IDFxx2/Fm07"
"70","MHdmp_OR","MHdmp_OR/00"
"71","MHmmp_WA","MHmmp_WA/00"
"72","MHmsp_WA","MHmsp_WA/00"
"73","MHRFdmp_OR","MHRFdmp_OR/00"
"74","MHRFdsp_CA","MHRFdsp_CA/00"
"75","MSabN","MSabN/a"
"76","MSabS","MSabS/a"
"77","MSdc1","MSdc1/05"
"78","MSdc3","MSdc3/05"
"79","MSdc3","MSdc3/06"
"80","MSdc3","MSdc3/07"
"81","MSdc3","MSdc3/08"
"82","MSdk","MSdk/Fm01"
"83","MSdk","MSdk/Fm02"
"84","MSdm3","MSdm3/02"
"85","MSdw","MSdw/Fm01"
"86","MSdw","MSdw/Fm02"
"87","MSxk3","MSxk3/03"
"88","MSxk3","MSxk3/04"
"89","MSxv","MSxv/02a"
"90","MSxv","MSxv/02b"
"91","PPxh2","PPxh2/103b"
"92","SBAPcp","SBAPcp/a"
"93","SBAPcp","SBAPcp/i"
"94","SBAPcp","SBAPcp/j"
"95","SBAPcp","SBAPcp/k"
"96","SBAPfp","SBAPfp/d"
