"","BGC","ss_nospace"
"1","ESSFdc3","ESSFdc3/09"
"2","ESSFvc","ESSFvc/06"
"3","ESSFvcw","ESSFvcw/06"
"4","ESSFwc2","ESSFwc2/10"
"5","ESSFxc2","ESSFxc2/Ws12"
"6","ESSFxc3","ESSFxc3/10"
"7","ESSFxcw","ESSFxcw/111"
"8","ESSFxcw","ESSFxcw/112"
"9","ICHdm","ICHdm/Fm01"
"10","ICHdm","ICHdm/Fm02"
"11","ICHdm","ICHdm/Fm04"
"12","ICHdw1","ICHdw1/Fm01"
"13","ICHdw1","ICHdw1/Fm02"
"14","ICHdw1","ICHdw1/Fm04"
"15","ICHdw4","ICHdw4/Fm01"
"16","ICHdw4","ICHdw4/Fm02"
"17","ICHdw4","ICHdw4/Fm04"
"18","ICHmk4","ICHmk4/Fm01"
"19","ICHmk4","ICHmk4/Fm02"
"20","ICHmw2","ICHmw2/Fm01"
"21","ICHmw2","ICHmw2/Fm02"
"22","ICHmw2","ICHmw2/Fm04"
"23","ICHmw3","ICHmw3/09"
"24","ICHmw4","ICHmw4/Fm01"
"25","ICHmw4","ICHmw4/Fm02"
"26","ICHmw4","ICHmw4/Fm04"
"27","ICHmw5","ICHmw5/Fm01"
"28","ICHmw5","ICHmw5/Fm02"
"29","ICHxw","ICHxw/Fm01"
"30","ICHxwa","ICHxwa/Fm01"
"31","IDFdc","IDFdc/04"
"32","IDFdc","IDFdc/07"
"33","IDFdc","IDFdc/08"
"34","IDFdh","IDFdh/Fm01"
"35","IDFdh","IDFdh/Fm05"
"36","IDFdk5","IDFdk5/Fm01"
"37","IDFdk5","IDFdk5/Fm02"
"38","IDFdk5","IDFdk5/Fm07"
"39","IDFdm1","IDFdm1/Fm01"
"40","IDFdm1","IDFdm1/Fm05"
"41","IDFdw","IDFdw/Fm02"
"42","IDFww","IDFww/Wb"
"43","IDFww","IDFww/Ws"
"44","IDFxk","IDFxk/Fm01"
"45","IDFxk","IDFxk/Fm02"
"46","IDFxk","IDFxk/Fm07"
"47","IDFxm","IDFxm/10"
"48","IDFxx2","IDFxx2/Fm01"
"49","IDFxx2","IDFxx2/Fm02"
"50","IDFxx2","IDFxx2/Fm07"
"51","MHdmp_OR","MHdmp_OR/00"
"52","MHmmp_WA","MHmmp_WA/00"
"53","MHmsp_WA","MHmsp_WA/00"
"54","MHRFdmp_OR","MHRFdmp_OR/00"
"55","MHRFdsp_CA","MHRFdsp_CA/00"
"56","MSdc1","MSdc1/05"
"57","MSdc3","MSdc3/05"
"58","MSdc3","MSdc3/06"
"59","MSdc3","MSdc3/07"
"60","MSdc3","MSdc3/08"
"61","MSdk","MSdk/Fm01"
"62","MSdk","MSdk/Fm02"
"63","MSdm3","MSdm3/02"
"64","MSdw","MSdw/Fm01"
"65","MSdw","MSdw/Fm02"
"66","MSxk3","MSxk3/03"
"67","MSxk3","MSxk3/04"
"68","MSxv","MSxv/02a"
"69","MSxv","MSxv/02b"
"70","PPxh2","PPxh2/103b"
"71","SBSmw","SBSmw/11"
"72","SBSmw","SBSmw/12"
"73","SBSmw","SBSmw/13"
