,BGC,ss_nospace
1,CDFmm,CDFmm/Fm51
2,CWHdm1,CWHdm1/Wsxx
3,CWHdm2,CWHdm2/105
4,CWHdm2,CWHdm2/Fl51
5,CWHdm2,CWHdm2/Fm51
6,CWHdm2,CWHdm2/Fm52
7,CWHdm3,CWHdm3/Fl50
8,CWHdm3,CWHdm3/Fl51
9,CWHmm1,CWHmm1/Ws##
10,CWHmm2,CWHmm2/Wb51
11,CWHms3,CWHms3/104
12,CWHms3,CWHms3/Wf
13,CWHms4,CWHms4/101
14,CWHms4,CWHms4/102
15,CWHms4,CWHms4/103
16,CWHms4,CWHms4/104
17,CWHms4,CWHms4/105
18,CWHms4,CWHms4/110
19,CWHms4,CWHms4/111
20,CWHms4,CWHms4/112
21,CWHms4,CWHms4/Wb50.2
22,CWHms4,CWHms4/Ws56.1
23,CWHms5,CWHms5/101
24,CWHms5,CWHms5/101.1
25,CWHms5,CWHms5/101.2
26,CWHms5,CWHms5/102
27,CWHms5,CWHms5/103
28,CWHms5,CWHms5/103.1
29,CWHms5,CWHms5/103.2
30,CWHms5,CWHms5/110
31,CWHms5,CWHms5/111
32,CWHms5,CWHms5/112
33,CWHms5,CWHms5/113
34,CWHms5,CWHms5/Fl51
35,CWHms5,CWHms5/Fm51.1
36,CWHms5,CWHms5/Wb50.2
37,CWHms5,CWHms5/Wm
38,CWHms5,CWHms5/Ws56.1
39,CWHvh2,CWHvh2/113
40,CWHvh2,CWHvh2/Ws58
41,CWHvm2,CWHvm2/115
42,CWHvm2,CWHvm2/Wb53
43,CWHvm3,CWHvm3/Wb53
44,CWHwm,CWHwm/101a
45,CWHwm,CWHwm/101b
46,CWHwm,CWHwm/Wb53
47,CWHwm,CWHwm/Ws60
48,CWHws1,CWHws1/Fm50
49,MHmm2,MHmm2/Wb5X
50,MHvh,MHvh/101a
51,MHvh,MHvh/101b
