"","grp","chng_type","Source","Zone","SubzoneGroup","Subzone","BGC","BGCName","ZoneName","SubzoneName","VariantName","General.Location","OldSubzoneLabel","DataSet","State","Notes"
"1",1,"+","BGCv11","BAFA","BAFA","BAFAun","BAFAun","Undifferentiated BAFA","Boreal Altai Fescue Alpine","Undifferentiated","","","","BC","BC",""
"2",1,"-","BGCv11","BAFA","BAFA","BAFAun","BAFAun","Undifferentiated BAFA","Boreal Altai Fescue Alpine","Undifferentiated","","Undifferentiated","","BC","BC",""
"3",2,"+","BGCv11","BAFA","BAFA","BAFAunp","BAFAunp","Undifferentiated and Parkland BAFA","Boreal Altai Fescue Alpine","Undifferentiated and Parkland","","","","BC","BC",""
"4",2,"-","BGCv11","BAFA","BAFA","BAFAunp","BAFAunp","Undifferentiated and Parkland BAFA","Boreal Altai Fescue Alpine","Undifferentiated and Parkland","","Undifferentiated and Parkland","","BC","BC",""
"5",3,"+","USA_2019","BG","BG","BGdh","BGdh_OR","Oregon Dry Hot BG","Bunchgrass","Dry Hot","Oregon","SE Oregon & S Idaho & N Nevada","BG  xhy","USA","OR",""
"6",3,"-","USA_2019","BG","BG","BGdh","BGdh_OR","Oregon Dry Hot BG","Bunchgrass","Dry Hot","Oregon","SE Oregon","S Idaho","N Nevada""","BG  xhy","USA"
"7",5,"+","USA_2019","BG","BG","BGdw","BGdw_WA","Washington Dry Warm BG","Bunchgrass","Dry Warm","Washington","C Washington","BG  mmz","USA","WA",""
"8",5,"-","USA_2019","BG","BG","BGdw","BGdw_WA","Washington Dry Warm BG","Bunchgrass","Dry Warm","Washington","Central WA - Artetrp - Pseuspi - Festida","BG  mmz","USA","WA",""
"9",6,"+","USA_2019","BG","BG","BGmk","BGmk_MT","Montana Moist Cool BG","Bunchgrass","Moist Cool","Montana","SW Montana & EC Idaho","BG  mmx","USA","MT",""
"10",6,"-","USA_2019","BG","BG","BGmk","BGmk_MT","Montana Moist Cool BG","Bunchgrass","Moist Cool","Montana","SW Montana","EC Idaho""","BG  mmx","USA","MT"
"11",7,"+","USA_2019","BG","BG","BGmk","BGmk_NV","Nevada Moist Cool BG","Bunchgrass","Moist Cool","Nevada","N Nevada & S Oregon & S Idaho","","USA","NV",""
