"","grp","chng_type","Source","Zone","SubzoneGroup","Subzone","BGC","BGCName","ZoneName","SubzoneName","VariantName","General.Location","OldSubzoneLabel","DataSet","State","Notes","colour","ZoneColour","notinTHLB"
"1",153,"+","BGCv13","ESSF","ESSF","ESSFun","ESSFun1","Undifferentiated Central Coast ESSF","Engelmann Spruce  –  Subalpine Fir","Undifferentiated"," Central Coast",NA,"ESSFmw portion","BC","BC",NA,"#D623C1FF","#ae38b8","x"
"2",153,"-","BGCv13","ESSF","","ESSFun","ESSFun1","Undifferentiated Central Coast ESSF","Engelmann Spruce  –  Subalpine Fir","Undifferentiated"," Central Coast",NA,"ESSFmw portion","BC","BC",NA,"#D623C1FF","#ae38b8","x"
"3",154,"+","BGCv13","ESSF","ESSF","ESSFun","ESSFun2","Undifferentiated Stikine EESF","Engelmann Spruce  –  Subalpine Fir","Undifferentiated","Stikine ",NA,"ESSFun","BC","BC",NA,"#921AD2FF","#ae38b8","x"
"4",154,"-","BGCv13","ESSF","","ESSFun","ESSFun2","Undifferentiated Stikine EESF","Engelmann Spruce  –  Subalpine Fir","Undifferentiated","Stikine ",NA,"ESSFun","BC","BC",NA,"#921AD2FF","#ae38b8","x"
"5",234,"+","BGCv13","ICH","ICH","ICHun","ICHun1","Undifferentiated Central Coast ICH","Interior Cedar  –  Hemlock","Undifferentiated"," Central Coast",NA,"IDFww portion","BC","BC",NA,"#98E993FF","#1fec26","x"
"6",234,"-","BGCv13","ICH","","ICHun","ICHun1","Undifferentiated Central Coast ICH","Interior Cedar  –  Hemlock","Undifferentiated"," Central Coast",NA,"IDFww portion","BC","BC",NA,"#98E993FF","#1fec26","x"
"7",322,"-","BGCv13","MH","MH_submaritme","MHms","MHms","Moist Submaritime MH","Mountain Hemlock","Moist Submaritime","","","","BC","BC","","#76488BFF","#6f2997",""
"8",326,"+","BGCv13","MH","MH","MHun","MHun1","Undifferentiated Stikine MH","Mountain Hemlock","Undifferentiated","Stikine ",NA,"Mhun","BC","BC",NA,"#924DD3FF","#6f2997","x"
"9",326,"-","BGCv13","MH","","MHun","MHun1","Undifferentiated Stikine MH","Mountain Hemlock","Undifferentiated","Stikine ",NA,"Mhun","BC","BC",NA,"#924DD3FF","#6f2997","x"
"10",352,"+","BGCv13","MS","MS","MSun","MSun1","Undifferentiated Central Coast MS","Montane Spruce","Undifferentiated"," Central Coast",NA,"MSun","BC","BC",NA,"#E15989FF","#e44ebc","x"
"11",352,"-","BGCv13","MS","","MSun","MSun1","Undifferentiated Central Coast MS","Montane Spruce","Undifferentiated"," Central Coast",NA,"MSun","BC","BC",NA,"#E15989FF","#e44ebc","x"
"12",413,"+","BGCv13","SWB","SWB","SWBun","SWBun1","Undifferentiated SWB","Spruce –  Willow  –  Birch","Undifferentiated","",NA,"SWBun","BC","BC",NA,"#8DC4D2FF","#a1dbde","x"
"13",413,"-","BGCv13","SWB","","SWBun","SWBun1","Undifferentiated SWB","Spruce –  Willow  –  Birch","Undifferentiated","",NA,"SWBun","BC","BC",NA,"#8DC4D2FF","#a1dbde","x"
