"","grp","chng_type","Source","Zone","SubzoneGroup","Subzone","BGC","BGCName","ZoneName","SubzoneName","VariantName","General.Location","OldSubzoneLabel","DataSet","State","Notes","colour","notinTHLB"
"133",326,"+","BGCv13","MH","","MHun","MHun1","Undifferentiated Stikine MH","Mountain Hemlock","Undifferentiated","Stikine ",NA,"Mhun","BC","BC",NA,"#924DD3FF","x"
"134",326,"-","BGCv13","MH","","MHun","MHun1","Undifferentiated Stikine MH","Mountain Hemlock","Undifferentiated","Stikine ",NA,"Mhun","BC","BC",NA,"#924DD3FF",""
"135",327,"+","BGCv11","MH","MH_submaritme","MHunp","MHunp","Undifferentiated Parkland MH","Mountain Hemlock","Undifferentiated Parkland","","","","BC","BC","","#A748DAFF","x"
"136",327,"-","BGCv11","MH","MH_submaritme","MHunp","MHunp","Undifferentiated Parkland MH","Mountain Hemlock","Undifferentiated Parkland","","","","BC","BC","","#A748DAFF",""
"137",329,"+","BGCv13","MH","MH_maritime","MHvhp","MHvhp","Very Wet Hypermaritime Parkland MH","Mountain Hemlock","Very Wet Hypermaritime Parkland","","","","BC","BC","","#B38DCDFF","x"
"138",329,"-","BGCv13","MH","MH_maritime","MHvhp","MHvhp","Very Wet Hypermaritime Parkland MH","Mountain Hemlock","Very Wet Hypermaritime Parkland","","","","BC","BC","","#B38DCDFF",""
"139",331,"+","BGCv11","MH","MH_maritime","MHwhp","MHwhp","Wet Hypermaritime Parkland MH","Mountain Hemlock","Wet Hypermaritime Parkland","","","","BC","BC","","#BB53EFFF","x"
"140",331,"-","BGCv11","MH","MH_maritime","MHwhp","MHwhp","Wet Hypermaritime Parkland MH","Mountain Hemlock","Wet Hypermaritime Parkland","","","","BC","BC","","#BB53EFFF",""
"141",332,"+","USA_2021","MMM","MMM","MMMdk","MMMdk_NV","Dry Cool Nevada MMM"," Montane Mountain Mahogany ","Dry Cool","Nevada","C & N Nevada","","USA","NV","","#C43C39FF","x"
"142",332,"-","USA_2021","MMM","MMM","MMMdk","MMMdk_NV","Dry Cool Nevada MMM"," Montane Mountain Mahogany ","Dry Cool","Nevada","C & N Nevada","","USA","NV","","#C43C39FF",""
"143",333,"+","USA_2019","MSSD","MSSD","MSSDun","MSSDun_NV","Nevada MSSD","Mojave – Sonoran Semi-Desert","","Nevada","SE California, S Nevada","MSSD un","USA","NV","","#807474FF","x"
"144",333,"-","USA_2019","MSSD","MSSD","MSSDun","MSSDun_NV","Nevada MSSD","Mojave – Sonoran Semi-Desert","","Nevada","SE California, S Nevada","MSSD un","USA","NV","","#807474FF",""
"145",352,"+","BGCv13","MS","","MSun","MSun1","Undifferentiated Central Coast MS","Montane Spruce","Undifferentiated"," Central Coast",NA,"MSun","BC","BC",NA,"#E15989FF","x"
"146",352,"-","BGCv13","MS","","MSun","MSun1","Undifferentiated Central Coast MS","Montane Spruce","Undifferentiated"," Central Coast",NA,"MSun","BC","BC",NA,"#E15989FF",""
"147",361,"+","USA_2026","OW","OW","OWdm","OWdm_CA","Dry Maritime California OW","Oak Woodland","Dry Maritime","CA","C & N California","","USA","CA","","#c6a980","x"
"148",361,"-","USA_2026","OW","OW","OWdm","OWdm_CA","Dry Maritime California OW","Oak Woodland","Dry Maritime","CA","C & N California","","USA","CA","","#c6a980",""
"149",362,"+","USA_2023","OW","OW","OWmm","OWmm_OR","Moist Maritime Oregon OW","Oak Woodland","Moist Maritime","Oregon","SW Oregon, N California","","USA","OR","","#ABCE10FF","x"
"150",362,"-","USA_2023","OW","OW","OWmm","OWmm_OR","Moist Maritime Oregon OW","Oak Woodland","Moist Maritime","Oregon","SW Oregon, N California","","USA","OR","","#ABCE10FF",""
"151",363,"+","USA_2026","OW","OW","OWwm","OWwm_OR","Wet Maritime Oregon OW","Oak Woodland","Wet Maritime","OR","SW Oregon","","USA","OR","","#B0CF13FF","x"
"152",363,"-","USA_2026","OW","OW","OWwm","OWwm_OR","Wet Maritime Oregon OW","Oak Woodland","Wet Maritime","OR","SW Oregon","","USA","OR","","#B0CF13FF",""
"153",364,"+","USA_2026","OW","OW","OWxm","OWxm_CA","Very Dry Maritime California OW","Oak Woodland","Very Dry Maritime","CA","S California","","USA","CA","","#C4BD7DFF","x"
"154",364,"-","USA_2026","OW","OW","OWxm","OWxm_CA","Very Dry Maritime California OW","Oak Woodland","Very Dry Maritime","CA","S California","","USA","CA","","#C4BD7DFF",""
"155",365,"+","USA_2026","PPJW","PPJW","PPJWdm","PPJWdm_WY","Dry Mild Wyoming PPJW","Pinyon Pine – Juniper Woodland","Dry Mild","WY","Wyoming [NE Utah, NW Colorado]","","USA","WY","","#B08595FF","x"
"156",365,"-","USA_2026","PPJW","PPJW","PPJWdm","PPJWdm_WY","Dry Mild Wyoming PPJW","Pinyon Pine – Juniper Woodland","Dry Mild","WY","Wyoming [NE Utah, NW Colorado]","","USA","WY","","#B08595FF",""
"157",366,"+","USA_2026","PPJW","PPJW","PPJWdw","PPJWdw_UT","Dry Warm Utah PPJW","Pinyon Pine – Juniper Woodland","Dry Warm","UT","Utah, W Colorado [SE Idaho]","","USA","UT","","#A77274FF","x"
"158",366,"-","USA_2026","PPJW","PPJW","PPJWdw","PPJWdw_UT","Dry Warm Utah PPJW","Pinyon Pine – Juniper Woodland","Dry Warm","UT","Utah, W Colorado [SE Idaho]","","USA","UT","","#A77274FF",""
"159",367,"+","USA_2026","PPJW","PPJW","PPJWmw","PPJWmw_UT","Moist Warm Utah PPJW","Pinyon Pine – Juniper Woodland","Moist Warm","UT","E Utah, W Colorado","","USA","UT","","#A57376FF","x"
"160",367,"-","USA_2026","PPJW","PPJW","PPJWmw","PPJWmw_UT","Moist Warm Utah PPJW","Pinyon Pine – Juniper Woodland","Moist Warm","UT","E Utah, W Colorado","","USA","UT","","#A57376FF",""
"161",368,"+","USA_2026","PPJW","PPJW","PPJWwm","PPJWwm_CO","Wet Mild Colorado PPJW","Pinyon Pine – Juniper Woodland","Wet Mild","CO","EC & SE Colorado","","USA","CO","","#AD737FFF","x"
"162",368,"-","USA_2026","PPJW","PPJW","PPJWwm","PPJWwm_CO","Wet Mild Colorado PPJW","Pinyon Pine – Juniper Woodland","Wet Mild","CO","EC & SE Colorado","","USA","CO","","#AD737FFF",""
"163",369,"+","USA_2026","PPJW","PPJW","PPJWxh","PPJWxh_CA","Very Dry Hot California PPJW","Pinyon Pine – Juniper Woodland","Very Dry Hot","CA","S California","","USA","CA","","#A87E86FF","x"
"164",369,"-","USA_2026","PPJW","PPJW","PPJWxh","PPJWxh_CA","Very Dry Hot California PPJW","Pinyon Pine – Juniper Woodland","Very Dry Hot","CA","S California","","USA","CA","","#A87E86FF",""
"165",370,"+","USA_2026","PPJW","PPJW","PPJWxw","PPJWxw_NV","Very Dry Warm Nevada PPJW","Pinyon Pine – Juniper Woodland","Very Dry Warm","NV","Nevada, E California, W Utah, S Idaho","","USA","NV","","#C37389FF","x"
"166",370,"-","USA_2026","PPJW","PPJW","PPJWxw","PPJWxw_NV","Very Dry Warm Nevada PPJW","Pinyon Pine – Juniper Woodland","Very Dry Warm","NV","Nevada, E California, W Utah, S Idaho","","USA","NV","","#C37389FF",""
"167",381,"+","AB_2018","SAS","SAS","SASbo","SASbo","Boreal SAS","Sub-arctic Spruce","Boreal","","N Alberta","SAWSbo","AB","AB","","#2D4870FF","x"
"168",381,"-","AB_2018","SAS","SAS","SASbo","SASbo","Boreal SAS","Sub-arctic Spruce","Boreal","","N Alberta","SAWSbo","AB","AB","","#2D4870FF",""
"169",383,"+","AB_2018","SBAP","SBAP","SBAPfp","SBAPfp","Foothills Parkland Sub-boreal Aspen Parkland","Sub-boreal Aspen Parkland","","","NW Montana, to AB border","SBAPfp","AB","AB","","#1DA5E8FF","x"
"170",383,"-","AB_2018","SBAP","SBAP","SBAPfp","SBAPfp","Foothills Parkland Sub-boreal Aspen Parkland","Sub-boreal Aspen Parkland","","","NW Montana, to AB border","SBAPfp","AB","AB","","#1DA5E8FF",""
"171",403,"+","BGCv11","SBS","SBS_meso","SBSun","SBSun","Undifferentiated SBS","Sub-Boreal Spruce","Undifferentiated","","","","BC","BC","","#2F93F0FF","x"
"172",403,"-","BGCv11","SBS","SBS_meso","SBSun","SBSun","Undifferentiated SBS","Sub-Boreal Spruce","Undifferentiated","","","","BC","BC","","#2F93F0FF",""
"173",410,"+","USA_2019","SGP","SGP","SGPdm","SGPdm_CO","Dry Mild Colorado SGP","Shortgrass Prairie","Dry Mild","Colorado","E Colorado, SE Wyoming","SGP un","USA","CO","","#DED479FF","x"
"174",410,"-","USA_2019","SGP","SGP","SGPdm","SGPdm_CO","Dry Mild Colorado SGP","Shortgrass Prairie","Dry Mild","Colorado","E Colorado, SE Wyoming","SGP un","USA","CO","","#DED479FF",""
"175",412,"+","BGCv11","SWB","SWB","SWBmks","SWBmks","Moist Cool Scrub SWB","Spruce –  Willow  –  Birch","Moist Cool Scrub","","","","BC","BC","","#79AEB6FF","x"
"176",412,"-","BGCv11","SWB","SWB","SWBmks","SWBmks","Moist Cool Scrub SWB","Spruce –  Willow  –  Birch","Moist Cool Scrub","","","","BC","BC","","#79AEB6FF",""
"177",413,"+","BGCv13","SWB","","SWBun","SWBun1","Undifferentiated SWB","Spruce –  Willow  –  Birch","Undifferentiated","",NA,"SWBun","BC","BC",NA,"#8DC4D2FF","x"
"178",413,"-","BGCv13","SWB","","SWBun","SWBun1","Undifferentiated SWB","Spruce –  Willow  –  Birch","Undifferentiated","",NA,"SWBun","BC","BC",NA,"#8DC4D2FF",""
"179",414,"+","BGCv11","SWB","SWB","SWBuns","SWBuns","Undifferentiated Scrub SWB","Spruce –  Willow  –  Birch","Undifferentiated Scrub","","","","BC","BC","","#80CCD4FF","x"
"180",414,"-","BGCv11","SWB","SWB","SWBuns","SWBuns","Undifferentiated Scrub SWB","Spruce –  Willow  –  Birch","Undifferentiated Scrub","","","","BC","BC","","#80CCD4FF",""
"181",416,"+","BGCv11","SWB","SWB","SWBvks","SWBvks","Very Wet Cool Scrub SWB","Spruce –  Willow  –  Birch","Very Wet Cool Scrub","","","","BC","BC","","#ADD5DEFF","x"
"182",416,"-","BGCv11","SWB","SWB","SWBvks","SWBvks","Very Wet Cool Scrub SWB","Spruce –  Willow  –  Birch","Very Wet Cool Scrub","","","","BC","BC","","#ADD5DEFF",""
"183",417,"+","USA_2019","WJP","WJP","WJPxm","WJPxm_OR","Very Dry Mild Oregon WJP","Western Juniper – Pine","Very Dry Mild","Oregon","Oregon, NE California, NW Nevada, SW Idaho","WJP juz","USA","OR","","#987610FF","x"
"184",417,"-","USA_2019","WJP","WJP","WJPxm","WJPxm_OR","Very Dry Mild Oregon WJP","Western Juniper – Pine","Very Dry Mild","Oregon","Oregon, NE California, NW Nevada, SW Idaho","WJP juz","USA","OR","","#987610FF",""
