"","grp","chng_type","Source","Zone","SubzoneGroup","Subzone","BGC","BGCName","ZoneName","SubzoneName","VariantName","General.Location","OldSubzoneLabel","DataSet","State","Notes","colour","notinTHLB"
"23",12,"+","BGCv11","BG","BG","BGxh","BGxh1","Okanagan Very Dry Hot BG","Bunchgrass","Very Dry Hot","Okanagan","","","BC","BC","","#E53443FF","x"
"24",12,"-","BGCv11","BG","BG","BGxh","BGxh1","Okanagan Very Dry Hot BG","Bunchgrass","Very Dry Hot","Okanagan","","","BC","BC","","#E53443FF",""
"25",13,"+","BGCv11","BG","BG","BGxh","BGxh2","Thompson Very Dry Hot BG","Bunchgrass","Very Dry Hot","Thompson","","","BC","BC","","#D72828FF","x"
"26",13,"-","BGCv11","BG","BG","BGxh","BGxh2","Thompson Very Dry Hot BG","Bunchgrass","Very Dry Hot","Thompson","","","BC","BC","","#D72828FF",""
"27",14,"+","BGCv11","BG","BG","BGxh","BGxh3","Fraser Very Dry Hot BG","Bunchgrass","Very Dry Hot","Fraser","","","BC","BC","","#E75E63FF","x"
"28",14,"-","BGCv11","BG","BG","BGxh","BGxh3","Fraser Very Dry Hot BG","Bunchgrass","Very Dry Hot","Fraser","","","BC","BC","","#E75E63FF",""
"29",15,"+","USA_2019","BG","BG","BGxh","BGxh_WA","Very Dry Hot Washington BG","Bunchgrass","Very Dry Hot","Washington","C Washington","BG  xhz","USA","WA","","#DB1010FF","x"
"30",15,"-","USA_2019","BG","BG","BGxh","BGxh_WA","Very Dry Hot Washington BG","Bunchgrass","Very Dry Hot","Washington","C Washington","BG  xhz","USA","WA","","#DB1010FF",""
"31",16,"+","BGCv11","BG","BG","BGxw","BGxw1","Nicola Very Dry Warm BG","Bunchgrass","Very Dry Warm","Nicola","","","BC","BC","","#D64945FF","x"
"32",16,"-","BGCv11","BG","BG","BGxw","BGxw1","Nicola Very Dry Warm BG","Bunchgrass","Very Dry Warm","Nicola","","","BC","BC","","#D64945FF",""
"33",17,"+","BGCv11","BG","BG","BGxw","BGxw2","Alkali Very Dry Warm BG","Bunchgrass","Very Dry Warm","Alkali","","","BC","BC","","#D71515FF","x"
"34",17,"-","BGCv11","BG","BG","BGxw","BGxw2","Alkali Very Dry Warm BG","Bunchgrass","Very Dry Warm","Alkali","","","BC","BC","","#D71515FF",""
"35",18,"+","USA_2019","BG","BG","BGxx","BGxx_WY","Very Dry Very Hot Wyoming BG","Bunchgrass","Very Dry Very Hot","Wyoming","SW Wyoming","","USA","WY","","#DF325EFF","x"
"36",18,"-","USA_2019","BG","BG","BGxx","BGxx_WY","Very Dry Very Hot Wyoming BG","Bunchgrass","Very Dry Very Hot","Wyoming","SW Wyoming","","USA","WY","","#DF325EFF",""
"37",19,"+","USA_2026","BG","BG","BGxxx","BGxxx_WY","Very Very Dry Very Hot Wyoming BG","Bunchgrass","Very Very Dry Very Hot","WY","C & NC Wyoming","","USA","WY","","#954419FF","x"
"38",19,"-","USA_2026","BG","BG","BGxxx","BGxxx_WY","Very Very Dry Very Hot Wyoming BG","Bunchgrass","Very Very Dry Very Hot","WY","C & NC Wyoming","","USA","WY","","#954419FF",""
"39",40,"+","BGCv11","BWBS","BWBS_cold","BWBSvk","BWBSvk","Very Wet Cool BWBS","Boreal White and Black Spruce","Very Wet Cool","","","","BC","BC","","#2C3BE0FF","x"
"40",40,"-","BGCv11","BWBS","BWBS_cold","BWBSvk","BWBSvk","Very Wet Cool BWBS","Boreal White and Black Spruce","Very Wet Cool","","","","BC","BC","","#2C3BE0FF",""
"41",44,"+","USA_2019","CCH","CCH","CCHun","CCHun_CA","California CCH","California Chaparral ","","California","WC & SW California ","CCH un","USA","CA","","#754862FF","x"
"42",44,"-","USA_2019","CCH","CCH","CCHun","CCHun_CA","California CCH","California Chaparral ","","California","WC & SW California ","CCH un","USA","CA","","#754862FF",""
"43",49,"+","BGCv11","CMA","CMA","CMAun","CMAun","Undifferentiated CMA","Coastal Mountain-heather Alpine","Undifferentiated","","","","BC","BC","","#E8E9F3FF","x"
"44",49,"-","BGCv11","CMA","CMA","CMAun","CMAun","Undifferentiated CMA","Coastal Mountain-heather Alpine","Undifferentiated","","","","BC","BC","","#E8E9F3FF",""
"45",50,"+","USA_2019","CMA","CMA","CMAun","CMAun_CA","California CMA","Coastal Mountain-heather Alpine","","California","EC California","CMA us","USA","CA","","#DEF2EAFF","x"
"46",50,"-","USA_2019","CMA","CMA","CMAun","CMAun_CA","California CMA","Coastal Mountain-heather Alpine","","California","EC California","CMA us","USA","CA","","#DEF2EAFF",""
"47",51,"+","USA_2019","CMA","CMA","CMAun","CMAun_OR","Oregon CMA","Coastal Mountain-heather Alpine","","Oregon","W Oregon","CMA us","USA","OR","","#CFDECFFF","x"
