"","grp","chng_type","Source","Zone","SubzoneGroup","Subzone","BGC","BGCName","ZoneName","SubzoneName","VariantName","General.Location","OldSubzoneLabel","DataSet","State","Notes"
"1",3,"+","USA_2019","BG","BG","BGdh","BGdh_OR","Dry Hot Oregon BG","Bunchgrass","Dry Hot","Oregon","SE Oregon, S Idaho, N Nevada","BG  xhy","USA","OR",""
"2",4,"-","USA_2019","BG","BG","BGdh","BGdh_OR","Oregon Dry Hot BG","Bunchgrass","Dry Hot","Oregon","SE Oregon & S Idaho & N Nevada","BG  xhy","USA","OR",""
"3",5,"+","USA_2019","BG","BG","BGdw","BGdw_OR","Dry Warm Oregon BG","Bunchgrass","Dry Warm","Oregon","NE Oregon","","USA","OR",""
"4",6,"-","USA_2019","BG","BG","BGdw","BGdw_OR","Oregon Dry Warm BG","Bunchgrass","Dry Warm","Oregon","NE Oregon","","USA","OR",""
"5",7,"+","USA_2019","BG","BG","BGdw","BGdw_WA","Dry Warm Washington BG","Bunchgrass","Dry Warm","Washington","C Washington","BG  mmz","USA","WA",""
"6",8,"-","USA_2019","BG","BG","BGdw","BGdw_WA","Washington Dry Warm BG","Bunchgrass","Dry Warm","Washington","C Washington","BG  mmz","USA","WA",""
"7",9,"+","USA_2019","BG","BG","BGmk","BGmk_MT","Moist Cool Montana BG","Bunchgrass","Moist Cool","Montana","SW Montana, EC Idaho","BG  mmx","USA","MT",""
"8",10,"-","USA_2019","BG","BG","BGmk","BGmk_MT","Montana Moist Cool BG","Bunchgrass","Moist Cool","Montana","SW Montana & EC Idaho","BG  mmx","USA","MT",""
"9",11,"+","USA_2019","BG","BG","BGmk","BGmk_NV","Moist Cool Nevada BG","Bunchgrass","Moist Cool","Nevada","N Nevada, S Oregon, S Idaho","","USA","NV",""
"10",12,"-","USA_2019","BG","BG","BGmk","BGmk_NV","Nevada Moist Cool BG","Bunchgrass","Moist Cool","Nevada","N Nevada & S Oregon & S Idaho","","USA","NV",""
"11",13,"+","USA_2019","BG","BG","BGmm","BGmm_MT","Moist Mild Montana BG","Bunchgrass","Moist Mild","Montana","E Wyoming, S Montana","","USA","MT",""
"12",14,"-","USA_2019","BG","BG","BGmm","BGmm_MT","Montana Moist Mild BG","Bunchgrass","Moist Mild","Montana","Wyoming & S Montana","","USA","MT",""
"13",15,"+","USA_2019","BG","BG","BGmw","BGmw_OR","Moist Warm Oregon BG","Bunchgrass","Moist Warm","Oregon","NE Oregon","","USA","OR",""
"14",16,"-","USA_2019","BG","BG","BGmw","BGmw_OR","Oregon Moist Warm BG","Bunchgrass","Moist Warm","Oregon","NE Oregon","","USA","OR",""
"15",17,"+","USA_2019","BG","BG","BGmw","BGmw_WA","Moist Warm Washington BG","Bunchgrass","Moist Warm","Washington","C Washington","BG  dwz","USA","WA",""
"16",18,"-","USA_2019","BG","BG","BGmw","BGmw_WA","Washington Moist Warm BG","Bunchgrass","Moist Warm","Washington","C Washington","BG  dwz","USA","WA",""
"17",19,"-","USA_2019","BG","BG","BGwm","BGwm_WA","Washington Wet Mild BG","Bunchgrass","Wet Mild","Washington","C Washington ","BG  wmz","USA","WA",""
"18",20,"+","USA_2019","BG","BG","BGwm","BGwm_WA","Wet Mild Washington BG","Bunchgrass","Wet Mild","Washington","C Washington","BG  wmz","USA","WA",""
"19",24,"+","USA_2019","BG","BG","BGxh","BGxh_WA","Very Dry Hot Washington BG","Bunchgrass","Very Dry Hot","Washington","C Washington","BG  xhz","USA","WA",""
"20",25,"-","USA_2019","BG","BG","BGxh","BGxh_WA","Washington Very Dry Hot BG","Bunchgrass","Very Dry Hot","Washington","C Washington","BG  xhz","USA","WA",""
"21",28,"+","USA_2019","BG","BG","BGxx","BGxx_WY","Very Dry Very Hot Wyoming BG","Bunchgrass","Very Dry Very Hot","Wyoming","SW Wyoming","","USA","WY",""
"22",29,"-","USA_2019","BG","BG","BGxx","BGxx_WY","Wyoming Very Dry Extremely Cold BG","Bunchgrass","Very Dry Extremely Cold","Wyoming","","","USA","WY",""
"23",30,"+","USA_2026","BG","BG","BGxxx","BGxxx_WY","Very Very Dry Very Hot Wyoming BG","Bunchgrass","Very Very Dry Very Hot","WY","C & NC Wyoming","","USA","WY",""
"24",55,"+","USA_2019","CCH","CCH","CCHun","CCHun_CA","California CCH","California Chaparral ","","California","WC & SW California ","CCH un","USA","CA",""
"25",56,"-","USA_2019","CCH","CCH","CCHun","CCHun_CA","California Undifferentiated CCH","California Chaparrel","Undifferentiated","California","N California","CCH un","USA","CA",""
"26",58,"+","USA_2019","CDF","CDF","CDFmm","CDFmm_OR","Moist Maritime Oregon CDF","Coastal Douglas-fir","Moist Maritime","Oregon","W Oregon","CDF dmz","USA","OR",""
"27",59,"-","USA_2019","CDF","CDF","CDFmm","CDFmm_OR","Oregon Moist Maritime CDF","Coastal Douglas-fir","Moist Maritime","Oregon","NW Oregon","CDF dmz","USA","OR",""
"28",60,"+","USA_2019","CDF","CDF","CDFmm","CDFmm_WA","Moist Maritime Washington CDF","Coastal Douglas-fir","Moist Maritime","Washington","NW Washington","CDF mmz","USA","WA",""
"29",61,"-","USA_2019","CDF","CDF","CDFmm","CDFmm_WA","Washington Moist Maritime CDF","Coastal Douglas-fir","Moist Maritime","Washington","SW BC & NW Washington","CDF mmz","USA","WA",""
"30",62,"-","USA_2019","CDF","CDF","CDFxm","CDFxm_CA","California Very Dry Maritime CDF","Coastal Douglas-fir","Very Dry Maritime","California","SW Oregon & NC California","CDF xmz","USA","CA",""
"31",63,"+","USA_2019","CDF","CDF","CDFxm","CDFxm_CA","Very Dry Maritime California CDF","Coastal Douglas-fir","Very Dry Maritime","California","SW Oregon, N California","CDF xmz","USA","CA",""
"32",65,"+","USA_2019","CMA","CMA","CMAun","CMAun_CA","California CMA","Coastal Mountain-heather Alpine","","California","EC California","CMA us","USA","CA",""
"33",66,"-","USA_2019","CMA","CMA","CMAun","CMAun_CA","California Undifferentiated CMA","Coastal Mountain-heather Alpine","Undifferentiated","California","California","CMA us","USA","CA",""
"34",67,"+","USA_2019","CMA","CMA","CMAun","CMAun_OR","Oregon CMA","Coastal Mountain-heather Alpine","","Oregon","W Oregon","CMA us","USA","OR",""
"35",68,"-","USA_2019","CMA","CMA","CMAun","CMAun_OR","Oregon Undifferentiated CMA","Coastal Mountain-heather Alpine","Undifferentiated","Oregon","Oregon","CMA us","USA","OR",""
"36",69,"+","USA_2019","CMA","CMA","CMAun","CMAun_WA","Washington CMA","Coastal Mountain-heather Alpine","","Washington","W Washington","CMA us","USA","WA",""
"37",70,"-","USA_2019","CMA","CMA","CMAun","CMAun_WA","Washington Undifferentiated CMA","Coastal Mountain-heather Alpine","Undifferentiated","Washington","Washington","CMA us","USA","WA",""
"38",73,"+","USA_2019","CMX","CMX","CMXdm","CMXdm_OR","Dry Maritime Oregon CMX","Coastal Mixed Evergreen","Dry Maritime","Oregon","SW Oregon, NW California","CMX dmz","USA","OR",""
"39",74,"-","USA_2019","CMX","CMX","CMXdm","CMXdm_OR","Oregon Dry Maritime CMX","Coastal Mixed Evergreen","Dry Maritime","Oregon","SW Oregon & NW California","CMX dmz","USA","OR",""
"40",75,"+","USA_2023","CMX","CMX","CMXmm","CMXmm_OR","Moist Maritime Oregon CMX","Coastal Mixed Evergreen","Moist Maritime","Oregon","SW Oregon, NW California","","USA","OR",""
"41",76,"-","USA_2023","CMX","CMX","CMXmm_OR","CMXmm_OR","Oregon Moist Maritime CMX","Coastal Mixed Evergreen","Moist Maritime","Oregon","SW Oregon & NW California","","USA","OR",""
"42",77,"-","USA_2019","CMX","CMX","CMXwm","CMXwm_OR","Oregon Wet Maritime CMX","Coastal Mixed Evergreen","Wet Maritime","Oregon","SW Oregon & NW California","CMX wmz","USA","OR",""
