"","SS_NoSpace","chng_type","SiteSeriesLongName","SpecialCode","Special"
"1","BAFAun/00","+","",NA,NA
"2","BAFAunp/00","+","",NA,NA
"3","BGxh1/Gg","+","","Gg","grassland "
"4","BGxh2/Fm05","+","","Fm","mid fluvial bench"
"5","BGxh2/Gg","+","","Gg","grassland "
"6","BGxh2/Gs","+","","Gs","shrub-steppe"
"7","BGxh3/Fm01","+","","Fm","mid fluvial bench"
"8","BGxh3/Gg","+","","Gg","grassland "
"9","BGxh3/Ro","+","","Ro","rock outcrop"
"10","BGxh3/Ro","+","","Ro","rocky outcrop"
"11","BGxw1/Gg","+","","Gg","grassland "
"12","BGxw1/Ro","+","","Ro","rock outcrop"
"13","BGxw1/Ro","+","","Ro","rocky outcrop"
"14","BGxw2/Gg","+","","Gg","grassland "
"15","BGxw2/Ro","+","","Ro","rock outcrop"
"16","BGxw2/Ro","+","","Ro","rocky outcrop"
"17","BWBSdk/Gb","+","","Gb","brushland"
"18","BWBSdk/Gg","+","","Gg","grassland "
"19","BWBSdk/Ro","+","","Ro","rock outcrop"
"20","BWBSdk/Ro","+","","Ro","rocky outcrop"
"21","BWBSmk/Gg","+","","Gg","grassland "
"22","BWBSmk/Ro","+","","Ro","rock outcrop"
"23","BWBSmk/Ro","+","","Ro","rocky outcrop"
"24","BWBSmw/Gg","+","","Gg","grassland "
"25","BWBSmw/Ro","+","","Ro","rock outcrop"
"26","BWBSmw/Ro","+","","Ro","rocky outcrop"
"27","BWBSvk/h","+","",NA,NA
"28","BWBSvk/m","+","",NA,NA
"29","BWBSvk/x","+","",NA,NA
"30","BWBSwk1/Ro","+","","Ro","rock outcrop"
"31","BWBSwk1/Ro","+","","Ro","rocky outcrop"
"32","BWBSwk2/Gg","+","","Gg","grassland "
"33","BWBSwk2/Ro","+","","Ro","rock outcrop"
"34","BWBSwk2/Ro","+","","Ro","rocky outcrop"
"35","BWBSwk3/Ro","+","","Ro","rock outcrop"
"36","BWBSwk3/Ro","+","","Ro","rocky outcrop"
"37","CDFmm/Fm51","+","","Fm","mid fluvial bench"
"38","CDFmm/Fm52","+","","Fm","mid fluvial bench"
"39","CDFmm/Gg","+","","Gg","grassland "
"40","CDFmm/Ro","+","","Ro","rock outcrop"
"41","CDFmm/Ro","+","","Ro","rocky outcrop"
"42","CDFmm/Wf","+","","Wf","wetland fen"
"43","CDFmm/Wm","+","","Wm","wetland marsh"
"44","CMAun/00","+","",NA,NA
"45","CMAunp/00","+","",NA,NA
"46","CMAwh/00","+","",NA,NA
"47","CWHdm1/Fm51","+","","Fm","mid fluvial bench"
"48","CWHdm1/Fm52","+","","Fm","mid fluvial bench"
"49","CWHdm1/Ro","+","","Ro","rock outcrop"
"50","CWHdm1/Ro","+","","Ro","rocky outcrop"
"51","CWHdm1/Wsxx","+","","Ws","wetland swamp"
"52","CWHdm2/Fm51","+","","Fm","mid fluvial bench"
"53","CWHdm2/Fm52","+","","Fm","mid fluvial bench"
"54","CWHdm2/Ro","+","","Ro","rock outcrop"
"55","CWHdm2/Ro","+","","Ro","rocky outcrop"
"56","CWHdm2/Ws","+","","Ws","wetland swamp"
