"","SS_NoSpace","chng_type","SiteSeriesLongName","SpecialCode","Special"
"43","BWBSdk/Ws15","+","SwSb – Labrador tea – Glow moss","",""
"44","BWBSmk/103","+","SwPl – Soopolallie – Fuzzy-spiked wildrye","IN","insolation"
"45","BWBSmk/104","+","Sb – Labrador tea – Step moss","CA","cold aspects - cold air"
"46","BWBSmk/104a","+","Sb – Labrador tea – Step moss; Freely drained phase","CA","cold aspects - cold air"
"47","BWBSmk/104b","+","Sb – Labrador tea – Step moss; Imperfectly/poorly drained phase","CA","cold aspects - cold air"
"48","BWBSmk/111","+","Sw – Mountain alder – Horsetail","Fh","high fluvial bench"
"49","BWBSmk/112","+","AcbSw – Mountain alder – Dogwood","Fm","mid fluvial bench"
"50","BWBSmk/Fm20","+","Balsam Poplar – Spruce – Mountain alder – Dogwood","Fm","mid fluvial bench"
"51","BWBSmk/Wb03","+","Sb – Lingonberry – Peat moss","",""
"52","BWBSmk/Wb05","+","Sb – Water sedge – Peat moss","",""
"53","BWBSmk/Wb06","+","Lt – Water sedge – Fen moss","",""
"54","BWBSmk/Wb09","+","Sb – Common horsetail – Peat moss","",""
"55","BWBSmk/Wf18","+","Lt – Buckbean – Shore sedge","",""
"56","BWBSmk/Ws15","+","SwSb – Labrador tea – Glow moss","",""
"57","BWBSmw/103","+","SwPl – Soopolallie – Fuzzy-spiked wildrye","IN","insolation"
"58","BWBSmw/103","-","SwPl – Soopolallie – Fuzzy-spiked wildrye","IN","Insolation"
"59","BWBSmw/104","+","Sb – Labrador tea – Step moss","CA","cold aspects - cold air"
"60","BWBSmw/104","-","Sb – Labrador tea – Step moss","CA","Cool aspects/cold air"
"61","BWBSmw/111","+","Sw – Currant – Horsetail","Fh","high fluvial bench"
"62","BWBSmw/111","-","Sw – Currant – Horsetail","Fh","High fluvial bench"
"63","BWBSmw/112","+","AcbSw – Mountain alder – Dogwood","Fm","mid fluvial bench"
"64","BWBSmw/Fm20","+","Balsam Poplar – Spruce – Mountain alder – Dogwood","Fm","mid fluvial bench"
"65","BWBSmw/Wb01","+","Sb – Creeping-snowberry – Sphagnum","",""
"66","BWBSmw/Wb03","+","Sb – Lingonberry – Peat moss","",""
"67","BWBSmw/Wb05","+","Sb – Water sedge – Peat moss","",""
"68","BWBSmw/Wb06","+","Lt – Water sedge – Fen moss","",""
"69","BWBSmw/Wb09","+","Sb – Common horsetail – Peat moss","",""
"70","BWBSmw/Wf18","+","Lt – Buckbean – Shore sedge","",""
"71","BWBSmw/Ws15","+","SwSb – Labrador tea – Glow moss","",""
"72","BWBSwk1/103","+","SwPl – Soopollalie – Showy aster","IN","insolation"
"73","BWBSwk1/103","-","SwPl – Soopollalie – Showy aster","IN","Insolation"
"74","BWBSwk1/104","+","Sb – Huckleberry – Lingonberry","CA","cold aspects - cold air"
"75","BWBSwk1/104","-","Sb – Huckleberry – Lingonberry","CA","Cool aspects/cold air"
"76","BWBSwk1/111","+","Sb – Horsetail – Step moss","CA","cold aspects - cold air"
"77","BWBSwk1/111","-","Sb – Horsetail – Step moss","CA","Cold air/Frost"
"78","BWBSwk1/Wb06","+","Lt – Water sedge – Fen moss","",""
"79","BWBSwk1/Wb09","+","Sb – Common horsetail – Peat moss","",""
"80","BWBSwk2/103","+","SwPl – Soopolallie – Fuzzy-spiked wildrye","IN","insolation"
"81","BWBSwk2/103","-","SwPl – Soopolallie – Fuzzy-spiked wildrye","IN","Insolation"
"82","BWBSwk2/104","+","Sb – Huckleberry – Lingonberry","CA","cold aspects - cold air"
"83","BWBSwk2/104","-","Sb – Huckleberry – Lingonberry","CA","Cool aspects/cold air"
"84","BWBSwk2/111","+","Sw – Currant – Horsetail","Fh","high fluvial bench"
"85","BWBSwk2/111","-","Sw – Currant – Horsetail","Fh","High fluvial bench"
"86","BWBSwk3/103","+","Sb – Huckleberry – Lingonberry","CA","cold aspects - cold air"
"87","BWBSwk3/103","-","Sb – Huckleberry – Lingonberry","CA","Cool aspects/cold air"
"88","CDFmm/102.1","+","FdcRa – Heron's-bill mosses – Rock mosses; Typic variation","",""
"89","CDFmm/102.1","-","FdcRa – Heron's-bill mosses – Rock mosses","",""
"90","CDFmm/102.2","+","FdcRa – Heron's-bill mosses – Rock mosses; Selaginella variation","",""
"91","CDFmm/102.2","-","FdcRa – Heron's-bill mosses – Rock mosses","",""
"92","CDFmm/103","-","Qg – Broad-leaved stonecrop – Heron's-bill mosses","",""
"93","CDFmm/106","-","Qg – Oceanspray – Polypody ferns","",""
"94","CDFmm/112a","+","CwBg – Sword fern – Foamflower; Typic phase","",""
"95","CDFmm/112a","-","CwBg – Sword fern – Foamflower","",""
"96","CDFmm/112b","+","CwBg – Sword fern – Foamflower; Fluctuating water table phase","FWT","fluctuating water table"
"97","CDFmm/112b","-","CwBg – Sword fern – Foamflower","FWT","fluctuating water table"
"98","CDFmm/Fl51","-","Dr – Salmonberry – Horsetail","Fl","Fl"
"99","CDFmm/Fm53","+","ActDr – Salmonberry – Lily-of-the-Valley","Fm","mid fluvial bench"
"100","CDFmm/Fm53","-","ActDr – Salmonberry – Lily-of-the-Valley","Fm","Fm"
"101","CDFmm/Fm54","+","MbDr – Salmonberry – Sword fern","Fm","mid fluvial bench"
"102","CDFmm/Fm54","-","MbDr – Salmonberry – Sword fern","Fm","Fm"
"103","CDFmm/Wb55","+","Plc – Labrador tea – Peat mosses","",""
"104","CDFmm/Wb55.1","+","Plc – Labrador tea – Peat mosses; Typic variation","",""
"105","CDFmm/Wb55.2","+","Plc – Labrador tea – Peat mosses; Bog blueberry variation","",""
"106","CDFmm/Wb56","+","PlcHw – Salal – Peat mosses","",""
"107","CDFmm/Ws52","-","Dr – Skunk cabbage","",""
"108","CDFmm/Ws57","+","CwHw – Skunk cabbage","",""
