"","SS_NoSpace","chng_type","SiteSeriesLongName","SpecialCode","Special"
"1","CWHvh2/120","+","Ss – Salal – Beaked mosses","","salt spray"
"2","CWHvh2/120","-","Ss – Salal – Beaked mosses","",""
