Source,Zone,SubzoneGroup,Subzone,BGC,BGCName,ZoneName,SubzoneName,VariantName,General Location,OldSubzoneLabel,DataSet,State,Notes
AB_2018,IMA,IMA,IMAab,IMAab,Alberta IMA,Interior Mountain-heather Alpine,Alberta,,Alberta Rocky Mountains,AT  ab,AB,AB,
USA_2019,BG,BG,BGmw,BGmw_WA,Washington Moist Warm BG,Bunchgrass,Moist Warm,Washington,C Washington,BG  dwz,USA,WA,
USA_2019,BG,BG,BGmk,BGmk_MT,Montana Moist Cool BG,Bunchgrass,Moist Cool,Montana,SW Montana & EC Idaho,BG  mmx,USA,MT,
USA_2019,BG,BG,BGdw,BGdw_WA,Washington Dry Warm BG,Bunchgrass,Dry Warm,Washington,C Washington,BG  mmz,USA,WA,
USA_2019,BG,BG,BGwm,BGwm_WA,Washington Wet Mild BG,Bunchgrass,Wet Mild,Washington,C Washington ,BG  wmz,USA,WA,
USA_2019,BG,BG,BGdh,BGdh_OR,Oregon Dry Hot BG,Bunchgrass,Dry Hot,Oregon,SE Oregon & S Idaho & N Nevada,BG  xhy,USA,OR,
USA_2019,BG,BG,BGxh,BGxh_WA,Washington Very Dry Hot BG,Bunchgrass,Very Dry Hot,Washington,C Washington,BG  xhz,USA,WA,
AB_2020,BWBS,BWBS_cold,BWBSlb,BWBSlbN,Northern Lower Boreal Highlands BWBS,Boreal White and Black Spruce,Lower Boreal Highlands,Northern,,BWBSlb,AB,AB,
AB_2018,BSJP,BSJP,BSJPap,BSJPap,Athabasca Plain BSJP,Boreal Spruce and Jack Pine,Athabasca Plain,,NE Alberta,BWSPap,AB,AB,
AB_2020,BWBS,BWBS_meso,BWBScm,BWBScmC,Central Mixedwood BWBS,Boreal White and Black Spruce,Mixedwood,Central,N Alberta,BWSPcm,AB,AB,
AB_2020,BWBS,BWBS_meso,BWBScm,BWBScmE,Eastern Mixedwood BWBS,Boreal White and Black Spruce,Mixedwood,Eastern,N Alberta,BWSPcm,AB,AB,
AB_2020,BWBS,BWBS_meso,BWBScm,BWBScmNW,Northwestern Mixedwood BWBS,Boreal White and Black Spruce,Mixedwood,Northwestern,N Alberta,BWSPcm,AB,AB,
AB_2020,BWBS,BWBS_meso,BWBScm,BWBScmW,Western Mixedwood BWBS,Boreal White and Black Spruce,Mixedwood,Western,N Alberta,BWSPcm,AB,AB,
AB_2020,BWBS,BWBS_meso,BWBSdm,BWBSdmN,Northern Dry Mixedwood BWBS,Boreal White and Black Spruce,Dry Mixedwood,Northern,NW Alberta,BWSPdm,AB,AB,
AB_2020,BWBS,BWBS_meso,BWBSdm,BWBSdmS,Southern Dry Mixedwood BWBS,Boreal White and Black Spruce,Dry Mixedwood,Southern,NW Alberta,BWSPdm,AB,AB,
AB_2020,BWBS,BWBS_cold,BWBSlb,BWBSlbE,Eastern Lower Boreal Highlands BWBS,Boreal White and Black Spruce,Lower Boreal Highlands,Eastern,WC Alberta,BWSPlb,AB,AB,
AB_2020,BWBS,BWBS_cold,BWBSlb,BWBSlbW,Western Lower Boreal Highlands BWBS,Boreal White and Black Spruce,Lower Boreal Highlands,Western,WC Alberta,BWSPlb,AB,AB,
AB_2018,BWBS,BWBS_meso,BWBSnm,BWBSnm,Northern Mixedwood BWBS,Boreal White and Black Spruce,Northern Mixedwood,,N Alberta,BWSPnm,AB,AB,
AB_2018,BSJP,BSJP,BSJPpa,BSJPpa,Peace - Athabasca Delta BSJP,Boreal Spruce and Jack Pine,Peace - Athabasca Delta,,NE Alberta,BWSPpa,AB,AB,
AB_2018,BWBS,BWBS_warm,BWBSpp,BWBSpp,Peace River Parkland BWBS,Boreal White and Black Spruce,Peace River Parkland,,WC Alberta,BWSPpp,AB,AB,
AB_2018,BWBS,BWBS_cold,BWBSub,BWBSub,Upper Boreal Highlands BWBS,Boreal White and Black Spruce,Upper Boreal Highlands,,WC Alberta,BWSPup,AB,AB,
USA_2019,CCH,CCH,CCHun,CCHun_CA,California Undifferentiated CCH,California Chaparrel,Undifferentiated,California,N California,CCH un,USA,CA,
USA_2019,CDF,CDF,CDFmm,CDFmm_OR,Oregon Moist Maritime CDF,Coastal Douglas-fir,Moist Maritime,Oregon,NW Oregon,CDF dmz,USA,OR,
USA_2019,CDF,CDF,CDFmm,CDFmm_WA,Washington Moist Maritime CDF,Coastal Douglas-fir,Moist Maritime,Washington,SW BC & NW Washington,CDF mmz,USA,WA,
USA_2019,CDF,CDF,CDFxm,CDFxm_CA,California Very Dry Maritime CDF,Coastal Douglas-fir,Very Dry Maritime,California,SW Oregon & NC California,CDF xmz,USA,CA,
USA_2019,CMA,CMA,CMAun,CMAun_CA,California Undifferentiated CMA,Coastal Mountain-heather Alpine,Undifferentiated,California,California,CMA us,USA,CA,
USA_2019,CMA,CMA,CMAun,CMAun_OR,Oregon Undifferentiated CMA,Coastal Mountain-heather Alpine,Undifferentiated,Oregon,Oregon,CMA us,USA,OR,
USA_2019,CMA,CMA,CMAun,CMAun_WA,Washington Undifferentiated CMA,Coastal Mountain-heather Alpine,Undifferentiated,Washington,Washington,CMA us,USA,WA,
USA_2019,CMX,CMX,CMXxm,CMXxm_CA,California Very Dry Maritime CMX,Coastal Mixed Evergreen,Very Dry Maritime,California,California,CMX dmy,USA,CA,
USA_2019,CMX,CMX,CMXdm,CMXdm_OR,Oregon Dry Maritime CMX,Coastal Mixed Evergreen,Dry Maritime,Oregon,SW Oregon & NW California,CMX dmz,USA,OR,
USA_2019,CMX,CMX,CMXwm,CMXwm_OR,Oregon Wet Maritime CMX,Coastal Mixed Evergreen,Wet Maritime,Oregon,SW Oregon & NW California,CMX wmz,USA,OR,
USA_2019,CRF,CRF,CRFdh,CRFdh_CA,California Dry Hypermaritime CRF,Coastal Redwood Forest,Dry Hypermaritime,California,N California,CRF dhz,USA,CA,
USA_2019,CVG,CVG,CVGdm,CVGdm_CA,Dry Mild CVG,California Valley Grassland,Dry Mild,,C California,CVG un,USA,CA,
USA_2019,CWF,CWF,CWFds,CWFds_CA,California Dry Submaritime CWF,Coastal White Fir,Dry Submaritime,California,EC California,CWF msz,USA,CA,
USA_2019,CWF,CWF,CWFwm,CWFwm_OR,Oregon Wet Maritime CWF,Coastal White Fir,Wet Maritime,Oregon,SW Oregon & NW California,CWF wmz,USA,OR,
USA_2019,CWF,CWF,CWFmm,CWFmm_OR,Oregon Moist Maritime CWF,Coastal White Fir,Moist Maritime,Oregon,SW Oregon & NW California,CWF wsz,USA,OR,
USA_2019,CWH,CWH_dry/continental,CWHdm,CWHdm_OR,Oregon Dry Maritime CWH,Coastal Western Hemlock,Dry Maritime,Oregon,W Oregon,CWH dmx,USA,OR,
USA_2019,CWH,CWH_dry/continental,CWHdm,CWHdm_WA,Washington Dry Maritime CWH,Coastal Western Hemlock,Dry Maritime,Washington,W Washington,CWH dmz,USA,WA,
USA_2019,CWH,CWH_dry/continental,CWHds,CWHds_WA,Washington Dry Submaritime CWH,Coastal Western Hemlock,Dry Submaritime,Washington,NW Washington,CWH dsz,USA,WA,
USA_2019,CWH,CWH_hypermaritime,CWHmh,CWHmh_OR,Oregon Moist Hypermaritime CWH,Coastal Western Hemlock,Moist Hypermaritime,Oregon,W Oregon,CWH mhz,USA,OR,
USA_2019,CWH,CWH_dry/continental,CWHms,CWHms_OR,Oregon Moist Submaritime CWH,Coastal Western Hemlock,Moist Submaritime,Oregon,W Oregon,CWH msy,USA,OR,
USA_2019,CWH,CWH_dry/continental,CWHms,CWHms_WA,Washington Moist Submaritime CWH,Coastal Western Hemlock,Moist Submaritime,Washington,W Washington,CWH msz,USA,WA,
USA_2019,CWH,CWH_hypermaritime,CWHvh,CWHvh_WA,Washington Very Wet Hypermaritime CWH,Coastal Western Hemlock,Very Wet Hypermaritime,Washington,W Washington,CWH vhz,USA,WA,
USA_2019,CWH,CWH_meso,CWHvm,CWHvm_OR,Oregon Very Wet Maritime CWH,Coastal Western Hemlock,Very Wet Maritime,Oregon,W Washington & Oregon ,CWH vmy,USA,OR,
