,bgc,ss_nospace,sppsplit,suitability,spp,newsuit,mod,outrange
1,BAFAun,BAFAun/00,X,NA,X,NA,,FALSE
2,BAFAunp,BAFAunp/00,X,NA,X,NA,,FALSE
3,BGdh_OR,BGdh_OR/110,Ju,1,Ju,1,,FALSE
4,BGdh_OR,BGdh_OR/110,Jw,3,Jw,3,,FALSE
5,BGdh_OR,BGdh_OR/110,Pn,3,Pn,5,WHM,FALSE
6,BGdh_OR,BGdh_OR/111,Aa,1,Aa,1,D6,FALSE
7,BGdh_OR,BGdh_OR/111,Act,5,Ac,5,D6,FALSE
8,BGdh_OR,BGdh_OR/111,Pyi,5,Py,5,D6,FALSE
9,BGdh_OR,BGdh_OR/Gg2,Ju,3,Ju,3,C4,FALSE
10,BGdh_OR,BGdh_OR/Gg2,Jw,3,Jw,3,C4,FALSE
11,BGdh_OR,BGdh_OR/Gg1,X,NA,X,NA,,FALSE
12,BGdh_OR,BGdh_OR/Ro,X,NA,X,NA,,FALSE
13,BGdw_OR,BGdw_OR/110,Fdi,1,Fd,1,,FALSE
14,BGdw_OR,BGdw_OR/110,Pyi,1,Py,1,,FALSE
15,BGdw_OR,BGdw_OR/111,Act,2,Ac,2,,FALSE
16,BGdw_OR,BGdw_OR/Gg,X,NA,X,NA,,FALSE
17,BGdw_OR,BGdw_OR/Ro,X,NA,X,NA,,FALSE
18,BGdw_WA,BGdw_WA/110,Fdi,1,Fd,1,,FALSE
19,BGdw_WA,BGdw_WA/110,Pyi,1,Py,1,,FALSE
20,BGdw_WA,BGdw_WA/111,Act,2,Ac,2,D6,FALSE
21,BGdw_WA,BGdw_WA/Gg,X,NA,X,NA,,FALSE
22,BGdw_WA,BGdw_WA/Ro,X,NA,X,NA,,FALSE
23,BGmk_ID,BGmk_ID/110,At,1,At,1,,FALSE
24,BGmk_ID,BGmk_ID/110,Jr,3,Jr,3,,FALSE
25,BGmk_ID,BGmk_ID/110,Om,3,Om,3,,FALSE
26,BGmk_ID,BGmk_ID/111,Act,1,Ac,1,,FALSE
27,BGmk_ID,BGmk_ID/111,At,2,At,2,,FALSE
28,BGmk_ID,BGmk_ID/Gg,Jr,3,Jr,3,,FALSE
