SS_NoSpace,SiteSeriesLongName
CWHvm4/104,HmYc – Copperbush – Mountain-heaths
CWHvm4/110,HwBa – Blueberry – Foamflower
CWHvm4/111,HmBaYc – Salal – Deer fern
CWHvm4/112,HwBa – Devil's club – Oak fern
CWHvm4/113,HmYc – Goldthread – Peat mosses
CWHvm4/Ed02,Tufted hairgrass – Douglas' neoaster
CWHvm4/Ed04,Cow parsnip – Silverweed cinquefoil
CWHvm4/Ro61,Grey rock moss – Clad lichens
CWHvm4/Ro61.1,Grey rock moss – Clad lichens; Typic variation
CWHvm4/Ro61.2,Grey rock moss – Clad lichens; Parsley fern variation
CWHvm4/Ro62,Mountain-heather – Rock mosses
CWHvm4/Vh60,Lady fern – Cow parsnip – Goatsbeard
CWHvm4/Vs60,Sitka alder – Salmonberry – Lady fern
CWHvm4/Vs60.1,Sitka alder – Salmonberry – Lady fern; Typic variation
CWHvm4/Vs60.2,Sitka alder – Salmonberry – Lady fern; Salmonberry variation
CWHvm4/Wb51,Plc – Crowberry – Peat mosses
CWHvm4/Wb53,PlcYc – Tufted clubrush
CWHvm4/Wb53.2,PlcYc – Tufted clubrush; Tall shrub variation
CWHvm4/Wb53.3,PlcYc – Tufted clubrush; Low shrub variation
CWHvm4/Wb58,YcHm – Narrow-leaved cotton-grass – Peat mosses
CWHvm4/Wf50,Narrow-leaved cotton-grass – Peat mosses
CWHvm4/Wf51,Sitka sedge – Peat mosses
CWHvm4/Ws54,CwHw – Azalea – Skunk cabbage
CWHvm4/Ws54.1,CwHw – Azalea – Skunk cabbage; Typic variation
CWHvm4/Ws55,YcHm – Skunk cabbage
CWHvm4/Ws56,SsHw – Skunk cabbage
CWHvm4/Ws56.2,SsHw – Skunk cabbage; CwSs variation
CWHvm4/Ws56.3,SsHw – Skunk cabbage; HwSs variation
CWHwh1/101,HwSs – Lanky moss
CWHwh1/101a,HwSs – Lanky moss; Mesic phase
CWHwh1/101b,HwSs – Lanky moss; Moister phase
CWHwh1/102,CwHw – Salal – Oregon beaked moss
CWHwh1/103,Ss – Salal
CWHwh1/103.1,Ss – Salal ; typic variation
CWHwh1/103.2,Ss – Salal; reedgrass variation
CWHwh1/104,SsHw – Oregon beaked moss
CWHwh1/105,CwSs – Sword fern
CWHwh1/105a,CwSs – Sword fern; Colluvial/morainal phase
CWHwh1/105b,CwSs – Sword fern; Limestone phase
CWHwh1/110,CwHw – Salal – Deer fern
CWHwh1/110a,CwHw – Salal – Deer fern; Podzolic phase
CWHwh1/110b,CwHw – Salal – Deer fern; Gleysolic/organic phase
CWHwh1/111,CwSs – Foamflower
CWHwh1/111a,CwSs – Foamflower; Colluvial/morainal phase
CWHwh1/111b,CwSs – Foamflower; Alluvial fan phase
CWHwh1/111c,CwSs – Foamflower; Limestone phase
CWHwh1/112,Ss – Lily-of-the-valley
CWHwh1/113,Ss – Trisetum
CWHwh1/114,Dr – Trisetum
CWHwh1/115,CwYc – Salal – Goldthread
CWHwh1/116,CwSs – Snake liverwort
CWHwh1/117,Ss – Pacific crabapple – Slough sedge
CWHwh1/118,CwSs – Skunk cabbage
CWHwh1/118a,CwSs – Skunk cabbage; Mineral phase
CWHwh1/118b,CwSs – Skunk cabbage; Organic phase
CWHwh1/Bb01,American searocket – Seabeach sandwort
CWHwh1/Bb02,Dune lymegrass
CWHwh1/Bb02$1,European beachgrass
CWHwh1/Bb03,Large-headed sedge – Dune bluegrass
CWHwh1/Ed01,Tufted hairgrass – Meadow barley
CWHwh1/Ed03,Arctic rush – Alaska plantain
CWHwh1/Em01,Sea ditch-grass
CWHwh1/Em02,Pacific glasswort – Saltgrass
CWHwh1/Wb51,Plc – Crowberry – Austin's peat moss
CWHwh1/Wb51.1,Plc – Crowberry – Austin's peat moss; Tall shrub variation
CWHwh1/Wb51.2,Plc – Crowberry – Austin's peat moss; Wooded variation
CWHwh1/Wb53,PlcYc – Tufted clubrush
CWHwh1/Wb53.1,PlcYc – Tufted clubrush; Wooded variation
CWHwh1/Wb53.2,PlcYc – Tufted clubrush; Tall shrub variation
CWHwh1/Wf51,Sitka sedge – Peat mosses
CWHwh1/Wf52,Sweet gale – Sitka sedge
CWHwh1/Wm50,Sitka sedge – Water-parsley
CWHwh2/101,HwSs – Lanky moss
CWHwh2/101a,HwSs – Lanky moss; Mesic phase
CWHwh2/101b,HwSs – Lanky moss; Drier phase
CWHwh2/101c,HwSs – Lanky moss; Moister phase
CWHwh2/110,SsYc – Oak fern
CWHwh2/111,YcHm – Goldthread
CWHwh2/112,SsYc – Hellebore – Snake liverwort
CWHwh2/112a,SsYc – Hellebore – Snake liverwort; Hygric phase
CWHwh2/112b,SsYc – Hellebore – Snake liverwort ; Subhydric phase
CWHwh2/Wb53,PlcYc – Tufted clubrush
CWHwm/101,HwSs – Blueberry – Lanky moss
CWHwm/101a,HwSs – Blueberry – Lanky moss; Typic phase
CWHwm/101b,HwSs – Blueberry – Lanky moss; Subxeric phase
CWHwm/102,YcHm – Crowberry – Reindeer lichens
CWHwm/110,HwSs – Wood fern – Oak fern
CWHwm/111,HmYc – Azalea – Peat mosses
CWHwm/112,SsHw – Devil's club – Wood fern
CWHwm/112a,SsHw – Devil's club – Wood fern; Typic phase
CWHwm/112b,SsHw – Devil's club – Wood fern; Fluvial phase
CWHwm/113,SsHw – Salmonberry – Devil's club
CWHwm/Bb01,American searocket – Seabeach sandwort
CWHwm/Bb02,Dune lymegrass
CWHwm/Ed01,Tufted hairgrass – Meadow barley
CWHwm/Ed02,Tufted hairgrass – Douglas' neoaster
CWHwm/Em01,Sea ditch-grass
CWHwm/Em02,Pacific glasswort – Saltgrass
CWHwm/Em04,Seaside plantain – Dwarf alkaligrass
CWHwm/Em05,Lyngbye's sedge
CWHwm/Em06,Lyngbye's sedge – Water-hemlock
CWHwm/Em07,Common spikerush – Lyngbye's sedge
CWHwm/Es01,Crabapple – Lily-of-the-valley – Angelicas
CWHwm/Es02,Sitka willow – Lily-of-the-valley
CWHwm/Fl51,Dr – Salmonberry – Horsetail
CWHwm/Fl52,Sitka willow – Salmonberry – Horsetail
CWHwm/Fm50,ActDr – Salmonberry
CWHwm/Fm50.1,ActDr – Salmonberry; Salmonberry variation
CWHwm/Fm50.2,ActDr – Salmonberry; Devil's club variation
CWHwm/Fm51,ActDr – Dogwood – Devil's club
CWHwm/Ro61,Grey rock moss – Clad lichens
CWHwm/Ro61.1,Grey rock moss – Clad lichens; Typic variation
CWHwm/Ro61.2,Grey rock moss – Clad lichens; Parsley fern variation
CWHwm/Ro62,Mountain-heather – Rock mosses
CWHwm/Vh60,Lady fern – Cow parsnip – Goatsbeard
CWHwm/Vs60,Sitka alder – Salmonberry – Lady fern
CWHwm/Vs60.1,Sitka alder – Salmonberry – Lady fern; Typic variation
CWHwm/Vs60.2,Sitka alder – Salmonberry – Lady fern; Salmonberry variation
CWHwm/Wb51,Plc – Crowberry – Peat mosses
CWHwm/Wb53,PlcYc – Tufted clubrush
CWHwm/Wb53.3,PlcYc – Tufted clubrush; Low shrub variation
CWHwm/Wb57,PlcYc – Deer cabbage – Peat mosses
CWHwm/Wf50,Narrow-leaved cotton-grass – Peat mosses
CWHwm/Wf51,Sitka sedge – Peat mosses
CWHwm/Wf52,Sweet gale – Sitka sedge
CWHwm/Wf52.1,Sweet gale – Sitka sedge; Typic variation
CWHwm/Wf52.2,Sweet gale – Sitka sedge; Bluejoint reedgrass variation
CWHwm/Wm50,Sitka sedge – Water-parsley
CWHwm/Wm50.1,Sitka sedge – Water-parsley; Typic variation
CWHwm/Wm52,Water horsetail – Sitka sedge
CWHwm/Ws51,Sitka willow – Pacific willow – Skunk cabbage
CWHwm/Ws51.1,Sitka willow – Pacific willow – Skunk cabbage; Typic variation
CWHwm/Ws51.2,Sitka willow – Pacific willow – Skunk cabbage; Small-flowered bulrush variation
CWHwm/Ws55,YcHm – Skunk cabbage
CWHwm/Ws56,SsHw – Skunk cabbage
CWHwm/Ws56.3,SsHw – Skunk cabbage; HwSs variation
CWHwm/Ws60,Ss – Crabapple – Slough sedge
CWHws1/101,HwBa – Blueberry – Step moss
CWHws1/102,HwPl – Feather moss – Clad lichens
CWHws1/103,HwPl – Feather moss
CWHws1/110,HwBa – Oak fern – Wood fern
CWHws1/111,HwBa – Blueberry – Queen's cup
CWHws1/112,CwHw – Devil's club – Enchanter's-nightshade
CWHws1/113,SsHw – Salmonberry – Devil's club
CWHws1/Ed01,Tufted hairgrass – Meadow barley
CWHws1/Ed02,Tufted hairgrass – Douglas' neoaster
CWHws1/Ed04,Cow parsnip – Silverweed cinquefoil
CWHws1/Em01,Sea ditch-grass
CWHws1/Em02,Pacific glasswort – Saltgrass
CWHws1/Em05,Lyngbye's sedge
CWHws1/Em06,Lyngbye's sedge – Water-hemlock
CWHws1/Em07,Common spikerush – Lyngbye's sedge
CWHws1/Es01,Crabapple – Lily-of-the-valley – Angelicas
CWHws1/Es02,Sitka willow – Lily-of-the-valley
CWHws1/Fl51,Dr – Salmonberry – Horsetail
CWHws1/Fl52,Sitka willow – Salmonberry – Horsetail
CWHws1/Fm50,ActDr – Salmonberry
CWHws1/Fm50.1,ActDr – Salmonberry; Salmonberry variation
CWHws1/Ro61,Grey rock moss – Clad lichens
CWHws1/Ro61.1,Grey rock moss – Clad lichens; Typic variation
CWHws1/Ro61.2,Grey rock moss – Clad lichens; Parsley fern variation
CWHws1/Vs60,Sitka alder – Salmonberry – Lady fern
CWHws1/Vs60.1,Sitka alder – Salmonberry – Lady fern; Typic variation
CWHws1/Vs60.2,Sitka alder – Salmonberry – Lady fern; Salmonberry variation
CWHws1/Wb51,Plc – Crowberry – Peat mosses
CWHws1/Wb53,PlcYc – Tufted clubrush
CWHws1/Wb53.3,PlcYc – Tufted clubrush; Low shrub variation
CWHws1/Wf51,Sitka sedge – Peat mosses
CWHws1/Wf52,Sweet gale – Sitka sedge
CWHws1/Wf53,Slender sedge – White beakrush
CWHws1/Ws51,Sitka willow – Pacific willow – Skunk cabbage
CWHws1/Ws51.1,Sitka willow – Pacific willow – Skunk cabbage; Typic variation
CWHws1/Ws56,SsHw – Skunk cabbage
CWHws1/Ws56.2,SsHw – Skunk cabbage; CwSs variation
CWHws2/101,HwBa – Blueberry – Step moss
CWHws2/102,HwPl – Feather moss – Clad lichens
CWHws2/103,Hw – Blueberry – Step moss
CWHws2/110,HwBa – Oak fern – Wood fern
CWHws2/111,HwBa – Blueberry – Queen's cup
CWHws2/112,HwBa – Devil's club – Oak fern
CWHws2/113,BaHw – Salmonberry – Devil's club
CWHws2/114,Bl – Devil's club – Oak fern
CWHws2/Es02,Sitka willow – Lily-of-the-valley
CWHws2/Fl51,Dr – Salmonberry – Horsetail
CWHws2/Fm50,ActDr – Salmonberry
CWHws2/Fm50.2,ActDr – Salmonberry; Devil's club variation
CWHws2/Ro61,Grey rock moss – Clad lichens
CWHws2/Ro61.1,Grey rock moss – Clad lichens; Typic variation
CWHws2/Ro61.2,Grey rock moss – Clad lichens; Parsley fern variation
CWHws2/Vh60,Lady fern – Cow parsnip – Goatsbeard
CWHws2/Vs60,Sitka alder – Salmonberry – Lady fern
CWHws2/Vs60.1,Sitka alder – Salmonberry – Lady fern; Typic variation
CWHws2/Vs60.2,Sitka alder – Salmonberry – Lady fern; Salmonberry variation
CWHws2/Wb51,Plc – Crowberry – Peat mosses
CWHws2/Wf50,Narrow-leaved cotton-grass – Peat mosses
CWHws2/Wf51,Sitka sedge – Peat mosses
CWHws2/Ws56,SsHw – Skunk cabbage
CWHws2/Ws56.2,SsHw – Skunk cabbage; CwSs variation
CWHws2/Ws59,HmBl – Skunk cabbage
CWHws3/101,HwBa – Blueberry – Step moss
CWHws3/102,FdcPlHw – Kinnikinnick
CWHws3/103,HwFdc – Azalea – Falsebox
CWHws3/110,HwBa – Oak fern – Wood fern
CWHws3/111,HwBa – Azalea – Bunchberry
CWHws3/112,HwFdc – Devil's club – Oak fern
CWHws3/113,SsHw – Salmonberry – Devil's club
CWHws3/Bb01,American searocket – Seabeach sandwort
CWHws3/Bb02,Dune lymegrass
CWHws3/Ed01,Tufted hairgrass – Meadow barley
CWHws3/Ed02,Tufted hairgrass – Douglas' neoaster
CWHws3/Ed03,Arctic rush – Alaska plantain
CWHws3/Ed04,Cow parsnip – Silverweed cinquefoil
CWHws3/Em01,Sea ditch-grass
CWHws3/Em02,Pacific glasswort – Saltgrass
CWHws3/Em05,Lyngbye's sedge
CWHws3/Em06,Lyngbye's sedge – Water-hemlock
CWHws3/Em07,Common spikerush – Lyngbye's sedge
CWHws3/Es01,Crabapple – Lily-of-the-valley – Angelicas
CWHws3/Es02,Sitka willow – Lily-of-the-valley
CWHws3/Fl52,Sitka willow – Salmonberry – Horsetail
CWHws3/Fm50,ActDr – Salmonberry
CWHws3/Fm50.1,ActDr – Salmonberry; Salmonberry variation
CWHws3/Fm52,ActCw – Vine maple – Devil's club
CWHws3/Ro61,Grey rock moss – Clad lichens
CWHws3/Ro61.1,Grey rock moss – Clad lichens; Typic variation
CWHws3/Ro61.2,Grey rock moss – Clad lichens; Parsley fern variation
CWHws3/Vs60,Sitka alder – Salmonberry – Lady fern
CWHws3/Vs60.1,Sitka alder – Salmonberry – Lady fern; Typic variation
CWHws3/Vs60.2,Sitka alder – Salmonberry – Lady fern; Salmonberry variation
CWHws3/Wb51,Plc – Crowberry – Peat mosses
CWHws3/Wf51,Sitka sedge – Peat mosses
CWHws3/Wf52,Sweet gale – Sitka sedge
CWHws3/Ws50,Pink spirea – Sitka sedge
CWHws3/Ws51,Sitka willow – Pacific willow – Skunk cabbage
CWHws3/Ws51.2,Sitka willow – Pacific willow – Skunk cabbage; Small-flowered bulrush variation
CWHws3/Ws56,SsHw – Skunk cabbage
CWHws3/Ws56.2,SsHw – Skunk cabbage; CwSs variation
CWHws3/Ws58,CwHw – Slough sedge
CWHws3/Ws58.1,CwHw – Slough sedge; Typic variation
CWHxm1/Wb50,Labrador tea – Bog-laurel – Peat mosses
CWHxm1/Wf53,Slender sedge – White beakrush
CWHxm1/Wm05,Cattail
CWHxm1/Wm06,Soft-stemmed bulrush
CWHxm1/Wm09,Inflated sedge
CWHxm1/Wm50,Sitka sedge – Water-parsley
CWHxm1/Ws50,Pink spirea – Sitka sedge
CWHxm2/Wb50,Labrador tea – Bog-laurel – Peat mosses
CWHxm2/Wf53,Slender sedge – White beakrush
CWHxm2/Wm05,Cattail
CWHxm2/Wm51,Three-way marsh-sedge
CWHxm2/Ws50,Pink spirea – Sitka sedge
CWHxs/101,FdcHw – Dull Oregon-grape – Falsebox
CWHxs/101.1,FdcHw – Dull Oregon-grape – Falsebox; Typic variation
CWHxs/101.2,FdcHw – Dull Oregon-grape – Falsebox; Rhododendron variation
CWHxs/102,Fdc – Kinnikinnick – Feather moss – Reindeer lichens
CWHxs/103,Fdc – Dull Oregon-grape – Feather moss
CWHxs/103.1,Fdc – Dull Oregon-grape – Feather moss; Typic variation
CWHxs/103.2,Fdc – Dull Oregon-grape – Feather moss; Rhododendron variation
CWHxs/110,CwFdc – Vine maple – Dull Oregon-grape
CWHxs/111,Hw – Queen's cup
CWHxs/112,CwFdc – Vine maple – Foamflower
CWHxs/113,CwHw – Vine maple – Dogwood
CWHxs/Fl52,Sitka willow – Salmonberry – Horsetail
CWHxs/Fm52,ActCw – Vine maple – Devil's club
CWHxs/Ro60,Wallace's selaginella – Long rock moss
CWHxs/Ro60.2,Wallace's selaginella – Long rock moss; Parsley fern variation
CWHxs/Ro61,Grey rock moss – Clad lichens
CWHxs/Ro61.1,Grey rock moss – Clad lichens; Typic variation
CWHxs/Ro61.2,Grey rock moss – Clad lichens; Parsley fern variation
CWHxs/Wb55,Plc – Labrador tea – Peat mosses
CWHxs/Wf51,Sitka sedge – Peat mosses
CWHxs/Wf52,Sweet gale – Sitka sedge
CWHxs/Ws56,SsHw – Skunk cabbage
CWHxs/Ws56.1,SsHw – Skunk cabbage; CwHw variation
ESSFdc1/101,BlSe – Rhododendron – Valerian
ESSFdc1/102,BlPl – Huckleberry
ESSFdc1/103,BlPl – Falsebox – Grouseberry
ESSFdc1/104,Bl – Rhododendron – Grouseberry
ESSFdc1/110,BlSe – Rhododendron – Hellebore
ESSFdc1/111,Bl – Valerian – Foamflower
ESSFdc1/112,Se – Horsetail – Globeflower
ESSFdc1/112a,Se – Horsetail – Globeflower; Riparian phase
ESSFdc1/112b,Se – Valerian – Horsetail; Swamp phase
ESSFdc1/Ff01,Water birch – Red-osier dogwood – Rose
ESSFdc1/Ff01a,Water birch – Red-osier dogwood – Rose; Fringe phase
ESSFdc1/Fl05,Drummond's willow – Bluejoint
ESSFdc1/Ro06,Juniper – Stonecrop – Sandwort
ESSFdc1/Ro06.1,Juniper – Stonecrop – Sandwort
ESSFdc1/Ro06.2,Juniper – Kinnikinnick – Stonecrop – Sandwort
ESSFdc1/Ro10,Huckleberry – Rock moss – Haircap moss
ESSFdc1/Ro11,Grouseberry – Clad lichen
ESSFdc1/Rt01,Rocktripe – Green map
ESSFdc1/Rt07,Aspen – Juniper – Rocktripe
ESSFdc1/Rt07.1,Aspen – Juniper – Rocktripe; Aspen variation
ESSFdc1/Rt07.2,Juniper – Rocktripe
ESSFdc1/Vh02,Valerian – Hellebore – Fireweed
ESSFdc1/Vh02.1,Valerian – Hellebore – Fireweed
ESSFdc1/Vh10,Fireweed – Grouseberry
ESSFdc1/Vh11,Fireweed – Yarrow – Strawberry
ESSFdc1/Vs02,Sitka alder – Solomon's-seal
ESSFdc1/Vs03,Sitka alder – Hellebore
ESSFdc1/Vs10,Willow – Cow parsnip – Fireweed
ESSFdc1/Vs10.1,Sitka willow – Cow parsnip – Fireweed
ESSFdc1/Vs10.2,Barclay's willow – Cow parsnip – Fireweed
ESSFdc1/Vs12,Huckleberry – Rhododendron – Fireweed
ESSFdc1/Wb16,Sxw – Trapper's tea – Peat moss
ESSFdc1/Wf01,Water sedge – Beaked sedge
ESSFdc1/Wf03,Water sedge – Peat moss
ESSFdc1/Wf09,Few-flowered spikerush – Hook moss
ESSFdc1/Wf13,Narrow-leaved cotton-grass – Shore sedge
ESSFdc1/Wm01,Beaked sedge – Water sedge
ESSFdc1/Wm16,Bluejoint – Arrow-leaved groundsel
ESSFdc1/Ws08,Bl – Valerian – Horsetail
ESSFdc1/Ws08.1,Bl – Valerian – Horsetail
ESSFdc1/Ws08.2,SxwBl – Horsetail – Canby's Lovage
ESSFdc1/Ws13,Barclay's willow – Common horsetail – Arrow-leaved groundsel
ESSFdc2/101,BlSe – Rhododendron – Valerian
ESSFdc2/102,Pl – Juniper – Grouseberry – Clad lichens
ESSFdc2/103,Pl – Pinegrass – Grouseberry
ESSFdc2/104,BlPl – Grouseberry – Clad lichens
ESSFdc2/110,SeBl – Trapper's tea – Grouseberry
ESSFdc2/111,BlSe – Valerian – Globeflower
ESSFdc2/112,Se – Horsetail – Valerian
ESSFdc2/Ro06,Juniper – Stonecrop – Sandwort
ESSFdc2/Ro06.1,Juniper – Stonecrop – Sandwort
ESSFdc2/Ro06.2,Juniper – Kinnikinnick – Stonecrop – Sandwort
ESSFdc2/Ro11,Grouseberry – Clad lichen
ESSFdc2/Rt01,Rocktripe – Green map
ESSFdc2/Rt20,Spotted saxifrage – Clad lichen
ESSFdc2/Wb16,Sxw – Trapper's tea – Peat moss
ESSFdc2/Wf01,Water sedge – Beaked sedge
ESSFdc2/Wf02,Scrub birch – Water sedge
ESSFdc2/Wf03,Water sedge – Peat moss
ESSFdc2/Wf04,Barclay's willow – Water sedge – Glow moss
ESSFdc2/Wf06,Slender sedge – Buckbean
ESSFdc2/Wf07,Scrub birch – Buckbean – Shore sedge
ESSFdc2/Wf08,Shore sedge – Buckbean – Hook moss
ESSFdc2/Wf09,Few-flowered spikerush – Hook moss
ESSFdc2/Wf11,Tufted clubrush – Star moss
ESSFdc2/Wf12,Narrow-leaved cotton-grass – Marsh-marigold
ESSFdc2/Wf13,Narrow-leaved cotton-grass – Shore sedge
ESSFdc2/Wm01,Beaked sedge – Water sedge
ESSFdc2/Wm09,Inflated sedge
ESSFdc2/Wm16,Bluejoint – Arrow-leaved groundsel
ESSFdc2/Ws02,Mountain alder – Pink spirea – Sitka sedge
ESSFdc2/Ws04,Drummond's willow – Beaked sedge
ESSFdc2/Ws08,Bl – Valerian – Horsetail
ESSFdc2/Ws08.1,Bl – Valerian – Horsetail
ESSFdc2/Ws13,Barclay's willow – Common horsetail – Arrow-leaved groundsel
ESSFdc3/01,Bl – Rhododendron – Grouseberry
ESSFdc3/02,Juniper – Pinegrass
ESSFdc3/03,PlSe – Falsebox – Pinegrass
ESSFdc3/04,Bl – Grouseberry – Cladonia
ESSFdc3/05,Bl – Huckleberry – Feather moss
ESSFdc3/06,Bl – Gooseberry – Oak fern
ESSFdc3/07,Bl – Rhododendron – Valerian
ESSFdc3/08,Bl – Trapper's tea
ESSFdc3/09,Sedge – Sphagnum
ESSFdc3/Fl07,Water birch – Rose
ESSFdc3/Wf01,Water sedge – Beaked sedge
ESSFdc3/Wf02,Scrub birch – Water sedge
ESSFdc3/Wf04,Barclay's willow – Water sedge – Glow moss
ESSFdc3/Wf11,Tufted clubrush – Star moss
ESSFdc3/Wf13,Narrow-leaved cotton-grass – Shore sedge
ESSFdcp/Ag01,Timber oatgrass – Grouseberry – Sandwort
ESSFdcp/Ag03,Timber oatgrass – Kinnikinnick
ESSFdcp/Ro06,Juniper – Stonecrop – Sandwort
ESSFdcp/Ro06.1,Juniper – Stonecrop – Sandwort
ESSFdcp/Ro06.2,Juniper – Kinnikinnick – Stonecrop – Sandwort
ESSFdcw/101,Bl – Valerian – Woodrush
ESSFdcw/102,BlPa – Grouseberry
ESSFdcw/103,Bl – Rhododendron – Grouseberry
ESSFdcw/110,Bl – Valerian – Hellebore – Globeflower
ESSFdcw/Ag01,Timber oatgrass – Grouseberry – Sandwort
ESSFdcw/Ag03,Timber oatgrass – Kinnikinnick
ESSFdcw/Ro06,Juniper – Stonecrop – Sandwort
ESSFdcw/Ro06.1,Juniper – Stonecrop – Sandwort
ESSFdcw/Ro06.2,Juniper – Kinnikinnick – Stonecrop – Sandwort
ESSFdcw/Ro10,Huckleberry – Rock moss – Haircap moss
ESSFdcw/Ro11,Grouseberry – Clad lichen
ESSFdcw/Rt01,Rocktripe – Green map
ESSFdcw/Vh02,Valerian – Hellebore – Fireweed
ESSFdcw/Vh02.1,Valerian – Hellebore – Fireweed
ESSFdcw/Vh10,Fireweed – Grouseberry
ESSFdcw/Vh11,Fireweed – Yarrow – Strawberry
ESSFdcw/Vs03,Sitka alder – Hellebore
ESSFdcw/Vs10,Willow – Cow parsnip – Fireweed
ESSFdcw/Vs10.1,Sitka willow – Cow parsnip – Fireweed
ESSFdcw/Vs10.2,Barclay's willow – Cow parsnip – Fireweed
ESSFdcw/Wf01,Water sedge – Beaked sedge
ESSFdcw/Wf03,Water sedge – Peat moss
ESSFdcw/Wf04,Barclay's willow – Water sedge – Glow moss
ESSFdcw/Wf12,Narrow-leaved cotton-grass – Marsh-marigold
ESSFdcw/Wf13,Narrow-leaved cotton-grass – Shore sedge
ESSFdcw/Wm01,Beaked sedge – Water sedge
ESSFdcw/Wm16,Bluejoint – Arrow-leaved groundsel
ESSFdcw/Ws08.2,SeBl – Horsetail – Canby's Lovage
ESSFdcw/Ws13,Barclay's willow – Common horsetail – Arrow-leaved groundsel
ESSFdh1/101,BlBa – Huckleberry – Pipecleaner moss
ESSFdh1/102,FdBl – Falsebox – Rock mosses
ESSFdh1/103,BlPl – Falsebox – Grouseberry
ESSFdh1/104,FdBl – Falsebox – Pinegrass
ESSFdh1/110,SeBl(Ba) – Oak fern – Bramble
ESSFdh1/111,SeBl – Horsetail – Oak fern
ESSFdh1/Ro05,Juniper – Kinnikinnick – Penstemon
ESSFdh1/Ro05.1,Juniper – Kinnikinnick – Penstemon
ESSFdh1/Ro05.2,Juniper – Kinnikinnick – Penstemon – Screw moss
ESSFdh1/Ro06,Juniper – Stonecrop – Sandwort
ESSFdh1/Ro06.1,Juniper – Stonecrop – Sandwort
ESSFdh1/Ro06.2,Juniper – Kinnikinnick – Stonecrop – Sandwort
ESSFdh1/Ro11,Grouseberry – Clad lichen
ESSFdh1/Rt01,Rocktripe – Green map
ESSFdh1/Rt02,Rock moss – Clad lichen
ESSFdh1/Vh01,Cow parsnip – Fireweed – Nettle
ESSFdh1/Vh01.1,Cow parsnip – Fireweed – Nettle
ESSFdh1/Vh02,Valerian – Hellebore – Fireweed
ESSFdh1/Vh03,Lady fern – Hellebore – Valerian
ESSFdh1/Vh04,Valerian – Meadowrue – Waterleaf
ESSFdh1/Vs01,Sitka alder – Lady fern
ESSFdh1/Vs01.1,Sitka alder – Lady fern
ESSFdh1/Vs01.2,Sitka alder – Spiny wood fern
ESSFdh1/Vs02,Sitka alder – Solomon's-seal
ESSFdh1/Vs04,Sitka alder – Devil's club – Oak fern
ESSFdh1/Vs05,Sitka alder – Waterleaf
ESSFdh1/Vs10,Willow – Cow parsnip – Fireweed
ESSFdh1/Vs10.1,Sitka willow – Cow parsnip – Fireweed
ESSFdh1/Vs10.2,Barclay's willow – Cow parsnip – Fireweed
ESSFdh1/Vs11,Thimbleberry – Cow parsnip – Fireweed
ESSFdh1/Vs14,Saskatoon – Snowberry – Strawberry
ESSFdh1/Vs50,Sitka alder – Salmonberry
ESSFdh1/Wf01,Water sedge – Beaked sedge
ESSFdh1/Wf03,Water sedge – Peat moss
ESSFdh1/Wf04,Barclay's willow – Water sedge – Glow moss
ESSFdh1/Wf05,Slender sedge – Common hook moss
ESSFdh1/Wf06,Slender sedge – Buckbean
ESSFdh1/Wf07,Scrub birch – Buckbean – Shore sedge
ESSFdh1/Wf08,Shore sedge – Buckbean – Hook moss
ESSFdh1/Wf09,Few-flowered spikerush – Hook moss
ESSFdh1/Wf11,Tufted clubrush – Star moss
ESSFdh1/Wf12,Narrow-leaved cotton-grass – Marsh-marigold
ESSFdh1/Wf13,Narrow-leaved cotton-grass – Shore sedge
ESSFdh1/Wm01,Beaked sedge – Water sedge
ESSFdh1/Wm09,Inflated sedge
ESSFdh1/Wm16,Bluejoint – Arrow-leaved groundsel
ESSFdh1/Ws02,Mountain alder – Pink spirea – Sitka sedge
ESSFdh1/Ws07,Sxw – Horsetail – Leafy moss
ESSFdh1/Ws07.1,Sxw – Horsetail – Leafy moss; Typic variation
ESSFdh1/Ws07.2,Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation
ESSFdh1/Ws13,Barclay's willow – Common horsetail – Arrow-leaved groundsel
ESSFdk1/101,BlSe – Azalea
ESSFdk1/102,PlFd – Juniper – Douglas' maple
ESSFdk1/103,BlPl – Grouseberry
ESSFdk1/104,BlPl – Azalea – Grouseberry
ESSFdk1/110,BlSe – Azalea – Foamflower
ESSFdk1/111,Se – Horsetail – Bluejoint
ESSFdk1/111a,Se – Horsetail – Bluejoint; Riparian phase
ESSFdk1/111b,Se – Horsetail – Bluejoint; Swamp phase
ESSFdk1/Ag01,Timber oatgrass – Grouseberry – Sandwort
ESSFdk1/Fl01,Mountain alder – Common horsetail
ESSFdk1/Fl05,Drummond's willow – Bluejoint
ESSFdk1/Gb20,Saskatoon – Soopolallie – Juniper
ESSFdk1/Gg14,Idaho fescue – Sulphur buckwheat – Sandwort
ESSFdk1/Gg16,Rough fescue – Sulphur buckwheat – Sandwort
ESSFdk1/Gg17,Idaho fescue – Bluebunch wheatgrass – Sulphur buckwheat
ESSFdk1/Gg33,Pinegrass – Yellow penstemon
ESSFdk1/Ro06,Juniper – Stonecrop – Sandwort
ESSFdk1/Ro07,Juniper – Soopolallie – Shrubby cinquefoil
ESSFdk1/Ro10,Huckleberry – Rock moss – Haircap moss
