SS_NoSpace,SiteSeriesLongName
BGxh1/Ro01,Selaginella – Bluebunch wheatgrass – Screw moss
BGxh1/Ro01.1,Selaginella – Bluebunch wheatgrass – Screw moss
BGxh1/Ro01.2,Selaginella – Screw moss
BGxh1/Ro03,Antelope-brush – Selaginella – Bluebunch wheatgrass
BGxh1/Ro04,Big sagebrush – Selaginella – Bluebunch wheatgrass
BGxh1/Ro04.1,Big sagebrush – Selaginella – Bluebunch wheatgrass
BGxh1/Ro04.2,Rabbit-brush – Big sagebrush – Selaginella – Bluebunch wheatgrass
BGxh1/Rt05,Big sagebrush – Saskatoon – Bluebunch wheatgrass
BGxh1/Rt06,Saskatoon – Mock-orange – Bluebunch wheatgrass
BGxh1/Wm05,Cattail
BGxh1/Wm06,Soft-stemmed bulrush
BGxh1/Wm08,Three-square bulrush
BGxh1/Wm11,Seacoast bulrush
BGxh2/101,Big sagebrush – Bluebunch wheatgrass
BGxh2/102,Py – Rabbit-brush – Bluebunch wheatgrass
BGxh2/110,Fd(Py) – Snowberry – Oregon-grape
BGxh2/Ff04,Aspen – Snowberry – Roses
BGxh2/Ff05,Aspen – Dogwood – Nootka rose
BGxh2/Fl05,Drummond's willow – Bluejoint
BGxh2/Fm01,Cottonwood – Snowberry – Rose
BGxh2/Fm06,Cottonwood – Poison ivy – Rose
BGxh2/Ga01,Saltgrass
BGxh2/Ga01.1,Saltgrass
BGxh2/Ga02,Nuttall's alkaligrass – Foxtail barley
BGxh2/Ga02.1,Nuttall's alkaligrass – Foxtail barley
BGxh2/Ga02.2,Foxtail barley – Nuttall's alkaligrass
BGxh2/Ga05,Giant wildrye
BGxh2/Ga06,Seablite
BGxh2/Gb02,Saskatoon – Snowberry – Bluebunch wheatgrass
BGxh2/Gg03,Bluebunch wheatgrass – Selaginella
BGxh2/Gg10,Rough fescue – Bluebunch wheatgrass
BGxh2/Gg10$2.1,Bluebunch wheatgrass – Junegrass – Sandberg's bluegrass
BGxh2/Gg10$3.1,Big sagebrush – Bluebunch wheatgrass – Rough fescue
BGxh2/Gg12,Rough fescue – Yarrow – Three-flowered avens
BGxh2/Gg12$2.1,Rough fescue – Bluebunch wheatgrass – Yellow salsify
BGxh2/Gg12$2.2,Spreading needlegrass – Rough fescue – Kentucky bluegrass
BGxh2/Gg12$2.3,Spreading needlegrass – Columbia needlegrass
BGxh2/Gg12$2.5,Kentucky bluegrass – Yarrow
BGxh2/Gg12.1,Rough fescue – Yarrow – Three-flowered avens
BGxh2/Gg25,Sand dropseed – Needle-and-thread grass
BGxh2/Gg28,Sand needlegrass – Sand dropseed
BGxh2/Gs01,Big sagebrush – Bluebunch wheatgrass
BGxh2/Gs01$2.1,Bluebunch wheatgrass – Sagewort – Sandberg's bluegrass
BGxh2/Gs01$2.2,Needle-and-thread grass – Cheatgrass
BGxh2/Gs01$3.1,Big sagebrush – Needle-and-thread grass
BGxh2/Gs03,Big sagebrush – Bluebunch wheatgrass – Screw moss
BGxh2/Gs05,Rocky Mountain juniper – Big sagebrush – Bluebunch wheatgrass
