BGC,Freq
BAFAun,2479933
BGdh_OR,4730059
BGdw_OR,45006
BGdw_WA,281960
BGmk_MT,834820
BGmk_NV,289355
BGmm_MT,927222
BGmw_OR,31354
BGmw_WA,397973
BGwm_WA,97673
BGxh1,7929
BGxh2,21974
BGxh3,13042
BGxh_WA,1442419
BGxw1,21490
BGxw2,19192
BGxx_WY,1390655
BGxxx_WY,1027517
BSJPap,553647
BSJPku,413374
BSJPpa,230168
BWBScm,28
BWBScmC,3769163
BWBScmE,1404903
BWBScmNW,723736
BWBScmW,698173
BWBSdk,1214397
BWBSdmN,1938360
BWBSdmS,1326433
BWBSlbE,673688
BWBSlbN,378639
BWBSlbW,1187707
BWBSlf,1656965
BWBSmk,4037700
BWBSmw,1128562
BWBSnm,1263170
BWBSpp,119701
BWBSub,476294
BWBSuf,784239
BWBSvk,33010
BWBSwk1,124643
BWBSwk2,139966
BWBSwk3,63623
CCHun_CA,1074540
CDFmm,85426
CDFmm_OR,395426
CDFmm_WA,53355
CDFxm_CA,103413
CMAun,1130994
CMAun_CA,391380
CMAun_OR,9246
CMAun_WA,87650
CMAunp,1
CMAwh,1041
CMXdm_OR,415971
CMXmm_OR,405657
CMXwm_OR,262611
CMXxm_CA,531436
CRFdh_CA,590170
CVGdm_CA,2584885
CWFdm_OR,370605
CWFds_CA,387628
CWFmm_OR,81809
CWFwm_OR,58027
CWHdm1,136803
CWHdm2,234763
CWHdm3,97743
CWHdm_OC,116573
CWHdm_OR,489266
CWHdm_WA,538628
CWHdm_WC,159991
CWHds1,87456
CWHds2,23313
CWHds_WA,29537
CWHmh_OR,29198
CWHmm1,100051
CWHmm2,66193
CWHms1,64110
CWHms2,91163
CWHms3,31745
CWHms_OR,70251
CWHms_WA,68847
CWHvh1,66007
CWHvh2,569981
CWHvh3,143516
CWHvh_WA,45933
CWHvm1,379570
CWHvm2,286156
CWHvm3,369983
CWHvm4,224342
CWHvm_OR,145392
CWHvm_WA,347222
CWHwh1,177768
CWHwh2,25217
CWHwh_OR,64115
CWHwh_WA,146604
CWHwm,119623
CWHws1,95579
CWHws2,244323
CWHws3,51532
CWHxm_OR,269990
CWHxm_WA,428976
CWHxs,3764
ESSFabC,228943
ESSFabE,14333
ESSFabN,542571
ESSFabS,110749
ESSFdc1,52670
ESSFdc2,68494
ESSFdc3,43323
ESSFdcp,3674
ESSFdcw,21079
ESSFdh1,10945
ESSFdh2,8639
ESSFdh_WA,6226
ESSFdk1,104511
ESSFdk2,137875
ESSFdk_MT,86599
ESSFdkp,60288
ESSFdkw,102147
ESSFdm_ID,310383
ESSFdv1,24933
ESSFdv2,15373
ESSFdvp,40089
ESSFdvw,24198
ESSFdw_ID,174207
ESSFmc,336212
ESSFmcp,91626
ESSFmcw,125901
ESSFmh,55504
ESSFmk,74267
ESSFmkp,26066
ESSFmkw,24028
ESSFmm1,106746
ESSFmm2,9988
ESSFmm3,45691
ESSFmmp,150762
ESSFmmw,28384
ESSFmv1,71253
ESSFmv2,216690
ESSFmv3,537822
ESSFmv4,312423
ESSFmvp,197155
ESSFmw,44054
ESSFmw1,44807
ESSFmw2,29048
ESSFmw_WA,90784
ESSFmwp,52738
ESSFmww,36852
ESSFun,238076
ESSFunp,144072
ESSFvc,84115
ESSFvcp,51972
ESSFvcw,49148
ESSFwc2,216825
ESSFwc3,324739
ESSFwc4,119275
ESSFwcp,296607
ESSFwcw,196547
ESSFwh1,74714
ESSFwh2,16043
ESSFwh3,29064
ESSFwh_MT,6890
ESSFwk1,184844
ESSFwk2,221729
ESSFwm1,23010
ESSFwm2,33921
ESSFwm3,24310
ESSFwm4,53842
ESSFwm_MT,138096
ESSFwmp,24753
ESSFwmw,49693
ESSFwv,160114
ESSFwvp,64285
ESSFwvw,72058
ESSFxc1,28576
ESSFxc2,21954
ESSFxc3,16835
ESSFxc_CO,494436
ESSFxc_WA,83768
ESSFxcp,4791
ESSFxcw,9956
ESSFxh_WA,8142
ESSFxk_MT,229710
ESSFxk_UT,170577
ESSFxk_WY,588477
ESSFxv1,104441
ESSFxv2,32703
ESSFxvp,66261
ESSFxvw,2477
ESSFxw_OR,64931
ESSFxx_WY,23494
FGff,796212
FGnf,523186
GBDdw_UT,1244655
GBDxh_NV,3830580
GBDxx_UT,694113
GOun_CO,341304
ICHdh_ID,171774
ICHdk,12330
ICHdm,60697
ICHdw1,125055
ICHdw3,48463
ICHdw4,44922
ICHdw_ID,746040
ICHmc1,184852
ICHmc1a,45
ICHmc2,121036
ICHmh_MT,11781
ICHmk1,44976
ICHmk2,30660
ICHmk3,37962
ICHmk4,23099
ICHmk5,29040
ICHmm,54745
ICHmw1,49113
ICHmw2,168900
ICHmw3,123146
ICHmw4,33647
ICHmw5,77805
ICHmw_MT,30079
ICHvc,79248
ICHvk1,88153
ICHvk2,48441
ICHwc,44211
ICHwk1,209614
ICHwk2,72568
ICHwk3,34415
ICHwk4,51504
ICHxh_ID,162994
ICHxm1,52110
ICHxw,43476
ICHxw_ID,47665
ICHxw_WA,117968
ICHxwa,6179
IDFdc,24678
IDFdh,9723
IDFdh_MT,92107
IDFdh_UT,1535005
IDFdh_WA,330637
IDFdk1,172888
IDFdk2,99437
IDFdk3,349918
IDFdk4,130785
IDFdk5,26335
IDFdk_MT,138744
IDFdk_WA,26126
IDFdkx_MT,992609
IDFdm1,44675
IDFdm2,72000
IDFdm_MT,353651
IDFdm_WA,77074
IDFdw,38898
IDFdx_MT,1298297
IDFdxx_WY,119700
IDFmw2,70090
IDFww,12614
IDFww1,4281
IDFww2,5465
IDFxc,19993
IDFxh1,80317
IDFxh2,129505
IDFxh_ID,259116
IDFxh_OR,18394
IDFxh_WA,139558
IDFxk,12974
IDFxm,90851
IDFxm_CO,442333
IDFxw,15289
IDFxx1,3749
IDFxx2,30343
IDFxx_MT,98282
IDFxx_WA,43810
IGFdk_WA,194096
IGFdw_OR,123248
IGFmh_OR,398077
IGFmm_OR,676522
IGFxm_OR,292815
IMAab,533976
IMAun,422294
IMAun_CO,405369
IMAun_ID,16741
IMAun_MT,88204
IMAun_OR,10553
IMAun_WA,39493
IMAun_WY,574561
IWFdm_CO,207742
IWFdw_OR,504760
IWFxk_NV,62309
IWFxm_CA,75990
JPWdm_WY,596018
JPWdw_UT,2495650
JPWwm_CO,256204
JPWxh_CA,608027
JPWxw_NV,3438432
MDCHun_NV,54183
MGPdm,1594692
MGPmg,678402
MGPmw_MT,6529063
MHRFdm_OR,55105
MHRFds_CA,169219
MHRFmm_OR,67223
MHdm_OR,67103
MHds_OR,40947
MHds_WA,18216
MHmm1,497290
MHmm2,470565
MHmm_WA,201693
MHmmp,551049
MHms,132580
MHms_WA,52738
MHmsp,71295
MHun,2381
MHunp,25504
MHvh,41126
MHvhp,16447
MHwh,11103
MHwhp,3217
MMMdk_NV,42483
MSSDun_NV,3165418
MSabN,78877
MSabS,223714
MSdc1,11460
MSdc2,16765
MSdc3,8202
MSdh_MT,299134
MSdh_UT,200473
MSdh_WY,1543142
MSdk,109312
MSdk_CO,125780
MSdm1,104407
MSdm2,98207
MSdm3,38174
MSdm_WA,52383
MSdv,9771
MSdw,91546
MSdw_MT,380101
MSmm_ID,310289
MSun,7932
MSxh_OR,90159
MSxk1,56617
MSxk2,82340
MSxk3,33599
MSxk_WA,39515
MSxm_CO,925402
MSxv,311484
MSxx_NV,23808
OWdm_OR,87452
OWmm_OR,13278
OWun_CA,369320
PPmx_WY,258768
PPxh1,50972
PPxh2,48505
PPxh_CO,249824
PPxh_WA,311605
PPxk_OR,163441
PPxm_OR,463108
PPxw_MT,2063278
PPxw_WY,110554
PPxx_OR,99651
SASbo,501345
SBAPcp,1925870
SBAPfp,136240
SBPSdc,145411
SBPSmc,111740
SBPSmk,144694
SBPSxc,400002
SBSdh1,24554
SBSdh2,7279
SBSdk,381138
SBSdw1,141740
SBSdw2,189395
SBSdw3,359138
SBSmc1,18173
SBSmc2,832515
SBSmc3,94766
SBSmh,39026
SBSmk1,523616
SBSmk2,151293
SBSmm,24699
SBSmw,79201
SBSun,122970
SBSvk,186616
SBSwk1,289469
SBSwk2,195121
SBSwk3,169573
SBSwk3a,16582
SGPdm_CO,2840285
SWBmk,1724419
SWBmks,661631
SWBun,661416
SWBuns,417179
SWBvk,61519
SWBvks,56433
WJPxm_OR,1348193
