SS_NoSpace,SiteSeriesLongName,SpecialCode,Special
BGxh1/102,Py – Antelope-brush – Three-awn,,
BGxh1/103,Py(Fd) – Bluebunch wheatgrass – Selaginella,,
BGxh1/110,Py – Sumac – Mock-orange,,
BGxh1/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
BGxh1/Fm05,Cottonwood – Douglas-fir – Douglas maple – Snowberry,Fm,mid fluvial bench
BGxh1/Fm06,Cottonwood – Poison ivy – Rose,Fm,mid fluvial bench
BGxh2/102,Py – Rabbit-brush – Bluebunch wheatgrass,,
BGxh2/110,Fd(Py) – Snowberry – Oregon-grape,,
BGxh2/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
BGxh2/Fm06,Cottonwood – Poison ivy – Rose,Fm,mid fluvial bench
BGxh3/110,Fd – Bluebunch wheatgrass – Step moss,CAS,cold aspects
BGxh3/111,Fd – Rocky Mountain juniper – Bluebunch wheatgrass,,
BGxh3/112,Act – Snowberry – Rose,Fm,mid fluvial bench
BGxh3/113,Act(Fd) – Douglas maple – Snowberry,Fm,mid fluvial bench
BGxw1/102,Py – Rabbit-brush – Bluebunch wheatgrass,,
BGxw1/110,Py(Fd) – Bluebunch wheatgrass – Rough fescue,,
BGxw1/111,Fd – Snowberry – Step moss,,
BGxw1/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
BGxw1/Fm05,Cottonwood – Douglas-fir – Douglas maple – Snowberry,Fm,mid fluvial bench
BGxw2/110,Fd – Rocky Mountain juniper – Bluebunch wheatgrass,CAS,cold aspects
BGxw2/111,Fd – Bluebunch wheatgrass – Step moss,CAS,cold aspects
BGxw2/112,Act – Snowberry – Rose,Fm,mid fluvial bench
BGxw2/113,Fd – Pinegrass – Feathermoss,,
BWBSdk/101,Sw – Soopolallie – Step moss,,
BWBSdk/101a,Sw – Soopolallie – Step moss; Mesic phase,,
BWBSdk/101b,Sw – Soopolallie – Step moss; Subhygric phase,,
BWBSdk/102,Pl – Kinnikinnick – Lingonberry,,
BWBSdk/103,SwPl – Soopolallie – Toad-flax,IN,insolation
BWBSdk/104,Sb – Labrador tea – Step moss,CA,cold aspects - cold air
BWBSdk/104a,Sb – Labrador tea – Step moss; Freely drained phase,CA,cold aspects - cold air
BWBSdk/104b,Sw – Soopolallie – Step moss; Imperfectly drained phase,CA,cold aspects - cold air
BWBSdk/110,Sw – Currant – Horsetail,Fh,high fluvial bench
BWBSdk/111,Sw – Mountain alder – Horsetail,Fm,mid fluvial bench
BWBSdk/112,AcbSw – Mountain alder – Dogwood,Fm,mid fluvial bench
BWBSdk/Fm20,Balsam Poplar – Spruce – Mountain alder – Dogwood,Fm,mid fluvial bench
BWBSdk/Wb03,Sb – Lingonberry – Peat moss,,
BWBSdk/Wb09,Sb – Horsetail – Peat moss,,
BWBSdk/Wb11,Sb – Buckbean – Peat moss,,
BWBSdk/Ws15,SwSb – Labrador tea – Glow moss,,
BWBSmk/101,Sw – Lingonberry – Step moss,,
BWBSmk/102,Pl – Kinnikinnick – Lingonberry,,
BWBSmk/103,SwPl – Soopolallie – Fuzzy-spiked wildrye,IN,insolation
BWBSmk/104,Sb – Labrador tea – Step moss,CA,cold aspects - cold air
BWBSmk/104a,Sb – Labrador tea – Step moss; Freely drained phase,CA,cold aspects - cold air
BWBSmk/104b,Sb – Labrador tea – Step moss; Imperfectly/poorly drained phase,CA,cold aspects - cold air
BWBSmk/110,Sw – Currant – Horsetail,,
BWBSmk/111,Sw – Mountain alder – Horsetail,Fh,high fluvial bench
BWBSmk/112,AcbSw – Mountain alder – Dogwood,Fm,mid fluvial bench
BWBSmk/Fm20,Balsam Poplar – Spruce – Mountain alder – Dogwood,Fm,mid fluvial bench
BWBSmk/Wb03,Sb – Lingonberry – Peat moss,,
BWBSmk/Wb05,Sb – Water sedge – Peat moss,,
BWBSmk/Wb06,Lt – Water sedge – Fen moss,,
BWBSmk/Wb09,Sb – Common horsetail – Peat moss,,
BWBSmk/Wf18,Lt – Buckbean – Shore sedge,,
BWBSmk/Ws15,SwSb – Labrador tea – Glow moss,,
BWBSmw/101,Sw – Trailing raspberry – Step moss,,
BWBSmw/102,Pl – Kinnikinnick – Lingonberry,,
BWBSmw/103,SwPl – Soopolallie – Fuzzy-spiked wildrye,IN,insolation
BWBSmw/104,Sb – Labrador tea – Step moss,CA,cold aspects - cold air
BWBSmw/110,Sw – Oak fern – Sarsaparilla,,
BWBSmw/111,Sw – Currant – Horsetail,Fh,high fluvial bench
BWBSmw/112,AcbSw – Mountain alder – Dogwood,Fm,mid fluvial bench
BWBSmw/Fm20,Balsam Poplar – Spruce – Mountain alder – Dogwood,Fm,mid fluvial bench
BWBSmw/Wb01,Sb – Creeping-snowberry – Sphagnum,,
BWBSmw/Wb03,Sb – Lingonberry – Peat moss,,
BWBSmw/Wb05,Sb – Water sedge – Peat moss,,
BWBSmw/Wb06,Lt – Water sedge – Fen moss,,
BWBSmw/Wb09,Sb – Common horsetail – Peat moss,,
BWBSmw/Wf18,Lt – Buckbean – Shore sedge,,
BWBSmw/Ws15,SwSb – Labrador tea – Glow moss,,
BWBSwk1/101,SwBl – Huckleberry – Feathermoss,,
BWBSwk1/102,Pl – Lingonberry – Reindeer lichen,,
BWBSwk1/103,SwPl – Soopollalie – Showy aster,IN,insolation
BWBSwk1/104,Sb – Huckleberry – Lingonberry,CA,cold aspects - cold air
BWBSwk1/110,Sw – Currant – Horsetail,,
BWBSwk1/111,Sb – Horsetail – Step moss,CA,cold aspects - cold air
BWBSwk1/Wb06,Lt – Water sedge – Fen moss,,
BWBSwk1/Wb09,Sb – Common horsetail – Peat moss,,
BWBSwk2/101,SwBl – Huckleberry – Feathermoss,,
BWBSwk2/102,Pl – Lingonberry – Reindeer lichen,,
BWBSwk2/103,SwPl – Soopolallie – Fuzzy-spiked wildrye,IN,insolation
BWBSwk2/104,Sb – Huckleberry – Lingonberry,CA,cold aspects - cold air
BWBSwk2/110,Sw – Currant – Bluebells,,
BWBSwk2/111,Sw – Currant – Horsetail,Fh,high fluvial bench
BWBSwk3/101,SwBl – Huckleberry – Feathermoss,,
BWBSwk3/102,Pl – Crowberry – Lingonberry,,
BWBSwk3/103,Sb – Huckleberry – Lingonberry,CA,cold aspects - cold air
BWBSwk3/110,Sw – Currant – Horsetail,,
BWBSwk3/111,Sb – Horsetail – Step moss,,
CDFmm/101,Fdc – Salal – Dull Oregon-grape,,
CDFmm/102,FdcRa – Heron's-bill mosses – Rock mosses,,
CDFmm/102.1,FdcRa – Heron's-bill mosses – Rock mosses; Typic variation,,
CDFmm/102.2,FdcRa – Heron's-bill mosses – Rock mosses; Selaginella variation,,
CDFmm/104,FdcRa – Salal,,
CDFmm/105,FdcRa – Oceanspray – Oniongrass,,
CDFmm/110,CwFdc – Dull Oregon-grape – Sword fern,,
CDFmm/111,FdcHw – Red huckleberry – Salal,,
CDFmm/112,CwBg – Sword fern – Foamflower,,
CDFmm/112a,CwBg – Sword fern – Foamflower; Typic phase,,
CDFmm/112b,CwBg – Sword fern – Foamflower; Fluctuating water table phase,FWT,fluctuating water table
CDFmm/Fm53,ActDr – Salmonberry – Lily-of-the-Valley,Fm,mid fluvial bench
CDFmm/Fm54,MbDr – Salmonberry – Sword fern,Fm,mid fluvial bench
CDFmm/Wb55,Plc – Labrador tea – Peat mosses,,
CDFmm/Wb55.1,Plc – Labrador tea – Peat mosses; Typic variation,,
CDFmm/Wb55.2,Plc – Labrador tea – Peat mosses; Bog blueberry variation,,
CDFmm/Wb56,PlcHw – Salal – Peat mosses,,
CDFmm/Ws53,Cw – Osoberry – Skunk cabbage,,
CDFmm/Ws57,CwHw – Skunk cabbage,,
CDFmm/Ws58,CwHw – Slough sedge,,
CDFmm/Ws58.1,CwHw – Slough sedge; Typic variation,,
CDFmm/Ws60,Ss – Crabapple – Slough sedge,SS,salt spray
CWHdm1/101,FdcHw – Red huckleberry – Salal,,
CWHdm1/101a,FdcHw – Red Huckleberry – Salal; Typic phase,,
CWHdm1/101b,FdcHw – Red huckleberry – Salal; Poor phase,,
CWHdm1/102,FdcRa – Heron's-bill mosses – Rock mosses,,
CWHdm1/103,FdcHw – Salal – Step moss,,
CWHdm1/104,FdCw – Dull Oregon-grape – Baldhip rose,,
CWHdm1/110,FdcHwCw – Sword fern,,
CWHdm1/111,CwHw – Deer fern – Sword fern,,
CWHdm1/112,HwCw – Sword fern – Vanilla-leaf,,
CWHdm1/112a,HwCw – Sword fern – Vanilla-leaf; Typic phase,,
CWHdm1/112b,HwCw – Sword fern – Vanilla-leaf; Fluctuating water table phase,FWT,fluctuating water table
CWHdm1/113,HwCw – Salmonberry – Sword fern,Fh,high fluvial bench
CWHdm1/Fm53,ActDr – Salmonberry – Lily-of-the-Valley,Fm,mid fluvial bench
CWHdm1/Fm54,MbDr – Salmonberry – Sword fern,Fm,mid fluvial bench
CWHdm1/Wb55,Plc – Labrador tea – Peat mosses,,
CWHdm1/Wb55.1,Plc – Labrador tea – Peat mosses; Typic variation,,
CWHdm1/Wb56,PlcHw – Salal – Peat mosses,,
CWHdm1/Ws56,SsHw – Skunk cabbage,,
CWHdm1/Ws56.1,SsHw – Skunk cabbage; CwHw variation,,
CWHdm1/Ws57,CwHw – Skunk cabbage,,
CWHdm1/Ws58,CwHw – Slough sedge,,
CWHdm1/Ws58.1,CwHw – Slough sedge; Typic variation,,
CWHdm1/Ws60,Ss – Crabapple – Slough sedge,SS,salt spray
CWHdm2/101,FdcHw – Red huckleberry – Salal,,
CWHdm2/101a,FdcHw – Red huckleberry – Salal; Typic phase,,
CWHdm2/101b,FdcHw – Red huckleberry – Salal; Poor phase,,
CWHdm2/102,PlcFdc – Rock mosses – Clad lichens,,
CWHdm2/103,FdcPlc – Salal – Step moss,,
CWHdm2/104,FdcHw – Salal – Step moss,,
CWHdm2/105,FdcHwCw – Sword fern,,
CWHdm2/110,HwFdc – Sword fern – Vanilla-leaf,,
CWHdm2/111,CwHw – Salal – Deer fern,,
CWHdm2/112,HwCw – Sword fern – Vanilla-leaf,,
CWHdm2/112.1,HwCw – Sword fern – Vanilla-leaf; Salmonberry variation,,
CWHdm2/112.2,HwCw – Sword fern – Vanilla-leaf; Devil's club variation,,
CWHdm2/113,HwCw – Salmonberry – Sword fern,Fh,high fluvial bench
CWHdm2/Fm53,ActDr – Salmonberry – Lily-of-the-Valley,Fm,mid fluvial bench
CWHdm2/Fm54,MbDr – Salmonberry – Sword fern,Fm,mid fluvial bench
CWHdm2/Wb55,Plc – Labrador tea – Peat mosses,,
CWHdm2/Wb55.1,Plc – Labrador tea – Peat mosses; Typic variation,,
CWHdm2/Wb56,PlcHw – Salal – Peat mosses,,
CWHdm2/Ws56,SsHw – Skunk cabbage,,
CWHdm2/Ws56.1,SsHw – Skunk cabbage; CwHw variation,,
CWHdm2/Ws57,CwHw – Skunk cabbage,,
CWHdm2/Ws58,CwHw – Slough sedge,,
CWHdm2/Ws58.1,CwHw – Slough sedge; Typic variation,,
CWHdm3/101,FdcHw – Red huckleberry – Salal,,
CWHdm3/102,PlcFdc – Rock mosses – Clad lichens,,
CWHdm3/103,FdcHw – Salal – Step moss,,
CWHdm3/104,FdcCw – Vine maple – Sword fern,,
CWHdm3/110,FdcHwCw – Sword fern,,
CWHdm3/111,CwFdc – Deer fern – Sword fern,,
CWHdm3/112,HwCw – Vine maple – Sword fern,,
CWHdm3/113,SsCw – Salmonberry – Vine maple,Fh,high fluvial bench
CWHdm3/Fm53,ActDr – Salmonberry – Lily-of-the-Valley,Fm,mid fluvial bench
CWHdm3/Wb55,Plc – Labrador tea – Peat mosses,,
CWHdm3/Wb55.1,Plc – Labrador tea – Peat mosses; Typic variation,,
CWHdm3/Wb55.2,Plc – Labrador tea – Peat mosses; Bog blueberry variation,,
CWHdm3/Wb56,PlcHw – Salal – Peat mosses,,
CWHdm3/Ws56,SsHw – Skunk cabbage,,
CWHdm3/Ws56.1,SsHw – Skunk cabbage; CwHw variation,,
CWHdm3/Ws58,CwHw – Slough sedge,,
CWHdm3/Ws58.1,CwHw – Slough sedge; Typic variation,,
CWHds1/101,HwFdc – Prince's pine – Step moss,,
CWHds1/101a,HwFdc – Prince's pine – Step moss; Typic phase,,
CWHds1/101b,HwFdc – Prince's pine – Step moss; Subxeric phase,,
CWHds1/102,FdcPl – Rock mosses,,
CWHds1/103,Fdc – Orange honeysuckle – Tall Oregon-grape,IN,insolation
CWHds1/104,Fdc – Orange honeysuckle – Cat's-tail moss,IN,insolation
CWHds1/110,CwFdc – Sword fern – Foamflower,,
CWHds1/111,Hw – Queen's cup,,
CWHds1/112,CwFdc – Devil's club – Sword fern,,
CWHds1/113,CwSs – Devil's club – Lady fern,Fh,high fluvial bench
CWHds1/Fm50,ActDr – Salmonberry,Fm,mid fluvial bench
CWHds1/Fm50.1,ActDr – Salmonberry; Salmonberry variation,Fm,mid fluvial bench
CWHds1/Fm50.2,ActDr – Salmonberry; Devil's club variation,Fm,mid fluvial bench
CWHds1/Fm53,ActDr – Salmonberry – Lily-of-the-Valley,Fm,mid fluvial bench
CWHds1/Wb51,Plc – Crowberry – Peat mosses,,
CWHds1/Ws56,SsHw – Skunk cabbage,,
CWHds1/Ws56.1,SsHw – Skunk cabbage; CwHw variation,,
CWHds2/101,HwFdc – Prince's pine – Step moss,,
CWHds2/102,FdcPlHw – Kinnikinnick,,
CWHds2/103,HwFdc – Twinflower – Cat's-tail moss,,
CWHds2/104,FdcCw – Douglas' maple – Cat's-tail moss,IN,insolation
CWHds2/110,HwCwFdc – Oak fern,,
CWHds2/111,Hw – Queen's cup,,
CWHds2/112,SsCw – Devil's club,,
CWHds2/113,CwSs – Devil's club – Lady fern,Fh,high fluvial bench
CWHds2/Fm50,ActDr – Salmonberry,Fm,mid fluvial bench
CWHds2/Fm50.1,ActDr – Salmonberry; Salmonberry variation,Fm,mid fluvial bench
CWHds2/Fm50.2,ActDr – Salmonberry; Devil's club variation,Fm,mid fluvial bench
CWHds2/Wb51,Plc – Crowberry – Peat mosses,,
CWHds2/Ws56,SsHw – Skunk cabbage,,
CWHds2/Ws56.2,SsHw – Skunk cabbage; CwSs variation,,
CWHmm1/101,HwBa – Blueberry – Pipecleaner moss,,
CWHmm1/101a,HwBa – Blueberry – Pipecleaner moss; Typic phase,,
CWHmm1/101b,HwBa – Blueberry – Pipecleaner moss; Poor phase,,
CWHmm1/102,FdcPlc – Salal – Rock mosses,,
CWHmm1/103,FdcHw – Salal – Prince's pine,,
CWHmm1/104,HwFdc – Vanilla-leaf – Twinflower,,
CWHmm1/110,HwFdc – Sword fern – Vanilla-leaf,,
CWHmm1/111,HwBa – Blueberry – Deer fern,,
CWHmm1/112,HwCw – Devil's club – Vanilla-leaf,,
CWHmm1/113,HwCw – Salmonberry – Sword fern,Fh,high fluvial bench
CWHmm1/Fm50,ActDr – Salmonberry,Fm,mid fluvial bench
CWHmm1/Fm50.1,ActDr – Salmonberry; Salmonberry variation,Fm,mid fluvial bench
CWHmm1/Fm50.2,ActDr – Salmonberry; Devil's club variation,Fm,mid fluvial bench
CWHmm1/Wb51,Plc – Crowberry – Peat mosses,,
CWHmm1/Wb55,Plc – Labrador tea – Peat mosses,,
CWHmm1/Wb55.1,Plc – Labrador tea – Peat mosses; Typic variation,,
CWHmm1/Ws54,CwHw – Azalea – Skunk cabbage,,
CWHmm1/Ws54.1,CwHw – Azalea – Skunk cabbage; Typic variation,,
CWHmm1/Ws56,SsHw – Skunk cabbage,,
CWHmm1/Ws56.1,SsHw – Skunk cabbage; CwHw variation,,
CWHmm2/101,HwBa – Blueberry – Pipecleaner moss,,
CWHmm2/101a,HwBa – Blueberry – Pipecleaner moss; Typic phase,,
CWHmm2/101b,HwBa – Blueberry – Pipecleaner moss; Poor phase,,
CWHmm2/102,HwFdc – Salal – Rock mosses,,
CWHmm2/103,FdcHwYc – Salal – Prince's pine,,
CWHmm2/110,HwBa – Blueberry – Vanilla-leaf,,
CWHmm2/111,HmBaYc – Deer fern – Lanky moss,,
CWHmm2/112,HwBa – Blueberry – Foamflower,,
CWHmm2/113,BaHw – Devil's club – Lady fern,,
CWHmm2/Wb51,Plc – Crowberry – Peat mosses,,
CWHmm2/Wb57,PlcYc – Deer cabbage – Peat mosses,,
CWHmm2/Ws55,YcHm – Skunk cabbage,,
CWHmm2/Ws58,CwHw – Slough sedge,,
CWHmm2/Ws58.1,CwHw – Slough sedge; Typic variation,,
CWHms3/101,HwBa – Blueberry – Queen's cup,,
CWHms3/102,FdcPlHw – Feather moss – Rock mosses,,
CWHms3/103,HwFdc – Huckleberry – Falsebox,,
CWHms3/104,HwFdc – Falsebox – Twinflower,IN,insolation
CWHms3/110,CwFdc – Sword fern – Foamflower,,
CWHms3/111,HwBa – Azalea – Queen's cup,,
CWHms3/112,BaHw – Devil's club – Oak fern,,
CWHms3/113,BaHw – Salmonberry – Devil's club,Fh,high fluvial bench
CWHms3/Fm50,ActDr – Salmonberry,Fm,mid fluvial bench
CWHms3/Fm50.1,ActDr – Salmonberry; Salmonberry variation,Fm,mid fluvial bench
CWHms3/Wb51,Plc – Crowberry – Peat mosses,,
CWHms3/Ws56,SsHw – Skunk cabbage,,
CWHms3/Ws56.1,SsHw – Skunk cabbage; CwHw variation,,
CWHms4/101,HwBa – Blueberry – Queen's cup,,
CWHms4/102,HwPl – Feather moss – Clad lichens,,
CWHms4/103,HwFdcBa – Blueberry,,
CWHms4/104,FdcHw – Falsebox – Twinflower,IN,insolation
CWHms4/105,HwFdc – Blueberry – Falsebox,IN,insolation
CWHms4/110,HwBa – Foamflower,,
CWHms4/111,HwBa – Azalea – Queen's cup,,
CWHms4/112,HwBa – Devil's club – Oak fern,,
CWHms4/Wb51,Plc – Crowberry – Peat mosses,,
CWHms4/Ws55,YcHm – Skunk cabbage,,
CWHms5/101,HwBa – Blueberry – Queen's cup,,
CWHms5/101.1,HwBa – Blueberry – Queen's cup; Typic variation,,
