SS_NoSpace,SiteSeriesLongName,SpecialCode,Special
CWHms5/101.2,HwBa – Blueberry – Queen's cup; Fd variation,,
CWHms5/102,FdcPlHw – Kinnikinnick,,
CWHms5/103,HwFdc – Huckleberry – Falsebox,,
CWHms5/103.1,HwFdc – Huckleberry – Falsebox; Typic variation,,
CWHms5/103.2,HwFdc – Huckleberry – Falsebox; Rhododendron variation,,
CWHms5/110,BaCwFdc – Foamflower,,
CWHms5/111,HwCw – Azalea – Queen's cup,,
CWHms5/112,CwHw – Devil's club – Lady fern,,
CWHms5/113,CwSs – Devil's club – Lady fern,Fh,high fluvial bench
CWHms5/Fm50,ActDr – Salmonberry,Fm,mid fluvial bench
CWHms5/Fm50.1,ActDr – Salmonberry; Salmonberry variation,Fm,mid fluvial bench
CWHms5/Fm50.2,ActDr – Salmonberry; Devil's club variation,Fm,mid fluvial bench
CWHms5/Wb51,Plc – Crowberry – Peat mosses,,
CWHms5/Ws56,SsHw – Skunk cabbage,,
CWHms5/Ws56.1,SsHw – Skunk cabbage; CwHw variation,,
CWHvh1/101,CwHw – Salal – Deer fern,,
CWHvh1/102,PlcYc – Salal – Reindeer lichens,,
CWHvh1/103,CwHw – Salal – Evergreen huckleberry,,
CWHvh1/104,HwBa – Deer fern – Oregon beaked moss,,
CWHvh1/105,HwBa – Deer fern – Sword fern,,
CWHvh1/110,HwBa – Salmonberry – Foamflower,,
CWHvh1/111,SsHw – Salmonberry – Lily-of-the-valley,Fh,high fluvial bench
CWHvh1/112,CwYc – Salal – Deer fern – Peat mosses,,
CWHvh1/120,Ss – Salal – Beaked mosses,SS,salt spray
CWHvh1/120.1,Ss – Salal – Beaked mosses; Salal variation,SS,salt spray
CWHvh1/120.2,Ss – Salal – Beaked mosses; Reedgrass variation,SS,salt spray
CWHvh1/121,Ss – Salmonberry – Sword fern,SS,salt spray
CWHvh1/Fm54,MbDr – Salmonberry – Sword fern,Fm,mid fluvial bench
CWHvh1/Wb51,Plc – Crowberry – Peat mosses,,
CWHvh1/Wb53,PlcYc – Tufted clubrush,,
CWHvh1/Wb53.2,PlcYc – Tufted clubrush; Tall shrub variation,,
CWHvh1/Wb53.3,PlcYc – Tufted clubrush; Low shrub variation,,
CWHvh1/Ws54,CwHw – Azalea – Skunk cabbage,,
CWHvh1/Ws54.1,CwHw – Azalea – Skunk cabbage; Typic variation,,
CWHvh1/Ws56,SsHw – Skunk cabbage,,
CWHvh1/Ws56.2,SsHw – Skunk cabbage; CwSs variation,,
CWHvh1/Ws58,CwHw – Slough sedge,,
CWHvh1/Ws58.1,CwHw – Slough sedge; Typic variation,,
CWHvh1/Ws60,Ss – Crabapple – Slough sedge,SS,salt spray
CWHvh2/101,CwHw – Salal – Deer fern,,
CWHvh2/102,PlcYc – Salal – Crowberry,,
CWHvh2/103,CwHw – Salal – Labrador tea,,
CWHvh2/104,HwBa – Deer fern – Lanky moss,,
CWHvh2/105,HwBa – Deer fern – Sword fern,,
CWHvh2/110,HwBa – Deer fern – Foamflower,,
CWHvh2/111,BaHwSs – Devil's club – Salmonberry,,
CWHvh2/112,SsHw – Salmonberry – Lily-of-the-valley,Fh,high fluvial bench
CWHvh2/113,CwYc – Salal – Deer fern – Peat mosses,,
CWHvh2/120,Ss – Salal – Beaked mosses,,salt spray
CWHvh2/120.1,Ss – Salal – Beaked mosses; Salal variation,SS,salt spray
CWHvh2/120.2,Ss – Salal – Beaked mosses; Reedgrass variation,SS,salt spray
CWHvh2/Fm54,MbDr – Salmonberry – Sword fern,Fm,mid fluvial bench
CWHvh2/Wb51,Plc – Crowberry – Peat mosses,,
CWHvh2/Wb53,PlcYc – Tufted clubrush,,
CWHvh2/Wb53.2,PlcYc – Tufted clubrush; Tall shrub variation,,
CWHvh2/Wb53.3,PlcYc – Tufted clubrush; Low shrub variation,,
CWHvh2/Wb57,PlcYc – Deer cabbage – Peat mosses,,
CWHvh2/Ws54,CwHw – Azalea – Skunk cabbage,,
CWHvh2/Ws54.1,CwHw – Azalea – Skunk cabbage; Typic variation,,
CWHvh2/Ws54.2,CwHw – Azalea – Skunk cabbage; Yc variation,,
CWHvh2/Ws55,YcHm – Skunk cabbage,,
CWHvh2/Ws56,SsHw – Skunk cabbage,,
CWHvh2/Ws56.2,SsHw – Skunk cabbage; CwSs variation,,
CWHvh2/Ws56.3,SsHw – Skunk cabbage; HwSs variation,,
CWHvh2/Ws58,CwHw – Slough sedge,,
CWHvh2/Ws58.1,CwHw – Slough sedge; Typic variation,,
CWHvh2/Ws58.2,CwHw – Slough sedge; Yc variation,,
CWHvh2/Ws60,Ss – Crabapple – Slough sedge,SS,salt spray
CWHvh3/101,CwHw – Salal  – Deer fern,,
CWHvh3/101a,CwHw – Salal  – Deer fern; Mineral phase,,
CWHvh3/101b,CwHw – Salal  – Deer fern; Lithic phase,,
CWHvh3/101c,CwHw – Salal  – Deer fern; Peaty phase,,
CWHvh3/102,PlcYc – Crowberry – Rock moss,,
CWHvh3/103,Ss – Salal,SS,salt spray
CWHvh3/103.1,Ss – Salal; typic variation,SS,salt spray
CWHvh3/103.2,Ss – Salal; reedgrass variation,SS,salt spray
CWHvh3/104,SsHw – Oregon beaked moss,SS,salt spray
CWHvh3/105,HwSs – Lanky moss,,
CWHvh3/105a,HwSs – Lanky moss; Mineral phase,,
CWHvh3/105b,HwSs – Lanky moss; Lithic phase,,
CWHvh3/106,CwSs – Sword fern,,
CWHvh3/106a,CwSs – Sword fern; Mineral phase,,
CWHvh3/106b,CwSs – Sword fern; Lithic phase,,
CWHvh3/106c,CwSs – Sword fern; Limestone phase,,
CWHvh3/110,CwSs – Foamflower,,
CWHvh3/110a,CwSs – Foamflower; Colluvial/morainal phase,,
CWHvh3/110b,CwSs – Foamflower; Alluvial fan phase,Fh,high fluvial bench
CWHvh3/110c,CwSs – Foamflower; Limestone phase,,
CWHvh3/111,Ss – False lily-of-the-Valley,Fh,high fluvial bench
CWHvh3/112,Ss – Trisetum,Fm,mid fluvial bench
CWHvh3/114,CwSs – Devil’s club,,
CWHvh3/115,CwYc – Salal – Goldthread,,
CWHvh3/116,Ss – Pacific crabapple – Slough sedge,SS,salt spray
CWHvh3/117,CwSs – Skunk cabbage,,
CWHvh3/117a,CwSs – Skunk cabbage; Mineral phase,,
CWHvh3/117b,CwSs – Skunk cabbage; Organic phase,,
CWHvh3/Wb53,PlcYc – Tufted clubrush,,
CWHvh3/Wb53.1,PlcYc – Tufted clubrush; Wooded variation,,
CWHvh3/Wb53.2,PlcYc – Tufted clubrush; Tall shrub variation,,
CWHvh3/Wb54,Yc – Tufted clubrush – Tufted hairgrass,,
CWHvh3/Ws58,CwYc – Slough sedge,,
CWHvm1/101,HwBa – Blueberry – Lanky moss,,
CWHvm1/102,PlcHw – Salal – Reindeer lichens,,
CWHvm1/103,CwHw – Salal – Deer fern,,
CWHvm1/104,FdcHw – Blueberry – Salal,IN,insolation
CWHvm1/105,HwBa – Deer fern – Sword fern,,
CWHvm1/110,HwBa – Sword fern – Foamflower,,
CWHvm1/111,HwCw – Deer fern – Lanky moss,,
CWHvm1/111.1,HwCw – Deer fern – Lanky moss; Deer fern variation,,
CWHvm1/111.2,HwCw – Deer fern – Lanky moss; Salal variation,,
CWHvm1/112,BaHw – Salmonberry – Devil's club,,
CWHvm1/112.1,BaHw – Salmonberry – Devil's club; Salmonberry variation,,
CWHvm1/112.2,BaHw – Salmonberry – Devil's club; Devil's club variation,,
CWHvm1/113,CwHwYc – Goldthread – Peat mosses,,
CWHvm1/114,SsHw – Salmonberry – Lily-of-the-valley,Fh,high fluvial bench
CWHvm1/Fm50,ActDr – Salmonberry,Fm,mid fluvial bench
CWHvm1/Fm50.1,ActDr – Salmonberry; Salmonberry variation,Fm,mid fluvial bench
CWHvm1/Fm50.2,ActDr – Salmonberry; Devil's club variation,Fm,mid fluvial bench
CWHvm1/Fm54,MbDr – Salmonberry – Sword fern,Fm,mid fluvial bench
CWHvm1/Wb51,Plc – Crowberry – Peat mosses,,
CWHvm1/Wb53,PlcYc – Tufted clubrush,,
CWHvm1/Wb53.2,PlcYc – Tufted clubrush; Tall shrub variation,,
CWHvm1/Wb53.3,PlcYc – Tufted clubrush; Low shrub variation,,
CWHvm1/Wb55,Plc – Labrador tea – Peat mosses,,
CWHvm1/Wb55.1,Plc – Labrador tea – Peat mosses; Typic variation,,
CWHvm1/Wb56,PlcHw – Salal – Peat mosses,,
CWHvm1/Ws54,CwHw – Azalea – Skunk cabbage,,
CWHvm1/Ws54.1,CwHw – Azalea – Skunk cabbage; Typic variation,,
CWHvm1/Ws56,SsHw – Skunk cabbage,,
CWHvm1/Ws56.1,SsHw – Skunk cabbage; CwHw variation,,
CWHvm1/Ws58,CwHw – Slough sedge,,
CWHvm1/Ws58.1,CwHw – Slough sedge; Typic variation,,
CWHvm1/Ws60,Ss – Crabapple – Slough sedge,SS,salt spray
CWHvm2/101,HwBaYc – Blueberry – Lanky moss,,
CWHvm2/102,HwFdc – Salal – Rock mosses,,
CWHvm2/103,HwYc – Salal – Step moss,,
CWHvm2/104,HmYc – Copperbush – Mountain-heaths,SN,late snow
CWHvm2/105,FdcHw – Blueberry – Salal,IN,insolation
CWHvm2/110,HwBa – Blueberry – Foamflower,,
CWHvm2/111,HmBaYc – Deer fern – Lanky moss,,
CWHvm2/111.1,HmBaYc – Deer fern – Lanky moss; Deer fern variation,,
CWHvm2/111.2,HmBaYc – Deer fern – Lanky moss; Salal variation,,
CWHvm2/112,BaHw – Salmonberry – Devil's club,,
CWHvm2/112.1,BaHw – Salmonberry – Devil's club; Salmonberry variation,,
CWHvm2/112.2,BaHw – Salmonberry – Devil's club; Devil's club variation,,
CWHvm2/113,HmYc – Goldthread – Peat mosses,,
CWHvm2/114,HmYc – Deer cabbage – Peat mosses,,
