Retire,SS_class,Source,Zone,SubzoneGroup,Subzone,BGC_Label,BGC,BGCName,ZoneName,SubzoneName,VariantName,General Location,OldSubzoneLabel,DataSet,State,Notes
,,BGCv11,ICH,ICH_meso,ICHmw,ICH mw 5,ICHmw5,Granby Moist Warm ICH,Interior Cedar  –  Hemlock,Moist Warm,Granby,Moist Warm,,BC,BC,
,,BGCv11,ICH,ICH_wet,ICHvc,ICH vc,ICHvc,Very Wet Cold ICH,Interior Cedar  –  Hemlock,Very Wet Cold,,Very Wet Cold,,BC,BC,
,,BGCv11,ICH,ICH_wet,ICHvk,ICH vk 1,ICHvk1,Columbia Very Wet Cool ICH,Interior Cedar  –  Hemlock,Very Wet Cool,Columbia,Very Wet Cool,,BC,BC,
,,BGCv11,ICH,ICH_wet,ICHvk,ICH vk 2,ICHvk2,Slim Very Wet Cool ICH,Interior Cedar  –  Hemlock,Very Wet Cool,Slim,Very Wet Cool,,BC,BC,
,,BGCv11,ICH,ICH_wet,ICHwc,ICH wc,ICHwc,Wet Cold ICH,Interior Cedar  –  Hemlock,Wet Cold,,Wet Cold,,BC,BC,
,,BGCv11,ICH,ICH_wet,ICHwk,ICH wk 1,ICHwk1,Shuswap Wet Cool ICH,Interior Cedar  –  Hemlock,Wet Cool,Shuswap,Wet Cool,,BC,BC,
,,BGCv11,ICH,ICH_wet,ICHwk,ICH wk 2,ICHwk2,Quesnel Wet Cool ICH,Interior Cedar  –  Hemlock,Wet Cool,Quesnel,Wet Cool,,BC,BC,
,,BGCv11,ICH,ICH_wet,ICHwk,ICH wk 3,ICHwk3,Goat Wet Cool ICH,Interior Cedar  –  Hemlock,Wet Cool,Goat,Wet Cool,,BC,BC,
,,BGCv11,ICH,ICH_wet,ICHwk,ICH wk 4,ICHwk4,Cariboo Wet Cool ICH,Interior Cedar  –  Hemlock,Wet Cool,Cariboo,Wet Cool,,BC,BC,
,,BGCv11,ICH,ICH_dry,ICHxw,ICH xw,ICHxw,Very Dry Warm ICH,Interior Cedar  –  Hemlock,Very Dry Warm,,Very Dry Warm,,BC,BC,
,,BGCv11,ICH,ICH_dry,ICHxwa,ICH xw  a,ICHxwa,Very Dry Warm ICH,Interior Cedar  –  Hemlock,Very Dry Warm,,Very Dry Warm,,BC,BC,
,,BGCv11,IDF,IDF_cool,IDFdc,IDF dc,IDFdc,Dry Cold IDF,Interior Douglas-fir,Dry Cold,,Dry Cold,,BC,BC,
,,BGCv11,IDF,IDF_cool,IDFdk,IDF dk 1,IDFdk1,Thompson Dry Cool IDF,Interior Douglas-fir,Dry Cool,Thompson,Dry Cool,,BC,BC,
,,BGCv11,IDF,IDF_cool,IDFdk,IDF dk 2,IDFdk2,Cascade Dry Cool IDF,Interior Douglas-fir,Dry Cool,Cascade,Dry Cool,,BC,BC,
,,BGCv11,IDF,IDF_cool,IDFdk,IDF dk 3,IDFdk3,Fraser Dry Cool IDF,Interior Douglas-fir,Dry Cool,Fraser,Dry Cool,,BC,BC,
,,BGCv11,IDF,IDF_cool,IDFdk,IDF dk 4,IDFdk4,Chilcotin Dry Cool IDF,Interior Douglas-fir,Dry Cool,Chilcotin,Dry Cool,,BC,BC,
,,BGCv11,IDF,IDF_cool,IDFdk,IDF dk 5,IDFdk5,Columbia Dry Cool IDF,Interior Douglas-fir,Dry Cool,Columbia,Dry Cool,,BC,BC,
,no,BGCv11,ESSF,ESSF_meso,ESSFmvp,ESSFmvp,ESSFmvp,Moist Very Cold Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Very Cold Parkland,,Moist Very Cold Parkland,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmw,ESSFmw,ESSFmw,Moist Warm ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Warm,,Moist Warm,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmw,ESSFmw 1,ESSFmw1,Cascade Moist Warm ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Warm,Cascade,Moist Warm,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmw,ESSFmw 2,ESSFmw2,Stein Moist Warm ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Warm,Stein,Moist Warm,,BC,BC,
,no,BGCv11,ESSF,ESSF_meso,ESSFmwp,ESSFmwp,ESSFmwp,Moist Warm Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Warm Parkland,,Moist Warm Parkland,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmww,ESSFmww,ESSFmww,Moist Warm Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Warm Woodland,,Moist Warm Woodland,,BC,BC,
,no,BGCv11,ESSF,ESSF_meso,ESSFun,ESSFun,ESSFun,Undifferentiated ESSF,Engelmann Spruce  –  Subalpine Fir,Undifferentiated,,Undifferentiated,,BC,BC,
,no,BGCv11,ESSF,ESSF_meso,ESSFunp,ESSFunp,ESSFunp,Undifferentiated Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Undifferentiated Parkland,,Undifferentiated parkland,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFvc,ESSFvc,ESSFvc,Very Wet Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Very Wet Cold,,Very Wet Cold,,BC,BC,
,no,BGCv11,ESSF,ESSF_wet,ESSFvcp,ESSFvcp,ESSFvcp,Very Wet Cold Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Very Wet Cold Parkland,,Very Wet Cold Parkland,,BC,BC,
,no,BGCv11,ESSF,ESSF_wet,ESSFvcw,ESSFvcw,ESSFvcw,Very Wet Cold Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Very Wet Cold Woodland,,Very Wet Cold Woodland,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwc,ESSFwc 2,ESSFwc2,Monashee Wet Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Cold,Monashee,Wet Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwc,ESSFwc 3,ESSFwc3,Cariboo Wet Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Cold,Cariboo,Wet Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwc,ESSFwc 4,ESSFwc4,Selkirk Wet Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Cold,Selkirk,Wet Cold,,BC,BC,
,no,BGCv11,ESSF,ESSF_wet,ESSFwcp,ESSFwcp,ESSFwcp,Wet Cold Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Cold Parkland,,Wet Cold Parkland,,BC,BC,
