"","Source","Zone","SubzoneGroup","Subzone","BGC","BGCName","ZoneName","SubzoneName","VariantName","General.Location","OldSubzoneLabel","DataSet","State","Notes"
"1","AB_2018","IMA","IMA","IMAab","IMAab","Alberta IMA","Interior Mountain-heather Alpine","Alberta","","Alberta Rocky Mountains","AT  ab","AB","AB",""
"8","AB_2020","BWBS","BWBS_cold","BWBSlb","BWBSlbN","Northern Lower Boreal Highlands BWBS","Boreal White and Black Spruce","Lower Boreal Highlands","Northern","","BWBSlb","AB","AB",""
"9","AB_2018","BSJP","BSJP","BSJPap","BSJPap","Athabasca Plain BSJP","Boreal Spruce and Jack Pine","Athabasca Plain","","NE Alberta","BWSPap","AB","AB",""
"10","AB_2020","BWBS","BWBS_meso","BWBScm","BWBScmC","Central Mixedwood BWBS","Boreal White and Black Spruce","Mixedwood","Central","N Alberta","BWSPcm","AB","AB",""
"11","AB_2020","BWBS","BWBS_meso","BWBScm","BWBScmE","Eastern Mixedwood BWBS","Boreal White and Black Spruce","Mixedwood","Eastern","N Alberta","BWSPcm","AB","AB",""
"12","AB_2020","BWBS","BWBS_meso","BWBScm","BWBScmNW","Northwestern Mixedwood BWBS","Boreal White and Black Spruce","Mixedwood","Northwestern","N Alberta","BWSPcm","AB","AB",""
"13","AB_2020","BWBS","BWBS_meso","BWBScm","BWBScmW","Western Mixedwood BWBS","Boreal White and Black Spruce","Mixedwood","Western","N Alberta","BWSPcm","AB","AB",""
"14","AB_2020","BWBS","BWBS_meso","BWBSdm","BWBSdmN","Northern Dry Mixedwood BWBS","Boreal White and Black Spruce","Dry Mixedwood","Northern","NW Alberta","BWSPdm","AB","AB",""
"15","AB_2020","BWBS","BWBS_meso","BWBSdm","BWBSdmS","Southern Dry Mixedwood BWBS","Boreal White and Black Spruce","Dry Mixedwood","Southern","NW Alberta","BWSPdm","AB","AB",""
"16","AB_2020","BWBS","BWBS_cold","BWBSlb","BWBSlbE","Eastern Lower Boreal Highlands BWBS","Boreal White and Black Spruce","Lower Boreal Highlands","Eastern","WC Alberta","BWSPlb","AB","AB",""
"17","AB_2020","BWBS","BWBS_cold","BWBSlb","BWBSlbW","Western Lower Boreal Highlands BWBS","Boreal White and Black Spruce","Lower Boreal Highlands","Western","WC Alberta","BWSPlb","AB","AB",""
"18","AB_2018","BWBS","BWBS_meso","BWBSnm","BWBSnm","Northern Mixedwood BWBS","Boreal White and Black Spruce","Northern Mixedwood","","N Alberta","BWSPnm","AB","AB",""
"19","AB_2018","BSJP","BSJP","BSJPpa","BSJPpa","Peace - Athabasca Delta BSJP","Boreal Spruce and Jack Pine","Peace - Athabasca Delta","","NE Alberta","BWSPpa","AB","AB",""
"20","AB_2018","BWBS","BWBS_warm","BWBSpp","BWBSpp","Peace River Parkland BWBS","Boreal White and Black Spruce","Peace River Parkland","","WC Alberta","BWSPpp","AB","AB",""
"21","AB_2018","BWBS","BWBS_cold","BWBSub","BWBSub","Upper Boreal Highlands BWBS","Boreal White and Black Spruce","Upper Boreal Highlands","","WC Alberta","BWSPup","AB","AB",""
"50","AB_2018","ESSF","ESSF_dry","ESSFab","ESSFabC","Central Alberta ESSF","Engelmann Spruce – Subalpine Fir","Alberta","Central","","ESSFab","AB","AB",""
"51","AB_2018","ESSF","ESSF_dry","ESSFab","ESSFabE","Eastern Alberta ESSF","Engelmann Spruce – Subalpine Fir","Alberta","Eastern","","ESSFab","AB","AB",""
"52","AB_2018","ESSF","ESSF_dry","ESSFab","ESSFabN","Northern Alberta ESSF","Engelmann Spruce – Subalpine Fir","Alberta","Northern","","ESSFab","AB","AB",""
"53","AB_2018","ESSF","ESSF_dry","ESSFab","ESSFabS","Southern Alberta ESSF","Engelmann Spruce – Subalpine Fir","Alberta","Southern","","ESSFab","AB","AB",""
"66","AB_2018","MGP","MGP","MGPdm","MGPdm","Dry Mixed Grass MGP","Mixed-grass Prairie","Dry Mixed Grass","","Alberta","FF  dm","USA","MT",""
"67","AB_2018","MGP","MGP","MGPmg","MGPmg","Mixed Grass MGP","Mixed-grass Prairie","Mixed Grass","","Alberta","FF  mg","USA","MT",""
"69","AB_2018","FG","FG","FGnf","FGnf","Northern FG","Fescue Grassland","Northern","","S Alberta","FG  nf","AB","AB",""
"89","BGCv11","IDF","IDF_hot","IDFxw","IDFxw","Very Dry Warm IDF","Interior Douglas-fir","Very Dry Warm","","","IDF xw","BC","BC",""
"129","AB_2020","MS","MS_meso","MSab","MSabN","Northern Alberta North MS","Montane Spruce","Alberta North","Northern","SW Alberta","MSFPab","AB","AB",""
"130","AB_2020","MS","MS_meso","MSab","MSabS","Southern Alberta South MS","Montane Spruce","Alberta South","Southern","SW Alberta","MSFPab","AB","AB",""
"140","AB_2018","SAS","SAS","SASbo","SASbo","Boreal SAS","Sub-arctic Spruce","Boreal","","N Alberta","SAWSbo","AB","AB",""
"141","AB_2018","BSJP","BSJP","BSJPku","BSJPku","Kazan Upland BSJP","Boreal Spruce and Jack Pine","Kazan Upland","","NE Alberta","SAWSku","AB","AB",""
"142","AB_2018","SBAP","SBAP","SBAPcp","SBAPcp","Central Parkland SBAP","Sub-boreal Aspen Parkland","Central Parkland","","EC Alberta","SBAPcp","AB","AB","No classification. Use edatopic space and ecosites from adjacent Boreal Mixedwood"
"144","AB_2018","BWBS","BWBS_warm","BWBSlf","BWBSlf","Lower Foothills BWBS","Boreal White and Black Spruce","Lower Foothills","","WC Alberta","SBPAlf","AB","AB",""
"145","AB_2018","BWBS","BWBS_warm","BWBSuf","BWBSuf","Upper Foothills BWBS","Boreal White and Black Spruce","Upper Foothills","","WC Alberta","SBPAuf","AB","AB",""
