"","Source","Zone","SubzoneGroup","Subzone","BGC","BGCName","ZoneName","SubzoneName","VariantName","General.Location","OldSubzoneLabel","DataSet","State","Notes"
"1","AB_2018","IMA","IMA","IMAab","IMAab","Alberta IMA","Interior Mountain-heather Alpine","Alberta","","Alberta Rocky Mountains","AT  ab","AB","AB",""
"2","AB_2020","BWBS","BWBS_cold","BWBSlb","BWBSlbN","Northern Lower Boreal Highlands BWBS","Boreal White and Black Spruce","Lower Boreal Highlands","Northern","","BWBSlb","AB","AB",""
"3","AB_2018","BSJP","BSJP","BSJPap","BSJPap","Athabasca Plain BSJP","Boreal Spruce and Jack Pine","Athabasca Plain","","NE Alberta","BWSPap","AB","AB",""
"4","AB_2020","BWBS","BWBS_meso","BWBScm","BWBScmC","Central Mixedwood BWBS","Boreal White and Black Spruce","Mixedwood","Central","N Alberta","BWSPcm","AB","AB",""
"5","AB_2020","BWBS","BWBS_meso","BWBScm","BWBScmE","Eastern Mixedwood BWBS","Boreal White and Black Spruce","Mixedwood","Eastern","N Alberta","BWSPcm","AB","AB",""
"6","AB_2020","BWBS","BWBS_meso","BWBScm","BWBScmNW","Northwestern Mixedwood BWBS","Boreal White and Black Spruce","Mixedwood","Northwestern","N Alberta","BWSPcm","AB","AB",""
"7","AB_2020","BWBS","BWBS_meso","BWBScm","BWBScmW","Western Mixedwood BWBS","Boreal White and Black Spruce","Mixedwood","Western","N Alberta","BWSPcm","AB","AB",""
"8","AB_2020","BWBS","BWBS_meso","BWBSdm","BWBSdmN","Northern Dry Mixedwood BWBS","Boreal White and Black Spruce","Dry Mixedwood","Northern","NW Alberta","BWSPdm","AB","AB",""
"9","AB_2020","BWBS","BWBS_meso","BWBSdm","BWBSdmS","Southern Dry Mixedwood BWBS","Boreal White and Black Spruce","Dry Mixedwood","Southern","NW Alberta","BWSPdm","AB","AB",""
"10","AB_2020","BWBS","BWBS_cold","BWBSlb","BWBSlbE","Eastern Lower Boreal Highlands BWBS","Boreal White and Black Spruce","Lower Boreal Highlands","Eastern","WC Alberta","BWSPlb","AB","AB",""
"11","AB_2020","BWBS","BWBS_cold","BWBSlb","BWBSlbW","Western Lower Boreal Highlands BWBS","Boreal White and Black Spruce","Lower Boreal Highlands","Western","WC Alberta","BWSPlb","AB","AB",""
"12","AB_2018","BWBS","BWBS_meso","BWBSnm","BWBSnm","Northern Mixedwood BWBS","Boreal White and Black Spruce","Northern Mixedwood","","N Alberta","BWSPnm","AB","AB",""
"13","AB_2018","BSJP","BSJP","BSJPpa","BSJPpa","Peace - Athabasca Delta BSJP","Boreal Spruce and Jack Pine","Peace - Athabasca Delta","","NE Alberta","BWSPpa","AB","AB",""
"14","AB_2018","BWBS","BWBS_warm","BWBSpp","BWBSpp","Peace River Parkland BWBS","Boreal White and Black Spruce","Peace River Parkland","","WC Alberta","BWSPpp","AB","AB",""
"15","AB_2018","BWBS","BWBS_cold","BWBSub","BWBSub","Upper Boreal Highlands BWBS","Boreal White and Black Spruce","Upper Boreal Highlands","","WC Alberta","BWSPup","AB","AB",""
"16","AB_2018","ESSF","ESSF_dry","ESSFab","ESSFabC","Central Alberta ESSF","Engelmann Spruce – Subalpine Fir","Alberta","Central","","ESSFab","AB","AB",""
"17","AB_2018","ESSF","ESSF_dry","ESSFab","ESSFabE","Eastern Alberta ESSF","Engelmann Spruce – Subalpine Fir","Alberta","Eastern","","ESSFab","AB","AB",""
"18","AB_2018","ESSF","ESSF_dry","ESSFab","ESSFabN","Northern Alberta ESSF","Engelmann Spruce – Subalpine Fir","Alberta","Northern","","ESSFab","AB","AB",""
"19","AB_2018","ESSF","ESSF_dry","ESSFab","ESSFabS","Southern Alberta ESSF","Engelmann Spruce – Subalpine Fir","Alberta","Southern","","ESSFab","AB","AB",""
"20","AB_2018","MGP","MGP","MGPdm","MGPdm","Dry Mixed Grass MGP","Mixed-grass Prairie","Dry Mixed Grass","","Alberta","FF  dm","USA","MT",""
"21","AB_2018","MGP","MGP","MGPmg","MGPmg","Mixed Grass MGP","Mixed-grass Prairie","Mixed Grass","","Alberta","FF  mg","USA","MT",""
"22","AB_2018","FG","FG","FGnf","FGnf","Northern FG","Fescue Grassland","Northern","","S Alberta","FG  nf","AB","AB",""
"23","BGCv11","IDF","IDF_hot","IDFxw","IDFxw","Very Dry Warm IDF","Interior Douglas-fir","Very Dry Warm","","","IDF xw","BC","BC",""
"24","AB_2020","MS","MS_meso","MSab","MSabN","Northern Alberta North MS","Montane Spruce","Alberta North","Northern","SW Alberta","MSFPab","AB","AB",""
"25","AB_2020","MS","MS_meso","MSab","MSabS","Southern Alberta South MS","Montane Spruce","Alberta South","Southern","SW Alberta","MSFPab","AB","AB",""
"26","AB_2018","SAS","SAS","SASbo","SASbo","Boreal SAS","Sub-arctic Spruce","Boreal","","N Alberta","SAWSbo","AB","AB",""
"27","AB_2018","BSJP","BSJP","BSJPku","BSJPku","Kazan Upland BSJP","Boreal Spruce and Jack Pine","Kazan Upland","","NE Alberta","SAWSku","AB","AB",""
"28","AB_2018","SBAP","SBAP","SBAPcp","SBAPcp","Central Parkland SBAP","Sub-boreal Aspen Parkland","Central Parkland","","EC Alberta","SBAPcp","AB","AB","No classification. Use edatopic space and ecosites from adjacent Boreal Mixedwood"
"29","AB_2018","BWBS","BWBS_warm","BWBSlf","BWBSlf","Lower Foothills BWBS","Boreal White and Black Spruce","Lower Foothills","","WC Alberta","SBPAlf","AB","AB",""
"30","AB_2018","BWBS","BWBS_warm","BWBSuf","BWBSuf","Upper Foothills BWBS","Boreal White and Black Spruce","Upper Foothills","","WC Alberta","SBPAuf","AB","AB",""
"31","BGCv11","ICH","ICH_meso","ICHmw","ICHmw5","Granby Moist Warm ICH","Interior Cedar  –  Hemlock","Moist Warm","Granby","","","BC","BC",""
"32","BGCv11","ICH","ICH_wet","ICHvc","ICHvc","Very Wet Cold ICH","Interior Cedar  –  Hemlock","Very Wet Cold","","","","BC","BC",""
"33","BGCv11","ICH","ICH_wet","ICHvk","ICHvk1","Columbia Very Wet Cool ICH","Interior Cedar  –  Hemlock","Very Wet Cool","Columbia","","","BC","BC",""
"34","BGCv11","ICH","ICH_wet","ICHvk","ICHvk2","Slim Very Wet Cool ICH","Interior Cedar  –  Hemlock","Very Wet Cool","Slim","","","BC","BC",""
"35","BGCv11","ICH","ICH_wet","ICHwc","ICHwc","Wet Cold ICH","Interior Cedar  –  Hemlock","Wet Cold","","","","BC","BC",""
"36","BGCv11","ICH","ICH_wet","ICHwk","ICHwk1","Shuswap Wet Cool ICH","Interior Cedar  –  Hemlock","Wet Cool","Shuswap","","","BC","BC",""
"37","BGCv11","ICH","ICH_wet","ICHwk","ICHwk2","Quesnel Wet Cool ICH","Interior Cedar  –  Hemlock","Wet Cool","Quesnel","","","BC","BC",""
"38","BGCv11","ICH","ICH_wet","ICHwk","ICHwk3","Goat Wet Cool ICH","Interior Cedar  –  Hemlock","Wet Cool","Goat","","","BC","BC",""
"39","BGCv11","ICH","ICH_wet","ICHwk","ICHwk4","Cariboo Wet Cool ICH","Interior Cedar  –  Hemlock","Wet Cool","Cariboo","","","BC","BC",""
"40","BGCv11","ICH","ICH_dry","ICHxw","ICHxw","Very Dry Warm ICH","Interior Cedar  –  Hemlock","Very Dry Warm","","","","BC","BC",""
"41","BGCv11","ICH","ICH_dry","ICHxwa","ICHxwa","Very Dry Warm ICH","Interior Cedar  –  Hemlock","Very Dry Warm","","","","BC","BC",""
"42","BGCv11","IDF","IDF_cool","IDFdc","IDFdc","Dry Cold IDF","Interior Douglas-fir","Dry Cold","","","","BC","BC",""
"43","BGCv11","IDF","IDF_cool","IDFdk","IDFdk1","Thompson Dry Cool IDF","Interior Douglas-fir","Dry Cool","Thompson","","","BC","BC",""
"44","BGCv11","IDF","IDF_cool","IDFdk","IDFdk2","Cascade Dry Cool IDF","Interior Douglas-fir","Dry Cool","Cascade","","","BC","BC",""
"45","BGCv11","IDF","IDF_cool","IDFdk","IDFdk3","Fraser Dry Cool IDF","Interior Douglas-fir","Dry Cool","Fraser","","","BC","BC",""
"46","BGCv11","IDF","IDF_cool","IDFdk","IDFdk4","Chilcotin Dry Cool IDF","Interior Douglas-fir","Dry Cool","Chilcotin","","","BC","BC",""
"47","BGCv11","IDF","IDF_cool","IDFdk","IDFdk5","Columbia Dry Cool IDF","Interior Douglas-fir","Dry Cool","Columbia","","","BC","BC",""
"48","BGCv11","ESSF","ESSF_meso","ESSFmvp","ESSFmvp","Moist Very Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Moist Very Cold Parkland","","","","BC","BC",""
"49","BGCv11","ESSF","ESSF_meso","ESSFmw","ESSFmw1","Cascade Moist Warm ESSF","Engelmann Spruce  –  Subalpine Fir","Moist Warm","Cascade","","","BC","BC",""
"50","BGCv11","ESSF","ESSF_meso","ESSFmw","ESSFmw2","Stein Moist Warm ESSF","Engelmann Spruce  –  Subalpine Fir","Moist Warm","Stein","","","BC","BC",""
"51","BGCv11","ESSF","ESSF_meso","ESSFmwp","ESSFmwp","Moist Warm Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Moist Warm Parkland","","","","BC","BC",""
"52","BGCv11","ESSF","ESSF_meso","ESSFmww","ESSFmww","Moist Warm Woodland ESSF","Engelmann Spruce  –  Subalpine Fir","Moist Warm Woodland","","","","BC","BC",""
"53","BGCv11","ESSF","ESSF_meso","ESSFunp","ESSFunp","Undifferentiated Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Undifferentiated Parkland","","","","BC","BC",""
"54","BGCv11","ESSF","ESSF_wet","ESSFvc","ESSFvc","Very Wet Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Very Wet Cold","","","","BC","BC",""
"55","BGCv11","ESSF","ESSF_wet","ESSFvcp","ESSFvcp","Very Wet Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Wet Cold Parkland","","","","BC","BC",""
"56","BGCv11","ESSF","ESSF_wet","ESSFvcw","ESSFvcw","Very Wet Cold Woodland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Wet Cold Woodland","","","","BC","BC",""
"57","BGCv11","ESSF","ESSF_wet","ESSFwc","ESSFwc2","Monashee Wet Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Cold","Monashee","","","BC","BC",""
"58","BGCv11","ESSF","ESSF_wet","ESSFwc","ESSFwc3","Cariboo Wet Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Cold","Cariboo","","","BC","BC",""
"59","BGCv11","ESSF","ESSF_wet","ESSFwc","ESSFwc4","Selkirk Wet Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Cold","Selkirk","","","BC","BC",""
"60","BGCv11","ESSF","ESSF_wet","ESSFwcp","ESSFwcp","Wet Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Cold Parkland","","","","BC","BC",""
"61","BGCv11","ESSF","ESSF_wet","ESSFwcw","ESSFwcw","Wet Cold Woodland ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Cold Woodland","","","","BC","BC",""
"62","BGCv11","ESSF","ESSF_wet","ESSFwh","ESSFwh1","Columbia Wet Hot ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Hot","Columbia","","","BC","BC",""
"63","BGCv11","ESSF","ESSF_wet","ESSFwh","ESSFwh2","St Mary Wet Hot ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Hot","St Mary","","","BC","BC",""
"64","BGCv11","ESSF","ESSF_wet","ESSFwh","ESSFwh3","Salmo Wet Hot ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Hot","Salmo","","","BC","BC",""
"65","BGCv11","ESSF","ESSF_wet","ESSFwk","ESSFwk1","Cariboo Wet Cool ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Cool","Cariboo","","","BC","BC",""
"66","BGCv11","ESSF","ESSF_wet","ESSFwk","ESSFwk2","Misinchinka Wet Cool ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Cool","Misinchinka","","","BC","BC",""
"67","BGCv11","ESSF","ESSF_wet","ESSFwm","ESSFwm1","Fernie Wet Mild ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Mild","Fernie","","","BC","BC",""
"68","BGCv11","ESSF","ESSF_wet","ESSFwm","ESSFwm2","Purcell Wet Mild ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Mild","Purcell","","","BC","BC",""
"69","BGCv11","ESSF","ESSF_wet","ESSFwm","ESSFwm3","Ymir Wet Mild ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Mild","Ymir","","","BC","BC",""
"70","BGCv11","ESSF","ESSF_wet","ESSFwm","ESSFwm4","Moyie Wet Mild ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Mild","Moyie","","","BC","BC",""
"71","BGCv11","ESSF","ESSF_wet","ESSFwmp","ESSFwmp","Wet Mild Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Mild Parkland","","","","BC","BC",""
"72","BGCv11","ESSF","ESSF_wet","ESSFwmw","ESSFwmw","Wet Mild Woodland ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Mild Woodland","","","","BC","BC",""
"73","BGCv11","ESSF","ESSF_wet","ESSFwv","ESSFwv","Wet Very Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Very Cold","","","","BC","BC",""
"74","BGCv11","ESSF","ESSF_wet","ESSFwvp","ESSFwvp","Wet Very Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Very Cold Parkland","","","","BC","BC",""
"75","BGCv11","ESSF","ESSF_dry","ESSFxc","ESSFxc1","Similkameen Very Dry Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Cold","Similkameen","","","BC","BC",""
"76","BGCv11","ESSF","ESSF_dry","ESSFxc","ESSFxc2","Thompson Very Dry Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Cold","Thompson","","","BC","BC",""
"77","BGCv11","ESSF","ESSF_dry","ESSFxc","ESSFxc3","Pavillion Very Dry Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Cold","Pavillion","","","BC","BC",""
"78","BGCv11","ESSF","ESSF_dry","ESSFxcp","ESSFxcp","Very Dry Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Cold Parkland","","","","BC","BC",""
"79","BGCv11","ESSF","ESSF_dry","ESSFxcw","ESSFxcw","Very Dry Cold Woodland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Cold Woodland","","","","BC","BC",""
"80","BGCv11","ESSF","ESSF_dry","ESSFxv","ESSFxv1","West Chilcotin Very Dry Very Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Very Cold","West Chilcotin","","","BC","BC",""
"81","BGCv11","ESSF","ESSF_dry","ESSFxv","ESSFxv2","Big Creek Very Dry Very Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Very Cold","Big Creek","","","BC","BC",""
"82","BGCv11","ESSF","ESSF_dry","ESSFxvp","ESSFxvp","Very Dry Very Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Very Cold Parkland","","","","BC","BC",""
"83","BGCv11","ESSF","ESSF_dry","ESSFxvw","ESSFxvw","Very Dry Very Cold Woodland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Very Cold Woodland","","","","BC","BC",""
"84","BGCv11","ICH","ICH_dry","ICHdk","ICHdk","Dry Cool ICH","Interior Cedar  –  Hemlock","Dry Cool","","","","BC","BC",""
"85","BGCv11","ICH","ICH_dry","ICHdm","ICHdm","Dry Mild ICH","Interior Cedar  –  Hemlock","Dry Mild","","","","BC","BC",""
"86","BGCv11","ICH","ICH_dry","ICHdw","ICHdw1","West Kootenay Dry Warm ICH","Interior Cedar  –  Hemlock","Dry Warm","West Kootenay","","","BC","BC",""
"87","BGCv11","ICH","ICH_dry","ICHdw","ICHdw3","North Thompson Dry Warm ICH","Interior Cedar  –  Hemlock","Dry Warm","North Thompson","","","BC","BC",""
"88","BGCv11","ICH","ICH_dry","ICHdw","ICHdw4","Shuswap Dry Warm ICH","Interior Cedar  –  Hemlock","Dry Warm","Shuswap","","","BC","BC",""
"89","BGCv11","ICH","ICH_meso","ICHmc","ICHmc1","Nass Moist Cold ICH","Interior Cedar  –  Hemlock","Moist Cold","Nass","","","BC","BC",""
"90","BGCv11","ICH","ICH_meso","ICHmca","ICHmc1a","Nass Moist Cold ICH","Interior Cedar  –  Hemlock","Moist Cold","Nass","","","BC","BC",""
"91","BGCv11","ICH","ICH_meso","ICHmc","ICHmc2","Hazelton Moist Cold ICH","Interior Cedar  –  Hemlock","Moist Cold","Hazelton","","","BC","BC",""
"92","BGCv11","ICH","ICH_meso","ICHmk","ICHmk1","Okanagan Moist Cool ICH","Interior Cedar  –  Hemlock","Moist Cool","Okanagan","","","BC","BC",""
"93","BGCv11","ICH","ICH_meso","ICHmk","ICHmk2","Thompson Moist Cool ICH","Interior Cedar  –  Hemlock","Moist Cool","Thompson","","","BC","BC",""
"94","BGCv11","ICH","ICH_meso","ICHmk","ICHmk3","Horsefly Moist Cool ICH","Interior Cedar  –  Hemlock","Moist Cool","Horsefly","","","BC","BC",""
"95","BGCv11","ICH","ICH_meso","ICHmk","ICHmk4","Kootenay Moist Cool ICH","Interior Cedar  –  Hemlock","Moist Cool","Kootenay","","","BC","BC",""
"96","BGCv11","ICH","ICH_meso","ICHmk","ICHmk5","Kootenay Moist Cool ICH","Interior Cedar  –  Hemlock","Moist Cool","Kootenay","","","BC","BC",""
"97","BGCv11","ICH","ICH_meso","ICHmm","ICHmm","Moist Mild ICH","Interior Cedar  –  Hemlock","Moist Mild","","","","BC","BC",""
"98","BGCv11","ICH","ICH_meso","ICHmw","ICHmw1","Kinbasket Moist Warm ICH","Interior Cedar  –  Hemlock","Moist Warm","Kinbasket","","","BC","BC",""
"99","BGCv11","ICH","ICH_meso","ICHmw","ICHmw2","Shuswap Moist Warm ICH","Interior Cedar  –  Hemlock","Moist Warm","Shuswap","","","BC","BC",""
"100","BGCv11","ICH","ICH_meso","ICHmw","ICHmw3","Thompson Moist Warm ICH","Interior Cedar  –  Hemlock","Moist Warm","Thompson","","","BC","BC",""
"101","BGCv11","ICH","ICH_meso","ICHmw","ICHmw4","Ymir Moist Warm ICH","Interior Cedar  –  Hemlock","Moist Warm","Ymir","","","BC","BC",""
"102","BGCv11","IDF","IDF_meso","IDFdm","IDFdm1","Kettle Dry Mild IDF","Interior Douglas-fir","Dry Mild","Kettle","","","BC","BC",""
"103","BGCv11","IDF","IDF_meso","IDFdm","IDFdm2","Kootenay Dry Mild IDF","Interior Douglas-fir","Dry Mild","Kootenay","","","BC","BC",""
"104","BGCv11","IDF","IDF","IDFdw","IDFdw","Dry Warm IDF","Interior Douglas-fir","Dry Warm","","","","BC","BC",""
"105","BGCv11","IDF","ICH_dry","IDFmw","IDFmw2","Thompson Moist Warm IDF","Interior Douglas-fir","Moist Warm","Thompson","","","BC","BC",""
"106","BGCv11","IDF","IDF_meso","IDFww","IDFww","Wet Warm IDF","Interior Douglas-fir","Wet Warm","","","","BC","BC",""
"107","BGCv11","IDF","IDF_hot","IDFxc","IDFxc","Very Dry Cold IDF","Interior Douglas-fir","Very Dry Cold","","","","BC","BC",""
"108","BGCv11","IDF","IDF_hot","IDFxh","IDFxh1","Okanagan Very Dry Hot IDF","Interior Douglas-fir","Very Dry Hot","Okanagan","","","BC","BC",""
"109","BGCv11","IDF","IDF_hot","IDFxh","IDFxh2","Thompson Very Dry Hot IDF","Interior Douglas-fir","Very Dry Hot","Thompson","","","BC","BC",""
