BGCv12(2021),BGCv9(2014),CHANGED = FALSE,Historic Mgmt (if different),Interim Mgmt (if no field guide),Field Guide Source (newest; official),New Field Guide,BGC Introduced Date,BGC Retired Date,Appraisal year
BGxh1,BGxh1,TRUE,,,LMH76,2021,,,
BGxh2,BGxh2,TRUE,,,LMH76,2021,,,
BGxh3,BGxh3,TRUE,,,LMH 23,,,,
BGxw1,BGxw1,TRUE,,,LMH76,2021,,,
BGxw2,BGxw2,TRUE,,,LMH 23,,,,
BWBSdk,BWBSdk,TRUE,BWBSdk1 and BWBSdk2,,LMH 65,2011,2011,,
BWBSmk,BWBSmk,TRUE,BWBSmw2,,LMH 65,2011,2011,,
BWBSmw,BWBSmw,TRUE,BWBSmw1 ,,LMH 65,2011,2011,,
BWBSvk,BWBSvk,TRUE,,,LMH 65,2011,1990s,,
BWBSwk 1,BWBSwk 1,TRUE,,,LMH 65,2011,1990s,,
BWBSwk 2,BWBSwk 2,TRUE,,,LMH 65,2011,1990s,,
BWBSwk 3,BWBSwk 3,TRUE,,,LMH 65,2011,1990s,,
CWHdm,CWHdm,TRUE,,,LMH 28,,,,
CWHds1,CWHds1,TRUE,,,LMH 28,,,,
CWHds2,CWHds2,TRUE,,,LMH 28,,,,
CWHmm1,CWHmm1,TRUE,,,LMH 28,,,,
CWHmm2,CWHmm2,TRUE,,,LMH 28,,,,
CWHms1,CWHms1,TRUE,,,LMH 28,,,,
CWHms2,CWHms2,TRUE,,,LMH 28,,,,
CWHun,CWHun,TRUE,,,contact regional ecologist,,,,
CWHvh1,CWHvh1,TRUE,,,LMH 28,,,,
CWHvh2,CWHvh2,TRUE,,,LMH 28,,,,
CWHvh3,CWHvh3,TRUE,CWHvh2,,LMH 68,2014,2014,,
CWHvm1,CWHvm1,TRUE,,,LMH 28,,,,
CWHvm2,CWHvm2,TRUE,,,LMH 28,,,,
CWHwh1,CWHwh1,TRUE,,,LMH 68,2014,,,
CWHwh2,CWHwh2,TRUE,,,LMH 68,2014,,,
CWHwm,CWHwm,TRUE,,,LMH 28,,,,
CWHws1,CWHws1,TRUE,,,LMH 28,,,,
CWHws2,CWHws2,TRUE,,,LMH 28,,,,
CWHxm1,CWHxm1,TRUE,,,LMH 28,,,,
CWHxm2,CWHxm2,TRUE,,,LMH 28,,,,
ESSFdc1 ,ESSFdc1 ,TRUE,,,LMH 75,2021,1990s,,
ESSFdc2,ESSFdc2,TRUE,,,LMH76,2021,1990s,,
ESSFdc3,ESSFdc3,TRUE,ESSFdc2,,LMH 23 (as ESSFdc2),,2006,,
ESSFdcp,ESSFdcp,TRUE,,,NBEC - See TR068,,,,
ESSFdcw  ,ESSFdcw  ,TRUE,,,LMH 75,2021,2003,,
ESSFdh1,MSmw1,FALSE,ESSFmw,,LMH76,2021,2021,,
ESSFdh1,MSmw1,FALSE,,,LMH76,2021,,,
ESSFdh2,MSmw2,FALSE,,ESSFmw,LMH 23 (as ESSFmw),2021,2006,,
ESSFdh2,MSmw2,FALSE,,ESSFmw,LMH 23 (as ESSFmw),,2006,,
ESSFdk1,ESSFdk1,TRUE,ESSFdk,,LMH 71,2018,2006,,
ESSFdk2 ,ESSFdk2 ,TRUE,ESSFdk,,LMH 71,2018,2006,,
ESSFdkp,ESSFdkp,TRUE,,,NBEC - See TR068,,,,
ESSFdkw  ,ESSFdkw  ,TRUE,ESSFdku,,LMH 71,2018,2006-2016,,
ESSFdv1,ESSFdv1,TRUE,,ESSFdv,LMH 23 (as ESSFdv),,,,
ESSFdv2,ESSFdv2,TRUE,,ESSFdv,LMH 23 (as ESSFdv),,,,
ESSFdvw,ESSFdvw,TRUE,,ESSFdv/ESSFdvp,LMH 23 (as ESSFdv),,,,
ESSFmc,ESSFmc,TRUE,,,LMH 26,,,,
ESSFmcw,ESSFmc,FALSE,ESSFmc/ESSFmcp,,LMH 26 Supplement 2,2021,2021,,
ESSFmh,ESSFdc1,FALSE,ESSFdc1/ESSFwc1/ICHmw2/ICHmk1,,LMH 75,2021,2016,,
ESSFmk,ESSFmk,TRUE,,,LMH 26,,,,
ESSFmkw,ESSFmk,FALSE,ESSFmk/ESSFmkp,,LMH 26 Supplement 2,2021,2021,,
ESSFmm1,ESSFmm1,TRUE,,,Draft guide (2007) available at https://www.for.gov.bc.ca/hre/becweb/Downloads/Downloads_SubzoneReports/ESSFmm1.pdf,,2008,,
ESSFmm2,ESSFmm2,TRUE,,ESSFmm 1,Draft guide (2007) as ESSFmm1,,2008,,
ESSFmm3,ESSFwm,FALSE,ESSFwm,,LMH 71 (Sup),2018,2018,,
ESSFmv1,ESSFmv1,TRUE,,,LMH 24,,,,
ESSFmv2,ESSFmv2,TRUE,,,LMH 29,,,,
ESSFmv3,ESSFmv3,TRUE,,,LMH 54,,,,
ESSFmv4,ESSFmv4,TRUE,,,LMH 29,,,,
ESSFmw,ESSFmw,TRUE,,ESSFmw,LMH 28 (Coast) - as ESSFmw,,2006,,
ESSFmw1,ESSFmw,FALSE,ESSFmw,,LMH76,2021,2006,,
ESSFmw2,ESSFmw,FALSE,,ESSFmw,LMH23 (KAM) LMH 28 (Coast) - as ESSFmw,,2006,,
ESSFun,"ESSFmc,ESSFwv, un",FALSE,,"ESSFmc, ESSFwv","LMH 26 (as ESSFmc or ESSFwv, as per previous mapping)",,2018,,
ESSFunp,"ESSFmcp,ESSFwvp, unp",FALSE,,"ESSFmcp, ESSFwvp","LMH 26 (as ESSFmcp or ESSFwvp, as per previous mapping)",,2018,,
ESSFvc,ESSFvc,TRUE,,,LMH 20 (NEL) LMH 23 (KAM),,,,
ESSFvcp,ESSFvcp,TRUE,,,NBEC - See TR068,,,,
ESSFvcw,ESSFvcw,TRUE,,ESSFvc/ ESSFvcp,LMH 20 (NEL) LMH 23 (KAM) use ESSFvc,,2006,,
ESSFwc2,ESSFwc2,TRUE,,,LMH 23,,1990s,,
ESSFwc3,ESSFwc3,TRUE,,,LMH 29 (PG) LMH 39 (CAR),,,,
ESSFwc4 ,ESSFwc4 ,TRUE,,,LMH 70,2016,1990s,,
ESSFwcp,ESSFwcp,TRUE,,,NBEC - See TR068,,,,
ESSFwcw,ESSFwcw,TRUE,ESSFwcw (ESSFvv above ESSFwc2),,LMH 70,2016,2003-2016,,
ESSFwh1,ESSFwc1,FALSE,ESSFwc1,,LMH 70,2016,1990s,,
ESSFwh2,ESSFwm,FALSE,ESSFwm,,LMH 70,2016,2016,,
ESSFwh3,ESSFwc5,FALSE,ESSFwc1,,LMH 70,2016,2016,,
ESSFwk1,ESSFwk1,TRUE,,,LMH 39 (CAR) LMH 51 (PG),,,,
ESSFwk2,ESSFwk2,TRUE,,,LMH 29,,,,
ESSFwm1,ESSFwm,FALSE,ESSFwm,,LMH 71,,,,
ESSFwm2,ESSFwm,FALSE,ESSFwm,,LMH 70,2016,2016,,
ESSFwm3,ESSFwc6,FALSE,ESSFwc4 ,,LMH 70,2016,2016,,
ESSFwm4,ESSFdm,FALSE,ESSFdm,,LMH 70,2016,2016,,
ESSFwmp,ESSFwmp/ESSFdmp,FALSE,ESSFwmp/ESSFdmp,,NBEC - See TR068,,,,
ESSFwmw,ESSFwmw/ESSFdmw,FALSE,ESSFwmw / ESSFdmw,,LMH 70,2016,2003,,
ESSFwv,ESSFwv,TRUE,,,LMH 26,,,,
ESSFwvw,ESSFwv,FALSE,ESSFwv/ESSFwvp,,LMH 26 Supplement 2,2021,2021,,
ESSFxc1,ESSFxc,FALSE,,,LMH76,2021,2006,,
ESSFxc2,ESSFxc,FALSE,,,LMH76,2021,2006,,
ESSFxc3,ESSFxc,FALSE,,ESSFxc,LMH 23 (as ESSFxc),,2006,,
ESSFxcw,ESSFxcw,TRUE,,ESSFxc,LMH 23 (as ESSFxc),,,,
ESSFxv 1,ESSFxv 1,TRUE,,,LMH 39,,,,
ESSFxv 2,ESSFxv 2,TRUE,,,LMH 39 (sup 1),,,,
ESSFxvw,ESSFxvw,TRUE,,ESSFxv1/xv2,LMH 39 (as ESSFxv1 or xv2),,2006,,
ICHdk,ICHdk,TRUE,,,LMH 39,,,,
ICHdm,ICHdm,TRUE,,,LMH 70,2016,2003,,
ICHdw1,ICHdw1,TRUE,ICHdw,,LMH 70,2016,2003,,
ICHdw3,ICHmw3,FALSE,,ICH mw 3,LMH 23 (as ICHmw3),,2006,,
ICHdw4,ICHmw2,FALSE,ICHmw2,,LMH 75,2016,2016,,
ICHmc1,ICHmc1,TRUE,,,LMH 26,,,,
ICHmc2,ICHmc2,TRUE,,,LMH 26,,,,
ICHmk1,ICHmk1,TRUE,,,LMH 75,2021,1990s,,
ICHmk2,ICHmk2,TRUE,,,LMH 23,,,,
ICHmk3,ICHmk3,TRUE,,,LMH 39,,,,
ICHmk4,ICHmk4,TRUE,ICHmk1,,LMH 71,2018,2007,,
ICHmk5,ICHmk4,FALSE,ICHmk1,,LMH 71 (Sup),2018,2018,,
ICHmm,ICHmm,TRUE,,,Draft guide (2007) available at https://www.for.gov.bc.ca/hre/becweb/Downloads/Downloads_SubzoneReports/ICHmm.pdf,,,,
ICHmw1,ICHmw1,TRUE,,,LMH 20,,,,
ICHmw2,ICHmw2,TRUE,,,LMH 70,2016,1990s,,
ICHmw3,ICHmw3,TRUE,,,LMH 23,,,,
ICHmw4,ICHmw4,TRUE,ICHmw2,,LMH 70,2016,2003,,
ICHmw5,ICHmw2,FALSE,ICHmw2/ICHmk1,,LMH 75,2021,2016,,
ICHvc,ICHvc,TRUE,,,LMH 26,,,,
ICHvk1,ICHvk1,TRUE,,,LMH 20 (NEL) LMH 23 (KAM),,,,
