"","SS_NoSpace","SiteSeriesLongName","SpecialCode","Special"
"1","BGxh1/102","Py – Antelope-brush – Three-awn","",""
"2","BGxh1/103","Py(Fd) – Bluebunch wheatgrass – Selaginella","",""
"3","BGxh1/110","Py – Sumac – Mock-orange","",""
"4","BGxh1/Fm01","Cottonwood – Snowberry – Rose","Fm","mid fluvial bench"
"5","BGxh1/Fm05","Cottonwood – Douglas-fir – Douglas maple – Snowberry","Fm","mid fluvial bench"
"6","BGxh1/Fm06","Cottonwood – Poison ivy – Rose","Fm","mid fluvial bench"
"7","BGxh2/102","Py – Rabbit-brush – Bluebunch wheatgrass","",""
"8","BGxh2/110","Fd(Py) – Snowberry – Oregon-grape","",""
"9","BGxh2/Fm01","Cottonwood – Snowberry – Rose","Fm","mid fluvial bench"
"10","BGxh2/Fm06","Cottonwood – Poison ivy – Rose","Fm","mid fluvial bench"
"11","BGxh3/110","Fd – Bluebunch wheatgrass – Step moss","CAS","cold aspects"
"12","BGxh3/111","Fd – Rocky Mountain juniper – Bluebunch wheatgrass","",""
"13","BGxh3/112","Act – Snowberry – Rose","Fm","mid fluvial bench"
"14","BGxh3/113","Act(Fd) – Douglas maple – Snowberry","Fm","mid fluvial bench"
"15","BGxw1/102","Py – Rabbit-brush – Bluebunch wheatgrass","",""
"16","BGxw1/110","Py(Fd) – Bluebunch wheatgrass – Rough fescue","",""
"17","BGxw1/111","Fd – Snowberry – Step moss","",""
"18","BGxw1/Fm01","Cottonwood – Snowberry – Rose","Fm","mid fluvial bench"
"19","BGxw1/Fm05","Cottonwood – Douglas-fir – Douglas maple – Snowberry","Fm","mid fluvial bench"
"20","BGxw2/110","Fd – Rocky Mountain juniper – Bluebunch wheatgrass","CAS","cold aspects"
"21","BGxw2/111","Fd – Bluebunch wheatgrass – Step moss","CAS","cold aspects"
"22","BGxw2/112","Act – Snowberry – Rose","Fm","mid fluvial bench"
"23","BGxw2/113","Fd – Pinegrass – Feathermoss","",""
"24","BWBSdk/101","Sw – Soopolallie – Step moss","",""
"25","BWBSdk/101a","Sw – Soopolallie – Step moss; Mesic phase","",""
"26","BWBSdk/101b","Sw – Soopolallie – Step moss; Subhygric phase","",""
"27","BWBSdk/102","Pl – Kinnikinnick – Lingonberry","",""
"28","BWBSdk/103","SwPl – Soopolallie – Toad-flax","IN","insolation"
"29","BWBSdk/104","Sb – Labrador tea – Step moss","CA","cold aspects - cold air"
"30","BWBSdk/104a","Sb – Labrador tea – Step moss; Freely drained phase","CA","cold aspects - cold air"
"31","BWBSdk/104b","Sw – Soopolallie – Step moss; Imperfectly drained phase","CA","cold aspects - cold air"
"32","BWBSdk/110","Sw – Currant – Horsetail","Fh","high fluvial bench"
"33","BWBSdk/111","Sw – Mountain alder – Horsetail","Fm","mid fluvial bench"
"34","BWBSdk/112","AcbSw – Mountain alder – Dogwood","Fm","mid fluvial bench"
"35","BWBSdk/Fm20","Balsam Poplar – Spruce – Mountain alder – Dogwood","Fm","mid fluvial bench"
"36","BWBSdk/Wb03","Sb – Lingonberry – Peat moss","",""
"37","BWBSdk/Wb09","Sb – Horsetail – Peat moss","",""
"38","BWBSdk/Wb11","Sb – Buckbean – Peat moss","",""
"39","BWBSdk/Ws15","SwSb – Labrador tea – Glow moss","",""
"40","BWBSmk/101","Sw – Lingonberry – Step moss","",""
"41","BWBSmk/102","Pl – Kinnikinnick – Lingonberry","",""
"42","BWBSmk/103","SwPl – Soopolallie – Fuzzy-spiked wildrye","IN","insolation"
"43","BWBSmk/104","Sb – Labrador tea – Step moss","CA","cold aspects - cold air"
"44","BWBSmk/104a","Sb – Labrador tea – Step moss; Freely drained phase","CA","cold aspects - cold air"
"45","BWBSmk/104b","Sb – Labrador tea – Step moss; Imperfectly/poorly drained phase","CA","cold aspects - cold air"
"46","BWBSmk/110","Sw – Currant – Horsetail","",""
"47","BWBSmk/111","Sw – Mountain alder – Horsetail","Fh","high fluvial bench"
"48","BWBSmk/112","AcbSw – Mountain alder – Dogwood","Fm","mid fluvial bench"
"49","BWBSmk/Fm20","Balsam Poplar – Spruce – Mountain alder – Dogwood","Fm","mid fluvial bench"
"50","BWBSmk/Wb03","Sb – Lingonberry – Peat moss","",""
"51","BWBSmk/Wb05","Sb – Water sedge – Peat moss","",""
"52","BWBSmk/Wb06","Lt – Water sedge – Fen moss","",""
"53","BWBSmk/Wb09","Sb – Common horsetail – Peat moss","",""
