,bgc,ss_nospace,sppsplit,suitability,spp,newsuit,mod,outrange
1,BGxh3,BGxh3/110,Fdi,2,Fd,3,KI,FALSE
2,BGxh3,BGxh3/111,Fdi,2,Fd,3,KI,FALSE
3,BGxh3,BGxh3/112,Act,1,Ac,2,KI,FALSE
4,BGxh3,BGxh3/112,Fdi,4,Fd,4,KI,FALSE
5,BGxh3,BGxh3/113,Act,1,Ac,1,KI,FALSE
6,BGxh3,BGxh3/113,Fdi,2,Fd,3,KI,FALSE
7,BGxh3,BGxh3/Fm01,X,NA,X,NA,VC,FALSE
8,BGxw2,BGxw2/110,Fdi,2,Fd,3,KI,FALSE
9,BGxw2,BGxw2/111,Fdi,2,Fd,3,KI,FALSE
10,BGxw2,BGxw2/112,Act,2,Ac,2,KI,FALSE
11,BGxw2,BGxw2/112,At,4,At,4,KI,FALSE
12,BGxw2,BGxw2/113,Fdi,1,Fd,2,KI,FALSE
13,BGxw2,BGxw2/113,At,4,At,4,KI,FALSE
14,BGxw2,BGxw2/114,At,1,At,1,KI,FALSE
15,BGxw2,BGxw2/115,At,1,At,1,KI,FALSE
16,BWBSdk,BWBSdk/101,Acb,3,Ac,3,DS,FALSE
17,BWBSdk,BWBSdk/101,At,1,At,1,DS,FALSE
18,BWBSdk,BWBSdk/101,Bl,2,Bl,2,DS,FALSE
19,BWBSdk,BWBSdk/101,Ep,3,Ep,3,DS,FALSE
20,BWBSdk,BWBSdk/101,Pli,1,Pl,1,DS,FALSE
21,BWBSdk,BWBSdk/101,Sb,3,Sb,3,DS,FALSE
22,BWBSdk,BWBSdk/101,Sw,1,Sx,1,DS,FALSE
23,BWBSdk,BWBSdk/101,Sw,1,Sx,1,DS,FALSE
24,BWBSdk,BWBSdk/101a,Acb,3,Ac,3,WHM,FALSE
25,BWBSdk,BWBSdk/101a,At,1,At,1,WHM,FALSE
26,BWBSdk,BWBSdk/101a,Bl,2,Bl,2,WHM,FALSE
27,BWBSdk,BWBSdk/101a,Ep,3,Ep,3,WHM,FALSE
28,BWBSdk,BWBSdk/101a,Pli,1,Pl,1,WHM,FALSE
29,BWBSdk,BWBSdk/101a,Sb,3,Sb,3,WHM,FALSE
30,BWBSdk,BWBSdk/101a,Sw,1,Sx,1,WHM,FALSE
31,BWBSdk,BWBSdk/101b,Acb,2,Ac,2,WHM,FALSE
32,BWBSdk,BWBSdk/101b,At,2,At,2,WHM,FALSE
33,BWBSdk,BWBSdk/101b,Bl,2,Bl,2,WHM,FALSE
34,BWBSdk,BWBSdk/101b,Ep,3,Ep,3,WHM,FALSE
35,BWBSdk,BWBSdk/101b,Pli,1,Pl,1,WHM,FALSE
36,BWBSdk,BWBSdk/101b,Sb,2,Sb,2,WHM,FALSE
37,BWBSdk,BWBSdk/101b,Sw,1,Sx,1,WHM,FALSE
38,BWBSdk,BWBSdk/102,At,3,At,3,DS,FALSE
39,BWBSdk,BWBSdk/102,Bl,3,Bl,3,DS,FALSE
40,BWBSdk,BWBSdk/102,Pli,2,Pl,2,DS,FALSE
41,BWBSdk,BWBSdk/102,Sw,3,Sx,3,DS,FALSE
42,BWBSdk,BWBSdk/103,At,2,At,2,DS,FALSE
43,BWBSdk,BWBSdk/103,Bl,2,Bl,3,DS,FALSE
44,BWBSdk,BWBSdk/103,Ep,3,Ep,3,DS,FALSE
45,BWBSdk,BWBSdk/103,Pli,1,Pl,1,DS,FALSE
46,BWBSdk,BWBSdk/103,Sb,3,Sb,3,DS,FALSE
47,BWBSdk,BWBSdk/103,Sw,1,Sx,1,DS,FALSE
48,BWBSdk,BWBSdk/104,At,2,At,2,DS,FALSE
