"","grp","chng_type","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange"
"1",119,"+","BGxh3","BGxh3/Fm01","X",NA,"X",NA,"VC",FALSE
"2",660,"+","BWBSlf","BWBSlf/a","X",NA,"X",NA,"VC",FALSE
"3",688,"+","BWBSlf","BWBSlf/g","X",NA,"X",NA,"VC",FALSE
"4",706,"+","BWBSlf","BWBSlf/n","X",NA,"X",NA,"VC",FALSE
"5",818,"+","BWBSnm","BWBSnm/l","X",NA,"X",NA,"VC",FALSE
"6",858,"+","BWBSpp","BWBSpp/l","X",NA,"X",NA,"VC",FALSE
"7",890,"+","BWBSuf","BWBSuf/a","X",NA,"X",NA,"VC",FALSE
"8",912,"+","BWBSuf","BWBSuf/g","X",NA,"X",NA,"VC",FALSE
"9",1014,"+","Bgxxx_WY","Bgxxx_WY/110","Jr",3,"Jr",3,"",FALSE
"10",1015,"+","Bgxxx_WY","Bgxxx_WY/110","Ju",1,"Ju",1,"",FALSE
"11",1016,"+","Bgxxx_WY","Bgxxx_WY/110","Pe",2,"Pe",2,"",FALSE
"12",1017,"+","Bgxxx_WY","Bgxxx_WY/111","Aa",1,"Aa",1,"",FALSE
"13",1018,"+","Bgxxx_WY","Bgxxx_WY/Gg1","X",NA,"X",NA,"",FALSE
"14",1019,"+","Bgxxx_WY","Bgxxx_WY/Gg2","X",NA,"X",NA,"",FALSE
"15",1020,"+","Bgxxx_WY","Bgxxx_WY/Ro","X",NA,"X",NA,"",FALSE
"16",2018,"-","CWHdm2","CWHdm2/101a","Ac",3,"Ac",3,"DVM",FALSE
"17",2019,"-","CWHdm2","CWHdm2/101a","Bg",NA,"Bg",3,"DVM",FALSE
"18",2020,"-","CWHdm2","CWHdm2/101a","Cw",2,"Cw",2,"DVM",FALSE
"19",2021,"-","CWHdm2","CWHdm2/101a","Dr",2,"Dr",2,"DVM",FALSE
"20",2022,"-","CWHdm2","CWHdm2/101a","Ep",3,"Ep",3,"DVM",FALSE
"21",2023,"-","CWHdm2","CWHdm2/101a","Fdc",1,"Fd",1,"DVM",FALSE
"22",2024,"-","CWHdm2","CWHdm2/101a","Gp",NA,"Gp",3,"DVM",FALSE
"23",2025,"-","CWHdm2","CWHdm2/101a","Hw",1,"Hw",1,"DVM",FALSE
"24",2026,"-","CWHdm2","CWHdm2/101a","Kc",NA,"Kc",3,"DVM",FALSE
"25",2027,"-","CWHdm2","CWHdm2/101a","Mb",2,"Mb",2,"DVM",FALSE
"26",2028,"-","CWHdm2","CWHdm2/101a","Pw",3,"Pw",3,"DVM",FALSE
"27",2029,"-","CWHdm2","CWHdm2/101a","Ra",5,"Ra",5,"DVM",FALSE
"28",2030,"-","CWHdm2","CWHdm2/101b","Ac",3,"Ac",3,"DVM",FALSE
"29",2031,"-","CWHdm2","CWHdm2/101b","Cw",2,"Cw",2,"DVM",FALSE
"30",2032,"-","CWHdm2","CWHdm2/101b","Dr",2,"Dr",2,"DVM",FALSE
"31",2033,"-","CWHdm2","CWHdm2/101b","Ep",3,"Ep",3,"DVM",FALSE
"32",2034,"-","CWHdm2","CWHdm2/101b","Fdc",1,"Fd",1,"DVM",FALSE
"33",2035,"-","CWHdm2","CWHdm2/101b","Hw",1,"Hw",1,"DVM",FALSE
"34",2036,"-","CWHdm2","CWHdm2/101b","Mb",2,"Mb",2,"DVM",FALSE
"35",2037,"-","CWHdm2","CWHdm2/101b","Pw",3,"Pw",3,"DVM",FALSE
"36",2038,"-","CWHdm2","CWHdm2/101b","Ra",5,"Ra",5,"DVM",FALSE
"37",5263,"+","ESSFabC","ESSFabC/a","X",NA,"X",NA,"VC",FALSE
"38",5274,"+","ESSFabC","ESSFabC/e","X",NA,"X",NA,"VC",FALSE
"39",5287,"+","ESSFabE","ESSFabE/a","X",NA,"X",NA,"VC",FALSE
"40",5298,"+","ESSFabE","ESSFabE/e","X",NA,"X",NA,"VC",FALSE
"41",5311,"+","ESSFabN","ESSFabN/a","X",NA,"X",NA,"VC",FALSE
"42",5322,"+","ESSFabN","ESSFabN/e","X",NA,"X",NA,"VC",FALSE
"43",5335,"+","ESSFabS","ESSFabS/a","X",NA,"X",NA,"VC",FALSE
"44",5346,"+","ESSFabS","ESSFabS/e","X",NA,"X",NA,"VC",FALSE
"45",6974,"+","ESSFxc3","ESSFxc3/03","X",NA,"X",NA,"VC",FALSE
"46",6975,"+","ESSFxc3","ESSFxc3/04","X",NA,"X",NA,"VC",FALSE
"47",6992,"+","ESSFxc3","ESSFxc3/09","X",NA,"X",NA,"VC",FALSE
"48",11949,"+","MSabN","MSabN/a","X",NA,"X",NA,"VC",FALSE
"49",11975,"+","MSabS","MSabS/a","X",NA,"X",NA,"VC",FALSE
"50",13237,"+","SBAPcp","SBAPcp/a","X",NA,"X",NA,"VC",FALSE
"51",13253,"+","SBAPcp","SBAPcp/i","X",NA,"X",NA,"VC",FALSE
"52",13254,"+","SBAPcp","SBAPcp/j","X",NA,"X",NA,"VC",FALSE
"53",13255,"+","SBAPcp","SBAPcp/k","X",NA,"X",NA,"VC",FALSE
"54",13256,"+","SBAPfp","SBAPfp/d","X",NA,"X",NA,"VC",FALSE
