"","grp","chng_type","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange"
"1",748,"+","BWBSmw","BWBSmw/101","Acb",3,"Ac",2,"DS",FALSE
"2",748,"-","BWBSmw","BWBSmw/101","Acb",3,"Ac",3,"C4",FALSE
"3",749,"+","BWBSmw","BWBSmw/101","At",1,"At",1,"DS",FALSE
"4",749,"-","BWBSmw","BWBSmw/101","At",1,"At",1,"C4",FALSE
"5",750,"+","BWBSmw","BWBSmw/101","Ep",3,"Ep",2,"DS",FALSE
"6",750,"-","BWBSmw","BWBSmw/101","Ep",3,"Ep",3,"C4",FALSE
"7",751,"+","BWBSmw","BWBSmw/101","Pli",1,"Pl",1,"DS",FALSE
"8",751,"-","BWBSmw","BWBSmw/101","Pli",1,"Pl",1,"C4",FALSE
"9",752,"+","BWBSmw","BWBSmw/101","Sb",3,"Sb",3,"DS",FALSE
"10",752,"-","BWBSmw","BWBSmw/101","Sb",3,"Sb",3,"C4",FALSE
"11",753,"+","BWBSmw","BWBSmw/101","Sw",1,"Sx",1,"DS",FALSE
"12",753,"-","BWBSmw","BWBSmw/101","Sw",1,"Sx",1,"C4",FALSE
"13",754,"+","BWBSmw","BWBSmw/102","At",3,"At",3,"DS",FALSE
"14",754,"-","BWBSmw","BWBSmw/102","At",3,"At",3,"B2",FALSE
"15",755,"+","BWBSmw","BWBSmw/102","Pli",2,"Pl",2,"DS",FALSE
"16",755,"-","BWBSmw","BWBSmw/102","Pli",2,"Pl",2,"B2",FALSE
"17",757,"+","BWBSmw","BWBSmw/103","At",1,"At",1,"DS",FALSE
"18",757,"-","BWBSmw","BWBSmw/103","At",1,"At",1,"",FALSE
"19",758,"+","BWBSmw","BWBSmw/103","Pli",1,"Pl",1,"DS",FALSE
"20",758,"-","BWBSmw","BWBSmw/103","Pli",1,"Pl",1,"",FALSE
"21",759,"+","BWBSmw","BWBSmw/103","Sw",2,"Sx",2,"DS",FALSE
"22",759,"-","BWBSmw","BWBSmw/103","Sw",2,"Sx",2,"",FALSE
"23",760,"+","BWBSmw","BWBSmw/104","At",3,"At",3,"DS",FALSE
"24",760,"-","BWBSmw","BWBSmw/104","At",3,"At",3,"",FALSE
"25",761,"+","BWBSmw","BWBSmw/104","Pli",1,"Pl",1,"DS",FALSE
"26",761,"-","BWBSmw","BWBSmw/104","Pli",1,"Pl",1,"",FALSE
"27",762,"+","BWBSmw","BWBSmw/104","Sb",2,"Sb",2,"DS",FALSE
"28",762,"-","BWBSmw","BWBSmw/104","Sb",2,"Sb",2,"",FALSE
"29",763,"-","BWBSmw","BWBSmw/104","Sw",3,"Sx",3,"",FALSE
"30",764,"+","BWBSmw","BWBSmw/110","Acb",2,"Ac",2,"DS",FALSE
"31",764,"-","BWBSmw","BWBSmw/110","Acb",2,"Ac",2,"",FALSE
