"","grp","chng_type","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange"
"1",14530,"-","SWBun","SWBun/-101","At",2,"At",3,"",FALSE
"2",14531,"-","SWBun","SWBun/-101","Bl",2,"Bl",3,"",FALSE
"3",14532,"-","SWBun","SWBun/-101","Pli",2,"Pl",3,"",FALSE
"4",14533,"-","SWBun","SWBun/-101","Sb",2,"Sb",3,"",FALSE
"5",14534,"-","SWBun","SWBun/-101","Sw",2,"Sx",2,"",FALSE
"6",14535,"-","SWBun","SWBun/-102","At",3,"At",5,"",FALSE
"7",14536,"-","SWBun","SWBun/-102","Bl",3,"Bl",5,"",FALSE
"8",14537,"-","SWBun","SWBun/-102","Pli",3,"Pl",5,"",FALSE
"9",14538,"-","SWBun","SWBun/-102","Sb",3,"Sb",5,"",FALSE
"10",14539,"-","SWBun","SWBun/-102","Sw",3,"Sx",5,"",FALSE
"11",14540,"-","SWBun","SWBun/-103","At",2,"At",3,"",FALSE
"12",14541,"-","SWBun","SWBun/-103","Bl",2,"Bl",5,"",FALSE
"13",14542,"-","SWBun","SWBun/-103","Pli",2,"Pl",3,"",FALSE
"14",14543,"-","SWBun","SWBun/-103","Sb",2,"Sb",5,"",FALSE
"15",14544,"-","SWBun","SWBun/-103","Sw",2,"Sx",3,"",FALSE
"16",14545,"-","SWBun","SWBun/-104","At",2,"At",3,"",FALSE
"17",14546,"-","SWBun","SWBun/-104","Bl",2,"Bl",3,"",FALSE
"18",14547,"-","SWBun","SWBun/-104","Pli",2,"Pl",3,"",FALSE
"19",14548,"-","SWBun","SWBun/-104","Sb",2,"Sb",5,"",FALSE
"20",14549,"-","SWBun","SWBun/-104","Sw",2,"Sx",3,"",FALSE
"21",14550,"-","SWBun","SWBun/-110","At",2,"At",2,"",FALSE
"22",14551,"-","SWBun","SWBun/-110","Bl",2,"Bl",3,"",FALSE
"23",14552,"-","SWBun","SWBun/-110","Pli",2,"Pl",3,"",FALSE
"24",14553,"-","SWBun","SWBun/-110","Sb",2,"Sb",5,"",FALSE
"25",14554,"-","SWBun","SWBun/-110","Sw",2,"Sx",2,"",FALSE
"26",14555,"-","SWBun","SWBun/-111","At",2,"At",5,"",FALSE
"27",14556,"-","SWBun","SWBun/-111","Bl",2,"Bl",5,"",FALSE
"28",14557,"-","SWBun","SWBun/-111","Pli",2,"Pl",5,"",FALSE
"29",14558,"-","SWBun","SWBun/-111","Sb",2,"Sb",3,"",FALSE
"30",14559,"-","SWBun","SWBun/-111","Sw",2,"Sx",3,"",FALSE
"31",14560,"-","SWBun","SWBun/-112","At",3,"At",5,"D6",FALSE
"32",14561,"-","SWBun","SWBun/-112","Bl",3,"Bl",5,"D6",FALSE
"33",14562,"-","SWBun","SWBun/-112","Pli",3,"Pl",5,"D6",FALSE
"34",14563,"-","SWBun","SWBun/-112","Sb",3,"Sb",5,"D6",FALSE
"35",14564,"-","SWBun","SWBun/-112","Sw",3,"Sx",2,"D6",FALSE
"36",14565,"-","SWBun","SWBun/-113","At",2,"At",5,"",FALSE
"37",14566,"-","SWBun","SWBun/-113","Bl",2,"Bl",5,"",FALSE
"38",14567,"-","SWBun","SWBun/-113","Pli",2,"Pl",5,"",FALSE
"39",14568,"-","SWBun","SWBun/-113","Sb",2,"Sb",3,"",FALSE
"40",14569,"-","SWBun","SWBun/-113","Sw",2,"Sx",5,"",FALSE
"41",14570,"-","SWBun","SWBun/-114","At",2,"At",5,"",FALSE
"42",14571,"-","SWBun","SWBun/-114","Bl",2,"Bl",5,"",FALSE
"43",14572,"-","SWBun","SWBun/-114","Pli",2,"Pl",5,"",FALSE
"44",14573,"-","SWBun","SWBun/-114","Sb",2,"Sb",3,"",FALSE
"45",14574,"-","SWBun","SWBun/-114","Sw",2,"Sx",3,"",FALSE
"46",14575,"+","SWBun","SWBun/h","Acb",5,"Ac",3,NA,FALSE
"47",14576,"+","SWBun","SWBun/h","At",3,"At",5,NA,FALSE
"48",14577,"+","SWBun","SWBun/h","Bl",3,"Bl",5,NA,FALSE
"49",14578,"+","SWBun","SWBun/h","Pli",3,"Pl",5,NA,FALSE
"50",14579,"+","SWBun","SWBun/h","Sb",3,"Sb",3,NA,FALSE
"51",14580,"+","SWBun","SWBun/h","Sw",3,"Sx",2,NA,FALSE
"52",14581,"+","SWBun","SWBun/m","Acb",5,"Ac",5,NA,FALSE
"53",14582,"+","SWBun","SWBun/m","At",2,"At",3,NA,FALSE
"54",14583,"+","SWBun","SWBun/m","Bl",2,"Bl",3,NA,FALSE
"55",14584,"+","SWBun","SWBun/m","Pli",2,"Pl",3,NA,FALSE
"56",14585,"+","SWBun","SWBun/m","Sb",2,"Sb",3,NA,FALSE
"57",14586,"+","SWBun","SWBun/m","Sw",2,"Sx",2,NA,FALSE
"58",14587,"+","SWBun","SWBun/x","Acb",5,"Ac",5,NA,FALSE
"59",14588,"+","SWBun","SWBun/x","At",2,"At",3,NA,FALSE
"60",14589,"+","SWBun","SWBun/x","Bl",3,"Bl",5,NA,FALSE
"61",14590,"+","SWBun","SWBun/x","Pli",2,"Pl",3,NA,FALSE
"62",14591,"+","SWBun","SWBun/x","Sb",3,"Sb",5,NA,FALSE
"63",14592,"+","SWBun","SWBun/x","Sw",2,"Sx",3,NA,FALSE
