"","grp","chng_type","Source","BGC","SS_NoSpace","Edatopic"
"1",6275,"-","BECv10","ESSFmw","ESSFmw/01","A3"
"2",6276,"-","BECv10","ESSFmw","ESSFmw/01","A4"
"3",6277,"-","BECv10","ESSFmw","ESSFmw/01","B3"
"4",6278,"-","BECv10","ESSFmw","ESSFmw/01","B4"
"5",6279,"-","BECv10","ESSFmw","ESSFmw/01","C3"
"6",6280,"-","BECv10","ESSFmw","ESSFmw/01","C4"
"7",6281,"-","BECv10","ESSFmw","ESSFmw/01","D3"
"8",6282,"-","BECv10","ESSFmw","ESSFmw/01","D4"
"9",6283,"-","BECv10","ESSFmw","ESSFmw/02","A0"
"10",6284,"-","BECv10","ESSFmw","ESSFmw/02","A1"
"11",6285,"-","BECv10","ESSFmw","ESSFmw/02","B0"
"12",6286,"-","BECv10","ESSFmw","ESSFmw/02","B1"
"13",6287,"-","BECv10","ESSFmw","ESSFmw/02","C0"
"14",6288,"-","BECv10","ESSFmw","ESSFmw/02","C1"
"15",6289,"-","BECv10","ESSFmw","ESSFmw/02","D0"
"16",6290,"-","BECv10","ESSFmw","ESSFmw/02","D1"
"17",6291,"-","BECv10","ESSFmw","ESSFmw/03","A1"
"18",6292,"-","BECv10","ESSFmw","ESSFmw/03","A2"
"19",6293,"-","BECv10","ESSFmw","ESSFmw/03","A3"
"20",6294,"-","BECv10","ESSFmw","ESSFmw/03","B1"
"21",6295,"-","BECv10","ESSFmw","ESSFmw/03","B2"
"22",6296,"-","BECv10","ESSFmw","ESSFmw/03","B3"
"23",6297,"-","BECv10","ESSFmw","ESSFmw/03","C1"
"24",6298,"-","BECv10","ESSFmw","ESSFmw/03","C2"
"25",6299,"-","BECv10","ESSFmw","ESSFmw/03","C3"
"26",6300,"-","BECv10","ESSFmw","ESSFmw/03","D1"
"27",6301,"-","BECv10","ESSFmw","ESSFmw/03","D2"
"28",6302,"-","BECv10","ESSFmw","ESSFmw/03","D3"
"29",6303,"-","BECv10","ESSFmw","ESSFmw/04","A2"
"30",6304,"-","BECv10","ESSFmw","ESSFmw/04","A3"
"31",6305,"-","BECv10","ESSFmw","ESSFmw/04","A4"
"32",6306,"-","BECv10","ESSFmw","ESSFmw/04","B2"
"33",6307,"-","BECv10","ESSFmw","ESSFmw/04","B3"
"34",6308,"-","BECv10","ESSFmw","ESSFmw/04","B4"
"35",6309,"-","BECv10","ESSFmw","ESSFmw/04","C2"
"36",6310,"-","BECv10","ESSFmw","ESSFmw/04","C3"
"37",6311,"-","BECv10","ESSFmw","ESSFmw/04","C4"
