"","grp","chng_type","Source","BGC","SS_NoSpace","Edatopic"
"1",14289,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/101","B3"
"2",14290,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/101","B4"
"3",14291,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/101","C3"
"4",14292,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/101","C4"
"5",14293,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/101","D3"
"6",14294,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/101","D4"
"7",14295,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/110","B5"
"8",14296,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/110","C5"
"9",14297,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/110","D5"
"10",14298,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/110","E5"
"11",14299,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/111","B6"
"12",14300,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/111","C6"
"13",14301,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/113","D6"
"14",14302,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/113","E6"
"15",14303,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/Gg","A1"
"16",14304,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/Gg","A2"
"17",14305,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/Gg","B1"
"18",14306,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/Gg","B2"
"19",14307,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/Gg","C1"
"20",14308,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/Gg","C2"
"21",14309,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/Gg","D1"
"22",14310,"+","USA_2019","PPJWdm_WY","PPJWdm_WY/Gg","D2"
"23",14311,"+","Add_2021","PPJWdm_WY","PPJWdm_WY/Ro","A0"
"24",14312,"+","Add_2021","PPJWdm_WY","PPJWdm_WY/Ro","B0"
"25",14313,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/101","B3"
"26",14314,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/101","B4"
"27",14315,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/101","C3"
"28",14316,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/101","C4"
"29",14317,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/101","D3"
"30",14318,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/101","D4"
"31",14319,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/103","A2"
"32",14320,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/103","B2"
"33",14321,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/103","C2"
"34",14322,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/103","D2"
"35",14323,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/110","B5"
"36",14324,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/110","C5"
"37",14325,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/110","D5"
"38",14326,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/110","E5"
"39",14327,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/111","B6"
"40",14328,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/111","C6"
"41",14329,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/113","D6"
"42",14330,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/113","E6"
"43",14331,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/Gg","A1"
"44",14332,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/Gg","B1"
"45",14333,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/Gg","C1"
"46",14334,"+","USA_2019","PPJWdw_UT","PPJWdw_UT/Gg","D1"
