"","grp","chng_type","Source","BGC","SS_NoSpace","Edatopic"
"1",1251,"-","AB_2018","BWBSlf","BWBSlf/m","C7"
"2",1252,"-","AB_2018","BWBSlf","BWBSlf/m","D6"
"3",1253,"-","AB_2018","BWBSlf","BWBSlf/m","D7"
"4",1254,"-","AB_2018","BWBSlf","BWBSlf/m","E6"
"5",1255,"-","AB_2018","BWBSlf","BWBSlf/m","E7"
"6",1544,"-","AB_2018","BWBSuf","BWBSuf/m","C7"
"7",1545,"-","AB_2018","BWBSuf","BWBSuf/m","D6"
"8",1546,"-","AB_2018","BWBSuf","BWBSuf/m","D7"
"9",1547,"-","AB_2018","BWBSuf","BWBSuf/m","E6"
"10",1548,"-","AB_2018","BWBSuf","BWBSuf/m","E7"
"11",6505,"-","BECv13","ESSFun1","ESSFun1/h","A0"
"12",6506,"-","BECv13","ESSFun1","ESSFun1/h","A1"
"13",6507,"-","BECv13","ESSFun1","ESSFun1/h","A2"
"14",6508,"-","BECv13","ESSFun1","ESSFun1/h","A3"
"15",6509,"-","BECv13","ESSFun1","ESSFun1/h","A4"
"16",6510,"-","BECv13","ESSFun1","ESSFun1/h","A5"
"17",6513,"-","BECv13","ESSFun1","ESSFun1/h","B0"
"18",6514,"-","BECv13","ESSFun1","ESSFun1/h","B1"
"19",6515,"-","BECv13","ESSFun1","ESSFun1/h","B2"
"20",6516,"-","BECv13","ESSFun1","ESSFun1/h","B3"
"21",6517,"-","BECv13","ESSFun1","ESSFun1/h","B4"
"22",6518,"-","BECv13","ESSFun1","ESSFun1/h","B5"
"23",6521,"-","BECv13","ESSFun1","ESSFun1/h","C0"
"24",6522,"-","BECv13","ESSFun1","ESSFun1/h","C1"
"25",6523,"-","BECv13","ESSFun1","ESSFun1/h","C2"
"26",6524,"-","BECv13","ESSFun1","ESSFun1/h","C3"
"27",6525,"-","BECv13","ESSFun1","ESSFun1/h","C4"
"28",6526,"-","BECv13","ESSFun1","ESSFun1/h","C5"
"29",6529,"-","BECv13","ESSFun1","ESSFun1/h","D0"
"30",6530,"-","BECv13","ESSFun1","ESSFun1/h","D1"
"31",6531,"-","BECv13","ESSFun1","ESSFun1/h","D2"
"32",6532,"-","BECv13","ESSFun1","ESSFun1/h","D3"
"33",6533,"-","BECv13","ESSFun1","ESSFun1/h","D4"
"34",6534,"-","BECv13","ESSFun1","ESSFun1/h","D5"
"35",6537,"-","BECv13","ESSFun1","ESSFun1/h","E0"
"36",6538,"-","BECv13","ESSFun1","ESSFun1/h","E1"
"37",6539,"-","BECv13","ESSFun1","ESSFun1/h","E2"
"38",6540,"-","BECv13","ESSFun1","ESSFun1/h","E3"
"39",6541,"-","BECv13","ESSFun1","ESSFun1/h","E4"
"40",6542,"-","BECv13","ESSFun1","ESSFun1/h","E5"
