"","grp","chng_type","Source","BGC","SS_NoSpace","Edatopic"
"1",153,"-","USA_2020","BGmk_ID","BGmk_ID/110","B5"
"2",154,"-","USA_2020","BGmk_ID","BGmk_ID/110","C5"
"3",155,"-","USA_2020","BGmk_ID","BGmk_ID/110","D5"
"4",156,"-","USA_2020","BGmk_ID","BGmk_ID/110","E5"
"5",157,"-","USA_2020","BGmk_ID","BGmk_ID/111","B6"
"6",158,"-","USA_2020","BGmk_ID","BGmk_ID/111","C6"
"7",159,"-","USA_2020","BGmk_ID","BGmk_ID/111","D6"
"8",160,"-","USA_2020","BGmk_ID","BGmk_ID/111","E6"
"9",161,"-","USA_2020","BGmk_ID","BGmk_ID/Gg","A1"
"10",162,"-","USA_2020","BGmk_ID","BGmk_ID/Gg","A2"
"11",163,"-","USA_2020","BGmk_ID","BGmk_ID/Gg","B1"
"12",164,"-","USA_2020","BGmk_ID","BGmk_ID/Gg","B2"
"13",165,"-","USA_2020","BGmk_ID","BGmk_ID/Gg","B3"
"14",166,"-","USA_2020","BGmk_ID","BGmk_ID/Gg","B4"
"15",167,"-","USA_2020","BGmk_ID","BGmk_ID/Gg","C1"
"16",168,"-","USA_2020","BGmk_ID","BGmk_ID/Gg","C2"
"17",169,"-","USA_2020","BGmk_ID","BGmk_ID/Gg","C3"
"18",170,"-","USA_2020","BGmk_ID","BGmk_ID/Gg","C4"
"19",171,"-","USA_2020","BGmk_ID","BGmk_ID/Gg","D1"
"20",172,"-","USA_2020","BGmk_ID","BGmk_ID/Gg","D2"
"21",173,"-","USA_2020","BGmk_ID","BGmk_ID/Gg","D3"
"22",174,"-","USA_2020","BGmk_ID","BGmk_ID/Gg","D4"
"23",175,"-","Add_2021","BGmk_ID","BGmk_ID/Ro","A0"
"24",176,"-","Add_2021","BGmk_ID","BGmk_ID/Ro","B0"
"25",8586,"-","USA_2019","GOun_CO","GOun_CO/101","B3"
"26",8587,"-","USA_2019","GOun_CO","GOun_CO/101","B4"
"27",8588,"-","USA_2019","GOun_CO","GOun_CO/101","C3"
"28",8589,"-","USA_2019","GOun_CO","GOun_CO/101","C4"
"29",8590,"-","USA_2019","GOun_CO","GOun_CO/101","D3"
"30",8591,"-","USA_2019","GOun_CO","GOun_CO/101","D4"
"31",8592,"-","USA_2019","GOun_CO","GOun_CO/102","A1"
"32",8593,"-","USA_2019","GOun_CO","GOun_CO/102","A2"
"33",8594,"-","USA_2019","GOun_CO","GOun_CO/102","B1"
"34",8595,"-","USA_2019","GOun_CO","GOun_CO/102","B2"
"35",8596,"-","USA_2019","GOun_CO","GOun_CO/102","C1"
"36",8597,"-","USA_2019","GOun_CO","GOun_CO/102","C2"
"37",8598,"-","USA_2019","GOun_CO","GOun_CO/102","D1"
"38",8599,"-","USA_2019","GOun_CO","GOun_CO/102","D2"
"39",8600,"-","USA_2019","GOun_CO","GOun_CO/110","B5"
"40",8601,"-","USA_2019","GOun_CO","GOun_CO/110","C5"
"41",8602,"-","USA_2019","GOun_CO","GOun_CO/110","D5"
"42",8603,"-","USA_2019","GOun_CO","GOun_CO/110","E5"
"43",8604,"-","USA_2019","GOun_CO","GOun_CO/111","B6"
