"","grp","chng_type","Source","BGC","SS_NoSpace","Edatopic"
"1",6955,"+","BECv13","ESSFwc7","ESSFwc7/101","B3"
"2",6956,"+","BECv13","ESSFwc7","ESSFwc7/101","B4"
"3",6957,"+","BECv13","ESSFwc7","ESSFwc7/101","C3"
"4",6958,"+","BECv13","ESSFwc7","ESSFwc7/101","C4"
"5",6959,"+","BECv13","ESSFwc7","ESSFwc7/101","D3"
"6",6960,"+","BECv13","ESSFwc7","ESSFwc7/101","D4"
"7",6961,"+","BECv13","ESSFwc7","ESSFwc7/102","A1"
"8",6962,"+","BECv13","ESSFwc7","ESSFwc7/102","A2"
"9",6963,"+","BECv13","ESSFwc7","ESSFwc7/102","B1"
"10",6964,"+","BECv13","ESSFwc7","ESSFwc7/102","B2"
"11",6965,"+","BECv13","ESSFwc7","ESSFwc7/102","C1"
"12",6966,"+","BECv13","ESSFwc7","ESSFwc7/102","C2"
"13",6967,"+","BECv13","ESSFwc7","ESSFwc7/103","A2"
"14",6968,"+","BECv13","ESSFwc7","ESSFwc7/103","A3"
"15",6969,"+","BECv13","ESSFwc7","ESSFwc7/103","B2"
"16",6970,"+","BECv13","ESSFwc7","ESSFwc7/103","B3"
"17",6971,"+","BECv13","ESSFwc7","ESSFwc7/103","C2"
"18",6972,"+","BECv13","ESSFwc7","ESSFwc7/103","C3"
"19",6973,"+","BECv13","ESSFwc7","ESSFwc7/110","C5"
"20",6974,"+","BECv13","ESSFwc7","ESSFwc7/110","C6"
"21",6975,"+","BECv13","ESSFwc7","ESSFwc7/110","D5"
"22",6976,"+","BECv13","ESSFwc7","ESSFwc7/110","D6"
"23",6977,"+","BECv13","ESSFwc7","ESSFwc7/111","B6"
"24",6978,"+","BECv13","ESSFwc7","ESSFwc7/111","B7"
"25",6979,"+","BECv13","ESSFwc7","ESSFwc7/111","C6"
"26",6980,"+","BECv13","ESSFwc7","ESSFwc7/111","C7"
"27",6981,"+","BECv13","ESSFwc7","ESSFwc7/111","D6"
"28",6982,"+","BECv13","ESSFwc7","ESSFwc7/111","D7"
"29",6983,"+","BECv13","ESSFwc7","ESSFwc7/111","E6"
"30",6984,"+","BECv13","ESSFwc7","ESSFwc7/111","E7"
"31",15531,"+","BECv13","SBSmz","SBSmz/101","B2"
"32",15532,"+","BECv13","SBSmz","SBSmz/101","B3"
"33",15533,"+","BECv13","SBSmz","SBSmz/101","B4"
"34",15534,"+","BECv13","SBSmz","SBSmz/101","C2"
"35",15535,"+","BECv13","SBSmz","SBSmz/101","C3"
"36",15536,"+","BECv13","SBSmz","SBSmz/101","C4"
"37",15537,"+","BECv13","SBSmz","SBSmz/101","D2"
"38",15538,"+","BECv13","SBSmz","SBSmz/101","D3"
"39",15539,"+","BECv13","SBSmz","SBSmz/102","A0"
"40",15540,"+","BECv13","SBSmz","SBSmz/102","A1"
"41",15541,"+","BECv13","SBSmz","SBSmz/102","B0"
"42",15542,"+","BECv13","SBSmz","SBSmz/102","B1"
"43",15543,"+","BECv13","SBSmz","SBSmz/103","B2"
"44",15544,"+","BECv13","SBSmz","SBSmz/103","C1"
