"","grp","chng_type","Source","BGC","SS_NoSpace","Edatopic"
"1",562,"+","USA_2026","BGxxx_WY","BGxxx_WY/110","B5"
"2",562,"-","USA_2020","BGxxx_WY","BGxxx_WY/110","B5"
"3",563,"+","USA_2026","BGxxx_WY","BGxxx_WY/110","C5"
"4",563,"-","USA_2020","BGxxx_WY","BGxxx_WY/110","C5"
"5",564,"+","USA_2026","BGxxx_WY","BGxxx_WY/110","D5"
"6",564,"-","USA_2020","BGxxx_WY","BGxxx_WY/110","D5"
"7",565,"+","USA_2026","BGxxx_WY","BGxxx_WY/110","E5"
"8",565,"-","USA_2020","BGxxx_WY","BGxxx_WY/110","E5"
"9",566,"+","USA_2026","BGxxx_WY","BGxxx_WY/111","B6"
"10",566,"-","USA_2020","BGxxx_WY","BGxxx_WY/111","B6"
"11",567,"+","USA_2026","BGxxx_WY","BGxxx_WY/111","C6"
"12",567,"-","USA_2020","BGxxx_WY","BGxxx_WY/111","C6"
"13",568,"+","USA_2026","BGxxx_WY","BGxxx_WY/111","D6"
"14",568,"-","USA_2020","BGxxx_WY","BGxxx_WY/111","D6"
"15",569,"+","USA_2026","BGxxx_WY","BGxxx_WY/111","E6"
"16",569,"-","USA_2020","BGxxx_WY","BGxxx_WY/111","E6"
"17",570,"+","USA_2026","BGxxx_WY","BGxxx_WY/Gg1","A1"
"18",570,"-","USA_2020","BGxxx_WY","BGxxx_WY/Gg1","A1"
"19",571,"+","USA_2026","BGxxx_WY","BGxxx_WY/Gg1","A2"
"20",571,"-","USA_2020","BGxxx_WY","BGxxx_WY/Gg1","A2"
"21",572,"+","USA_2026","BGxxx_WY","BGxxx_WY/Gg1","B1"
"22",572,"-","USA_2020","BGxxx_WY","BGxxx_WY/Gg1","B1"
"23",573,"+","USA_2026","BGxxx_WY","BGxxx_WY/Gg1","B2"
"24",573,"-","USA_2020","BGxxx_WY","BGxxx_WY/Gg1","B2"
"25",574,"+","USA_2026","BGxxx_WY","BGxxx_WY/Gg1","C1"
"26",574,"-","USA_2020","BGxxx_WY","BGxxx_WY/Gg1","C1"
"27",575,"+","USA_2026","BGxxx_WY","BGxxx_WY/Gg1","C2"
"28",575,"-","USA_2020","BGxxx_WY","BGxxx_WY/Gg1","C2"
"29",576,"+","USA_2026","BGxxx_WY","BGxxx_WY/Gg1","D1"
"30",576,"-","USA_2020","BGxxx_WY","BGxxx_WY/Gg1","D1"
"31",577,"+","USA_2026","BGxxx_WY","BGxxx_WY/Gg1","D2"
"32",577,"-","USA_2020","BGxxx_WY","BGxxx_WY/Gg1","D2"
"33",578,"+","USA_2026","BGxxx_WY","BGxxx_WY/Gg2","B3"
"34",578,"-","USA_2020","BGxxx_WY","BGxxx_WY/Gg2","B3"
"35",579,"+","USA_2026","BGxxx_WY","BGxxx_WY/Gg2","B4"
