"","grp","chng_type","Source","BGC","SS_NoSpace","Edatopic"
"1",2731,"-","BECv13","CWHds1","CWHds1/101a","A1"
"2",2732,"-","BECv13","CWHds1","CWHds1/101a","A2"
"3",2735,"-","BECv13","CWHds1","CWHds1/101a","B1"
"4",2736,"-","BECv13","CWHds1","CWHds1/101a","B2"
"5",2739,"-","BECv13","CWHds1","CWHds1/101a","C1"
"6",2740,"-","BECv13","CWHds1","CWHds1/101a","C2"
"7",2745,"-","BECv13","CWHds1","CWHds1/101b","A3"
"8",2746,"-","BECv13","CWHds1","CWHds1/101b","A4"
"9",2749,"-","BECv13","CWHds1","CWHds1/101b","B3"
"10",2750,"-","BECv13","CWHds1","CWHds1/101b","B4"
"11",2753,"-","BECv13","CWHds1","CWHds1/101b","C3"
"12",2754,"-","BECv13","CWHds1","CWHds1/101b","C4"
"13",12474,"-","BECv13","MHmm1","MHmm1/101a","A2"
"14",12477,"-","BECv13","MHmm1","MHmm1/101a","B2"
"15",12480,"-","BECv13","MHmm1","MHmm1/101a","C2"
"16",12484,"-","BECv13","MHmm1","MHmm1/101b","A3"
"17",12485,"-","BECv13","MHmm1","MHmm1/101b","A4"
"18",12486,"-","BECv13","MHmm1","MHmm1/101b","B2"
"19",12487,"-","BECv13","MHmm1","MHmm1/101b","B3"
"20",12488,"-","BECv13","MHmm1","MHmm1/101b","B4"
"21",12490,"-","BECv13","MHmm1","MHmm1/101b","C3"
"22",12491,"-","BECv13","MHmm1","MHmm1/101b","C4"
"23",12544,"-","BECv13","MHmm2","MHmm2/101a","A2"
"24",12547,"-","BECv13","MHmm2","MHmm2/101a","B2"
"25",12550,"-","BECv13","MHmm2","MHmm2/101a","C2"
"26",12554,"-","BECv13","MHmm2","MHmm2/101b","A3"
"27",12555,"-","BECv13","MHmm2","MHmm2/101b","A4"
"28",12557,"-","BECv13","MHmm2","MHmm2/101b","B3"
"29",12558,"-","BECv13","MHmm2","MHmm2/101b","B4"
"30",12560,"-","BECv13","MHmm2","MHmm2/101b","C3"
"31",12561,"-","BECv13","MHmm2","MHmm2/101b","C4"
"32",12930,"-","BECv13","MHvh","MHvh/101a","A2"
"33",12933,"-","BECv13","MHvh","MHvh/101a","B2"
"34",12936,"-","BECv13","MHvh","MHvh/101a","C2"
"35",12940,"-","BECv13","MHvh","MHvh/101b","A3"
"36",12941,"-","BECv13","MHvh","MHvh/101b","A4"
"37",12943,"-","BECv13","MHvh","MHvh/101b","B3"
"38",12944,"-","BECv13","MHvh","MHvh/101b","B4"
"39",12946,"-","BECv13","MHvh","MHvh/101b","C3"
"40",12947,"-","BECv13","MHvh","MHvh/101b","C4"
