"","grp","chng_type","Source","BGC","SS_NoSpace","Edatopic"
"1",15922,"-","BECv10","SWBun","SWBun/h","A5"
"2",15923,"-","BECv10","SWBun","SWBun/h","A6"
"3",15924,"-","BECv10","SWBun","SWBun/h","A7"
"4",15925,"-","BECv10","SWBun","SWBun/h","B6"
"5",15926,"-","BECv10","SWBun","SWBun/h","B7"
"6",15927,"-","BECv10","SWBun","SWBun/h","C5"
"7",15928,"-","BECv10","SWBun","SWBun/h","C6"
"8",15929,"-","BECv10","SWBun","SWBun/h","C7"
"9",15930,"-","BECv10","SWBun","SWBun/h","D5"
"10",15931,"-","BECv10","SWBun","SWBun/h","D6"
"11",15932,"-","BECv10","SWBun","SWBun/h","D7"
"12",15933,"-","BECv10","SWBun","SWBun/h","E5"
"13",15934,"-","BECv10","SWBun","SWBun/h","E6"
"14",15935,"-","BECv10","SWBun","SWBun/h","E7"
"15",15936,"-","BECv10","SWBun","SWBun/m","A3"
"16",15937,"-","BECv10","SWBun","SWBun/m","A4"
"17",15938,"-","BECv10","SWBun","SWBun/m","B3"
"18",15939,"-","BECv10","SWBun","SWBun/m","B4"
"19",15940,"-","BECv10","SWBun","SWBun/m","B5"
"20",15941,"-","BECv10","SWBun","SWBun/m","C3"
"21",15942,"-","BECv10","SWBun","SWBun/m","C4"
"22",15943,"-","BECv10","SWBun","SWBun/m","D3"
"23",15944,"-","BECv10","SWBun","SWBun/m","D4"
"24",15945,"-","BECv10","SWBun","SWBun/m","E3"
"25",15946,"-","BECv10","SWBun","SWBun/m","E4"
"26",15947,"-","BECv10","SWBun","SWBun/x","A0"
"27",15948,"-","BECv10","SWBun","SWBun/x","A1"
"28",15949,"-","BECv10","SWBun","SWBun/x","A2"
"29",15950,"-","BECv10","SWBun","SWBun/x","B0"
"30",15951,"-","BECv10","SWBun","SWBun/x","B1"
"31",15952,"-","BECv10","SWBun","SWBun/x","B2"
"32",15953,"-","BECv10","SWBun","SWBun/x","C0"
"33",15954,"-","BECv10","SWBun","SWBun/x","C1"
"34",15955,"-","BECv10","SWBun","SWBun/x","C2"
"35",15956,"-","BECv10","SWBun","SWBun/x","D0"
"36",15957,"-","BECv10","SWBun","SWBun/x","D1"
"37",15958,"-","BECv10","SWBun","SWBun/x","D2"
"38",15959,"-","BECv10","SWBun","SWBun/x","E0"
"39",15960,"-","BECv10","SWBun","SWBun/x","E1"
"40",15961,"-","BECv10","SWBun","SWBun/x","E2"
"41",15962,"+","BECv10","SWBun1","SWBun1/h","A5"
"42",15963,"+","BECv10","SWBun1","SWBun1/h","A6"
"43",15964,"+","BECv10","SWBun1","SWBun1/h","A7"
"44",15965,"+","BECv10","SWBun1","SWBun1/h","B6"
"45",15966,"+","BECv10","SWBun1","SWBun1/h","B7"
"46",15967,"+","BECv10","SWBun1","SWBun1/h","C5"
"47",15968,"+","BECv10","SWBun1","SWBun1/h","C6"
"48",15969,"+","BECv10","SWBun1","SWBun1/h","C7"
"49",15970,"+","BECv10","SWBun1","SWBun1/h","D5"
"50",15971,"+","BECv10","SWBun1","SWBun1/h","D6"
"51",15972,"+","BECv10","SWBun1","SWBun1/h","D7"
"52",15973,"+","BECv10","SWBun1","SWBun1/h","E5"
"53",15974,"+","BECv10","SWBun1","SWBun1/h","E6"
"54",15975,"+","BECv10","SWBun1","SWBun1/h","E7"
"55",15976,"+","BECv10","SWBun1","SWBun1/m","A3"
"56",15977,"+","BECv10","SWBun1","SWBun1/m","A4"
"57",15978,"+","BECv10","SWBun1","SWBun1/m","B3"
"58",15979,"+","BECv10","SWBun1","SWBun1/m","B4"
"59",15980,"+","BECv10","SWBun1","SWBun1/m","B5"
"60",15981,"+","BECv10","SWBun1","SWBun1/m","C3"
"61",15982,"+","BECv10","SWBun1","SWBun1/m","C4"
"62",15983,"+","BECv10","SWBun1","SWBun1/m","D3"
"63",15984,"+","BECv10","SWBun1","SWBun1/m","D4"
"64",15985,"+","BECv10","SWBun1","SWBun1/m","E3"
"65",15986,"+","BECv10","SWBun1","SWBun1/m","E4"
"66",15987,"+","BECv10","SWBun1","SWBun1/x","A0"
"67",15988,"+","BECv10","SWBun1","SWBun1/x","A1"
"68",15989,"+","BECv10","SWBun1","SWBun1/x","A2"
"69",15990,"+","BECv10","SWBun1","SWBun1/x","B0"
"70",15991,"+","BECv10","SWBun1","SWBun1/x","B1"
"71",15992,"+","BECv10","SWBun1","SWBun1/x","B2"
"72",15993,"+","BECv10","SWBun1","SWBun1/x","C0"
"73",15994,"+","BECv10","SWBun1","SWBun1/x","C1"
"74",15995,"+","BECv10","SWBun1","SWBun1/x","C2"
"75",15996,"+","BECv10","SWBun1","SWBun1/x","D0"
"76",15997,"+","BECv10","SWBun1","SWBun1/x","D1"
"77",15998,"+","BECv10","SWBun1","SWBun1/x","D2"
"78",15999,"+","BECv10","SWBun1","SWBun1/x","E0"
"79",16000,"+","BECv10","SWBun1","SWBun1/x","E1"
"80",16001,"+","BECv10","SWBun1","SWBun1/x","E2"
