"","grp","chng_type","Source","BGC","SS_NoSpace","Edatopic"
"1",7583,"+","BECv10","ESSFxc1","ESSFxc1/Ws08","B7"
"2",7584,"+","BECv10","ESSFxc1","ESSFxc1/Ws08","C7"
"3",7585,"+","BECv10","ESSFxc1","ESSFxc1/Ws08","D7"
"4",7586,"+","BECv10","ESSFxc1","ESSFxc1/Ws08","E7"
"5",7587,"+","BECv10","ESSFxc1","ESSFxc1/Ws12","B7"
"6",7588,"+","BECv10","ESSFxc1","ESSFxc1/Ws12","C7"
"7",7589,"+","BECv10","ESSFxc1","ESSFxc1/Ws12","D7"
"8",7590,"+","BECv10","ESSFxc1","ESSFxc1/Ws12","E7"
"9",7644,"+","BECv12","ESSFxc2","ESSFxc2/Ws08","B6"
"10",7645,"+","BECv12","ESSFxc2","ESSFxc2/Ws08","C7"
"11",7646,"+","BECv12","ESSFxc2","ESSFxc2/Ws08","D7"
"12",7647,"+","BECv12","ESSFxc2","ESSFxc2/Ws08","E7"
"13",7648,"-","BECv12","ESSFxc2","ESSFxc2/Ws12","C6"
"14",7649,"-","BECv12","ESSFxc2","ESSFxc2/Ws12","C7"
"15",7650,"-","BECv12","ESSFxc2","ESSFxc2/Ws12","D6"
"16",7651,"-","BECv12","ESSFxc2","ESSFxc2/Ws12","D7"
"17",7652,"-","BECv12","ESSFxc2","ESSFxc2/Ws12","E6"
"18",7653,"-","BECv12","ESSFxc2","ESSFxc2/Ws12","E7"
"19",13328,"-","BECv10","MSdc3","MSdc3/06","C5"
"20",13329,"-","BECv10","MSdc3","MSdc3/06","C6"
"21",13330,"-","BECv10","MSdc3","MSdc3/06","D5"
"22",13331,"-","BECv10","MSdc3","MSdc3/06","D6"
"23",13332,"-","BECv10","MSdc3","MSdc3/06","E5"
"24",13333,"-","BECv10","MSdc3","MSdc3/06","E6"
"25",13334,"-","BECv10","MSdc3","MSdc3/07","C5"
"26",13335,"-","BECv10","MSdc3","MSdc3/07","C6"
"27",13336,"-","BECv10","MSdc3","MSdc3/07","D5"
"28",13337,"-","BECv10","MSdc3","MSdc3/07","D6"
"29",13338,"-","BECv10","MSdc3","MSdc3/07","E5"
"30",13339,"-","BECv10","MSdc3","MSdc3/07","E6"
"31",13340,"-","BECv10","MSdc3","MSdc3/08","B6"
"32",13341,"-","BECv10","MSdc3","MSdc3/08","B7"
"33",13342,"-","BECv10","MSdc3","MSdc3/08","C6"
"34",13343,"-","BECv10","MSdc3","MSdc3/08","C7"
"35",13344,"-","BECv10","MSdc3","MSdc3/08","D6"
"36",13345,"-","BECv10","MSdc3","MSdc3/08","D7"
"37",14096,"-","BECv10","MSxv","MSxv/02a","A1"
"38",14097,"-","BECv10","MSxv","MSxv/02a","A2"
"39",14098,"-","BECv10","MSxv","MSxv/02a","B1"
"40",14099,"-","BECv10","MSxv","MSxv/02a","B2"
"41",14100,"-","BECv10","MSxv","MSxv/02b","A2"
"42",14101,"-","BECv10","MSxv","MSxv/02b","B2"
