"","grp","chng_type","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange"
"1",4,"+","BGdh_OR","BGdh_OR/110","Ju",1,"Ju",2,"dvm26",FALSE
"2",4,"-","BGdh_OR","BGdh_OR/110","Ju",1,"Ju",1,NA,FALSE
"3",7,"+","BGdh_OR","BGdh_OR/111","Aa",1,"Aa",2,"dvm26",FALSE
"4",7,"-","BGdh_OR","BGdh_OR/111","Aa",1,"Aa",1,NA,FALSE
"5",8,"+","BGdh_OR","BGdh_OR/111","Act",5,"Ac",2,"dvm26",FALSE
"6",8,"-","BGdh_OR","BGdh_OR/111","Act",5,"Ac",5,NA,FALSE
"7",9,"+","BGdh_OR","BGdh_OR/111","At",NA,"At",2,"dvm26",FALSE
"8",15,"+","BGdw_OR","BGdw_OR/110","Bg",NA,"Bg",3,"dvm26",FALSE
"9",16,"+","BGdw_OR","BGdw_OR/110","Fdi",1,"Fd",2,"dvm26",FALSE
"10",16,"-","BGdw_OR","BGdw_OR/110","Fdi",1,"Fd",1,NA,FALSE
"11",19,"+","BGdw_OR","BGdw_OR/111","At",NA,"At",3,"dvm26",FALSE
"12",22,"+","BGdw_WA","BGdw_WA/110","Fdi",1,"Fd",2,"dvm26",FALSE
"13",22,"-","BGdw_WA","BGdw_WA/110","Fdi",1,"Fd",1,NA,FALSE
"14",24,"+","BGdw_WA","BGdw_WA/111","Act",2,"Ac",1,"dvm26",FALSE
"15",24,"-","BGdw_WA","BGdw_WA/111","Act",2,"Ac",2,NA,FALSE
"16",25,"+","BGdw_WA","BGdw_WA/111","At",NA,"At",2,"dvm26",FALSE
"17",36,"+","BGmk_MT","BGmk_MT/110","Fdi",1,"Fd",2,"dvm26",FALSE
"18",36,"-","BGmk_MT","BGmk_MT/110","Fdi",1,"Fd",1,NA,FALSE
"19",37,"-","BGmk_MT","BGmk_MT/110","Jr",3,"Jr",3,NA,FALSE
"20",38,"+","BGmk_MT","BGmk_MT/110","Om",NA,"Om",3,"dvm26",FALSE
"21",41,"+","BGmk_MT","BGmk_MT/111","At",NA,"At",2,"dvm26",FALSE
"22",46,"+","BGmk_NV","BGmk_NV/110","At",1,"At",2,"dvm26",FALSE
"23",46,"-","BGmk_NV","BGmk_NV/110","At",1,"At",1,NA,FALSE
"24",47,"+","BGmk_NV","BGmk_NV/110","Jr",NA,"Jr",3,"dvm26",FALSE
"25",48,"+","BGmk_NV","BGmk_NV/110","Jw",3,"Jw",5,"dvm26",FALSE
"26",48,"-","BGmk_NV","BGmk_NV/110","Jw",3,"Jw",3,NA,FALSE
"27",49,"+","BGmk_NV","BGmk_NV/110","Om",3,"Om",2,"dvm26",FALSE
"28",49,"-","BGmk_NV","BGmk_NV/110","Om",3,"Om",3,NA,FALSE
"29",52,"+","BGmk_NV","BGmk_NV/111","Af",2,"Af",3,"dvm26",FALSE
"30",52,"-","BGmk_NV","BGmk_NV/111","Af",2,"Af",2,NA,FALSE
"31",66,"+","BGmw_OR","BGmw_OR/111","Act",2,"Ac",1,"dvm26",FALSE
"32",66,"-","BGmw_OR","BGmw_OR/111","Act",2,"Ac",2,NA,FALSE
"33",76,"+","BGwm_WA","BGwm_WA/110","Bg",NA,"Bg",3,"dvm26",FALSE
"34",79,"+","BGwm_WA","BGwm_WA/111","Act",2,"Ac",1,"dvm26",FALSE
"35",79,"-","BGwm_WA","BGwm_WA/111","Act",2,"Ac",2,NA,FALSE
"36",80,"+","BGwm_WA","BGwm_WA/111","At",NA,"At",2,"dvm26",FALSE
"37",130,"+","BGxh_WA","BGxh_WA/111","Dw",NA,"Dw",3,"dvm26",FALSE
"38",160,"+","BGxx_WY","BGxx_WY/110","Jr",3,"Jr",5,"dvm26",FALSE
"39",160,"-","BGxx_WY","BGxx_WY/110","Jr",3,"Jr",3,NA,FALSE
"40",161,"+","BGxx_WY","BGxx_WY/110","Ju",1,"Ju",2,"dvm26",FALSE
"41",161,"-","BGxx_WY","BGxx_WY/110","Ju",1,"Ju",1,NA,FALSE
"42",162,"+","BGxx_WY","BGxx_WY/110","Pe",2,"Pe",3,"dvm26",FALSE
"43",162,"-","BGxx_WY","BGxx_WY/110","Pe",2,"Pe",2,NA,FALSE
"44",167,"+","BGxxx_WY","BGxxx_WY/110","Jr",3,"Jr",3,"dvm26",FALSE
"45",167,"-","BGxxx_WY","BGxxx_WY/110","Jr",3,"Jr",3,NA,FALSE
"46",168,"+","BGxxx_WY","BGxxx_WY/110","Ju",1,"Ju",2,"dvm26",FALSE
"47",168,"-","BGxxx_WY","BGxxx_WY/110","Ju",1,"Ju",1,NA,FALSE
"48",169,"+","BGxxx_WY","BGxxx_WY/110","Om",NA,"Om",3,"dvm26",FALSE
"49",171,"+","BGxxx_WY","BGxxx_WY/110","Pf",NA,"Pf",3,"dvm26",FALSE
