"","grp","chng_type","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange"
"1",5364,"+","ESSFdc1","ESSFdc1/101","Bl",1,"Bl",1,"DJM",FALSE
"2",5364,"-","ESSFdc1","ESSFdc1/101","Bl",1,"Bl",1,NA,FALSE
"3",5365,"+","ESSFdc1","ESSFdc1/101","Pli",2,"Pl",3,"DJM",FALSE
"4",5365,"-","ESSFdc1","ESSFdc1/101","Pli",2,"Pl",2,NA,FALSE
"5",5366,"+","ESSFdc1","ESSFdc1/101","Se",1,"Sx",1,"DJM",FALSE
"6",5366,"-","ESSFdc1","ESSFdc1/101","Se",1,"Sx",1,NA,FALSE
"7",5367,"+","ESSFdc1","ESSFdc1/102","Bl",2,"Bl",2,"DJM",FALSE
"8",5367,"-","ESSFdc1","ESSFdc1/102","Bl",2,"Bl",2,NA,FALSE
"9",5368,"+","ESSFdc1","ESSFdc1/102","Pa",3,"Pa",3,"DJM",FALSE
"10",5368,"-","ESSFdc1","ESSFdc1/102","Pa",3,"Pa",3,NA,FALSE
"11",5369,"+","ESSFdc1","ESSFdc1/102","Pli",2,"Pl",2,"DJM",FALSE
"12",5369,"-","ESSFdc1","ESSFdc1/102","Pli",2,"Pl",2,NA,FALSE
"13",5370,"+","ESSFdc1","ESSFdc1/102","Se",2,"Sx",3,"DJM",FALSE
"14",5370,"-","ESSFdc1","ESSFdc1/102","Se",2,"Sx",2,NA,FALSE
"15",5371,"+","ESSFdc1","ESSFdc1/103","Bl",2,"Bl",1,"DJM",FALSE
"16",5371,"-","ESSFdc1","ESSFdc1/103","Bl",2,"Bl",2,NA,FALSE
"17",5372,"+","ESSFdc1","ESSFdc1/103","Pa",3,"Pa",3,"DJM",FALSE
"18",5372,"-","ESSFdc1","ESSFdc1/103","Pa",3,"Pa",3,NA,FALSE
"19",5373,"+","ESSFdc1","ESSFdc1/103","Pli",1,"Pl",1,"DJM",FALSE
"20",5373,"-","ESSFdc1","ESSFdc1/103","Pli",1,"Pl",1,NA,FALSE
"21",5374,"+","ESSFdc1","ESSFdc1/103","Se",2,"Sx",2,"DJM",FALSE
"22",5374,"-","ESSFdc1","ESSFdc1/103","Se",2,"Sx",2,NA,FALSE
"23",5375,"+","ESSFdc1","ESSFdc1/104","Bl",1,"Bl",1,"DJM",FALSE
"24",5375,"-","ESSFdc1","ESSFdc1/104","Bl",1,"Bl",1,NA,FALSE
"25",5376,"+","ESSFdc1","ESSFdc1/104","Pli",2,"Pl",2,"DJM",FALSE
"26",5376,"-","ESSFdc1","ESSFdc1/104","Pli",2,"Pl",2,NA,FALSE
"27",5377,"+","ESSFdc1","ESSFdc1/104","Se",1,"Sx",1,"DJM",FALSE
"28",5377,"-","ESSFdc1","ESSFdc1/104","Se",1,"Sx",1,NA,FALSE
"29",5378,"+","ESSFdc1","ESSFdc1/110","Bl",1,"Bl",1,"DJM",FALSE
"30",5378,"-","ESSFdc1","ESSFdc1/110","Bl",1,"Bl",1,NA,FALSE
"31",5379,"+","ESSFdc1","ESSFdc1/110","Se",1,"Sx",1,"DJM",FALSE
"32",5379,"-","ESSFdc1","ESSFdc1/110","Se",1,"Sx",1,NA,FALSE
"33",5380,"+","ESSFdc1","ESSFdc1/111","Bl",1,"Bl",1,"DJM",FALSE
"34",5380,"-","ESSFdc1","ESSFdc1/111","Bl",1,"Bl",1,NA,FALSE
"35",5381,"+","ESSFdc1","ESSFdc1/111","Se",1,"Sx",1,"DJM",FALSE
"36",5381,"-","ESSFdc1","ESSFdc1/111","Se",1,"Sx",1,NA,FALSE
"37",5382,"+","ESSFdc1","ESSFdc1/112","Bl",2,"Bl",2,"DJM",FALSE
"38",5382,"-","ESSFdc1","ESSFdc1/112","Bl",2,"Bl",2,NA,FALSE
"39",5383,"+","ESSFdc1","ESSFdc1/112","Se",1,"Sx",1,"DJM",FALSE
"40",5383,"-","ESSFdc1","ESSFdc1/112","Se",1,"Sx",1,NA,FALSE
"41",5431,"+","ESSFdcw","ESSFdcw/101","Bl",2,"Bl",2,"DJM",FALSE
"42",5431,"-","ESSFdcw","ESSFdcw/101","Bl",2,"Bl",2,NA,FALSE
"43",5432,"+","ESSFdcw","ESSFdcw/101","Se",1,"Sx",2,"DJM",FALSE
"44",5432,"-","ESSFdcw","ESSFdcw/101","Se",1,"Sx",1,NA,FALSE
"45",5433,"+","ESSFdcw","ESSFdcw/102","Bl",2,"Bl",2,"DJM",FALSE
"46",5433,"-","ESSFdcw","ESSFdcw/102","Bl",2,"Bl",2,NA,FALSE
"47",5435,"+","ESSFdcw","ESSFdcw/102","Pa",2,"Pa",2,"DJM",FALSE
"48",5435,"-","ESSFdcw","ESSFdcw/102","Pa",2,"Pa",2,"WHM",FALSE
"49",5436,"+","ESSFdcw","ESSFdcw/102","Pli",3,"Pl",3,"DJM",FALSE
"50",5436,"-","ESSFdcw","ESSFdcw/102","Pli",3,"Pl",3,NA,FALSE
"51",5437,"+","ESSFdcw","ESSFdcw/102","Se",3,"Sx",2,"DJM",FALSE
"52",5437,"-","ESSFdcw","ESSFdcw/102","Se",3,"Sx",3,"WHM",FALSE
"53",5438,"+","ESSFdcw","ESSFdcw/103","Bl",1,"Bl",2,"DJM",FALSE
"54",5438,"-","ESSFdcw","ESSFdcw/103","Bl",1,"Bl",1,NA,FALSE
"55",5440,"+","ESSFdcw","ESSFdcw/103","Pa",2,"Pa",3,"DJM",FALSE
"56",5440,"-","ESSFdcw","ESSFdcw/103","Pa",2,"Pa",2,NA,FALSE
"57",5441,"+","ESSFdcw","ESSFdcw/103","Pli",3,"Pl",3,"DJM",FALSE
"58",5441,"-","ESSFdcw","ESSFdcw/103","Pli",3,"Pl",3,NA,FALSE
"59",5442,"+","ESSFdcw","ESSFdcw/103","Se",1,"Sx",2,"DJM",FALSE
"60",5442,"-","ESSFdcw","ESSFdcw/103","Se",1,"Sx",1,NA,FALSE
"61",5443,"+","ESSFdcw","ESSFdcw/110","Bl",2,"Bl",2,"DJM",FALSE
"62",5443,"-","ESSFdcw","ESSFdcw/110","Bl",2,"Bl",2,NA,FALSE
"63",5444,"+","ESSFdcw","ESSFdcw/110","Se",1,"Sx",2,"DJM",FALSE
"64",5444,"-","ESSFdcw","ESSFdcw/110","Se",1,"Sx",1,NA,FALSE
"65",5560,"+","ESSFdk1","ESSFdk1/101","Bl",1,"Bl",1,"DJM",FALSE
"66",5560,"-","ESSFdk1","ESSFdk1/101","Bl",1,"Bl",1,NA,FALSE
"67",5561,"+","ESSFdk1","ESSFdk1/101","Fdi",2,"Fd",3,"DJM",FALSE
"68",5561,"-","ESSFdk1","ESSFdk1/101","Fdi",2,"Fd",2,NA,FALSE
"69",5562,"+","ESSFdk1","ESSFdk1/101","Lw",2,"Lw",3,"DJM",FALSE
"70",5562,"-","ESSFdk1","ESSFdk1/101","Lw",2,"Lw",2,NA,FALSE
"71",5563,"+","ESSFdk1","ESSFdk1/101","Pa",3,"Pa",3,"DJM",FALSE
"72",5563,"-","ESSFdk1","ESSFdk1/101","Pa",3,"Pa",3,NA,FALSE
"73",5564,"+","ESSFdk1","ESSFdk1/101","Pli",2,"Pl",2,"DJM",FALSE
"74",5564,"-","ESSFdk1","ESSFdk1/101","Pli",2,"Pl",2,NA,FALSE
"75",5565,"+","ESSFdk1","ESSFdk1/101","Se",1,"Sx",1,"DJM",FALSE
"76",5565,"-","ESSFdk1","ESSFdk1/101","Se",1,"Sx",1,NA,FALSE
"77",5566,"+","ESSFdk1","ESSFdk1/102","Bl",3,"Bl",3,"DJM",FALSE
"78",5566,"-","ESSFdk1","ESSFdk1/102","Bl",3,"Bl",3,NA,FALSE
"79",5567,"+","ESSFdk1","ESSFdk1/102","Fdi",2,"Fd",2,"DJM",FALSE
"80",5567,"-","ESSFdk1","ESSFdk1/102","Fdi",2,"Fd",2,NA,FALSE
"81",5568,"+","ESSFdk1","ESSFdk1/102","Pa",2,"Pa",2,"DJM",FALSE
"82",5568,"-","ESSFdk1","ESSFdk1/102","Pa",2,"Pa",2,NA,FALSE
"83",5569,"+","ESSFdk1","ESSFdk1/102","Pf",3,"Pf",3,"DJM",FALSE
"84",5569,"-","ESSFdk1","ESSFdk1/102","Pf",3,"Pf",3,NA,FALSE
"85",5570,"+","ESSFdk1","ESSFdk1/102","Pli",2,"Pl",3,"DJM",FALSE
"86",5570,"-","ESSFdk1","ESSFdk1/102","Pli",2,"Pl",2,NA,FALSE
"87",5571,"+","ESSFdk1","ESSFdk1/102","Se",3,"Sx",3,"DJM",FALSE
"88",5571,"-","ESSFdk1","ESSFdk1/102","Se",3,"Sx",3,NA,FALSE
"89",5572,"+","ESSFdk1","ESSFdk1/103","Bl",3,"Bl",3,"DJM",FALSE
"90",5572,"-","ESSFdk1","ESSFdk1/103","Bl",3,"Bl",3,NA,FALSE
"91",5573,"+","ESSFdk1","ESSFdk1/103","Fdi",2,"Fd",2,"DJM",FALSE
"92",5573,"-","ESSFdk1","ESSFdk1/103","Fdi",2,"Fd",2,NA,FALSE
"93",5574,"+","ESSFdk1","ESSFdk1/103","Lw",3,"Lw",3,"DJM",FALSE
"94",5574,"-","ESSFdk1","ESSFdk1/103","Lw",3,"Lw",3,NA,FALSE
"95",5575,"+","ESSFdk1","ESSFdk1/103","Pa",2,"Pa",2,"DJM",FALSE
"96",5575,"-","ESSFdk1","ESSFdk1/103","Pa",2,"Pa",2,NA,FALSE
"97",5577,"+","ESSFdk1","ESSFdk1/103","Pli",1,"Pl",1,"DJM",FALSE
"98",5577,"-","ESSFdk1","ESSFdk1/103","Pli",1,"Pl",1,NA,FALSE
"99",5578,"+","ESSFdk1","ESSFdk1/103","Se",3,"Sx",3,"DJM",FALSE
"100",5578,"-","ESSFdk1","ESSFdk1/103","Se",3,"Sx",3,NA,FALSE
"101",5579,"+","ESSFdk1","ESSFdk1/104","Bl",1,"Bl",1,"DJM",FALSE
"102",5579,"-","ESSFdk1","ESSFdk1/104","Bl",1,"Bl",1,NA,FALSE
"103",5580,"+","ESSFdk1","ESSFdk1/104","Fdi",2,"Fd",2,"DJM",FALSE
"104",5580,"-","ESSFdk1","ESSFdk1/104","Fdi",2,"Fd",2,NA,FALSE
"105",5581,"+","ESSFdk1","ESSFdk1/104","Lw",3,"Lw",3,"DJM",FALSE
"106",5581,"-","ESSFdk1","ESSFdk1/104","Lw",3,"Lw",3,NA,FALSE
"107",5582,"+","ESSFdk1","ESSFdk1/104","Pa",3,"Pa",3,"DJM",FALSE
"108",5582,"-","ESSFdk1","ESSFdk1/104","Pa",3,"Pa",3,NA,FALSE
"109",5583,"+","ESSFdk1","ESSFdk1/104","Pli",1,"Pl",1,"DJM",FALSE
"110",5583,"-","ESSFdk1","ESSFdk1/104","Pli",1,"Pl",1,NA,FALSE
"111",5584,"+","ESSFdk1","ESSFdk1/104","Se",1,"Sx",1,"DJM",FALSE
"112",5584,"-","ESSFdk1","ESSFdk1/104","Se",1,"Sx",1,NA,FALSE
