"","grp","chng_type","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange"
"1",14530,"+","SWBun","SWBun/h","Acb",NA,"Ac",3,NA,FALSE
"2",14530,"-","SWBun","SWBun/h","Acb",5,"Ac",3,NA,FALSE
"3",14531,"-","SWBun","SWBun/h","At",3,"At",5,NA,FALSE
"4",14532,"+","SWBun","SWBun/h","Bl",NA,"Bl",3,NA,FALSE
"5",14532,"-","SWBun","SWBun/h","Bl",3,"Bl",5,NA,FALSE
"6",14533,"-","SWBun","SWBun/h","Pli",3,"Pl",5,NA,FALSE
"7",14534,"+","SWBun","SWBun/h","Sb",NA,"Sb",3,NA,FALSE
"8",14534,"-","SWBun","SWBun/h","Sb",3,"Sb",3,NA,FALSE
"9",14535,"+","SWBun","SWBun/h","Sw",NA,"Sx",2,NA,FALSE
"10",14535,"-","SWBun","SWBun/h","Sw",3,"Sx",2,NA,FALSE
"11",14536,"-","SWBun","SWBun/m","Acb",5,"Ac",5,NA,FALSE
"12",14537,"+","SWBun","SWBun/m","At",NA,"At",3,NA,FALSE
"13",14537,"-","SWBun","SWBun/m","At",2,"At",3,NA,FALSE
"14",14538,"+","SWBun","SWBun/m","Bl",NA,"Bl",2,NA,FALSE
"15",14538,"-","SWBun","SWBun/m","Bl",2,"Bl",3,NA,FALSE
"16",14539,"+","SWBun","SWBun/m","Pli",NA,"Pl",3,NA,FALSE
"17",14539,"-","SWBun","SWBun/m","Pli",2,"Pl",3,NA,FALSE
"18",14540,"+","SWBun","SWBun/m","Sb",NA,"Sb",3,NA,FALSE
"19",14540,"-","SWBun","SWBun/m","Sb",2,"Sb",3,NA,FALSE
"20",14541,"+","SWBun","SWBun/m","Sw",NA,"Sx",2,NA,FALSE
"21",14541,"-","SWBun","SWBun/m","Sw",2,"Sx",2,NA,FALSE
"22",14542,"-","SWBun","SWBun/x","Acb",5,"Ac",5,NA,FALSE
"23",14543,"+","SWBun","SWBun/x","At",NA,"At",3,NA,FALSE
"24",14543,"-","SWBun","SWBun/x","At",2,"At",3,NA,FALSE
"25",14544,"-","SWBun","SWBun/x","Bl",3,"Bl",5,NA,FALSE
"26",14545,"+","SWBun","SWBun/x","Pli",NA,"Pl",3,NA,FALSE
"27",14545,"-","SWBun","SWBun/x","Pli",2,"Pl",3,NA,FALSE
"28",14546,"-","SWBun","SWBun/x","Sb",3,"Sb",5,NA,FALSE
"29",14547,"+","SWBun","SWBun/x","Sw",NA,"Sx",3,NA,FALSE
"30",14547,"-","SWBun","SWBun/x","Sw",2,"Sx",3,NA,FALSE
