"","grp","chng_type","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange"
"1",1193,"+","CDFmm","CDFmm/Fl51","Mb",3,"Mb",3,"SAS-HAK",FALSE
"2",1193,"-","CDFmm","CDFmm/Fl51","Mb",3,"Mb",3,NA,FALSE
"3",1897,"+","CWHdm1","CWHdm1/103","Lw",3,"Lw",3,"SAS-HAK",FALSE
"4",1897,"-","CWHdm1","CWHdm1/103","Lw",3,"Lw",3,NA,FALSE
"5",1911,"+","CWHdm1","CWHdm1/104","Lw",3,"Lw",3,"SAS-HAK",FALSE
"6",1911,"-","CWHdm1","CWHdm1/104","Lw",3,"Lw",3,NA,FALSE
"7",1913,"+","CWHdm1","CWHdm1/104","Pw",3,"Pw",3,"SAS-HAK",FALSE
"8",1913,"-","CWHdm1","CWHdm1/104","Pw",3,"Pw",3,NA,FALSE
"9",1982,"+","CWHdm1","CWHdm1/Fl51","Dr",1,"Dr",1,"SAS-HAK",FALSE
"10",1982,"-","CWHdm1","CWHdm1/Fl51","Dr",1,"Dr",1,NA,FALSE
"11",1984,"+","CWHdm1","CWHdm1/Fl51","Mb",3,"Mb",3,"SAS-HAK",FALSE
"12",1984,"-","CWHdm1","CWHdm1/Fl51","Mb",3,"Mb",3,NA,FALSE
"13",2090,"+","CWHdm2","CWHdm2/104","Ep",3,"Ep",3,"SAS-HAK",FALSE
"14",2090,"-","CWHdm2","CWHdm2/104","Ep",3,"Ep",3,NA,FALSE
"15",2094,"+","CWHdm2","CWHdm2/104","Lw",3,"Lw",3,"SAS-HAK",FALSE
"16",2094,"-","CWHdm2","CWHdm2/104","Lw",3,"Lw",3,NA,FALSE
"17",2102,"+","CWHdm2","CWHdm2/105","Ep",3,"Ep",3,"SAS-HAK",FALSE
"18",2102,"-","CWHdm2","CWHdm2/105","Ep",3,"Ep",3,NA,FALSE
"19",2106,"+","CWHdm2","CWHdm2/105","Lw",3,"Lw",3,"SAS-HAK",FALSE
"20",2106,"-","CWHdm2","CWHdm2/105","Lw",3,"Lw",3,NA,FALSE
"21",2124,"+","CWHdm2","CWHdm2/111","Bg",3,"Bg",3,"SAS-HAK",FALSE
"22",2124,"-","CWHdm2","CWHdm2/111","Bg",3,"Bg",3,NA,FALSE
"23",2127,"+","CWHdm2","CWHdm2/111","Ep",3,"Ep",3,"SAS-HAK",FALSE
"24",2127,"-","CWHdm2","CWHdm2/111","Ep",3,"Ep",3,NA,FALSE
"25",2139,"+","CWHdm2","CWHdm2/112","Ep",3,"Ep",3,"SAS-HAK",FALSE
"26",2139,"-","CWHdm2","CWHdm2/112","Ep",3,"Ep",3,NA,FALSE
"27",2150,"+","CWHdm2","CWHdm2/112.1","Ep",3,"Ep",3,"SAS-HAK",FALSE
"28",2150,"-","CWHdm2","CWHdm2/112.1","Ep",3,"Ep",3,NA,FALSE
"29",2161,"+","CWHdm2","CWHdm2/112.2","Ep",3,"Ep",3,"SAS-HAK",FALSE
"30",2161,"-","CWHdm2","CWHdm2/112.2","Ep",3,"Ep",3,NA,FALSE
"31",2172,"+","CWHdm2","CWHdm2/113","Ep",3,"Ep",3,"SAS-HAK",FALSE
"32",2172,"-","CWHdm2","CWHdm2/113","Ep",3,"Ep",3,NA,FALSE
"33",2181,"+","CWHdm2","CWHdm2/Fl51","Ep",3,"Ep",3,"SAS-HAK",FALSE
"34",2181,"-","CWHdm2","CWHdm2/Fl51","Ep",3,"Ep",3,NA,FALSE
"35",2194,"+","CWHdm2","CWHdm2/Fm51","Wp",NA,"Wp",2,"SAS-HAK",FALSE
"36",2194,"-","CWHdm2","CWHdm2/Fm51","Wp",NA,"Wp",2,NA,FALSE
"37",2195,"+","CWHdm2","CWHdm2/Fm51","Wt",NA,"Wt",2,"SAS-HAK",FALSE
"38",2195,"-","CWHdm2","CWHdm2/Fm51","Wt",NA,"Wt",2,NA,FALSE
"39",2196,"+","CWHdm2","CWHdm2/Fm52","Ac",NA,"Ac",2,"SAS-HAK",FALSE
"40",2196,"-","CWHdm2","CWHdm2/Fm52","Ac",NA,"Ac",2,NA,FALSE
"41",2197,"+","CWHdm2","CWHdm2/Fm52","Bg",NA,"Bg",2,"SAS-HAK",FALSE
"42",2197,"-","CWHdm2","CWHdm2/Fm52","Bg",NA,"Bg",2,NA,FALSE
"43",2198,"+","CWHdm2","CWHdm2/Fm52","Cw",NA,"Cw",2,"SAS-HAK",FALSE
"44",2198,"-","CWHdm2","CWHdm2/Fm52","Cw",NA,"Cw",2,NA,FALSE
"45",2199,"+","CWHdm2","CWHdm2/Fm52","Dr",NA,"Dr",1,"SAS-HAK",FALSE
"46",2199,"-","CWHdm2","CWHdm2/Fm52","Dr",NA,"Dr",1,NA,FALSE
"47",2200,"+","CWHdm2","CWHdm2/Fm52","Ep",NA,"Ep",5,"SAS-HAK",FALSE
"48",2200,"-","CWHdm2","CWHdm2/Fm52","Ep",NA,"Ep",5,NA,FALSE
"49",2201,"+","CWHdm2","CWHdm2/Fm52","Gp",NA,"Gp",3,"SAS-HAK",FALSE
"50",2201,"-","CWHdm2","CWHdm2/Fm52","Gp",NA,"Gp",3,NA,FALSE
"51",2202,"+","CWHdm2","CWHdm2/Fm52","Hw",NA,"Hw",2,"SAS-HAK",FALSE
"52",2202,"-","CWHdm2","CWHdm2/Fm52","Hw",NA,"Hw",2,NA,FALSE
"53",2203,"+","CWHdm2","CWHdm2/Fm52","Kc",NA,"Kc",3,"SAS-HAK",FALSE
"54",2203,"-","CWHdm2","CWHdm2/Fm52","Kc",NA,"Kc",3,NA,FALSE
"55",2204,"+","CWHdm2","CWHdm2/Fm52","Mb",NA,"Mb",1,"SAS-HAK",FALSE
"56",2204,"-","CWHdm2","CWHdm2/Fm52","Mb",NA,"Mb",1,NA,FALSE
"57",2205,"+","CWHdm2","CWHdm2/Fm52","Ss",NA,"Ss",3,"SAS-HAK",FALSE
"58",2205,"-","CWHdm2","CWHdm2/Fm52","Ss",NA,"Ss",3,NA,FALSE
"59",2213,"+","CWHdm2","CWHdm2/Ws","Ep",3,"Ep",3,"SAS-HAK",FALSE
"60",2213,"-","CWHdm2","CWHdm2/Ws","Ep",3,"Ep",3,NA,FALSE
"61",2217,"+","CWHdm2","CWHdm2/Ws57","Ac",3,"Ac",3,"SAS-HAK",FALSE
"62",2217,"-","CWHdm2","CWHdm2/Ws57","Ac",3,"Ac",3,NA,FALSE
"63",2220,"+","CWHdm2","CWHdm2/Ws57","Ep",3,"Ep",3,"SAS-HAK",FALSE
"64",2220,"-","CWHdm2","CWHdm2/Ws57","Ep",3,"Ep",3,NA,FALSE
"65",2245,"+","CWHdm3","CWHdm3/102","Ra",3,"Ra",3,"SAS-HAK",FALSE
"66",2245,"-","CWHdm3","CWHdm3/102","Ra",3,"Ra",3,NA,FALSE
"67",2254,"+","CWHdm3","CWHdm3/103","Lw",3,"Lw",3,"SAS-HAK",FALSE
"68",2254,"-","CWHdm3","CWHdm3/103","Lw",3,"Lw",3,NA,FALSE
"69",2271,"+","CWHdm3","CWHdm3/104","Lw",3,"Lw",3,"SAS-HAK",FALSE
"70",2271,"-","CWHdm3","CWHdm3/104","Lw",3,"Lw",3,NA,FALSE
"71",2274,"+","CWHdm3","CWHdm3/104","Pw",3,"Pw",3,"SAS-HAK",FALSE
"72",2274,"-","CWHdm3","CWHdm3/104","Pw",3,"Pw",3,NA,FALSE
"73",2289,"+","CWHdm3","CWHdm3/110","Pw",3,"Pw",3,"SAS-HAK",FALSE
"74",2289,"-","CWHdm3","CWHdm3/110","Pw",3,"Pw",3,NA,FALSE
"75",2312,"+","CWHdm3","CWHdm3/112","Pw",3,"Pw",3,"SAS-HAK",FALSE
"76",2312,"-","CWHdm3","CWHdm3/112","Pw",3,"Pw",3,NA,FALSE
"77",2330,"+","CWHdm3","CWHdm3/Fl51","Ac",NA,"Ac",2,"SAS-HAK",NA
"78",2330,"-","CWHdm3","CWHdm3/Fl51","Ac",NA,"Ac",2,NA,NA
"79",2331,"+","CWHdm3","CWHdm3/Fl51","Dr",NA,"Dr",1,"SAS-HAK",NA
"80",2331,"-","CWHdm3","CWHdm3/Fl51","Dr",NA,"Dr",1,NA,NA
"81",2332,"+","CWHdm3","CWHdm3/Fl51","Ep",NA,"Ep",3,"SAS-HAK",NA
"82",2332,"-","CWHdm3","CWHdm3/Fl51","Ep",NA,"Ep",3,NA,NA
"83",2333,"+","CWHdm3","CWHdm3/Fl51","Mb",NA,"Mb",3,"SAS-HAK",NA
"84",2333,"-","CWHdm3","CWHdm3/Fl51","Mb",NA,"Mb",3,NA,NA
"85",2334,"+","CWHdm3","CWHdm3/Fl51","Ws",NA,"Ws",3,"SAS-HAK",NA
"86",2334,"-","CWHdm3","CWHdm3/Fl51","Ws",NA,"Ws",3,NA,NA
"87",2335,"+","CWHdm3","CWHdm3/Fl51","Wt",NA,"Wt",3,"SAS-HAK",NA
"88",2335,"-","CWHdm3","CWHdm3/Fl51","Wt",NA,"Wt",3,NA,NA
"89",2354,"+","CWHdm3","CWHdm3/Ws56","Pw",3,"Pw",3,"SAS-HAK",FALSE
"90",2354,"-","CWHdm3","CWHdm3/Ws56","Pw",3,"Pw",3,NA,FALSE
"91",2578,"+","CWHds1","CWHds1/102","Ep",NA,"Ep",4,"SAS-HAK",NA
"92",2578,"-","CWHds1","CWHds1/102","Ep",NA,"Ep",4,NA,NA
"93",2582,"+","CWHds1","CWHds1/102","Pw",NA,"Pw",4,"SAS-HAK",NA
"94",2582,"-","CWHds1","CWHds1/102","Pw",NA,"Pw",4,NA,NA
"95",2583,"+","CWHds1","CWHds1/103","Ac",NA,"Ac",5,"SAS-HAK",NA
"96",2583,"-","CWHds1","CWHds1/103","Ac",NA,"Ac",5,NA,NA
"97",2584,"+","CWHds1","CWHds1/103","Bg",NA,"Bg",5,"SAS-HAK",NA
"98",2584,"-","CWHds1","CWHds1/103","Bg",NA,"Bg",5,NA,NA
"99",2585,"+","CWHds1","CWHds1/103","Cw",NA,"Cw",4,"SAS-HAK",NA
"100",2585,"-","CWHds1","CWHds1/103","Cw",NA,"Cw",4,NA,NA
"101",2586,"+","CWHds1","CWHds1/103","Ep",NA,"Ep",4,"SAS-HAK",NA
"102",2586,"-","CWHds1","CWHds1/103","Ep",NA,"Ep",4,NA,NA
"103",2588,"+","CWHds1","CWHds1/103","Hw",NA,"Hw",4,"SAS-HAK",NA
"104",2588,"-","CWHds1","CWHds1/103","Hw",NA,"Hw",4,NA,NA
"105",2589,"+","CWHds1","CWHds1/103","Mb",NA,"Mb",4,"SAS-HAK",NA
"106",2589,"-","CWHds1","CWHds1/103","Mb",NA,"Mb",4,NA,NA
"107",2591,"+","CWHds1","CWHds1/103","Pw",NA,"Pw",4,"SAS-HAK",NA
"108",2591,"-","CWHds1","CWHds1/103","Pw",NA,"Pw",4,NA,NA
"109",2593,"+","CWHds1","CWHds1/104","Bg",NA,"Bg",4,"SAS-HAK",NA
"110",2593,"-","CWHds1","CWHds1/104","Bg",NA,"Bg",4,NA,NA
"111",2599,"+","CWHds1","CWHds1/104","Mb",NA,"Mb",4,"SAS-HAK",NA
"112",2599,"-","CWHds1","CWHds1/104","Mb",NA,"Mb",4,NA,NA
"113",2601,"+","CWHds1","CWHds1/104","Pli",NA,"Pl",3,"SAS-HAK",NA
"114",2601,"-","CWHds1","CWHds1/104","Pli",NA,"Pl",3,NA,NA
"115",2602,"+","CWHds1","CWHds1/104","Pw",NA,"Pw",4,"SAS-HAK",NA
"116",2602,"-","CWHds1","CWHds1/104","Pw",NA,"Pw",4,NA,NA
"117",2725,"+","CWHds2","CWHds2/Fl","Ac",2,"Ac",2,"SAS-HAK",FALSE
"118",2725,"-","CWHds2","CWHds2/Fl","Ac",2,"Ac",2,NA,FALSE
"119",2726,"+","CWHds2","CWHds2/Fl","Dr",1,"Dr",1,"SAS-HAK",FALSE
"120",2726,"-","CWHds2","CWHds2/Fl","Dr",1,"Dr",1,NA,FALSE
"121",2727,"+","CWHds2","CWHds2/Fl","Ep",3,"Ep",3,"SAS-HAK",FALSE
