"","grp","chng_type","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange"
"1",2,"+","BAFAunp","BAFAunp/00","Bl",NA,"Bl",1,"inputed",NA
"2",3,"+","BAFAunp","BAFAunp/00","Hm",NA,"Hm",3,"inputed",NA
"3",4,"+","BAFAunp","BAFAunp/00","Pa",NA,"Pa",3,"inputed",NA
"4",451,"+","BWBSdk","BWBSdk/104","Ac",NA,"Ac",3,"inputed",NA
"5",766,"+","BWBSmk","BWBSmk/111","Bl",NA,"Bl",4,"inputed",NA
"6",789,"+","BWBSmw","BWBSmw/103","Bl",NA,"Bl",3,"inputed",NA
"7",791,"+","BWBSmw","BWBSmw/103","Sb",NA,"Sb",2,"inputed",NA
"8",793,"+","BWBSmw","BWBSmw/104","Ac",NA,"Ac",3,"inputed",NA
"9",795,"+","BWBSmw","BWBSmw/104","Bl",NA,"Bl",3,"inputed",NA
"10",807,"+","BWBSmw","BWBSmw/111","Bl",NA,"Bl",3,"inputed",NA
"11",972,"+","BWBSwk1","BWBSwk1/101","Ac",NA,"Ac",2,"inputed",NA
"12",975,"+","BWBSwk1","BWBSwk1/101","Ep",NA,"Ep",3,"inputed",NA
"13",985,"+","BWBSwk1","BWBSwk1/103","Sb",NA,"Sb",2,"inputed",NA
"14",993,"+","BWBSwk1","BWBSwk1/110","Bl",NA,"Bl",2,"inputed",NA
"15",996,"+","BWBSwk1","BWBSwk1/111","Bl",NA,"Bl",1,"inputed",NA
"16",997,"+","BWBSwk1","BWBSwk1/111","Ep",NA,"Ep",2,"inputed",NA
"17",1010,"+","BWBSwk2","BWBSwk2/102","Bl",NA,"Bl",2,"inputed",NA
"18",1026,"+","BWBSwk2","BWBSwk2/110","Bl",NA,"Bl",3,"inputed",NA
"19",1117,"+","CDFmm","CDFmm/105","Hw",NA,"Hw",2,"inputed",NA
"20",1121,"+","CDFmm","CDFmm/105","Tw",NA,"Tw",3,"inputed",NA
"21",1140,"+","CDFmm","CDFmm/111","Bg",NA,"Bg",3,"inputed",NA
"22",1163,"+","CDFmm","CDFmm/112","Ss",NA,"Ss",3,"inputed",NA
"23",1222,"+","CDFmm","CDFmm/Ws53","Fdi",NA,"Fd",3,"inputed",NA
"24",1380,"+","CMAunp","CMAunp/00","Hm",NA,"Hm",2,"inputed",NA
"25",1381,"+","CMAunp","CMAunp/00","Hw",NA,"Hw",1,"inputed",NA
"26",1382,"+","CMAunp","CMAunp/00","Pa",NA,"Pa",3,"inputed",NA
"27",2060,"+","CWHdm2","CWHdm2/101","Ba",NA,"Ba",2,"inputed",NA
"28",2072,"+","CWHdm2","CWHdm2/101","Tw",NA,"Tw",4,"inputed",NA
"29",2073,"+","CWHdm2","CWHdm2/102","Cw",NA,"Cw",3,"inputed",NA
"30",2079,"+","CWHdm2","CWHdm2/103","Cw",NA,"Cw",3,"inputed",NA
"31",2087,"+","CWHdm2","CWHdm2/104","Ba",NA,"Ba",3,"inputed",NA
"32",2120,"+","CWHdm2","CWHdm2/110","Ss",NA,"Ss",2,"inputed",NA
"33",2123,"+","CWHdm2","CWHdm2/111","Ba",NA,"Ba",2,"inputed",NA
"34",2133,"+","CWHdm2","CWHdm2/111","Ss",NA,"Ss",3,"inputed",NA
"35",2146,"+","CWHdm2","CWHdm2/112.1","Ba",NA,"Ba",3,"inputed",NA
"36",2156,"+","CWHdm2","CWHdm2/112.1","Ss",NA,"Ss",3,"inputed",NA
"37",2167,"+","CWHdm2","CWHdm2/112.2","Ss",NA,"Ss",1,"inputed",NA
"38",2226,"+","CWHdm3","CWHdm3/101","Ba",NA,"Ba",2,"inputed",NA
"39",2263,"+","CWHdm3","CWHdm3/104","Ba",NA,"Ba",2,"inputed",NA
"40",2278,"+","CWHdm3","CWHdm3/110","Ba",NA,"Ba",3,"inputed",NA
"41",2290,"+","CWHdm3","CWHdm3/110","Ss",NA,"Ss",3,"inputed",NA
"42",2301,"+","CWHdm3","CWHdm3/112","Ba",NA,"Ba",2,"inputed",NA
"43",2529,"+","CWHds1","CWHds1/101","Ba",NA,"Ba",2,"inputed",NA
"44",2531,"+","CWHds1","CWHds1/101","Bl",NA,"Bl",2,"inputed",NA
"45",2536,"+","CWHds1","CWHds1/101","Hm",NA,"Hm",3,"inputed",NA
"46",2540,"+","CWHds1","CWHds1/101","Mv",NA,"Mv",3,"inputed",NA
"47",2544,"+","CWHds1","CWHds1/101","Ss",NA,"Ss",3,"inputed",NA
"48",2546,"+","CWHds1","CWHds1/101","Yc",NA,"Yc",2,"inputed",NA
"49",2548,"+","CWHds1","CWHds1/101a","Ba",NA,"Ba",2,"inputed",NA
"50",2550,"+","CWHds1","CWHds1/101a","Bl",NA,"Bl",2,"inputed",NA
"51",2555,"+","CWHds1","CWHds1/101a","Hm",NA,"Hm",3,"inputed",NA
"52",2559,"+","CWHds1","CWHds1/101a","Mv",NA,"Mv",3,"inputed",NA
"53",2563,"+","CWHds1","CWHds1/101a","Ss",NA,"Ss",3,"inputed",NA
"54",2565,"+","CWHds1","CWHds1/101a","Yc",NA,"Yc",2,"inputed",NA
"55",2576,"+","CWHds1","CWHds1/101b","Tw",NA,"Tw",3,"inputed",NA
"56",2600,"+","CWHds1","CWHds1/104","Mv",NA,"Mv",1,"inputed",NA
"57",2603,"+","CWHds1","CWHds1/104","Tw",NA,"Tw",3,"inputed",NA
"58",2614,"+","CWHds1","CWHds1/110","Mv",NA,"Mv",2,"inputed",NA
"59",2620,"+","CWHds1","CWHds1/110","Tw",NA,"Tw",3,"inputed",NA
"60",2670,"+","CWHds2","CWHds2/101","Ba",NA,"Ba",2,"inputed",NA
"61",2861,"+","CWHmm1","CWHmm1/101","Yc",NA,"Yc",3,"inputed",NA
"62",2895,"+","CWHmm1","CWHmm1/103","Tw",NA,"Tw",4,"inputed",NA
"63",2896,"+","CWHmm1","CWHmm1/103","Yc",NA,"Yc",3,"inputed",NA
"64",2908,"+","CWHmm1","CWHmm1/110","Bg",NA,"Bg",3,"inputed",NA
"65",3076,"+","CWHms3","CWHms3/101","Bl",NA,"Bl",2,"inputed",NA
"66",3084,"+","CWHms3","CWHms3/101","Pw",NA,"Pw",3,"inputed",NA
"67",3095,"+","CWHms3","CWHms3/103","Bl",NA,"Bl",2,"inputed",NA
"68",3103,"+","CWHms3","CWHms3/103","Mv",NA,"Mv",4,"inputed",NA
"69",3108,"+","CWHms3","CWHms3/103","Yc",NA,"Yc",3,"inputed",NA
"70",3110,"+","CWHms3","CWHms3/104","Bl",NA,"Bl",4,"inputed",NA
"71",3113,"+","CWHms3","CWHms3/104","Hm",NA,"Hm",4,"inputed",NA
"72",3116,"+","CWHms3","CWHms3/104","Sx",NA,"Sx",4,"inputed",NA
"73",3117,"+","CWHms3","CWHms3/104","Tw",NA,"Tw",3,"inputed",NA
"74",3150,"+","CWHms3","CWHms3/112","Hm",NA,"Hm",3,"inputed",NA
"75",3207,"+","CWHms4","CWHms4/101","Mv",NA,"Mv",2,"inputed",NA
"76",3231,"+","CWHms4","CWHms4/103","Mv",NA,"Mv",4,"inputed",NA
"77",3237,"+","CWHms4","CWHms4/104","Ba",NA,"Ba",3,"inputed",NA
"78",3241,"+","CWHms4","CWHms4/104","Hm",NA,"Hm",3,"inputed",NA
"79",3243,"+","CWHms4","CWHms4/104","Mv",NA,"Mv",3,"inputed",NA
"80",3244,"+","CWHms4","CWHms4/104","Plc",NA,"Pl",2,"inputed",NA
"81",3247,"+","CWHms4","CWHms4/105","Bl",NA,"Bl",3,"inputed",NA
"82",3252,"+","CWHms4","CWHms4/105","Yc",NA,"Yc",2,"inputed",NA
"83",3265,"+","CWHms4","CWHms4/110","Mv",NA,"Mv",2,"inputed",NA
"84",3269,"+","CWHms4","CWHms4/110","Tw",NA,"Tw",3,"inputed",NA
"85",3288,"+","CWHms4","CWHms4/112","Hm",NA,"Hm",2,"inputed",NA
"86",3323,"+","CWHms5","CWHms5/101","Mv",NA,"Mv",1,"inputed",NA
"87",3338,"+","CWHms5","CWHms5/101.1","Mv",NA,"Mv",3,"inputed",NA
"88",3348,"+","CWHms5","CWHms5/101.2","Mv",NA,"Mv",1,"inputed",NA
"89",3349,"+","CWHms5","CWHms5/101.2","Plc",NA,"Pl",3,"inputed",NA
"90",3351,"+","CWHms5","CWHms5/101.2","Ss",NA,"Ss",3,"inputed",NA
"91",3353,"+","CWHms5","CWHms5/101.2","Yc",NA,"Yc",2,"inputed",NA
"92",3358,"+","CWHms5","CWHms5/102","Sx",NA,"Sx",4,"inputed",NA
"93",3373,"+","CWHms5","CWHms5/103","Yc",NA,"Yc",3,"inputed",NA
"94",3376,"+","CWHms5","CWHms5/103.1","Bg",NA,"Bg",2,"inputed",NA
"95",3382,"+","CWHms5","CWHms5/103.1","Hm",NA,"Hm",2,"inputed",NA
"96",3386,"+","CWHms5","CWHms5/103.1","Mv",NA,"Mv",2,"inputed",NA
"97",3391,"+","CWHms5","CWHms5/103.1","Tw",NA,"Tw",3,"inputed",NA
"98",3392,"+","CWHms5","CWHms5/103.1","Yc",NA,"Yc",3,"inputed",NA
"99",3394,"+","CWHms5","CWHms5/103.2","Bg",NA,"Bg",3,"inputed",NA
"100",3399,"+","CWHms5","CWHms5/103.2","Mv",NA,"Mv",3,"inputed",NA
"101",3403,"+","CWHms5","CWHms5/103.2","Yc",NA,"Yc",3,"inputed",NA
