"","grp","chng_type","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange"
"1",6337,"+","ESSFvc","ESSFvc/06","Bl",NA,"Bl",4,"REVIEW",FALSE
"2",6338,"+","ESSFvc","ESSFvc/06","Hm",NA,"Hm",4,"REVIEW",FALSE
"3",6339,"+","ESSFvc","ESSFvc/06","Se",NA,"Sx",4,"REVIEW",FALSE
"4",6357,"+","ESSFvcw","ESSFvcw/06","Bl",NA,"Bl",4,"REVIEW",FALSE
"5",6358,"+","ESSFvcw","ESSFvcw/06","Hm",NA,"Hm",4,"REVIEW",FALSE
"6",6359,"+","ESSFvcw","ESSFvcw/06","Se",NA,"Sx",4,"REVIEW",FALSE
"7",6940,"+","ESSFxc1","ESSFxc1/Ws08","Bl",NA,"Bl",4,"REVIEW",FALSE
"8",6941,"+","ESSFxc1","ESSFxc1/Ws08","Sx",NA,"Sx",4,"REVIEW",FALSE
"9",6942,"+","ESSFxc1","ESSFxc1/Ws12","Bl",NA,"Bl",4,"REVIEW",FALSE
"10",6943,"+","ESSFxc1","ESSFxc1/Ws12","Sx",NA,"Sx",4,"REVIEW",FALSE
"11",6971,"+","ESSFxc2","ESSFxc2/Ws08","Bl",NA,"Bl",4,"REVIEW",FALSE
"12",6972,"+","ESSFxc2","ESSFxc2/Ws08","Sx",NA,"Sx",4,"REVIEW",FALSE
"13",7001,"+","ESSFxc3","ESSFxc3/10","Bl",NA,"Bl",4,"REVIEW",FALSE
"14",7002,"+","ESSFxc3","ESSFxc3/10","Se",NA,"Sx",4,"REVIEW",FALSE
"15",7555,"+","ICHdm","ICHdm/Fm01","Act",NA,"Ac",1,"REVIEW",FALSE
"16",7556,"+","ICHdm","ICHdm/Fm02","Act",NA,"Ac",1,"REVIEW",FALSE
"17",7557,"+","ICHdm","ICHdm/Fm02","Sx",NA,"Sx",2,"REVIEW",FALSE
"18",7558,"+","ICHdm","ICHdm/Fm04","Act",NA,"Ac",1,"REVIEW",FALSE
"19",7559,"+","ICHdm","ICHdm/Fm04","Cw",NA,"Cw",3,"REVIEW",FALSE
"20",7560,"+","ICHdm","ICHdm/Fm04","Ep",NA,"Ep",3,"REVIEW",FALSE
"21",7561,"+","ICHdm","ICHdm/Fm04","Sx",NA,"Sx",2,"REVIEW",FALSE
"22",7638,"+","ICHdw1","ICHdw1/Fm01","Act",NA,"Ac",1,"REVIEW",FALSE
"23",7639,"+","ICHdw1","ICHdw1/Fm02","Act",NA,"Ac",1,"REVIEW",FALSE
"24",7640,"+","ICHdw1","ICHdw1/Fm02","Sx",NA,"Sx",2,"REVIEW",FALSE
"25",7641,"+","ICHdw1","ICHdw1/Fm04","Act",NA,"Ac",1,"REVIEW",FALSE
"26",7642,"+","ICHdw1","ICHdw1/Fm04","Cw",NA,"Cw",3,"REVIEW",FALSE
"27",7643,"+","ICHdw1","ICHdw1/Fm04","Ep",NA,"Ep",3,"REVIEW",FALSE
"28",7644,"+","ICHdw1","ICHdw1/Fm04","Sx",NA,"Sx",2,"REVIEW",FALSE
"29",7789,"+","ICHdw4","ICHdw4/Fm01","Act",NA,"Ac",1,"REVIEW",FALSE
"30",7790,"+","ICHdw4","ICHdw4/Fm02","Act",NA,"Ac",1,"REVIEW",FALSE
"31",7791,"+","ICHdw4","ICHdw4/Fm02","Sx",NA,"Sx",2,"REVIEW",FALSE
"32",7792,"+","ICHdw4","ICHdw4/Fm04","Act",NA,"Ac",1,"REVIEW",FALSE
"33",7793,"+","ICHdw4","ICHdw4/Fm04","Cw",NA,"Cw",3,"REVIEW",FALSE
"34",7794,"+","ICHdw4","ICHdw4/Fm04","Ep",NA,"Ep",3,"REVIEW",FALSE
"35",7795,"+","ICHdw4","ICHdw4/Fm04","Sx",NA,"Sx",2,"REVIEW",FALSE
"36",8363,"+","ICHmk4","ICHmk4/Fm01","Act",NA,"Ac",1,"REVIEW",FALSE
"37",8364,"+","ICHmk4","ICHmk4/Fm02","Act",NA,"Ac",1,"REVIEW",FALSE
"38",8365,"+","ICHmk4","ICHmk4/Fm02","Sx",NA,"Sx",2,"REVIEW",FALSE
"39",8617,"+","ICHmw2","ICHmw2/Fm01","Act",NA,"Ac",1,"REVIEW",FALSE
"40",8618,"+","ICHmw2","ICHmw2/Fm02","Act",NA,"Ac",1,"REVIEW",FALSE
"41",8619,"+","ICHmw2","ICHmw2/Fm02","Sx",NA,"Sx",2,"REVIEW",FALSE
"42",8620,"+","ICHmw2","ICHmw2/Fm04","Act",NA,"Ac",1,"REVIEW",FALSE
"43",8621,"+","ICHmw2","ICHmw2/Fm04","Cw",NA,"Cw",3,"REVIEW",FALSE
"44",8622,"+","ICHmw2","ICHmw2/Fm04","Ep",NA,"Ep",3,"REVIEW",FALSE
"45",8623,"+","ICHmw2","ICHmw2/Fm04","Sx",NA,"Sx",2,"REVIEW",FALSE
"46",8706,"+","ICHmw3","ICHmw3/09","Pli",NA,"Pl",4,"REVIEW",FALSE
"47",8784,"+","ICHmw4","ICHmw4/Fm01","Act",NA,"Ac",1,"REVIEW",FALSE
"48",8785,"+","ICHmw4","ICHmw4/Fm02","Act",NA,"Ac",1,"REVIEW",FALSE
"49",8786,"+","ICHmw4","ICHmw4/Fm02","Sx",NA,"Sx",2,"REVIEW",FALSE
"50",8787,"+","ICHmw4","ICHmw4/Fm04","Act",NA,"Ac",1,"REVIEW",FALSE
"51",8788,"+","ICHmw4","ICHmw4/Fm04","Cw",NA,"Cw",3,"REVIEW",FALSE
"52",8789,"+","ICHmw4","ICHmw4/Fm04","Ep",NA,"Ep",3,"REVIEW",FALSE
"53",8790,"+","ICHmw4","ICHmw4/Fm04","Sx",NA,"Sx",2,"REVIEW",FALSE
"54",8866,"+","ICHmw5","ICHmw5/Fm01","Act",NA,"Ac",1,"REVIEW",FALSE
"55",8867,"+","ICHmw5","ICHmw5/Fm02","Act",NA,"Ac",1,"REVIEW",FALSE
"56",8868,"+","ICHmw5","ICHmw5/Fm02","Sx",NA,"Sx",2,"REVIEW",FALSE
