"","grp","chng_type","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange"
"1",415,"+","BWBSdk","BWBSdk/101","Acb",3,"Ac",3,"DS",FALSE
"2",415,"-","BWBSdk","BWBSdk/101","Acb",3,"Ac",3,NA,FALSE
"3",416,"+","BWBSdk","BWBSdk/101","At",1,"At",1,"DS",FALSE
"4",416,"-","BWBSdk","BWBSdk/101","At",1,"At",1,NA,FALSE
"5",417,"+","BWBSdk","BWBSdk/101","Bl",2,"Bl",2,"DS",FALSE
"6",417,"-","BWBSdk","BWBSdk/101","Bl",2,"Bl",2,NA,FALSE
"7",418,"+","BWBSdk","BWBSdk/101","Ep",3,"Ep",3,"DS",FALSE
"8",418,"-","BWBSdk","BWBSdk/101","Ep",3,"Ep",3,NA,FALSE
"9",419,"+","BWBSdk","BWBSdk/101","Pli",1,"Pl",1,"DS",FALSE
"10",419,"-","BWBSdk","BWBSdk/101","Pli",1,"Pl",1,NA,FALSE
"11",420,"+","BWBSdk","BWBSdk/101","Sb",3,"Sb",3,"DS",FALSE
"12",420,"-","BWBSdk","BWBSdk/101","Sb",3,"Sb",3,NA,FALSE
"13",421,"-","BWBSdk","BWBSdk/101","Sw",1,"Sx",1,NA,FALSE
"14",436,"+","BWBSdk","BWBSdk/102","At",3,"At",3,"DS",FALSE
"15",436,"-","BWBSdk","BWBSdk/102","At",3,"At",3,NA,FALSE
"16",437,"+","BWBSdk","BWBSdk/102","Bl",3,"Bl",3,"DS",FALSE
"17",437,"-","BWBSdk","BWBSdk/102","Bl",3,"Bl",3,NA,FALSE
"18",438,"+","BWBSdk","BWBSdk/102",NA,4,"Ep",4,"DS",NA
"19",439,"+","BWBSdk","BWBSdk/102","Pli",2,"Pl",2,"DS",FALSE
"20",439,"-","BWBSdk","BWBSdk/102","Pli",2,"Pl",2,NA,FALSE
"21",441,"+","BWBSdk","BWBSdk/102","Sw",3,"Sx",3,"DS",FALSE
"22",441,"-","BWBSdk","BWBSdk/102","Sw",3,"Sx",3,NA,FALSE
"23",442,"+","BWBSdk","BWBSdk/103","At",2,"At",2,"DS",FALSE
"24",442,"-","BWBSdk","BWBSdk/103","At",2,"At",2,NA,FALSE
"25",443,"+","BWBSdk","BWBSdk/103","Bl",2,"Bl",3,"DS",FALSE
"26",443,"-","BWBSdk","BWBSdk/103","Bl",2,"Bl",2,NA,FALSE
"27",444,"+","BWBSdk","BWBSdk/103","Ep",3,"Ep",3,"DS",FALSE
"28",444,"-","BWBSdk","BWBSdk/103","Ep",3,"Ep",3,NA,FALSE
"29",445,"+","BWBSdk","BWBSdk/103","Pli",1,"Pl",1,"DS",FALSE
"30",445,"-","BWBSdk","BWBSdk/103","Pli",1,"Pl",1,NA,FALSE
"31",446,"+","BWBSdk","BWBSdk/103","Sb",3,"Sb",3,"DS",FALSE
"32",446,"-","BWBSdk","BWBSdk/103","Sb",3,"Sb",3,NA,FALSE
"33",447,"+","BWBSdk","BWBSdk/103","Sw",1,"Sx",1,"DS",FALSE
"34",447,"-","BWBSdk","BWBSdk/103","Sw",1,"Sx",1,NA,FALSE
"35",448,"+","BWBSdk","BWBSdk/104","At",2,"At",2,"DS",FALSE
"36",448,"-","BWBSdk","BWBSdk/104","At",2,"At",2,NA,FALSE
"37",449,"+","BWBSdk","BWBSdk/104","Bl",3,"Bl",3,"DS",FALSE
"38",449,"-","BWBSdk","BWBSdk/104","Bl",3,"Bl",3,NA,FALSE
