"","grp","chng_type","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange"
"1",13319,"-","SBPSdc","SBPSdc/03a","At",3,"At",NA,"KI",FALSE
"2",13320,"-","SBPSdc","SBPSdc/03a","Pli",1,"Pl",NA,"KI",FALSE
"3",13321,"-","SBPSdc","SBPSdc/03a","Sb",3,"Sb",NA,"KI",FALSE
"4",13322,"-","SBPSdc","SBPSdc/03a","Sxw",3,"Sx",NA,"KI",FALSE
"5",13323,"-","SBPSdc","SBPSdc/03b","At",3,"At",NA,"KI",FALSE
"6",13324,"-","SBPSdc","SBPSdc/03b","Pli",1,"Pl",NA,"KI",FALSE
"7",13325,"-","SBPSdc","SBPSdc/03b","Sb",3,"Sb",NA,"KI",FALSE
"8",13326,"-","SBPSdc","SBPSdc/03b","Sxw",3,"Sx",NA,"KI",FALSE
