"","grp","chng_type","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange"
"1",2,"+","BAFAunp","BAFAunp/00","Bl",1,"Bl",3,"cd",FALSE
"2",2,"-","BAFAunp","BAFAunp/00","Bl",NA,"Bl",1,"inputed",NA
"3",3,"+","BAFAunp","BAFAunp/00","Hm",3,"Hm",4,"cd",FALSE
"4",3,"-","BAFAunp","BAFAunp/00","Hm",NA,"Hm",3,"inputed",NA
"5",4,"+","BAFAunp","BAFAunp/00","Pa",3,"Pa",4,"cd",FALSE
"6",4,"-","BAFAunp","BAFAunp/00","Pa",NA,"Pa",3,"inputed",NA
"7",443,"+","BWBSdk","BWBSdk/102","Sb",5,"Sb",5,"cd",FALSE
"8",443,"-","BWBSdk","BWBSdk/102","Sb",5,"Sb",5,NA,FALSE
"9",451,"+","BWBSdk","BWBSdk/104","Ac",3,"Ac",4,"cd",FALSE
"10",451,"-","BWBSdk","BWBSdk/104","Ac",NA,"Ac",3,"inputed",NA
"11",737,"+","BWBSmk","BWBSmk/102","Sw",5,"Sx",3,"cd",FALSE
"12",737,"-","BWBSmk","BWBSmk/102","Sw",5,"Sx",5,NA,FALSE
"13",744,"+","BWBSmk","BWBSmk/104","Lt",2,"Lt",3,"cd",FALSE
"14",744,"-","BWBSmk","BWBSmk/104","Lt",2,"Lt",2,NA,FALSE
"15",749,"+","BWBSmk","BWBSmk/104a","Lt",2,"Lt",3,"cd",FALSE
"16",749,"-","BWBSmk","BWBSmk/104a","Lt",2,"Lt",2,NA,FALSE
"17",754,"+","BWBSmk","BWBSmk/104b","Lt",2,"Lt",3,"cd",FALSE
"18",754,"-","BWBSmk","BWBSmk/104b","Lt",2,"Lt",2,NA,FALSE
"19",766,"+","BWBSmk","BWBSmk/111","Bl",4,"Bl",5,"cd",FALSE
"20",766,"-","BWBSmk","BWBSmk/111","Bl",NA,"Bl",4,"inputed",NA
"21",787,"+","BWBSmw","BWBSmw/102","Sw",5,"Sx",4,"cd",FALSE
"22",787,"-","BWBSmw","BWBSmw/102","Sw",5,"Sx",5,NA,FALSE
"23",789,"+","BWBSmw","BWBSmw/103","Bl",3,"Bl",3,"cd",FALSE
"24",789,"-","BWBSmw","BWBSmw/103","Bl",NA,"Bl",3,"inputed",NA
"25",791,"+","BWBSmw","BWBSmw/103","Sb",2,"Sb",3,"cd",FALSE
"26",791,"-","BWBSmw","BWBSmw/103","Sb",NA,"Sb",2,"inputed",NA
