Source,BGC,SS_NoSpace,Edatopic
BECv13,ESSFun1,ESSFun1/x,D6
BECv13,ESSFun1,ESSFun1/x,D5
BECv13,ESSFun1,ESSFun1/x,D4
BECv13,ESSFun1,ESSFun1/x,D3
BECv13,ESSFun1,ESSFun1/x,D2
BECv13,ESSFun1,ESSFun1/x,D1
BECv13,ESSFun1,ESSFun1/x,D0
BECv13,ESSFun1,ESSFun1/x,C7
BECv13,ESSFun1,ESSFun1/x,C6
BECv13,ESSFun1,ESSFun1/x,C5
BECv13,ESSFun1,ESSFun1/x,C4
BECv13,ESSFun1,ESSFun1/x,C3
BECv13,ESSFun1,ESSFun1/x,C2
BECv13,ESSFun1,ESSFun1/x,C1
BECv13,ESSFun1,ESSFun1/x,C0
BECv13,ESSFun1,ESSFun1/x,B7
BECv13,ESSFun1,ESSFun1/x,B6
BECv13,ESSFun1,ESSFun1/x,B5
BECv13,ESSFun1,ESSFun1/x,B4
BECv13,ESSFun1,ESSFun1/x,B3
BECv13,ESSFun1,ESSFun1/x,B2
BECv13,ESSFun1,ESSFun1/x,B1
BECv13,ESSFun1,ESSFun1/x,B0
BECv13,ESSFun1,ESSFun1/x,A7
BECv13,ESSFun1,ESSFun1/x,A6
BECv13,ESSFun1,ESSFun1/x,A5
BECv13,ESSFun1,ESSFun1/x,A4
BECv13,ESSFun1,ESSFun1/x,A3
BECv13,ESSFun1,ESSFun1/x,A2
BECv13,ESSFun1,ESSFun1/x,A1
BECv13,ESSFun1,ESSFun1/x,A0
BECv13,ESSFun2,ESSFun2/m,E7
BECv13,ESSFun2,ESSFun2/m,E6
BECv13,ESSFun2,ESSFun2/m,E5
BECv13,ESSFun2,ESSFun2/m,E4
BECv13,ESSFun2,ESSFun2/m,E3
BECv13,ESSFun2,ESSFun2/m,E2
BECv13,ESSFun2,ESSFun2/m,E1
BECv13,ESSFun2,ESSFun2/m,E0
BECv13,ESSFun2,ESSFun2/m,D7
BECv13,ESSFun2,ESSFun2/m,D6
BECv13,ESSFun2,ESSFun2/m,D5
BECv13,ESSFun2,ESSFun2/m,D4
BECv13,ESSFun2,ESSFun2/m,D3
BECv13,ESSFun2,ESSFun2/m,D2
BECv13,ESSFun2,ESSFun2/m,D1
BECv13,ESSFun2,ESSFun2/m,D0
BECv13,ESSFun2,ESSFun2/m,C7
BECv13,ESSFun2,ESSFun2/m,C6
BECv13,ESSFun2,ESSFun2/m,C5
BECv13,ESSFun2,ESSFun2/m,C4
BECv13,ESSFun2,ESSFun2/m,C3
BECv13,ESSFun2,ESSFun2/m,C2
BECv13,ESSFun2,ESSFun2/m,C1
BECv13,ESSFun2,ESSFun2/m,C0
BECv13,ESSFun2,ESSFun2/m,B7
BECv13,ESSFun2,ESSFun2/m,B6
BECv13,ESSFun2,ESSFun2/m,B5
BECv13,ESSFun2,ESSFun2/m,B4
BECv13,ESSFun2,ESSFun2/m,B3
BECv13,ESSFun2,ESSFun2/m,B2
BECv13,ESSFun2,ESSFun2/m,B1
BECv13,ESSFun2,ESSFun2/m,B0
BECv13,ESSFun2,ESSFun2/m,A7
BECv13,ESSFun2,ESSFun2/m,A6
BECv13,ESSFun2,ESSFun2/m,A5
BECv13,ESSFun2,ESSFun2/m,A4
BECv13,ESSFun2,ESSFun2/m,A3
BECv13,ESSFun2,ESSFun2/m,A2
BECv13,ESSFun2,ESSFun2/m,A1
BECv13,ESSFun2,ESSFun2/m,A0
BECv13,ESSFun2,ESSFun2/x,E7
BECv13,ESSFun2,ESSFun2/x,E6
BECv13,ESSFun2,ESSFun2/x,E5
BECv13,ESSFun2,ESSFun2/x,E4
BECv13,ESSFun2,ESSFun2/x,E3
BECv13,ESSFun2,ESSFun2/x,E2
BECv13,ESSFun2,ESSFun2/x,E1
BECv13,ESSFun2,ESSFun2/x,E0
BECv13,ESSFun2,ESSFun2/x,D7
BECv13,ESSFun2,ESSFun2/x,D6
BECv13,ESSFun2,ESSFun2/x,D5
BECv13,ESSFun2,ESSFun2/x,D4
BECv13,ESSFun2,ESSFun2/x,D3
BECv13,ESSFun2,ESSFun2/x,D2
BECv13,ESSFun2,ESSFun2/x,D1
BECv13,ESSFun2,ESSFun2/x,D0
BECv13,ESSFun2,ESSFun2/x,C7
BECv13,ESSFun2,ESSFun2/x,C6
BECv13,ESSFun2,ESSFun2/x,C5
BECv13,ESSFun2,ESSFun2/x,C4
BECv13,ESSFun2,ESSFun2/x,C3
BECv13,ESSFun2,ESSFun2/x,C2
BECv13,ESSFun2,ESSFun2/x,C1
BECv13,ESSFun2,ESSFun2/x,C0
BECv13,ESSFun2,ESSFun2/x,B7
BECv13,ESSFun2,ESSFun2/x,B6
BECv13,ESSFun2,ESSFun2/x,B5
BECv13,ESSFun2,ESSFun2/x,B4
BECv13,ESSFun2,ESSFun2/x,B3
BECv13,ESSFun2,ESSFun2/x,B2
BECv13,ESSFun2,ESSFun2/x,B1
BECv13,ESSFun2,ESSFun2/x,B0
BECv13,ESSFun2,ESSFun2/x,A7
BECv13,ESSFun2,ESSFun2/x,A6
BECv13,ESSFun2,ESSFun2/x,A5
BECv13,ESSFun2,ESSFun2/x,A4
BECv13,ESSFun2,ESSFun2/x,A3
BECv13,ESSFun2,ESSFun2/x,A2
BECv13,ESSFun2,ESSFun2/x,A1
BECv13,ESSFun2,ESSFun2/x,A0
BECv13,ESSFun2,ESSFun2/h,E7
BECv13,ESSFun2,ESSFun2/h,E6
BECv13,ESSFun2,ESSFun2/h,E5
BECv13,ESSFun2,ESSFun2/h,E4
BECv13,ESSFun2,ESSFun2/h,E3
BECv13,ESSFun2,ESSFun2/h,E2
BECv13,ESSFun2,ESSFun2/h,E1
BECv13,ESSFun2,ESSFun2/h,E0
BECv13,ESSFun2,ESSFun2/h,D7
BECv13,ESSFun2,ESSFun2/h,D6
BECv13,ESSFun2,ESSFun2/h,D5
BECv13,ESSFun2,ESSFun2/h,D4
BECv13,ESSFun2,ESSFun2/h,D3
BECv13,ESSFun2,ESSFun2/h,D2
BECv13,ESSFun2,ESSFun2/h,D1
BECv13,ESSFun2,ESSFun2/h,D0
BECv13,ESSFun2,ESSFun2/h,C7
BECv13,ESSFun2,ESSFun2/h,C6
BECv13,ESSFun2,ESSFun2/h,C5
BECv13,ESSFun2,ESSFun2/h,C4
BECv13,ESSFun2,ESSFun2/h,C3
BECv13,ESSFun2,ESSFun2/h,C2
BECv13,ESSFun2,ESSFun2/h,C1
BECv13,ESSFun2,ESSFun2/h,C0
BECv13,ESSFun2,ESSFun2/h,B7
BECv13,ESSFun2,ESSFun2/h,B6
BECv13,ESSFun2,ESSFun2/h,B5
BECv13,ESSFun2,ESSFun2/h,B4
BECv13,ESSFun2,ESSFun2/h,B3
BECv13,ESSFun2,ESSFun2/h,B2
BECv13,ESSFun2,ESSFun2/h,B1
BECv13,ESSFun2,ESSFun2/h,B0
BECv13,ESSFun2,ESSFun2/h,A7
BECv13,ESSFun2,ESSFun2/h,A6
BECv13,ESSFun2,ESSFun2/h,A5
BECv13,ESSFun2,ESSFun2/h,A4
BECv13,ESSFun2,ESSFun2/h,A3
BECv13,ESSFun2,ESSFun2/h,A2
BECv13,ESSFun2,ESSFun2/h,A1
BECv13,ESSFun2,ESSFun2/h,A0
BECv13,ICHun1,ICHun1/m,E7
BECv13,ICHun1,ICHun1/m,E6
BECv13,ICHun1,ICHun1/m,E5
BECv13,ICHun1,ICHun1/m,E4
BECv13,ICHun1,ICHun1/m,E3
BECv13,ICHun1,ICHun1/m,E2
BECv13,ICHun1,ICHun1/m,E1
BECv13,ICHun1,ICHun1/m,E0
BECv13,ICHun1,ICHun1/m,D7
BECv13,ICHun1,ICHun1/m,D6
BECv13,ICHun1,ICHun1/m,D5
BECv13,ICHun1,ICHun1/m,D4
BECv13,ICHun1,ICHun1/m,D3
BECv13,ICHun1,ICHun1/m,D2
BECv13,ICHun1,ICHun1/m,D1
BECv13,ICHun1,ICHun1/m,D0
BECv13,ICHun1,ICHun1/m,C7
BECv13,ICHun1,ICHun1/m,C6
BECv13,ICHun1,ICHun1/m,C5
BECv13,ICHun1,ICHun1/m,C4
BECv13,ICHun1,ICHun1/m,C3
BECv13,ICHun1,ICHun1/m,C2
BECv13,ICHun1,ICHun1/m,C1
BECv13,ICHun1,ICHun1/m,C0
BECv13,ICHun1,ICHun1/m,B7
BECv13,ICHun1,ICHun1/m,B6
BECv13,ICHun1,ICHun1/m,B5
BECv13,ICHun1,ICHun1/m,B4
BECv13,ICHun1,ICHun1/m,B3
BECv13,ICHun1,ICHun1/m,B2
BECv13,ICHun1,ICHun1/m,B1
BECv13,ICHun1,ICHun1/m,B0
BECv13,ICHun1,ICHun1/m,A7
BECv13,ICHun1,ICHun1/m,A6
BECv13,ICHun1,ICHun1/m,A5
BECv13,ICHun1,ICHun1/m,A4
BECv13,ICHun1,ICHun1/m,A3
BECv13,ICHun1,ICHun1/m,A2
BECv13,ICHun1,ICHun1/m,A1
BECv13,ICHun1,ICHun1/m,A0
BECv13,ICHun1,ICHun1/x,E7
BECv13,ICHun1,ICHun1/x,E6
BECv13,ICHun1,ICHun1/x,E5
BECv13,ICHun1,ICHun1/x,E4
BECv13,ICHun1,ICHun1/x,E3
BECv13,ICHun1,ICHun1/x,E2
BECv13,ICHun1,ICHun1/x,E1
BECv13,ICHun1,ICHun1/x,E0
BECv13,ICHun1,ICHun1/x,D7
BECv13,ICHun1,ICHun1/x,D6
BECv13,ICHun1,ICHun1/x,D5
BECv13,ICHun1,ICHun1/x,D4
BECv13,ICHun1,ICHun1/x,D3
BECv13,ICHun1,ICHun1/x,D2
BECv13,ICHun1,ICHun1/x,D1
BECv13,ICHun1,ICHun1/x,D0
BECv13,ICHun1,ICHun1/x,C7
BECv13,ICHun1,ICHun1/x,C6
BECv13,ICHun1,ICHun1/x,C5
BECv13,ICHun1,ICHun1/x,C4
BECv13,ICHun1,ICHun1/x,C3
BECv13,ICHun1,ICHun1/x,C2
BECv13,ICHun1,ICHun1/x,C1
BECv13,ICHun1,ICHun1/x,C0
BECv13,ICHun1,ICHun1/x,B7
BECv13,ICHun1,ICHun1/x,B6
BECv13,ICHun1,ICHun1/x,B5
BECv13,ICHun1,ICHun1/x,B4
BECv13,ICHun1,ICHun1/x,B3
BECv13,ICHun1,ICHun1/x,B2
BECv13,ICHun1,ICHun1/x,B1
BECv13,ICHun1,ICHun1/x,B0
BECv13,ICHun1,ICHun1/x,A7
BECv13,ICHun1,ICHun1/x,A6
BECv13,ICHun1,ICHun1/x,A5
BECv13,ICHun1,ICHun1/x,A4
BECv13,ICHun1,ICHun1/x,A3
BECv13,ICHun1,ICHun1/x,A2
BECv13,ICHun1,ICHun1/x,A1
BECv13,ICHun1,ICHun1/x,A0
BECv13,ICHun1,ICHun1/h,E7
BECv13,ICHun1,ICHun1/h,E6
BECv13,ICHun1,ICHun1/h,E5
BECv13,ICHun1,ICHun1/h,E4
BECv13,ICHun1,ICHun1/h,E3
BECv13,ICHun1,ICHun1/h,E2
BECv13,ICHun1,ICHun1/h,E1
BECv13,ICHun1,ICHun1/h,E0
BECv13,ICHun1,ICHun1/h,D7
BECv13,ICHun1,ICHun1/h,D6
BECv13,ICHun1,ICHun1/h,D5
BECv13,ICHun1,ICHun1/h,D4
BECv13,ICHun1,ICHun1/h,D3
BECv13,ICHun1,ICHun1/h,D2
BECv13,ICHun1,ICHun1/h,D1
BECv13,ICHun1,ICHun1/h,D0
BECv13,ICHun1,ICHun1/h,C7
BECv13,ICHun1,ICHun1/h,C6
BECv13,ICHun1,ICHun1/h,C5
BECv13,ICHun1,ICHun1/h,C4
BECv13,ICHun1,ICHun1/h,C3
BECv13,ICHun1,ICHun1/h,C2
BECv13,ICHun1,ICHun1/h,C1
BECv13,ICHun1,ICHun1/h,C0
BECv13,ICHun1,ICHun1/h,B7
BECv13,ICHun1,ICHun1/h,B6
BECv13,ICHun1,ICHun1/h,B5
BECv13,ICHun1,ICHun1/h,B4
BECv13,ICHun1,ICHun1/h,B3
BECv13,ICHun1,ICHun1/h,B2
BECv13,ICHun1,ICHun1/h,B1
BECv13,ICHun1,ICHun1/h,B0
BECv13,ICHun1,ICHun1/h,A7
BECv13,ICHun1,ICHun1/h,A6
BECv13,ICHun1,ICHun1/h,A5
BECv13,ICHun1,ICHun1/h,A4
BECv13,ICHun1,ICHun1/h,A3
BECv13,ICHun1,ICHun1/h,A2
BECv13,ICHun1,ICHun1/h,A1
BECv13,ICHun1,ICHun1/h,A0
BECv13,MSun1,MSun1/m,E7
BECv13,MSun1,MSun1/m,E6
BECv13,MSun1,MSun1/m,E5
BECv13,MSun1,MSun1/m,E4
BECv13,MSun1,MSun1/m,E3
BECv13,MSun1,MSun1/m,E2
BECv13,MSun1,MSun1/m,E1
BECv13,MSun1,MSun1/m,E0
BECv13,MSun1,MSun1/m,D7
BECv13,MSun1,MSun1/m,D6
BECv13,MSun1,MSun1/m,D5
BECv13,MSun1,MSun1/m,D4
BECv13,MSun1,MSun1/m,D3
BECv13,MSun1,MSun1/m,D2
BECv13,MSun1,MSun1/m,D1
BECv13,MSun1,MSun1/m,D0
BECv13,MSun1,MSun1/m,C7
BECv13,MSun1,MSun1/m,C6
BECv13,MSun1,MSun1/m,C5
BECv13,MSun1,MSun1/m,C4
BECv13,MSun1,MSun1/m,C3
BECv13,MSun1,MSun1/m,C2
BECv13,MSun1,MSun1/m,C1
BECv13,MSun1,MSun1/m,C0
BECv13,MSun1,MSun1/m,B7
BECv13,MSun1,MSun1/m,B6
BECv13,MSun1,MSun1/m,B5
BECv13,MSun1,MSun1/m,B4
BECv13,MSun1,MSun1/m,B3
BECv13,MSun1,MSun1/m,B2
BECv13,MSun1,MSun1/m,B1
BECv13,MSun1,MSun1/m,B0
BECv13,MSun1,MSun1/m,A7
BECv13,MSun1,MSun1/m,A6
BECv13,MSun1,MSun1/m,A5
BECv13,MSun1,MSun1/m,A4
BECv13,MSun1,MSun1/m,A3
BECv13,MSun1,MSun1/m,A2
BECv13,MSun1,MSun1/m,A1
BECv13,MSun1,MSun1/m,A0
BECv13,MSun1,MSun1/x,E7
BECv13,MSun1,MSun1/x,E6
BECv13,MSun1,MSun1/x,E5
BECv13,MSun1,MSun1/x,E4
BECv13,MSun1,MSun1/x,E3
BECv13,MSun1,MSun1/x,E2
BECv13,MSun1,MSun1/x,E1
BECv13,MSun1,MSun1/x,E0
BECv13,MSun1,MSun1/x,D7
BECv13,MSun1,MSun1/x,D6
BECv13,MSun1,MSun1/x,D5
BECv13,MSun1,MSun1/x,D4
BECv13,MSun1,MSun1/x,D3
BECv13,MSun1,MSun1/x,D2
BECv13,MSun1,MSun1/x,D1
BECv13,MSun1,MSun1/x,D0
BECv13,MSun1,MSun1/x,C7
BECv13,MSun1,MSun1/x,C6
BECv13,MSun1,MSun1/x,C5
BECv13,MSun1,MSun1/x,C4
BECv13,MSun1,MSun1/x,C3
BECv13,MSun1,MSun1/x,C2
BECv13,MSun1,MSun1/x,C1
BECv13,MSun1,MSun1/x,C0
BECv13,MSun1,MSun1/x,B7
BECv13,MSun1,MSun1/x,B6
BECv13,MSun1,MSun1/x,B5
BECv13,MSun1,MSun1/x,B4
BECv13,MSun1,MSun1/x,B3
BECv13,MSun1,MSun1/x,B2
BECv13,MSun1,MSun1/x,B1
BECv13,MSun1,MSun1/x,B0
BECv13,MSun1,MSun1/x,A7
BECv13,MSun1,MSun1/x,A6
BECv13,MSun1,MSun1/x,A5
BECv13,MSun1,MSun1/x,A4
BECv13,MSun1,MSun1/x,A3
BECv13,MSun1,MSun1/x,A2
BECv13,MSun1,MSun1/x,A1
BECv13,MSun1,MSun1/x,A0
BECv13,MSun1,MSun1/h,E7
BECv13,MSun1,MSun1/h,E6
BECv13,MSun1,MSun1/h,E5
BECv13,MSun1,MSun1/h,E4
BECv13,MSun1,MSun1/h,E3
BECv13,MSun1,MSun1/h,E2
BECv13,MSun1,MSun1/h,E1
BECv13,MSun1,MSun1/h,E0
BECv13,MSun1,MSun1/h,D7
BECv13,MSun1,MSun1/h,D6
BECv13,MSun1,MSun1/h,D5
BECv13,MSun1,MSun1/h,D4
BECv13,MSun1,MSun1/h,D3
BECv13,MSun1,MSun1/h,D2
BECv13,MSun1,MSun1/h,D1
BECv13,MSun1,MSun1/h,D0
BECv13,MSun1,MSun1/h,C7
BECv13,MSun1,MSun1/h,C6
BECv13,MSun1,MSun1/h,C5
BECv13,MSun1,MSun1/h,C4
BECv13,MSun1,MSun1/h,C3
BECv13,MSun1,MSun1/h,C2
BECv13,MSun1,MSun1/h,C1
BECv13,MSun1,MSun1/h,C0
BECv13,MSun1,MSun1/h,B7
BECv13,MSun1,MSun1/h,B6
BECv13,MSun1,MSun1/h,B5
BECv13,MSun1,MSun1/h,B4
BECv13,MSun1,MSun1/h,B3
BECv13,MSun1,MSun1/h,B2
BECv13,MSun1,MSun1/h,B1
BECv13,MSun1,MSun1/h,B0
BECv13,MSun1,MSun1/h,A7
BECv13,MSun1,MSun1/h,A6
BECv13,MSun1,MSun1/h,A5
BECv13,MSun1,MSun1/h,A4
BECv13,MSun1,MSun1/h,A3
BECv13,MSun1,MSun1/h,A2
BECv13,MSun1,MSun1/h,A1
BECv13,MSun1,MSun1/h,A0
