Source,BGC,SS_NoSpace,Edatopic
BECv13,ESSFun1,ESSFun1/m,E7
BECv13,ESSFun1,ESSFun1/m,E6
BECv13,ESSFun1,ESSFun1/m,E5
BECv13,ESSFun1,ESSFun1/m,E4
BECv13,ESSFun1,ESSFun1/m,E3
BECv13,ESSFun1,ESSFun1/m,E2
BECv13,ESSFun1,ESSFun1/m,E1
BECv13,ESSFun1,ESSFun1/m,E0
BECv13,ESSFun1,ESSFun1/m,D7
BECv13,ESSFun1,ESSFun1/m,D6
BECv13,ESSFun1,ESSFun1/m,D5
BECv13,ESSFun1,ESSFun1/m,D4
BECv13,ESSFun1,ESSFun1/m,D3
BECv13,ESSFun1,ESSFun1/m,D2
BECv13,ESSFun1,ESSFun1/m,D1
BECv13,ESSFun1,ESSFun1/m,D0
BECv13,ESSFun1,ESSFun1/m,C7
BECv13,ESSFun1,ESSFun1/m,C6
BECv13,ESSFun1,ESSFun1/m,C5
BECv13,ESSFun1,ESSFun1/m,C4
BECv13,ESSFun1,ESSFun1/m,C3
BECv13,ESSFun1,ESSFun1/m,C2
BECv13,ESSFun1,ESSFun1/m,C1
BECv13,ESSFun1,ESSFun1/m,C0
BECv13,ESSFun1,ESSFun1/m,B7
BECv13,ESSFun1,ESSFun1/m,B6
BECv13,ESSFun1,ESSFun1/m,B5
BECv13,ESSFun1,ESSFun1/m,B4
BECv13,ESSFun1,ESSFun1/m,B3
BECv13,ESSFun1,ESSFun1/m,B2
BECv13,ESSFun1,ESSFun1/m,B1
BECv13,ESSFun1,ESSFun1/m,B0
BECv13,ESSFun1,ESSFun1/m,A7
BECv13,ESSFun1,ESSFun1/m,A6
BECv13,ESSFun1,ESSFun1/m,A5
BECv13,ESSFun1,ESSFun1/m,A4
BECv13,ESSFun1,ESSFun1/m,A3
BECv13,ESSFun1,ESSFun1/m,A2
BECv13,ESSFun1,ESSFun1/m,A1
BECv13,ESSFun1,ESSFun1/m,A0
BECv13,ESSFun1,ESSFun1/h,E7
BECv13,ESSFun1,ESSFun1/h,E6
BECv13,ESSFun1,ESSFun1/h,E5
BECv13,ESSFun1,ESSFun1/h,E4
BECv13,ESSFun1,ESSFun1/h,E3
BECv13,ESSFun1,ESSFun1/h,E2
BECv13,ESSFun1,ESSFun1/h,E1
BECv13,ESSFun1,ESSFun1/h,E0
BECv13,ESSFun1,ESSFun1/h,D7
BECv13,ESSFun1,ESSFun1/h,D6
BECv13,ESSFun1,ESSFun1/h,D5
BECv13,ESSFun1,ESSFun1/h,D4
BECv13,ESSFun1,ESSFun1/h,D3
BECv13,ESSFun1,ESSFun1/h,D2
BECv13,ESSFun1,ESSFun1/h,D1
BECv13,ESSFun1,ESSFun1/h,D0
BECv13,ESSFun1,ESSFun1/h,C7
BECv13,ESSFun1,ESSFun1/h,C6
BECv13,ESSFun1,ESSFun1/h,C5
BECv13,ESSFun1,ESSFun1/h,C4
BECv13,ESSFun1,ESSFun1/h,C3
BECv13,ESSFun1,ESSFun1/h,C2
BECv13,ESSFun1,ESSFun1/h,C1
BECv13,ESSFun1,ESSFun1/h,C0
BECv13,ESSFun1,ESSFun1/h,B7
BECv13,ESSFun1,ESSFun1/h,B6
BECv13,ESSFun1,ESSFun1/h,B5
BECv13,ESSFun1,ESSFun1/h,B4
BECv13,ESSFun1,ESSFun1/h,B3
BECv13,ESSFun1,ESSFun1/h,B2
BECv13,ESSFun1,ESSFun1/h,B1
BECv13,ESSFun1,ESSFun1/h,B0
BECv13,ESSFun1,ESSFun1/h,A7
BECv13,ESSFun1,ESSFun1/h,A6
BECv13,ESSFun1,ESSFun1/h,A5
BECv13,ESSFun1,ESSFun1/h,A4
BECv13,ESSFun1,ESSFun1/h,A3
BECv13,ESSFun1,ESSFun1/h,A2
BECv13,ESSFun1,ESSFun1/h,A1
BECv13,ESSFun1,ESSFun1/h,A0
BECv13,ESSFun1,ESSFun1/x,E7
BECv13,ESSFun1,ESSFun1/x,E6
BECv13,ESSFun1,ESSFun1/x,E5
BECv13,ESSFun1,ESSFun1/x,E4
BECv13,ESSFun1,ESSFun1/x,E3
BECv13,ESSFun1,ESSFun1/x,E2
BECv13,ESSFun1,ESSFun1/x,E1
BECv13,ESSFun1,ESSFun1/x,E0
BECv13,ESSFun1,ESSFun1/x,D7
