Region_review,zone,BGC,SS_NoSpace,SpecialCode,spp,expert,expert_updated,expert_initials
KB,ESSF,ESSFdc1,ESSFdc1/101,,Bl,1,,
KB,ESSF,ESSFdc1,ESSFdc1/101,,Pl,2,3,"DJM-limited occurrence and only acceptable in CFRG; mean cover in Vpro is 1.89, not 7.3 as per column Q"
KB,ESSF,ESSFdc1,ESSFdc1/101,,Sx,1,,
KB,ESSF,ESSFdc1,ESSFdc1/102,,Bl,2,,
KB,ESSF,ESSFdc1,ESSFdc1/102,,Pa,3,,
KB,ESSF,ESSFdc1,ESSFdc1/102,,Pl,2,,
KB,ESSF,ESSFdc1,ESSFdc1/102,,Sx,2,3,DJM-limited occurrence and cover
KB,ESSF,ESSFdc1,ESSFdc1/103,,Bl,2,1,DJM-100% occurrence (lifeform)
KB,ESSF,ESSFdc1,ESSFdc1/103,,Pa,3,,
KB,ESSF,ESSFdc1,ESSFdc1/103,,Pl,1,,
KB,ESSF,ESSFdc1,ESSFdc1/103,,Sx,2,,
KB,ESSF,ESSFdc1,ESSFdc1/103,,Fd,,4,present in data; not in CFRG
KB,ESSF,ESSFdc1,ESSFdc1/104,,Bl,1,,
KB,ESSF,ESSFdc1,ESSFdc1/104,,Pl,2,,
KB,ESSF,ESSFdc1,ESSFdc1/104,,Sx,1,,
KB,ESSF,ESSFdc1,ESSFdc1/110,,Bl,1,,
KB,ESSF,ESSFdc1,ESSFdc1/110,,Sx,1,,
KB,ESSF,ESSFdc1,ESSFdc1/110,,Pl,,4,present in data; not in CFRG
KB,ESSF,ESSFdc1,ESSFdc1/111,,Bl,1,,
KB,ESSF,ESSFdc1,ESSFdc1/111,,Sx,1,,
KB,ESSF,ESSFdc1,ESSFdc1/111,,Pl,,4,present in data; not in CFRG
KB,ESSF,ESSFdc1,ESSFdc1/112,,Bl,2,,
KB,ESSF,ESSFdc1,ESSFdc1/112,,Sx,1,,
KB/TO,ESSF,ESSFdcw,ESSFdcw/101,,Bl,2,,
KB/TO,ESSF,ESSFdcw,ESSFdcw/101,,Pa,4,,
KB/TO,ESSF,ESSFdcw,ESSFdcw/101,,Pl,4,,
KB/TO,ESSF,ESSFdcw,ESSFdcw/101,,Sx,1,2,DJM-Bl is dominant
KB/TO,ESSF,ESSFdcw,ESSFdcw/102,,Bl,2,,
KB/TO,ESSF,ESSFdcw,ESSFdcw/102,,Pa,2,,
KB/TO,ESSF,ESSFdcw,ESSFdcw/102,,Pl,3,,
KB/TO,ESSF,ESSFdcw,ESSFdcw/102,,Sx,2,,
KB/TO,ESSF,ESSFdcw,ESSFdcw/103,,Bl,1,2,DJM-woodland; low prod
KB/TO,ESSF,ESSFdcw,ESSFdcw/103,,Pa,2,3,DJM-not super common
KB/TO,ESSF,ESSFdcw,ESSFdcw/103,,Pl,3,,
KB/TO,ESSF,ESSFdcw,ESSFdcw/103,,Sx,1,2,DJM-woodland; low prod
KB/TO,ESSF,ESSFdcw,ESSFdcw/110,,Bl,2,,DJM-woodland; low prod
KB/TO,ESSF,ESSFdcw,ESSFdcw/110,,Sx,1,2,DJM-same amount of Bl as Se
KB,ESSF,ESSFdk1,ESSFdk1/101,,Bl,1,1,
KB,ESSF,ESSFdk1,ESSFdk1/101,,Fd,2,3 Climate adaptation rating,
KB,ESSF,ESSFdk1,ESSFdk1/101,,Lw,2,3 Climate adaptation rating,
KB,ESSF,ESSFdk1,ESSFdk1/101,,Pa,3,3,
KB,ESSF,ESSFdk1,ESSFdk1/101,,Pl,2,2,
KB,ESSF,ESSFdk1,ESSFdk1/101,,Sx,1,1,
KB,ESSF,ESSFdk1,ESSFdk1/102,,Bl,3,3,
KB,ESSF,ESSFdk1,ESSFdk1/102,,Fd,2,2 not 1 because poor site,
KB,ESSF,ESSFdk1,ESSFdk1/102,,Lw,4,4 poor rooting on rocky sites not SMR issue,
KB,ESSF,ESSFdk1,ESSFdk1/102,,Pa,2,2,
KB,ESSF,ESSFdk1,ESSFdk1/102,,Pl,2,3 poor growth and form on these sites,
KB,ESSF,ESSFdk1,ESSFdk1/102,,Pf,,3 occurs sporadically,
KB,ESSF,ESSFdk1,ESSFdk1/102,,Sx,3,3,
KB,ESSF,ESSFdk1,ESSFdk1/103,IN,Bl,3,3,
