bgc,ss_nospace,sppsplit,feasible,spp,newfeas,mod,FEASFEB2025,outrange
CDFmm,CDFmm/101,Fdc,1,Fd,1,DVM,1,FALSE
CDFmm,CDFmm/101,Bg,3,Bg,2,DVM,2,FALSE
CDFmm,CDFmm/101,Mb,2,Mb,2,DVM,2,FALSE
CDFmm,CDFmm/101,Cw,3,Cw,3,DVM,3,FALSE
CDFmm,CDFmm/101,Dr,3,Dr,3,DVM,3,FALSE
CDFmm,CDFmm/101,Gp,,Gp,3,DVM,3,FALSE
CDFmm,CDFmm/101,Kc,,Kc,3,DVM,3,FALSE
CDFmm,CDFmm/101,Plc,3,Pl,3,DVM,3,FALSE
CDFmm,CDFmm/101,Qg,5,Qg,3,DVM,3,FALSE
CDFmm,CDFmm/101,Ra,2,Ra,3,DVM,3,FALSE
CDFmm,CDFmm/101,Tw,,Tw,3,DVM,3,FALSE
CDFmm,CDFmm/101,Pw,3,Pw,5,DVM,5,FALSE
CDFmm,CDFmm/102,Ra,2,Ra,2,DVM,2,FALSE
CDFmm,CDFmm/102,Fdc,3,Fd,3,DVM,3,FALSE
CDFmm,CDFmm/102,Js,,Js,3,DVM,3,FALSE
CDFmm,CDFmm/102,Plc,3,Pl,3,DVM,3,FALSE
CDFmm,CDFmm/102,Qg,3,Qg,3,DVM,3,FALSE
CDFmm,CDFmm/102.1,Ra,,Ra,2,DVM,2,FALSE
CDFmm,CDFmm/102.1,Fd,,Fd,3,DVM,3,FALSE
CDFmm,CDFmm/102.1,Js,,Js,3,DVM,3,FALSE
CDFmm,CDFmm/102.1,Pl,,Pl,3,DVM,3,FALSE
CDFmm,CDFmm/102.1,Qg,,Qg,3,DVM,3,FALSE
CDFmm,CDFmm/102.2,Ra,,Ra,2,DVM,2,FALSE
CDFmm,CDFmm/102.2,Fd,,Fd,3,DVM,3,FALSE
CDFmm,CDFmm/102.2,Js,,Js,3,DVM,3,FALSE
CDFmm,CDFmm/102.2,Pl,,Pl,3,DVM,3,FALSE
CDFmm,CDFmm/102.2,Qg,,Qg,3,DVM,3,FALSE
CDFmm,CDFmm/103,Qg,3,Qg,2,DVM,2,FALSE
CDFmm,CDFmm/103,Ra,2,Ra,2,DVM,2,FALSE
CDFmm,CDFmm/103,Fdc,3,Fd,3,DVM,3,FALSE
CDFmm,CDFmm/103,Plc,3,Pl,3,DVM,3,FALSE
CDFmm,CDFmm/104,Fdc,3,Fd,2,DVM,2,FALSE
CDFmm,CDFmm/104,Ra,2,Ra,2,DVM,2,FALSE
CDFmm,CDFmm/104,Plc,3,Pl,3,DVM,3,FALSE
CDFmm,CDFmm/104,Qg,3,Qg,3,DVM,3,FALSE
CDFmm,CDFmm/105,Fdc,1,Fd,1,DVM,1,FALSE
CDFmm,CDFmm/105,Qg,2,Qg,2,DVM,2,FALSE
CDFmm,CDFmm/105,Ra,3,Ra,2,DVM,2,FALSE
CDFmm,CDFmm/105,Plc,3,Pl,3,DVM,3,FALSE
CDFmm,CDFmm/106,Qg,2,Qg,1,DVM,1,FALSE
CDFmm,CDFmm/106,Fdc,1,Fd,2,DVM,2,FALSE
CDFmm,CDFmm/106,Plc,3,Pl,3,DVM,3,FALSE
CDFmm,CDFmm/106,Ra,3,Ra,3,DVM,3,FALSE
CDFmm,CDFmm/110,Fdc,1,Fd,1,DVM,1,FALSE
CDFmm,CDFmm/110,Bg,2,Bg,2,DVM,2,FALSE
CDFmm,CDFmm/110,Cw,2,Cw,2,DVM,2,FALSE
CDFmm,CDFmm/110,Dr,3,Dr,2,DVM,2,FALSE
CDFmm,CDFmm/110,Mb,2,Mb,2,DVM,2,FALSE
CDFmm,CDFmm/110,Ac,3,Ac,3,DVM,3,FALSE
CDFmm,CDFmm/110,Gp,,Gp,3,DVM,3,FALSE
CDFmm,CDFmm/110,Hw,,Hw,3,DVM,3,FALSE
CDFmm,CDFmm/110,Kc,,Kc,3,DVM,3,FALSE
CDFmm,CDFmm/110,Qg,3,Qg,3,DVM,3,FALSE
CDFmm,CDFmm/110,Ra,3,Ra,3,DVM,3,FALSE
CDFmm,CDFmm/110,Tw,,Tw,3,DVM,3,FALSE
CDFmm,CDFmm/110,Pw,3,Pw,5,DVM,5,FALSE
CDFmm,CDFmm/111,Fdc,1,Fd,1,DVM,1,FALSE
CDFmm,CDFmm/111,Cw,2,Cw,2,DVM,2,FALSE
CDFmm,CDFmm/111,Ac,3,Ac,3,DVM,3,FALSE
CDFmm,CDFmm/111,Dr,3,Dr,3,DVM,3,FALSE
CDFmm,CDFmm/111,Hw,3,Hw,3,DVM,3,FALSE
CDFmm,CDFmm/111,Mb,3,Mb,3,DVM,3,FALSE
CDFmm,CDFmm/111,Plc,3,Pl,3,DVM,3,FALSE
CDFmm,CDFmm/111,Tw,,Tw,3,DVM,3,FALSE
CDFmm,CDFmm/111,Pw,3,Pw,5,DVM,5,FALSE
CDFmm,CDFmm/111,Qg,5,Qg,5,DVM,5,FALSE
CDFmm,CDFmm/111,Ra,5,Ra,5,DVM,5,FALSE
CDFmm,CDFmm/112,Bg,1,Bg,1,DVM,1,FALSE
CDFmm,CDFmm/112,Cw,1,Cw,1,DVM,1,FALSE
CDFmm,CDFmm/112,Fdc,1,Fd,1,DVM,1,FALSE
CDFmm,CDFmm/112,Mb,2,Mb,1,DVM,1,FALSE
CDFmm,CDFmm/112,Ac,1,Ac,2,DVM,2,FALSE
CDFmm,CDFmm/112,Dr,2,Dr,2,DVM,2,FALSE
CDFmm,CDFmm/112,Gp,,Gp,3,DVM,3,FALSE
CDFmm,CDFmm/112,Hw,3,Hw,3,DVM,3,FALSE
CDFmm,CDFmm/112,Kc,,Kc,3,DVM,3,FALSE
CDFmm,CDFmm/112,Tw,,Tw,3,DVM,3,FALSE
CDFmm,CDFmm/112,Pw,3,Pw,5,DVM,5,FALSE
CDFmm,CDFmm/112,Qg,5,Qg,5,DVM,5,FALSE
CDFmm,CDFmm/112,Ra,5,Ra,5,DVM,5,FALSE
CDFmm,CDFmm/112a,Bg,1,Bg,1,DVM,1,FALSE
CDFmm,CDFmm/112a,Cw,1,Cw,1,DVM,1,FALSE
CDFmm,CDFmm/112a,Fdc,1,Fd,1,DVM,1,FALSE
CDFmm,CDFmm/112a,Mb,2,Mb,1,DVM,1,FALSE
CDFmm,CDFmm/112a,Ac,1,Ac,2,DVM,2,FALSE
CDFmm,CDFmm/112a,Dr,2,Dr,2,DVM,2,FALSE
CDFmm,CDFmm/112a,Gp,,Gp,3,DVM,3,FALSE
CDFmm,CDFmm/112a,Hw,3,Hw,3,DVM,3,FALSE
CDFmm,CDFmm/112a,Kc,,Kc,3,DVM,3,FALSE
CDFmm,CDFmm/112a,Tw,,Tw,3,DVM,3,FALSE
CDFmm,CDFmm/112a,Pw,3,Pw,5,DVM,5,FALSE
CDFmm,CDFmm/112a,Qg,5,Qg,5,DVM,5,FALSE
CDFmm,CDFmm/112a,Ra,5,Ra,5,DVM,5,FALSE
CDFmm,CDFmm/112b,Ac,1,Ac,1,DVM,1,FALSE
CDFmm,CDFmm/112b,Bg,1,Bg,1,DVM,1,FALSE
CDFmm,CDFmm/112b,Cw,1,Cw,1,DVM,1,FALSE
CDFmm,CDFmm/112b,Mb,2,Mb,1,DVM,1,FALSE
CDFmm,CDFmm/112b,Dr,2,Dr,2,DVM,2,FALSE
CDFmm,CDFmm/112b,Fdc,1,Fd,2,DVM,2,FALSE
CDFmm,CDFmm/112b,Gp,,Gp,3,DVM,3,FALSE
CDFmm,CDFmm/112b,Hw,3,Hw,3,DVM,3,FALSE
CDFmm,CDFmm/112b,Kc,,Kc,3,DVM,3,FALSE
CDFmm,CDFmm/112b,Tw,,Tw,3,DVM,3,FALSE
CDFmm,CDFmm/112b,Pw,3,Pw,5,DVM,5,FALSE
CDFmm,CDFmm/112b,Qg,5,Qg,5,DVM,5,FALSE
