bgc,ss_nospace,sppsplit,feasible,spp,newfeas,mod,FEASFEB2025,outrange
CDFmm,CDFmm/112b,Ra,5,Ra,5,DVM,5,FALSE
CDFmm,CDFmm/Fl51,Dr,1,Dr,1,DVM,1,FALSE
CDFmm,CDFmm/Fl51,Ac,2,Ac,2,DVM,2,FALSE
CDFmm,CDFmm/Fl51,Mb,3,Mb,3,,3,FALSE
CDFmm,CDFmm/Fm51,Ac,,Ac,1,DVM,1,
CDFmm,CDFmm/Fm51,Dr,,Dr,1,DVM,1,
CDFmm,CDFmm/Fm51,Mb,,Mb,1,DVM,1,
CDFmm,CDFmm/Fm51,Bg,,Bg,2,DVM,2,
CDFmm,CDFmm/Fm51,Cw,,Cw,2,DVM,2,
CDFmm,CDFmm/Fm51,Hw,,Hw,3,DVM,3,
CDFmm,CDFmm/Fm51,Qg,,Qg,5,DVM,5,
CDFmm,CDFmm/Fm51,Ra,,Ra,5,DVM,5,
CDFmm,CDFmm/Fm52,Ac,1,Ac,1,DVM,1,FALSE
CDFmm,CDFmm/Fm52,Bg,1,Bg,1,DVM,1,FALSE
CDFmm,CDFmm/Fm52,Cw,1,Cw,1,DVM,1,FALSE
CDFmm,CDFmm/Fm52,Dr,1,Dr,1,DVM,1,FALSE
CDFmm,CDFmm/Fm52,Mb,2,Mb,2,DVM,2,FALSE
CDFmm,CDFmm/Fm52,Hw,3,Hw,3,DVM,3,FALSE
CDFmm,CDFmm/Fm52,Fdc,1,Fd,5,DVM,5,FALSE
CDFmm,CDFmm/Fm52,Qg,5,Qg,5,DVM,5,FALSE
CDFmm,CDFmm/Fm52,Ra,5,Ra,5,DVM,5,FALSE
CDFmm,CDFmm/Gg,X,,X,,VC,,FALSE
CDFmm,CDFmm/Ro,X,,X,,VC,,FALSE
CDFmm,CDFmm/Wb55,Plc,2,Pl,2,DVM,2,FALSE
CDFmm,CDFmm/Wb55,Cw,3,Cw,3,DVM,3,FALSE
CDFmm,CDFmm/Wb55,Ep,,Ep,3,DVM,3,FALSE
CDFmm,CDFmm/Wb55,Hw,3,Hw,3,DVM,3,FALSE
CDFmm,CDFmm/Wf,X,,X,,VC,,FALSE
CDFmm,CDFmm/Wm,X,,X,,VC,,FALSE
CDFmm,CDFmm/Ws53,Cw,1,Cw,1,DVM,1,FALSE
CDFmm,CDFmm/Ws53,Dr,1,Dr,1,DVM,1,FALSE
CDFmm,CDFmm/Ws53,Mb,2,Mb,2,DVM,2,FALSE
CDFmm,CDFmm/Ws53,Ac,3,Ac,3,DVM,3,FALSE
CDFmm,CDFmm/Ws53,Hw,3,Hw,3,DVM,3,FALSE
CDFmm,CDFmm/Ws53,,,Ss,3,DVM,3,FALSE
CDFmm,CDFmm/Ws61,Cw,1,Cw,1,DVM,1,FALSE
CDFmm,CDFmm/Ws61,Dr,1,Dr,1,DVM,1,FALSE
CDFmm,CDFmm/Ws61,Ac,1,Ac,2,DVM,2,FALSE
CDFmm,CDFmm/Ws61,Bg,2,Bg,2,DVM,2,FALSE
CDFmm,CDFmm/Ws61,At,,At,3,DVM,3,FALSE
CDFmm,CDFmm/Ws61,Hw,3,Hw,5,DVM,5,FALSE
CDFmm,CDFmm/Ws61,Mb,5,Mb,5,DVM,5,FALSE
CDFmm,CDFmm/Ws62,Cw,1,Cw,1,DVM,1,FALSE
CDFmm,CDFmm/Ws62,Ac,1,Ac,2,DVM,2,FALSE
CDFmm,CDFmm/Ws62,At,,At,2,DVM,2,FALSE
CDFmm,CDFmm/Ws62,Bg,2,Bg,2,DVM,2,FALSE
CDFmm,CDFmm/Ws62,Dr,1,Dr,2,DVM,2,FALSE
CDFmm,CDFmm/Ws62,Up,,Up,2,DVM,2,FALSE
CDFmm,CDFmm/Ws62,Kc,,Kc,3,DVM,3,FALSE
CDFmm,CDFmm/Ws62,Hw,3,Hw,5,DVM,5,FALSE
CDFmm,CDFmm/Ws62,Mb,5,Mb,5,DVM,5,FALSE
CWHdm1,CWHdm1/101,Fdc,1,Fd,1,DVM,1,FALSE
CWHdm1,CWHdm1/101,Cw,2,Cw,2,DVM,2,FALSE
CWHdm1,CWHdm1/101,Dr,2,Dr,2,DVM,2,FALSE
CWHdm1,CWHdm1/101,Hw,2,Hw,2,DVM,2,FALSE
CWHdm1,CWHdm1/101,Mb,2,Mb,2,DVM,2,FALSE
CWHdm1,CWHdm1/101,Ac,3,Ac,3,DVM,3,FALSE
CWHdm1,CWHdm1/101,Bg,3,Bg,3,DVM,3,FALSE
CWHdm1,CWHdm1/101,Gp,,Gp,3,DVM,3,FALSE
CWHdm1,CWHdm1/101,Kc,,Kc,3,DVM,3,FALSE
CWHdm1,CWHdm1/101,Plc,,Pl,3,DVM,3,FALSE
CWHdm1,CWHdm1/101,Pw,3,Pw,3,DVM,3,FALSE
CWHdm1,CWHdm1/101,Ep,3,Ep,5,DVM,5,FALSE
CWHdm1,CWHdm1/101,Ra,5,Ra,5,DVM,5,FALSE
CWHdm1,CWHdm1/101a,Fdc,1,Fd,1,DVM,1,FALSE
CWHdm1,CWHdm1/101a,Cw,2,Cw,2,DVM,2,FALSE
CWHdm1,CWHdm1/101a,Dr,2,Dr,2,DVM,2,FALSE
CWHdm1,CWHdm1/101a,Hw,2,Hw,2,DVM,2,FALSE
CWHdm1,CWHdm1/101a,Mb,2,Mb,2,DVM,2,FALSE
CWHdm1,CWHdm1/101a,Ac,3,Ac,3,DVM,3,FALSE
CWHdm1,CWHdm1/101a,Bg,3,Bg,3,DVM,3,FALSE
CWHdm1,CWHdm1/101a,Gp,,Gp,3,DVM,3,FALSE
CWHdm1,CWHdm1/101a,Kc,,Kc,3,DVM,3,FALSE
CWHdm1,CWHdm1/101a,Plc,,Pl,3,DVM,3,FALSE
CWHdm1,CWHdm1/101a,Pw,3,Pw,3,DVM,3,FALSE
CWHdm1,CWHdm1/101a,Ep,3,Ep,5,DVM,5,FALSE
CWHdm1,CWHdm1/101a,Ra,5,Ra,5,DVM,5,FALSE
CWHdm1,CWHdm1/101b,Fdc,1,Fd,1,DVM,1,FALSE
CWHdm1,CWHdm1/101b,Cw,2,Cw,2,DVM,2,FALSE
CWHdm1,CWHdm1/101b,Dr,2,Dr,2,DVM,2,FALSE
CWHdm1,CWHdm1/101b,Hw,2,Hw,2,DVM,2,FALSE
CWHdm1,CWHdm1/101b,Mb,2,Mb,2,DVM,2,FALSE
CWHdm1,CWHdm1/101b,Plc,,Pl,2,DVM,2,FALSE
CWHdm1,CWHdm1/101b,Ac,3,Ac,3,DVM,3,FALSE
CWHdm1,CWHdm1/101b,Bg,3,Bg,3,DVM,3,FALSE
CWHdm1,CWHdm1/101b,Gp,,Gp,3,DVM,3,FALSE
CWHdm1,CWHdm1/101b,Kc,,Kc,3,DVM,3,FALSE
CWHdm1,CWHdm1/101b,Pw,3,Pw,3,DVM,3,FALSE
CWHdm1,CWHdm1/101b,Ep,3,Ep,5,DVM,5,FALSE
CWHdm1,CWHdm1/101b,Ra,5,Ra,5,DVM,5,FALSE
CWHdm1,CWHdm1/102,Fdc,3,Fd,2,DVM,2,FALSE
CWHdm1,CWHdm1/102,Ra,2,Ra,2,DVM,2,FALSE
CWHdm1,CWHdm1/102,Plc,3,Pl,3,DVM,3,FALSE
CWHdm1,CWHdm1/102,Qg,3,Qg,3,DVM,3,FALSE
CWHdm1,CWHdm1/103,Fdc,1,Fd,1,DVM,1,FALSE
CWHdm1,CWHdm1/103,Mb,2,Mb,2,DVM,2,FALSE
CWHdm1,CWHdm1/103,Plc,2,Pl,2,DVM,2,FALSE
CWHdm1,CWHdm1/103,Bg,,Bg,3,DVM,3,FALSE
CWHdm1,CWHdm1/103,Cw,3,Cw,3,DVM,3,FALSE
CWHdm1,CWHdm1/103,Dr,3,Dr,3,DVM,3,FALSE
CWHdm1,CWHdm1/103,Gp,,Gp,3,DVM,3,FALSE
CWHdm1,CWHdm1/103,Hw,3,Hw,3,DVM,3,FALSE
CWHdm1,CWHdm1/103,Kc,,Kc,3,DVM,3,FALSE
CWHdm1,CWHdm1/103,Lw,3,Lw,3,,3,FALSE
CWHdm1,CWHdm1/103,Pw,3,Pw,3,DVM,3,FALSE
CWHdm1,CWHdm1/103,Ra,3,Ra,3,DVM,3,FALSE
CWHdm1,CWHdm1/103,Tw,,Tw,3,DVM,3,FALSE
CWHdm1,CWHdm1/103,Ac,4,Ac,4,DVM,4,FALSE
CWHdm1,CWHdm1/103,Ep,3,Ep,5,DVM,5,FALSE
CWHdm1,CWHdm1/104,Fdc,1,Fd,1,DVM,1,FALSE
CWHdm1,CWHdm1/104,Cw,3,Cw,2,DVM,2,FALSE
CWHdm1,CWHdm1/104,Mb,2,Mb,2,DVM,2,FALSE
CWHdm1,CWHdm1/104,Bg,,Bg,3,DVM,3,FALSE
CWHdm1,CWHdm1/104,Dr,3,Dr,3,DVM,3,FALSE
CWHdm1,CWHdm1/104,Hw,3,Hw,3,DVM,3,FALSE
CWHdm1,CWHdm1/104,Kc,,Kc,3,DVM,3,FALSE
CWHdm1,CWHdm1/104,Lw,3,Lw,3,,3,FALSE
CWHdm1,CWHdm1/104,Pw,3,Pw,3,,3,FALSE
CWHdm1,CWHdm1/104,Ra,,Ra,3,DVM,3,FALSE
CWHdm1,CWHdm1/104,Ac,4,Ac,4,DVM,4,FALSE
CWHdm1,CWHdm1/104,Ep,3,Ep,5,DVM,5,FALSE
CWHdm1,CWHdm1/110,Fdc,1,Fd,1,DVM,1,FALSE
CWHdm1,CWHdm1/110,Ac,2,Ac,2,DVM,2,FALSE
CWHdm1,CWHdm1/110,Bg,2,Bg,2,DVM,2,FALSE
CWHdm1,CWHdm1/110,Cw,2,Cw,2,DVM,2,FALSE
CWHdm1,CWHdm1/110,Dr,2,Dr,2,DVM,2,FALSE
CWHdm1,CWHdm1/110,Hw,2,Hw,2,DVM,2,FALSE
CWHdm1,CWHdm1/110,Mb,2,Mb,2,DVM,2,FALSE
CWHdm1,CWHdm1/110,Pw,2,Pw,2,DVM,2,FALSE
CWHdm1,CWHdm1/110,Vb,,Vb,3,DVM,3,FALSE
CWHdm1,CWHdm1/110,Ep,3,Ep,5,DVM,5,FALSE
CWHdm1,CWHdm1/111,Cw,1,Cw,1,DVM,1,FALSE
CWHdm1,CWHdm1/111,Fdc,1,Fd,1,DVM,1,FALSE
CWHdm1,CWHdm1/111,Hw,1,Hw,1,DVM,1,FALSE
CWHdm1,CWHdm1/111,Dr,2,Dr,2,DVM,2,FALSE
CWHdm1,CWHdm1/111,Mb,2,Mb,2,DVM,2,FALSE
CWHdm1,CWHdm1/111,Ac,3,Ac,3,DVM,3,FALSE
CWHdm1,CWHdm1/111,Bg,3,Bg,3,DVM,3,FALSE
CWHdm1,CWHdm1/111,Kc,,Kc,3,DVM,3,FALSE
CWHdm1,CWHdm1/111,Ep,3,Ep,5,DVM,5,FALSE
CWHdm1,CWHdm1/112,Ac,1,Ac,1,DVM,1,FALSE
CWHdm1,CWHdm1/112,Bg,1,Bg,1,DVM,1,FALSE
CWHdm1,CWHdm1/112,Cw,1,Cw,1,DVM,1,FALSE
CWHdm1,CWHdm1/112,Fdc,1,Fd,1,DVM,1,FALSE
CWHdm1,CWHdm1/112,Hw,2,Hw,1,DVM,1,FALSE
CWHdm1,CWHdm1/112,Mb,2,Mb,1,DVM,1,FALSE
CWHdm1,CWHdm1/112,Dr,2,Dr,2,DVM,2,FALSE
CWHdm1,CWHdm1/112,Pw,2,Pw,2,DVM,2,FALSE
CWHdm1,CWHdm1/112,Gp,,Gp,3,DVM,3,FALSE
CWHdm1,CWHdm1/112,Kc,,Kc,3,DVM,3,FALSE
CWHdm1,CWHdm1/112,Ss,,Ss,3,DVM,3,FALSE
CWHdm1,CWHdm1/112,Up,,Up,3,DVM,3,FALSE
CWHdm1,CWHdm1/112,Ep,3,Ep,5,DVM,5,FALSE
CWHdm1,CWHdm1/112a,Ac,1,Ac,1,DVM,1,FALSE
CWHdm1,CWHdm1/112a,Bg,1,Bg,1,DVM,1,FALSE
CWHdm1,CWHdm1/112a,Cw,1,Cw,1,DVM,1,FALSE
CWHdm1,CWHdm1/112a,Fdc,1,Fd,1,DVM,1,FALSE
CWHdm1,CWHdm1/112a,Hw,2,Hw,1,DVM,1,FALSE
CWHdm1,CWHdm1/112a,Mb,2,Mb,1,DVM,1,FALSE
CWHdm1,CWHdm1/112a,Dr,2,Dr,2,DVM,2,FALSE
CWHdm1,CWHdm1/112a,Pw,2,Pw,2,DVM,2,FALSE
CWHdm1,CWHdm1/112a,Gp,,Gp,3,DVM,3,FALSE
CWHdm1,CWHdm1/112a,Kc,,Kc,3,DVM,3,FALSE
CWHdm1,CWHdm1/112a,Ss,,Ss,3,DVM,3,FALSE
CWHdm1,CWHdm1/112a,Up,,Up,3,DVM,3,FALSE
CWHdm1,CWHdm1/112a,Ep,3,Ep,5,DVM,5,FALSE
CWHdm1,CWHdm1/112b,Ac,2,Ac,1,DVM,1,FALSE
CWHdm1,CWHdm1/112b,Cw,1,Cw,1,DVM,1,FALSE
CWHdm1,CWHdm1/112b,Dr,1,Dr,1,DVM,1,FALSE
CWHdm1,CWHdm1/112b,Hw,,Hw,1,DVM,1,FALSE
CWHdm1,CWHdm1/112b,Mb,2,Mb,1,DVM,1,FALSE
CWHdm1,CWHdm1/112b,Bg,2,Bg,2,DVM,2,FALSE
CWHdm1,CWHdm1/112b,Fdc,2,Fd,2,DVM,2,FALSE
CWHdm1,CWHdm1/112b,Gp,,Gp,3,DVM,3,FALSE
CWHdm1,CWHdm1/112b,Kc,,Kc,3,DVM,3,FALSE
CWHdm1,CWHdm1/112b,Up,,Up,3,DVM,3,FALSE
CWHdm1,CWHdm1/112b,Ep,3,Ep,5,DVM,5,FALSE
CWHdm1,CWHdm1/113,Ac,1,Ac,1,DVM,1,FALSE
CWHdm1,CWHdm1/113,Cw,1,Cw,1,DVM,1,FALSE
CWHdm1,CWHdm1/113,Dr,1,Dr,1,DVM,1,FALSE
CWHdm1,CWHdm1/113,Bg,1,Bg,2,DVM,2,FALSE
CWHdm1,CWHdm1/113,Hw,3,Hw,2,DVM,2,FALSE
CWHdm1,CWHdm1/113,Mb,2,Mb,2,DVM,2,FALSE
CWHdm1,CWHdm1/113,Ss,2,Ss,2,DVM,2,FALSE
CWHdm1,CWHdm1/113,Gp,,Gp,3,DVM,3,FALSE
CWHdm1,CWHdm1/113,Kc,,Kc,3,DVM,3,FALSE
CWHdm1,CWHdm1/113,Ep,3,Ep,5,DVM,5,FALSE
CWHdm1,CWHdm1/Fl51,Dr,1,Dr,,,1,FALSE
CWHdm1,CWHdm1/Fl51,Ac,2,Ac,,,3,FALSE
CWHdm1,CWHdm1/Fl51,Mb,3,Mb,,,3,FALSE
CWHdm1,CWHdm1/Fl51,Ep,3,Ep,,,4,FALSE
CWHdm1,CWHdm1/Fm51,Ac,1,Ac,1,DVM,1,FALSE
CWHdm1,CWHdm1/Fm51,Dr,1,Dr,1,DVM,1,FALSE
CWHdm1,CWHdm1/Fm51,Bg,2,Bg,2,DVM,2,FALSE
CWHdm1,CWHdm1/Fm51,Cw,2,Cw,2,DVM,2,FALSE
CWHdm1,CWHdm1/Fm51,Mb,2,Mb,2,DVM,2,FALSE
CWHdm1,CWHdm1/Fm51,Wp,,Wp,2,DVM,2,FALSE
CWHdm1,CWHdm1/Fm51,Wt,,Wt,2,DVM,2,FALSE
CWHdm1,CWHdm1/Fm51,Hw,3,Hw,3,DVM,3,FALSE
CWHdm1,CWHdm1/Fm51,Kc,,Kc,3,DVM,3,FALSE
CWHdm1,CWHdm1/Fm51,Ss,,Ss,3,DVM,3,FALSE
CWHdm1,CWHdm1/Fm51,Ep,3,Ep,5,DVM,5,FALSE
CWHdm1,CWHdm1/Fm52,Dr,1,Dr,1,DVM,1,FALSE
CWHdm1,CWHdm1/Fm52,Mb,2,Mb,1,DVM,1,FALSE
CWHdm1,CWHdm1/Fm52,Ac,1,Ac,2,DVM,2,FALSE
CWHdm1,CWHdm1/Fm52,Bg,2,Bg,2,DVM,2,FALSE
CWHdm1,CWHdm1/Fm52,Cw,2,Cw,2,DVM,2,FALSE
CWHdm1,CWHdm1/Fm52,Hw,3,Hw,2,DVM,2,FALSE
CWHdm1,CWHdm1/Fm52,Gp,,Gp,3,DVM,3,FALSE
CWHdm1,CWHdm1/Fm52,Kc,,Kc,3,DVM,3,FALSE
CWHdm1,CWHdm1/Fm52,Ss,,Ss,3,DVM,3,FALSE
CWHdm1,CWHdm1/Fm52,Ep,3,Ep,5,DVM,5,FALSE
CWHdm1,CWHdm1/Ro,X,,X,,VC,,FALSE
CWHdm1,CWHdm1/Wb55,Plc,1,Pl,1,DVM,1,FALSE
CWHdm1,CWHdm1/Wb55,Hw,,Hw,2,DVM,2,FALSE
CWHdm1,CWHdm1/Wb55,Cw,3,Cw,3,DVM,3,FALSE
CWHdm1,CWHdm1/Wb55,Pw,,Pw,3,DVM,3,FALSE
CWHdm1,CWHdm1/Ws57,Cw,1,Cw,1,DVM,1,FALSE
CWHdm1,CWHdm1/Ws57,Dr,3,Dr,2,DVM,2,FALSE
CWHdm1,CWHdm1/Ws57,Hw,3,Hw,2,DVM,2,FALSE
CWHdm1,CWHdm1/Ws57,Mb,2,Mb,2,DVM,2,FALSE
CWHdm1,CWHdm1/Ws57,Ac,3,Ac,3,DVM,3,FALSE
CWHdm1,CWHdm1/Ws57,Kc,,Kc,3,DVM,3,FALSE
CWHdm1,CWHdm1/Ws57,Pw,3,Pw,3,DVM,3,FALSE
CWHdm1,CWHdm1/Ws57,Ss,3,Ss,3,DVM,3,FALSE
CWHdm1,CWHdm1/Ws57,Up,,Up,3,DVM,3,FALSE
CWHdm1,CWHdm1/Ws57,Ep,3,Ep,5,DVM,5,FALSE
CWHdm1,CWHdm1/Ws60,Ac,1,Ac,1,DVM,1,FALSE
CWHdm1,CWHdm1/Ws60,Cw,1,Cw,1,DVM,1,FALSE
CWHdm1,CWHdm1/Ws60,Dr,1,Dr,1,DVM,1,FALSE
CWHdm1,CWHdm1/Ws60,Ss,,Ss,2,DVM,2,FALSE
CWHdm1,CWHdm1/Ws60,Up,,Up,2,DVM,2,FALSE
CWHdm1,CWHdm1/Ws60,At,,At,3,DVM,3,FALSE
CWHdm1,CWHdm1/Ws60,Ep,3,Ep,5,DVM,5,FALSE
CWHdm1,CWHdm1/Ws60,Mb,5,Mb,5,DVM,5,FALSE
CWHdm1,CWHdm1/Ws61,Dr,1,Dr,1,DVM,1,FALSE
CWHdm1,CWHdm1/Ws61,Ac,1,Ac,2,DVM,2,FALSE
CWHdm1,CWHdm1/Ws61,Cw,1,Cw,2,DVM,2,FALSE
CWHdm1,CWHdm1/Ws61,Up,,Up,2,DVM,2,FALSE
CWHdm1,CWHdm1/Ws61,Ss,,Ss,3,DVM,3,FALSE
CWHdm1,CWHdm1/Ws61,Ep,3,Ep,5,DVM,5,FALSE
CWHdm1,CWHdm1/Ws61,Mb,5,Mb,5,DVM,5,FALSE
CWHdm1,CWHdm1/Ws62,Ac,1,Ac,1,DVM,1,FALSE
CWHdm1,CWHdm1/Ws62,At,,At,1,DVM,1,FALSE
CWHdm1,CWHdm1/Ws62,Cw,1,Cw,1,DVM,1,FALSE
CWHdm1,CWHdm1/Ws62,Dr,1,Dr,2,DVM,2,FALSE
CWHdm1,CWHdm1/Ws62,Up,,Up,2,DVM,2,FALSE
CWHdm1,CWHdm1/Ws62,Ss,,Ss,3,DVM,3,FALSE
CWHdm1,CWHdm1/Ws62,Wt,,Wt,3,DVM,3,FALSE
CWHdm1,CWHdm1/Ws62,Ep,3,Ep,5,DVM,5,FALSE
CWHdm1,CWHdm1/Ws62,Mb,5,Mb,5,DVM,5,FALSE
CWHdm1,CWHdm1/Wsxx,Cw,1,Cw,1,DVM,1,FALSE
CWHdm1,CWHdm1/Wsxx,Dr,1,Dr,1,DVM,1,FALSE
