bgc,ss_nospace,sppsplit,spp,suitability,newsuit,mod,outrange,Zone
CWHvh3,CWHvh3/101,Dr,Dr,2,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101,Hw,Hw,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101,Plc,Pl,2,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101,Ss,Ss,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101,Yc,Yc,2,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101,Hm,Hm,,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101,Cw,Cw,,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101a,Dr,Dr,2,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101a,Hw,Hw,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101a,Plc,Pl,2,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101a,Ss,Ss,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101a,Cw,Cw,,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101a,Hm,Hm,,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101a,Yc,Yc,2,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101b,Dr,Dr,2,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101b,Hw,Hw,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101b,Plc,Pl,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101b,Ss,Ss,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101b,Yc,Yc,2,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101b,Cw,Cw,,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101b,Hm,Hm,,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101c,Dr,Dr,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101c,Hw,Hw,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101c,Plc,Pl,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101c,Ss,Ss,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101c,Yc,Yc,2,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101c,Cw,Cw,,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/101c,Hm,Hm,,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/102,Dr,Dr,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/102,Hw,Hw,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/102,Plc,Pl,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/102,Yc,Yc,,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/102,Hm,Hm,,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/102,Cw,Cw,,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/102,Ss,Ss,,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/103,Cw,Cw,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/103,Dr,Dr,3,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/103,Hw,Hw,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/103,Ss,Ss,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/104,Dr,Dr,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/104,Hw,Hw,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/104,Ss,Ss,1,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105,Dr,Dr,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105,Hw,Hw,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105,Ss,Ss,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105,Yc,Yc,3,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105,Hm,Hm,,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105,Plc,Pl,,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105,Cw,Cw,,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105a,Dr,Dr,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105a,Hw,Hw,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105a,Ss,Ss,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105a,Yc,Yc,3,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105a,Hm,Hm,,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105a,Plc,Pl,,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105a,Cw,Cw,,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105b,Dr,Dr,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105b,Hw,Hw,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105b,Ss,Ss,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105b,Yc,Yc,3,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105b,Hm,Hm,,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105b,Plc,Pl,,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/105b,Cw,Cw,,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106,Dr,Dr,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106,Hw,Hw,2,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106,Ss,Ss,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106,Yc,Yc,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106,Cw,Cw,,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106a,Dr,Dr,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106a,Hw,Hw,2,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106a,Ss,Ss,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106a,Yc,Yc,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106a,Cw,Cw,,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106b,Dr,Dr,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106b,Hw,Hw,2,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106b,Ss,Ss,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106b,Yc,Yc,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106b,Cw,Cw,,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106c,Dr,Dr,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106c,Hw,Hw,2,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106c,Ss,Ss,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/106c,Yc,Yc,3,3,SCS/HAK,FALSE,CWH
