bgc,ss_nospace,sppsplit,suitability,spp,newsuit,mod,outrange
ESSFun1,ESSFun1/m,Bl,,Bl,1,HK,FALSE
ESSFun1,ESSFun1/m,Plc,,Pl,3,HK,FALSE
ESSFun1,ESSFun1/m,Hm,,Hm,3,HK,FALSE
ESSFun1,ESSFun1/m,Hw,,Hw,4,HK,FALSE
ESSFun1,ESSFun1/m,Sx,,Sx,4,HK,FALSE
ESSFun1,ESSFun1/m,Ba,,Ba,3,HK,FALSE
ESSFun1,ESSFun1/x,Bl,,Bl,2,HK,FALSE
ESSFun1,ESSFun1/x,Plc,,Pl,2,HK,FALSE
ESSFun1,ESSFun1/x,Sx,,Sx,4,HK,FALSE
ESSFun1,ESSFun1/h,Bl,,Bl,1,HK,FALSE
ESSFun1,ESSFun1/h,Plc,,Pl,3,HK,FALSE
ESSFun1,ESSFun1/h,Sx,,Sx,3,HK,FALSE
ESSFun2,ESSFun2/m,Bl,,Bl,1,HK,FALSE
ESSFun2,ESSFun2/x,Bl,,Bl,2,HK,FALSE
ESSFun2,ESSFun2/h,Bl,,Bl,1,HK,FALSE
ESSFun2,ESSFun2/h,Sx,,Sx,2,HK,FALSE
ICHun1,ICHun1/m,Fdc,,Fd,1,HK,FALSE
ICHun1,ICHun1/m,Cw,,Cw,2,HK,FALSE
ICHun1,ICHun1/x,Fdc,,Fd,2,HK,FALSE
ICHun1,ICHun1/x,Plc,,Pl,3,HK,FALSE
ICHun1,ICHun1/x,Ep,,Ep,3,HK,FALSE
ICHun1,ICHun1/h,Fdc,,Fd,1,HK,FALSE
ICHun1,ICHun1/h,Sx,,Sx,3,HK,FALSE
ICHun1,ICHun1/h,Cw,,Cw,2,HK,FALSE
ICHun1,ICHun1/h,Bl,,Bl,3,HK,FALSE
ICHun1,ICHun1/h,Hw,,Hw,4,HK,FALSE
MSun1,MSun1/m,Fdc,,Fd,1,HK,FALSE
MSun1,MSun1/m,Bl,,Bl,1,HK,FALSE
MSun1,MSun1/m,Plc,,Pl,1,HK,FALSE
MSun1,MSun1/m,Sx,,Sx,1,HK,FALSE
MSun1,MSun1/m,Cw,,Cw,3,HK,FALSE
MSun1,MSun1/m,Hw,,Hw,3,HK,FALSE
MSun1,MSun1/x,Fdc,,Fd,2,HK,FALSE
MSun1,MSun1/x,Bl,,Bl,3,HK,FALSE
MSun1,MSun1/x,Plc,,Pl,2,HK,FALSE
MSun1,MSun1/x,Sx,,Sx,3,HK,FALSE
MSun1,MSun1/h,Fdc,,Fd,1,HK,FALSE
MSun1,MSun1/h,Bl,,Bl,1,HK,FALSE
MSun1,MSun1/h,Sx,,Sx,1,HK,FALSE
MSun1,MSun1/h,Cw,,Cw,3,HK,FALSE
