Region_review,zone,BGC,SS_NoSpace,SpecialCode,spp,expert,expert_updated,expert_initials,review_date,ordforfeas_pred,feas.diff,expert_model_same,CFRG,footnotes,expert justification,mean_cover,freq,DD5.grow,SNR_num_mean,EdaCMD_max,EdaCMD_min,aSMR_max,CMD_sm,DDsub0_sp,DD5_sp,Eref_sm,Eref_sp,EXT,MWMT,NFFD_sm,NFFD_sp,PAS,PAS_sp,SHM,Tave_sm,Tave_sp,Tmax_sm,Tmin_sp,Tmin_wt,CMI,feas.orig,pred.feas,SiteUnit.orig,Species
KB,ESSF,ESSFdk1,ESSFdk1/102,,Lw,4,4,DM?,,3,-1,FALSE,,,4 poor rooting on rocky sites not SMR issue,,,607.24,1.8,767.23,266.97,4,75.8,257.12,37.1,267.13,65.47,28.6,11.71,83.04,12.79,682.89,163.68,35.12,10.3,-0.64,15.66,-5.24,-12.68,77.4,4,3,,
KB,ESSF,ESSFdk1,ESSFdk1/102,,Pl,2,3,DM?,,2,0,TRUE,1,,3 poor growth and form on these sites,13.35,0.57,607.24,1.8,767.23,266.97,4,75.8,257.12,37.1,267.13,65.47,28.6,11.71,83.04,12.79,682.89,163.68,35.12,10.3,-0.64,15.66,-5.24,-12.68,77.4,2,2,ESSFdk 1 /102,PINUCON
KB,ESSF,ESSFdk1,ESSFdk1/102,,Pf,,3,DM?,,,,,,,3 occurs sporadically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB,ESSF,ESSFdk1,ESSFdk1/103,IN,Sx,3,3,DM?,,3,0,TRUE,2,,3 in understorey,3.42,0.6,607.24,3,642.23,266.97,4,75.8,257.12,37.1,267.13,65.47,28.6,11.71,83.04,12.79,682.89,163.68,35.12,10.3,-0.64,15.66,-5.24,-12.68,77.4,3,3,ESSFdk 1 /103,PICEENE
KB,ESSF,ESSFdk1,ESSFdk1/101,,Fd,2,3,DM?,,4,2,FALSE,3,"14, 203",3 Climate adaptation rating,15,0.05,607.24,3,392.23,16.97,5,75.8,257.12,37.1,267.13,65.47,28.6,11.71,83.04,12.79,682.89,163.68,35.12,10.3,-0.64,15.66,-5.24,-12.68,77.4,2,4,ESSFdk 1 /101,PSEUMEN
KB,ESSF,ESSFdk1,ESSFdk1/101,,Lw,2,3,DM?,,4,2,FALSE,3,"14, 203",3 Climate adaptation rating,5,0.05,607.24,3,392.23,16.97,5,75.8,257.12,37.1,267.13,65.47,28.6,11.71,83.04,12.79,682.89,163.68,35.12,10.3,-0.64,15.66,-5.24,-12.68,77.4,2,4,ESSFdk 1 /101,LARIOCC
KB,ESSF,ESSFdk1,ESSFdk1/102,,Fd,2,2,DM?,,2,0,TRUE,1,"9, 14",2 not 1 because poor site,18.18,0.57,607.24,1.8,767.23,266.97,4,75.8,257.12,37.1,267.13,65.47,28.6,11.71,83.04,12.79,682.89,163.68,35.12,10.3,-0.64,15.66,-5.24,-12.68,77.4,2,2,ESSFdk 1 /102,PSEUMEN
,SBS,SBSmc1,SBSmc1/04,CA,Fd,4,5,KEI,25-Feb,2,-2,FALSE,,,,,,711.31,1.5,585.16,54.485,5.5,112.48,168.19,80.33,316.52,129.07,29.9,11.52,76.25,15.9,291.59,66.96,36.59,10.86,1.46,18.38,-4.77,-13.17,25.77,4,2,,
,BG,BGxh3,BGxh3/112,Fm,Fd,4,4,KI,25-Jan,2,-2,FALSE,,,,,,1528.46,4,440.835,186.21,5.5,282.61,44.72,273.34,380.51,197.62,35.14,18.06,91.4,47.27,107.72,5.94,119.13,16.92,6.52,24.11,0.4,-8.55,-21.99,4,2,,
,BG,BGxw2,BGxw2/112,Fm,At,4,4,KI,25-Jan,1,-3,FALSE,,,,,,1349.5,5,419.415,161.83,5.5,238.11,61.91,242.62,369.52,207.42,34.97,16.62,90.49,34.57,127.61,12.54,84.41,15.52,5.75,23.1,-1.57,-11.28,-15.58,4,1,,
,BG,BGxw2,BGxw2/113,,At,4,4,KI,25-Jan,1,-3,FALSE,,,,2.5,0.67,1349.5,3.5,419.415,323.66,4,238.11,61.91,242.62,369.52,207.42,34.97,16.62,90.49,34.57,127.61,12.54,84.41,15.52,5.75,23.1,-1.57,-11.28,-15.58,4,1,BG  xw 2 /113,POPUTRE
Northeast,BWBS,BWBSmw,BWBSmw/112,Fm,Pl,4,4,DS,12/6/2024,3,-1,FALSE,,,,,,1121.45,4.5,285.505,60.4925,6,138.46,176.52,169.65,329.5,142.81,33.26,15.17,89.52,28.08,193.35,39.58,54.02,14.16,2.91,21.31,-3.58,-16.39,7.56,4,3,,
,ESSF,ESSFwk1,ESSFwk1/02,,Fd,4,4,KEI,25-Feb,3,-1,FALSE,,,,1.5,0.1,787.26,2.714285714,607.6,250,4.5,90.35,162.76,79.63,302.64,125.12,29.94,12.65,85.24,18.88,353.65,73.5,38.06,11.7,1.59,18.27,-4.11,-11.85,39.2,4,3,ESSFwk 1 /02,PSEUMEN
Omineca,ESSF,ESSFwk2,ESSFwk2/01,,Pl,4,4,DS,12/6/2024,3,-1,FALSE,,,,,,716.83,2.857142857,379.24,0,6.5,8.53,238.44,68.83,270.66,111.6,29.01,12.17,86.39,18.52,824.24,223.93,25.23,11.26,0.37,16.99,-4.81,-14,113.06,4,3,,
Omineca,ESSF,ESSFwk2,ESSFwk2/02,,Pl,4,4,DS,12/6/2024,2,-2,FALSE,,,,,,716.83,2.5,504.24,125,5,8.53,238.44,68.83,270.66,111.6,29.01,12.17,86.39,18.52,824.24,223.93,25.23,11.26,0.37,16.99,-4.81,-14,113.06,4,2,,
