Region_review,zone,BGC,SS_NoSpace,SpecialCode,spp,expert,expert_updated,expert_initials,review_date,ordforfeas_pred,feas.diff,expert_model_same,CFRG,footnotes,expert justification,mean_cover,freq,DD5.grow,SNR_num_mean,EdaCMD_max,EdaCMD_min,aSMR_max,CMD_sm,DDsub0_sp,DD5_sp,Eref_sm,Eref_sp,EXT,MWMT,NFFD_sm,NFFD_sp,PAS,PAS_sp,SHM,Tave_sm,Tave_sp,Tmax_sm,Tmin_sp,Tmin_wt,CMI,feas.orig,pred.feas,SiteUnit.orig,Species
,ESSF,ESSFxv1,ESSFxv1/03,,Bl,4,4,KI,25-Feb,3,-1,FALSE,,,,,,491.74,1.5,748.52,300.05,4,114.05,267.09,42.59,281.51,71.73,27.84,10.04,66.87,9.61,322.03,72.65,40.91,9.14,-0.62,16.05,-6.8,-15.44,26.54,4,3,,
,ESSF,ESSFxv2,ESSFxv2/03,,Bl,4,4,KI,25-Feb,3,-1,FALSE,,,,,,318.52,3.5,547.53,302.12,4,68.73,346.59,21.92,241.85,61.79,24.2,8.11,56.51,6.06,952.25,210.24,26.63,7.08,-2.2,12.87,-7.74,-13.35,108.32,4,3,,
,ESSF,ESSFxv2,ESSFxv2/04,,Sx,4,4,KI,25-Feb,1,-3,FALSE,,,,0.4,0.25,318.52,3,297.53,177.12,4.5,68.73,346.59,21.92,241.85,61.79,24.2,8.11,56.51,6.06,952.25,210.24,26.63,7.08,-2.2,12.87,-7.74,-13.35,108.32,4,1,ESSFxv 2 /04,PICEENE
,ICH,ICHdk,ICHdk/03,CA,Bl,4,4,KI,25-Jan,3,-1,FALSE,,,,7.75,1,984.61,1.5,796.78,375.28,3,149.09,109.44,130.68,345.26,145.94,32.39,13.91,86.13,23.31,264.53,42.83,47.04,13.1,3.28,20.83,-3.33,-11.66,18.83,4,3,ICH dk   /03,ABIELAS
,ICH,ICHdk,ICHdk/07,CA,Cw,4,4,KI,25-Jan,3,-1,FALSE,,,,,,984.61,2.5,273.39,125.14,5,149.09,109.44,130.68,345.26,145.94,32.39,13.91,86.13,23.31,264.53,42.83,47.04,13.1,3.28,20.83,-3.33,-11.66,18.83,4,3,,
,ICH,ICHdk,ICHdk/09,,Cw,4,4,KI,25-Jan,2,-2,FALSE,,,,36,0.5,984.61,3.285714286,136.695,31.285,8,149.09,109.44,130.68,345.26,145.94,32.39,13.91,86.13,23.31,264.53,42.83,47.04,13.1,3.28,20.83,-3.33,-11.66,18.83,4,2,ICH dk   /09,THUJPLI
,ICH,ICHmk3,ICHmk3/02,,Cw,4,4,KI,25-Jan,3,-1,FALSE,,,,25,0.33,1112.39,3,886.21,351.62,3,166.68,88.5,172.5,353.34,151.32,32.68,14.96,88.26,29.98,201.66,26.78,52.57,13.98,4.27,21.68,-2.43,-11.57,8.35,4,3,ICH mk 3 /02,THUJPLI
,ICH,ICHmk3,ICHmk3/05,CA,Ep,4,4,KI,25-Jan,2,-2,FALSE,,,,,,1112.39,3,255.605,50.81,5.5,166.68,88.5,172.5,353.34,151.32,32.68,14.96,88.26,29.98,201.66,26.78,52.57,13.98,4.27,21.68,-2.43,-11.57,8.35,4,2,,
,ICH,ICHmk3,ICHmk3/05,CA,Fd,4,4,KI,25-Jan,1,-3,FALSE,,,,8.5,0.5,1112.39,3,255.605,50.81,5.5,166.68,88.5,172.5,353.34,151.32,32.68,14.96,88.26,29.98,201.66,26.78,52.57,13.98,4.27,21.68,-2.43,-11.57,8.35,4,1,ICH mk 3 /05,PSEUMEN
,ICH,ICHmk3,ICHmk3/07,,At,4,4,KI,25-Jan,2,-2,FALSE,,,,,,1112.39,3,127.8025,25.405,6.5,166.68,88.5,172.5,353.34,151.32,32.68,14.96,88.26,29.98,201.66,26.78,52.57,13.98,4.27,21.68,-2.43,-11.57,8.35,4,2,,
,ICH,ICHwk2,ICHwk2/02,,Hw,3,4,KI,25-Jan,3,0,TRUE,,,,57.6,1,1138.36,1.5,897.95,264.15,3.5,167.91,86.96,178.7,357.67,151.04,33.39,15.06,88.34,31.22,231.15,32.7,51.08,14.19,4.39,22.03,-2.28,-10.7,14.68,3,3,ICH wk 2 /02,TSUGHET
,ICH,ICHwk2,ICHwk2/03,,Ep,4,4,KI,25-Jan,2,-2,FALSE,,,,4.23,1,1138.36,3.5,897.95,264.15,3.5,167.91,86.96,178.7,357.67,151.04,33.39,15.06,88.34,31.22,231.15,32.7,51.08,14.19,4.39,22.03,-2.28,-10.7,14.68,4,2,ICH wk 2 /03,BETUPAP
,ICH,ICHwk2,ICHwk2/05,CA,Ep,4,4,KI,25-Jan,2,-2,FALSE,,,,,,1138.36,3,261.475,7.075,6,167.91,86.96,178.7,357.67,151.04,33.39,15.06,88.34,31.22,231.15,32.7,51.08,14.19,4.39,22.03,-2.28,-10.7,14.68,4,2,,
,ICH,ICHwk2,ICHwk2/05,CA,Fd,4,4,KI,25-Jan,2,-2,FALSE,,,,,,1138.36,3,261.475,7.075,6,167.91,86.96,178.7,357.67,151.04,33.39,15.06,88.34,31.22,231.15,32.7,51.08,14.19,4.39,22.03,-2.28,-10.7,14.68,4,2,,
,ICH,ICHwk2,ICHwk2/05,CA,Hw,4,4,KI,25-Jan,2,-2,FALSE,,,,,,1138.36,3,261.475,7.075,6,167.91,86.96,178.7,357.67,151.04,33.39,15.06,88.34,31.22,231.15,32.7,51.08,14.19,4.39,22.03,-2.28,-10.7,14.68,4,2,,
,ICH,ICHwk2,ICHwk2/06,CA,At,4,4,KI,25-Jan,2,-2,FALSE,,,,,,1138.36,3,261.475,7.075,6,167.91,86.96,178.7,357.67,151.04,33.39,15.06,88.34,31.22,231.15,32.7,51.08,14.19,4.39,22.03,-2.28,-10.7,14.68,4,2,,
,ICH,ICHwk2,ICHwk2/06,CA,Ep,4,4,KI,25-Jan,2,-2,FALSE,,,,,,1138.36,3,261.475,7.075,6,167.91,86.96,178.7,357.67,151.04,33.39,15.06,88.34,31.22,231.15,32.7,51.08,14.19,4.39,22.03,-2.28,-10.7,14.68,4,2,,
,ICH,ICHwk2,ICHwk2/06,CA,Fd,4,4,KI,25-Jan,2,-2,FALSE,,,,,,1138.36,3,261.475,7.075,6,167.91,86.96,178.7,357.67,151.04,33.39,15.06,88.34,31.22,231.15,32.7,51.08,14.19,4.39,22.03,-2.28,-10.7,14.68,4,2,,
,ICH,ICHwk2,ICHwk2/06,CA,Hw,4,4,KI,25-Jan,3,-1,FALSE,,,,,,1138.36,3,261.475,7.075,6,167.91,86.96,178.7,357.67,151.04,33.39,15.06,88.34,31.22,231.15,32.7,51.08,14.19,4.39,22.03,-2.28,-10.7,14.68,4,3,,
,ICH,ICHwk2,ICHwk2/08,,Ep,4,4,KI,25-Jan,3,-1,FALSE,,,,0.45,0.29,1138.36,4,130.7375,1.76875,8,167.91,86.96,178.7,357.67,151.04,33.39,15.06,88.34,31.22,231.15,32.7,51.08,14.19,4.39,22.03,-2.28,-10.7,14.68,4,3,ICH wk 2 /08,BETUPAP
,ICH,ICHwk2,ICHwk2/08,,Pl,4,4,KI,25-Jan,3,-1,FALSE,,,,,,1138.36,4,130.7375,1.76875,8,167.91,86.96,178.7,357.67,151.04,33.39,15.06,88.34,31.22,231.15,32.7,51.08,14.19,4.39,22.03,-2.28,-10.7,14.68,4,3,,
,ICH,ICHwk4,ICHwk4/02,,Sx,4,4,KI,25-Jan,3,-1,FALSE,,,,,,968.98,1.5,734.58,250,4,79.29,111.84,125.82,317.67,137.57,30.99,13.86,88.02,25.63,322.01,57.91,38.02,12.91,3.18,19.7,-2.96,-10.99,40.16,4,3,,
,ICH,ICHwk4,ICHwk4/03,,Bl,4,4,KI,25-Jan,3,-1,FALSE,,,,4.7,1,968.98,3.5,734.58,250,4,79.29,111.84,125.82,317.67,137.57,30.99,13.86,88.02,25.63,322.01,57.91,38.02,12.91,3.18,19.7,-2.96,-10.99,40.16,4,3,ICH wk 4 /03,ABIELAS
,ICH,ICHwk4,ICHwk4/03,,Ep,4,4,KI,25-Jan,1,-3,FALSE,,,,0.2,1,968.98,3.5,734.58,250,4,79.29,111.84,125.82,317.67,137.57,30.99,13.86,88.02,25.63,322.01,57.91,38.02,12.91,3.18,19.7,-2.96,-10.99,40.16,4,1,ICH wk 4 /03,BETUPAP
,ICH,ICHwk4,ICHwk4/03,,Sx,4,4,KI,25-Jan,3,-1,FALSE,,,,12,1,968.98,3.5,734.58,250,4,79.29,111.84,125.82,317.67,137.57,30.99,13.86,88.02,25.63,322.01,57.91,38.02,12.91,3.18,19.7,-2.96,-10.99,40.16,4,3,ICH wk 4 /03,PICEENE
,ICH,ICHwk4,ICHwk4/05,,Pw,4,4,KI,25-Jan,3,-1,FALSE,,,,,,968.98,2.6,609.58,0,5.5,79.29,111.84,125.82,317.67,137.57,30.99,13.86,88.02,25.63,322.01,57.91,38.02,12.91,3.18,19.7,-2.96,-10.99,40.16,4,3,,
,ICH,ICHwk4,ICHwk4/06,CA,Cw,4,4,KI,25-Jan,1,-3,FALSE,,,,,,968.98,2.5,179.79,0,6.5,79.29,111.84,125.82,317.67,137.57,30.99,13.86,88.02,25.63,322.01,57.91,38.02,12.91,3.18,19.7,-2.96,-10.99,40.16,4,1,,
,ICH,ICHwk4,ICHwk4/06,CA,Fd,4,4,KI,25-Jan,1,-3,FALSE,,,,,,968.98,2.5,179.79,0,6.5,79.29,111.84,125.82,317.67,137.57,30.99,13.86,88.02,25.63,322.01,57.91,38.02,12.91,3.18,19.7,-2.96,-10.99,40.16,4,1,,
,ICH,ICHwk4,ICHwk4/06,CA,Pw,4,4,KI,25-Jan,3,-1,FALSE,,,,,,968.98,2.5,179.79,0,6.5,79.29,111.84,125.82,317.67,137.57,30.99,13.86,88.02,25.63,322.01,57.91,38.02,12.91,3.18,19.7,-2.96,-10.99,40.16,4,3,,
,ICH,ICHwk4,ICHwk4/07,,Pw,4,4,KI,25-Jan,3,-1,FALSE,,,,,,968.98,4,179.79,0,6.5,79.29,111.84,125.82,317.67,137.57,30.99,13.86,88.02,25.63,322.01,57.91,38.02,12.91,3.18,19.7,-2.96,-10.99,40.16,4,3,,
,ICH,ICHwk4,ICHwk4/08,CA,Ep,4,4,KI,25-Jan,2,-2,FALSE,,,,2,0.14,968.98,4,89.895,0,8,79.29,111.84,125.82,317.67,137.57,30.99,13.86,88.02,25.63,322.01,57.91,38.02,12.91,3.18,19.7,-2.96,-10.99,40.16,4,2,ICH wk 4 /08,BETUPAP
,ICH,ICHwk4,ICHwk4/08,CA,Hw,4,4,KI,25-Jan,2,-2,FALSE,,,,15.2,0.71,968.98,4,89.895,0,8,79.29,111.84,125.82,317.67,137.57,30.99,13.86,88.02,25.63,322.01,57.91,38.02,12.91,3.18,19.7,-2.96,-10.99,40.16,4,2,ICH wk 4 /08,TSUGHET
,ICH,ICHwk4,ICHwk4/08,CA,Pw,4,4,KI,25-Jan,3,-1,FALSE,,,,,,968.98,4,89.895,0,8,79.29,111.84,125.82,317.67,137.57,30.99,13.86,88.02,25.63,322.01,57.91,38.02,12.91,3.18,19.7,-2.96,-10.99,40.16,4,3,,
TO,IDF,IDFdk1,IDFdk1/110,,Ac,4,4,,,3,-1,FALSE,0,900,,,,933.5,4.5,353.98,113.39,4.5,202.55,126.73,98.46,310.13,132.49,31.12,13.77,87.97,23.17,166.6,32.28,82.36,12.69,2.46,18.94,-3.13,-11.05,-2.07,4,3,,
TO,IDF,IDFdk1,IDFdk1/111,,Fd,4,4,,,1,-3,FALSE,,,,17.93,0.92,933.5,3.5,353.98,113.39,4.5,202.55,126.73,98.46,310.13,132.49,31.12,13.77,87.97,23.17,166.6,32.28,82.36,12.69,2.46,18.94,-3.13,-11.05,-2.07,4,1,IDF dk 1 /111,PSEUMEN
Cariboo,IDF,IDFdk3,IDFdk3/03,,At,4,4,KI,25-Jan,3,-1,FALSE,,,,8,0.25,933.42,3.5,1047.8,742.62,1,176.85,101.29,132.19,313.69,135.5,33,14.74,86.76,29.24,123.18,22.16,71.65,12.25,3.39,18.95,-2.5,-11.77,-6.74,4,3,IDF dk 3 /03,POPUTRE
Cariboo,IDF,IDFdk3,IDFdk3/07,,Ac,4,4,KI,25-Jan,3,-1,FALSE,,,,,,933.42,3.5,336.4,183.81,4.5,176.85,101.29,132.19,313.69,135.5,33,14.74,86.76,29.24,123.18,22.16,71.65,12.25,3.39,18.95,-2.5,-11.77,-6.74,4,3,,
,IDF,IDFdk4,IDFdk4/03,IN,At,4,4,KI,25-Jan,3,-1,FALSE,,,,,,787.04,1.5,1143.31,641.24,1.5,171.65,160.19,95.5,320.64,138.12,31.08,12.51,79.5,18.26,193.2,36.32,56.54,11.42,2.02,18.91,-4.65,-13.71,4.34,4,3,,
,IDF,IDFdk4,IDFdk4/04,IN,At,4,4,KI,25-Jan,3,-1,FALSE,,,,0.1,0.5,787.04,3.5,1143.31,641.24,1.5,171.65,160.19,95.5,320.64,138.12,31.08,12.51,79.5,18.26,193.2,36.32,56.54,11.42,2.02,18.91,-4.65,-13.71,4.34,4,3,IDF dk 4 /04,POPUTRE
,IDF,IDFdk4,IDFdk4/08,CA,Fd,4,4,KI,25-Jan,3,-1,FALSE,,,,2.15,0.67,787.04,2.5,384.155,195.62,4.5,171.65,160.19,95.5,320.64,138.12,31.08,12.51,79.5,18.26,193.2,36.32,56.54,11.42,2.02,18.91,-4.65,-13.71,4.34,4,3,IDF dk 4 /08,PSEUMEN
,IDF,IDFdw,IDFdw/101,,Cw,,4,KEI,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDF,IDFdw,IDFdw/111,,Fd,,4,KEI,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDF,IDFdw,IDFdw/113,,At,,4,KEI,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDF,IDFxm,IDFxm/05,CAS,Pl,4,4,KI,25-Jan,3,-1,FALSE,,,,2,0.14,1222.37,3,925.97,546.81,2.5,240.49,78.64,188.66,363.1,157.84,33.75,15.79,89.47,31.31,129.21,15.56,86.85,14.75,4.68,22.41,-2.04,-12.21,-15.56,4,3,IDF xm   /05,PINUCON
,IDF,IDFxm,IDFxm/06,,Pl,4,4,KI,25-Jan,3,-1,FALSE,,,,,,1222.37,3,400.485,273.405,4.5,240.49,78.64,188.66,363.1,157.84,33.75,15.79,89.47,31.31,129.21,15.56,86.85,14.75,4.68,22.41,-2.04,-12.21,-15.56,4,3,,
,SBPS,SBPSdc,SBPSdc/02b,,Sb,4,4,KI,25-Feb,3,-1,FALSE,,,,,,809.63,2.166666667,953.66,676.66,2,157.56,154.37,90.41,318,135.92,30.89,12.82,82.6,16.13,208.54,37.04,55.22,11.81,1.9,19.08,-4.93,-15.26,7.05,4,3,,
,SBPS,SBPSdc,SBPSdc/05,CA,Ac,4,4,KI,25-Feb,3,-1,FALSE,,,,,,809.63,3.5,289.33,213.33,5,157.56,154.37,90.41,318,135.92,30.89,12.82,82.6,16.13,208.54,37.04,55.22,11.81,1.9,19.08,-4.93,-15.26,7.05,4,3,,
,SBPS,SBPSmk,SBPSmk/02,,At,4,4,KI,25-Feb,3,-1,FALSE,,,,0.5,0.67,939.72,2.5,930.5,718.53,1.5,133.01,134.76,117.62,317.26,137.64,31.34,13.89,87.45,22.47,214.31,36.12,51.15,12.75,2.65,19.6,-3.75,-13.69,12.44,4,3,SBPSmk   /02,POPUTRE
,SBPS,SBPSmk,SBPSmk/08,,Bl,4,4,KI,25-Feb,3,-1,FALSE,,,,,,939.72,2.5,69.4375,42.94125,8,133.01,134.76,117.62,317.26,137.64,31.34,13.89,87.45,22.47,214.31,36.12,51.15,12.75,2.65,19.6,-3.75,-13.69,12.44,4,3,,
,SBPS,SBPSmk,SBPSmk/08,,Pl,4,4,KI,25-Feb,3,-1,FALSE,2,1,,,,939.72,2.5,69.4375,42.94125,8,133.01,134.76,117.62,317.26,137.64,31.34,13.89,87.45,22.47,214.31,36.12,51.15,12.75,2.65,19.6,-3.75,-13.69,12.44,4,3,,
,SBPS,SBPSxc,SBPSxc/01,,Fd,3,4,KI,25-Jan,4,1,FALSE,,,,,,836.96,3,802.14,243.67,3,216.04,143.72,103,343,144.53,31.26,13.05,78.15,16.02,150.2,29.58,72.17,11.92,2.32,20.22,-5.03,-15.35,-9.47,3,4,,
,SBPS,SBPSxc,SBPSxc/02,,At,3,4,KI,25-Jan,3,0,TRUE,,,,1.1,0.17,836.96,2.363636364,1052.14,368.67,2.5,216.04,143.72,103,343,144.53,31.26,13.05,78.15,16.02,150.2,29.58,72.17,11.92,2.32,20.22,-5.03,-15.35,-9.47,3,3,SBPSxc   /02,POPUTRE
,SBPS,SBPSxc,SBPSxc/02a,,At,3,4,KI,25-Jan,3,0,TRUE,,,,,,836.96,2.363636364,1052.14,368.67,2.5,216.04,143.72,103,343,144.53,31.26,13.05,78.15,16.02,150.2,29.58,72.17,11.92,2.32,20.22,-5.03,-15.35,-9.47,3,3,,
,SBPS,SBPSxc,SBPSxc/02b,,At,3,4,KI,25-Jan,3,0,TRUE,,,,,,836.96,2.363636364,1052.14,368.67,2.5,216.04,143.72,103,343,144.53,31.26,13.05,78.15,16.02,150.2,29.58,72.17,11.92,2.32,20.22,-5.03,-15.35,-9.47,3,3,,
,SBPS,SBPSxc,SBPSxc/02c,,At,3,4,KI,25-Jan,3,0,TRUE,,,,,,836.96,2.363636364,1052.14,368.67,2.5,216.04,143.72,103,343,144.53,31.26,13.05,78.15,16.02,150.2,29.58,72.17,11.92,2.32,20.22,-5.03,-15.35,-9.47,3,3,,
,SBPS,SBPSxc,SBPSxc/05,,Ac,3,4,KI,25-Jan,4,1,FALSE,0,900,,,,836.96,3.2,338.57,60.9175,6,216.04,143.72,103,343,144.53,31.26,13.05,78.15,16.02,150.2,29.58,72.17,11.92,2.32,20.22,-5.03,-15.35,-9.47,3,4,,
,SBPS,SBPSxc,SBPSxc/06,,Ac,3,4,KI,25-Jan,3,0,TRUE,0,900,,,,836.96,4.5,338.57,60.9175,6,216.04,143.72,103,343,144.53,31.26,13.05,78.15,16.02,150.2,29.58,72.17,11.92,2.32,20.22,-5.03,-15.35,-9.47,3,3,,
,SBS,SBSdh1,SBSdh1/02,,Fd,4,4,DS,2/26/2025,1,-3,FALSE,,,,4.5,0.33,1111.85,1.5,765.71,321.12,3,153.13,97.71,170.22,335.74,148.08,32.24,14.93,89.49,30.93,272.06,45.67,51.47,14.02,4.08,21.09,-2.11,-11.84,23.87,4,1,SBS dh 1 /02,PSEUMEN
,SBS,SBSdh1,SBSdh1/02,,Pw,4,4,DS,2/26/2025,3,-1,FALSE,,,,,,1111.85,1.5,765.71,321.12,3,153.13,97.71,170.22,335.74,148.08,32.24,14.93,89.49,30.93,272.06,45.67,51.47,14.02,4.08,21.09,-2.11,-11.84,23.87,4,3,,
,SBS,SBSdh1,SBSdh1/03,,Sx,4,4,DS,2/26/2025,3,-1,FALSE,,,,4,0.25,1111.85,2,765.71,321.12,3,153.13,97.71,170.22,335.74,148.08,32.24,14.93,89.49,30.93,272.06,45.67,51.47,14.02,4.08,21.09,-2.11,-11.84,23.87,4,3,SBS dh 1 /03,PICEENE
,SBS,SBSdh1,SBSdh1/04,,Bl,4,4,DS,2/26/2025,3,-1,FALSE,,,,3,0.56,1111.85,2.5,640.71,196.12,4,153.13,97.71,170.22,335.74,148.08,32.24,14.93,89.49,30.93,272.06,45.67,51.47,14.02,4.08,21.09,-2.11,-11.84,23.87,4,3,SBS dh 1 /04,ABIELAS
,SBS,SBSdh1,SBSdh1/05,,Fd,4,4,DS,2/26/2025,1,-3,FALSE,,,,,,1111.85,1.428571429,640.71,35.56,5.5,153.13,97.71,170.22,335.74,148.08,32.24,14.93,89.49,30.93,272.06,45.67,51.47,14.02,4.08,21.09,-2.11,-11.84,23.87,4,1,,
,SBS,SBSdh1,SBSdh1/06,,Ac,4,4,DS,2/26/2025,3,-1,FALSE,,,,2.75,0.17,1111.85,3,390.71,35.56,5.5,153.13,97.71,170.22,335.74,148.08,32.24,14.93,89.49,30.93,272.06,45.67,51.47,14.02,4.08,21.09,-2.11,-11.84,23.87,4,3,SBS dh 1 /06,POPUTRI
,SBS,SBSdw1,SBSdw1/03,IN,Ep,4,4,KEI,25-Feb,3,-1,FALSE,,,,3.5,0.33,1055.29,3,832.58,421.22,3,145.62,93.23,157.98,355.86,151.79,32.73,14.24,86.73,26.58,256.18,39.15,43.98,13.53,3.95,21.55,-2.79,-11.67,19.82,4,3,SBS dw 1 /03,BETUPAP
,SBS,SBSdw1,SBSdw1/03,IN,Sx,4,4,KEI,25-Feb,3,-1,FALSE,,,,0.3,0.33,1055.29,3,832.58,421.22,3,145.62,93.23,157.98,355.86,151.79,32.73,14.24,86.73,26.58,256.18,39.15,43.98,13.53,3.95,21.55,-2.79,-11.67,19.82,4,3,SBS dw 1 /03,PICEENE
,SBS,SBSdw1,SBSdw1/04,,Ep,3,4,KEI,25-Feb,2,-1,FALSE,0,901,,3.65,0.67,1055.29,2,707.58,421.22,3,145.62,93.23,157.98,355.86,151.79,32.73,14.24,86.73,26.58,256.18,39.15,43.98,13.53,3.95,21.55,-2.79,-11.67,19.82,3,2,SBS dw 1 /04,BETUPAP
,SBS,SBSdw1,SBSdw1/09,,Ep,4,4,KEI,25-Feb,2,-2,FALSE,,,,1.63,0.57,1055.29,3.5,145.645,74.055,6,145.62,93.23,157.98,355.86,151.79,32.73,14.24,86.73,26.58,256.18,39.15,43.98,13.53,3.95,21.55,-2.79,-11.67,19.82,4,2,SBS dw 1 /09,BETUPAP
,SBS,SBSdw2,SBSdw2/03,,Sx,4,4,KEI,25-Feb,3,-1,FALSE,,,,3,0.5,1189.03,1.5,833.02,592.29,2,191.48,89.77,180.27,345.31,150.05,32.94,15.69,89.89,31.99,155.96,21.03,67.14,14.54,4.32,21.66,-2.07,-11.54,-2.96,4,3,SBS dw 2 /03,PICEENE
