bgc,ss_nospace,sppsplit,suitability,spp,newsuit,mod,outrange
ESSFvc,ESSFvc/06,Bl,NA,Bl,4,REVIEW,FALSE
ESSFvc,ESSFvc/06,Hm,NA,Hm,4,REVIEW,FALSE
ESSFvc,ESSFvc/06,Se,NA,Sx,4,REVIEW,FALSE
ESSFvcw,ESSFvcw/06,Bl,NA,Bl,4,REVIEW,FALSE
ESSFvcw,ESSFvcw/06,Hm,NA,Hm,4,REVIEW,FALSE
ESSFvcw,ESSFvcw/06,Se,NA,Sx,4,REVIEW,FALSE
ESSFxc2,ESSFxc2/Ws08,Sx,NA,Sx,4,REVIEW,FALSE
ESSFxc2,ESSFxc2/Ws08,Bl,NA,Bl,4,REVIEW,FALSE
ESSFxc1,ESSFxc1/Ws08,Sx,NA,Sx,4,REVIEW,FALSE
ESSFxc1,ESSFxc1/Ws08,Bl,NA,Bl,4,REVIEW,FALSE
ESSFxc1,ESSFxc1/Ws12,Sx,NA,Sx,4,REVIEW,FALSE
ESSFxc1,ESSFxc1/Ws12,Bl,NA,Bl,4,REVIEW,FALSE
ESSFxc3,ESSFxc3/10,Bl,NA,Bl,4,REVIEW,FALSE
ESSFxc3,ESSFxc3/10,Se,NA,Sx,4,REVIEW,FALSE
ICHmw3,ICHmw3/09,Pli,NA,Pl,4,REVIEW,FALSE
IDFdw,IDFdw/Fm02,Act,NA,Ac,1,REVIEW,FALSE
IDFdw,IDFdw/Fm02,Sx,NA,Sx,1,REVIEW,FALSE
IDFxm,IDFxm/10,At,NA,At,1,REVIEW,FALSE
PPxh2,PPxh2/103b,Fdi,NA,Fd,2,VC,FALSE
PPxh2,PPxh2/103b,Pli,NA,Pl,2,VC,FALSE
ICHdm,ICHdm/Fm01,Act,NA,Ac,1,REVIEW,FALSE
ICHdm,ICHdm/Fm02,Act,NA,Ac,1,REVIEW,FALSE
ICHdm,ICHdm/Fm02,Sx,NA,Sx,2,REVIEW,FALSE
ICHdm,ICHdm/Fm04,Act,NA,Ac,1,REVIEW,FALSE
ICHdm,ICHdm/Fm04,Sx,NA,Sx,2,REVIEW,FALSE
ICHdm,ICHdm/Fm04,Cw,NA,Cw,3,REVIEW,FALSE
ICHdm,ICHdm/Fm04,Ep,NA,Ep,3,REVIEW,FALSE
ICHdw1,ICHdw1/Fm01,Act,NA,Ac,1,REVIEW,FALSE
ICHdw1,ICHdw1/Fm02,Act,NA,Ac,1,REVIEW,FALSE
ICHdw1,ICHdw1/Fm02,Sx,NA,Sx,2,REVIEW,FALSE
ICHdw1,ICHdw1/Fm04,Act,NA,Ac,1,REVIEW,FALSE
ICHdw1,ICHdw1/Fm04,Sx,NA,Sx,2,REVIEW,FALSE
ICHdw1,ICHdw1/Fm04,Cw,NA,Cw,3,REVIEW,FALSE
ICHdw1,ICHdw1/Fm04,Ep,NA,Ep,3,REVIEW,FALSE
ICHdw4,ICHdw4/Fm01,Act,NA,Ac,1,REVIEW,FALSE
ICHdw4,ICHdw4/Fm02,Act,NA,Ac,1,REVIEW,FALSE
ICHdw4,ICHdw4/Fm02,Sx,NA,Sx,2,REVIEW,FALSE
ICHdw4,ICHdw4/Fm04,Act,NA,Ac,1,REVIEW,FALSE
ICHdw4,ICHdw4/Fm04,Sx,NA,Sx,2,REVIEW,FALSE
ICHdw4,ICHdw4/Fm04,Cw,NA,Cw,3,REVIEW,FALSE
ICHdw4,ICHdw4/Fm04,Ep,NA,Ep,3,REVIEW,FALSE
ICHmk4,ICHmk4/Fm01,Act,NA,Ac,1,REVIEW,FALSE
ICHmk4,ICHmk4/Fm02,Act,NA,Ac,1,REVIEW,FALSE
ICHmk4,ICHmk4/Fm02,Sx,NA,Sx,2,REVIEW,FALSE
ICHmw2,ICHmw2/Fm01,Act,NA,Ac,1,REVIEW,FALSE
ICHmw2,ICHmw2/Fm02,Act,NA,Ac,1,REVIEW,FALSE
ICHmw2,ICHmw2/Fm02,Sx,NA,Sx,2,REVIEW,FALSE
ICHmw2,ICHmw2/Fm04,Act,NA,Ac,1,REVIEW,FALSE
ICHmw2,ICHmw2/Fm04,Sx,NA,Sx,2,REVIEW,FALSE
ICHmw2,ICHmw2/Fm04,Cw,NA,Cw,3,REVIEW,FALSE
ICHmw2,ICHmw2/Fm04,Ep,NA,Ep,3,REVIEW,FALSE
ICHmw4,ICHmw4/Fm01,Act,NA,Ac,1,REVIEW,FALSE
ICHmw4,ICHmw4/Fm02,Act,NA,Ac,1,REVIEW,FALSE
ICHmw4,ICHmw4/Fm02,Sx,NA,Sx,2,REVIEW,FALSE
ICHmw4,ICHmw4/Fm04,Act,NA,Ac,1,REVIEW,FALSE
ICHmw4,ICHmw4/Fm04,Sx,NA,Sx,2,REVIEW,FALSE
ICHmw4,ICHmw4/Fm04,Cw,NA,Cw,3,REVIEW,FALSE
ICHmw4,ICHmw4/Fm04,Ep,NA,Ep,3,REVIEW,FALSE
ICHmw5,ICHmw5/Fm01,Act,NA,Ac,1,REVIEW,FALSE
ICHmw5,ICHmw5/Fm02,Act,NA,Ac,1,REVIEW,FALSE
ICHmw5,ICHmw5/Fm02,Sx,NA,Sx,2,REVIEW,FALSE
ICHxw,ICHxw/Fm01,Act,NA,Ac,1,REVIEW,FALSE
ICHxwa,ICHxwa/Fm01,Act,NA,Ac,1,REVIEW,FALSE
IDFdh,IDFdh/Fm01,Act,NA,Ac,1,REVIEW,FALSE
IDFdh,IDFdh/Fm05,Act,NA,Ac,1,REVIEW,FALSE
IDFdh,IDFdh/Fm05,Fdi,NA,Fd,2,REVIEW,FALSE
IDFdh,IDFdh/Fm05,Ep,NA,Ep,3,REVIEW,FALSE
IDFdk5,IDFdk5/Fm01,Act,NA,Ac,1,REVIEW,FALSE
IDFdk5,IDFdk5/Fm02,Act,NA,Ac,1,REVIEW,FALSE
IDFdk5,IDFdk5/Fm02,Sx,NA,Sx,2,REVIEW,FALSE
IDFdk5,IDFdk5/Fm07,Act,NA,Ac,1,REVIEW,FALSE
IDFdm1,IDFdm1/Fm01,Act,NA,Ac,1,REVIEW,FALSE
IDFdm1,IDFdm1/Fm05,Act,NA,Ac,1,REVIEW,FALSE
IDFdm1,IDFdm1/Fm05,Fdi,NA,Fd,2,REVIEW,FALSE
IDFdm1,IDFdm1/Fm05,Ep,NA,Ep,3,REVIEW,FALSE
IDFxk,IDFxk/Fm01,Act,NA,Ac,1,REVIEW,FALSE
IDFxk,IDFxk/Fm02,Act,NA,Ac,1,REVIEW,FALSE
IDFxk,IDFxk/Fm02,Sx,NA,Sx,2,REVIEW,FALSE
IDFxk,IDFxk/Fm07,Act,NA,Ac,1,REVIEW,FALSE
