bgc,ss_nospace,sppsplit,suitability,spp,newsuit,mod,outrange
IDFxx2,IDFxx2/Fm01,Act,NA,Ac,1,REVIEW,FALSE
IDFxx2,IDFxx2/Fm02,Act,NA,Ac,1,REVIEW,FALSE
IDFxx2,IDFxx2/Fm02,Sx,NA,Sx,2,REVIEW,FALSE
IDFxx2,IDFxx2/Fm07,Act,NA,Ac,1,REVIEW,FALSE
MSdk,MSdk/Fm01,Act,NA,Ac,1,REVIEW,FALSE
MSdk,MSdk/Fm02,Act,NA,Ac,1,REVIEW,FALSE
MSdk,MSdk/Fm02,Sx,NA,Sx,2,REVIEW,FALSE
MSdw,MSdw/Fm01,Act,NA,Ac,1,REVIEW,FALSE
MSdw,MSdw/Fm02,Act,NA,Ac,1,REVIEW,FALSE
MSdw,MSdw/Fm02,Sx,NA,Sx,2,REVIEW,FALSE
