,bgc,ss_nospace,sppsplit,suitability,spp,newsuit,mod,outrange
6058,ESSFwc3,ESSFwc3/01,Pli,3,Pl,NA,KEI,FALSE
6059,ESSFwc3,ESSFwc3/01,Pli,3,Pl,NA,KEI,FALSE
6064,ESSFwc3,ESSFwc3/02,Pli,3,Pl,NA,KEI,FALSE
6065,ESSFwc3,ESSFwc3/02,Pli,3,Pl,NA,KEI,FALSE
6334,ESSFwk1,ESSFwk1/03,Pli,2,Pl,NA,KEI,FALSE
6335,ESSFwk1,ESSFwk1/03,Pli,2,Pl,NA,KEI,FALSE
12104,SBPSdc,SBPSdc/03a,At,3,At,NA,KI,FALSE
12105,SBPSdc,SBPSdc/03a,Pli,1,Pl,NA,KI,FALSE
12106,SBPSdc,SBPSdc/03a,Sb,3,Sb,NA,KI,FALSE
12107,SBPSdc,SBPSdc/03a,Sxw,3,Sx,NA,KI,FALSE
12108,SBPSdc,SBPSdc/03b,At,3,At,NA,KI,FALSE
12109,SBPSdc,SBPSdc/03b,Pli,1,Pl,NA,KI,FALSE
12110,SBPSdc,SBPSdc/03b,Sb,3,Sb,NA,KI,FALSE
12111,SBPSdc,SBPSdc/03b,Sxw,3,Sx,NA,KI,FALSE
