"","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","expert_update","mod","outrange"
"5579","ESSFdk1","ESSFdk1/101","Bl",1,"Bl",1,NA,NA,FALSE
"5580","ESSFdk1","ESSFdk1/101","Fdi",2,"Fd",2,NA,NA,FALSE
"5581","ESSFdk1","ESSFdk1/101","Lw",2,"Lw",2,NA,NA,FALSE
"5582","ESSFdk1","ESSFdk1/101","Pa",3,"Pa",3,NA,NA,FALSE
"5583","ESSFdk1","ESSFdk1/101","Pli",2,"Pl",2,NA,NA,FALSE
"5584","ESSFdk1","ESSFdk1/101","Se",1,"Sx",1,NA,NA,FALSE
"5585","ESSFdk1","ESSFdk1/102","Bl",3,"Bl",3,NA,NA,FALSE
"5586","ESSFdk1","ESSFdk1/102","Fdi",2,"Fd",2,NA,NA,FALSE
"5587","ESSFdk1","ESSFdk1/102","Pa",2,"Pa",2,NA,NA,FALSE
"5588","ESSFdk1","ESSFdk1/102","Pf",3,"Pf",3,NA,NA,FALSE
"5589","ESSFdk1","ESSFdk1/102","Pli",2,"Pl",2,NA,NA,FALSE
"5590","ESSFdk1","ESSFdk1/102","Se",3,"Sx",3,NA,NA,FALSE
"5591","ESSFdk1","ESSFdk1/103","Bl",3,"Bl",3,NA,NA,FALSE
"5592","ESSFdk1","ESSFdk1/103","Fdi",2,"Fd",2,NA,NA,FALSE
"5593","ESSFdk1","ESSFdk1/103","Lw",3,"Lw",3,NA,NA,FALSE
"5594","ESSFdk1","ESSFdk1/103","Pa",2,"Pa",2,NA,NA,FALSE
"5595","ESSFdk1","ESSFdk1/103","Pf",3,"Pf",3,NA,NA,FALSE
"5596","ESSFdk1","ESSFdk1/103","Pli",1,"Pl",1,NA,NA,FALSE
"5597","ESSFdk1","ESSFdk1/103","Se",3,"Sx",3,NA,NA,FALSE
"5598","ESSFdk1","ESSFdk1/104","Bl",1,"Bl",1,NA,NA,FALSE
"5599","ESSFdk1","ESSFdk1/104","Fdi",2,"Fd",2,NA,NA,FALSE
"5600","ESSFdk1","ESSFdk1/104","Lw",3,"Lw",3,NA,NA,FALSE
"5601","ESSFdk1","ESSFdk1/104","Pa",3,"Pa",3,NA,NA,FALSE
"5602","ESSFdk1","ESSFdk1/104","Pli",1,"Pl",1,NA,NA,FALSE
"5603","ESSFdk1","ESSFdk1/104","Se",1,"Sx",1,NA,NA,FALSE
"5604","ESSFdk1","ESSFdk1/110","Act",3,"Ac",3,NA,NA,FALSE
"5605","ESSFdk1","ESSFdk1/110","Bl",1,"Bl",1,NA,NA,FALSE
"5606","ESSFdk1","ESSFdk1/110","Pli",3,"Pl",3,NA,NA,FALSE
"5607","ESSFdk1","ESSFdk1/110","Se",1,"Sx",1,NA,NA,FALSE
"5608","ESSFdk1","ESSFdk1/111","Bl",3,"Bl",3,NA,NA,FALSE
"5609","ESSFdk1","ESSFdk1/111","Se",2,"Sx",2,NA,NA,FALSE
"5610","ESSFdk1","ESSFdk1/111a","Bl",3,"Bl",3,NA,NA,FALSE
"5611","ESSFdk1","ESSFdk1/111a","Se",2,"Sx",2,NA,NA,FALSE
"5612","ESSFdk1","ESSFdk1/111b","Bl",3,"Bl",3,NA,NA,FALSE
"5613","ESSFdk1","ESSFdk1/111b","Se",2,"Sx",2,NA,NA,FALSE
"5862","ESSFmh","ESSFmh/101","Act",3,"Ac",3,NA,NA,FALSE
"5863","ESSFmh","ESSFmh/101","At",3,"At",3,NA,NA,FALSE
"5864","ESSFmh","ESSFmh/101","Bl",1,"Bl",1,NA,NA,FALSE
"5865","ESSFmh","ESSFmh/101","Cw",2,"Cw",2,NA,NA,FALSE
"5866","ESSFmh","ESSFmh/101","Fdi",3,"Fd",3,NA,NA,FALSE
"5867","ESSFmh","ESSFmh/101","Hw",2,"Hw",2,NA,NA,FALSE
"5868","ESSFmh","ESSFmh/101","Lw",2,"Lw",2,NA,NA,FALSE
"5869","ESSFmh","ESSFmh/101","Pli",2,"Pl",2,NA,NA,FALSE
"5870","ESSFmh","ESSFmh/101","Pw",3,"Pw",3,NA,NA,FALSE
"5871","ESSFmh","ESSFmh/101","Sxw",1,"Sx",1,NA,NA,FALSE
"5872","ESSFmh","ESSFmh/102","Bl",2,"Bl",2,NA,NA,FALSE
"5873","ESSFmh","ESSFmh/102","Fdi",3,"Fd",3,NA,NA,FALSE
"5874","ESSFmh","ESSFmh/102","Lw",3,"Lw",3,NA,NA,TRUE
"5875","ESSFmh","ESSFmh/102","Pa",3,"Pa",3,NA,NA,FALSE
"5876","ESSFmh","ESSFmh/102","Pli",2,"Pl",2,NA,NA,FALSE
"5877","ESSFmh","ESSFmh/102","Sxw",3,"Sx",3,NA,NA,FALSE
"5878","ESSFmh","ESSFmh/103","Bl",1,"Bl",1,NA,NA,FALSE
"5879","ESSFmh","ESSFmh/103","Cw",3,"Cw",3,NA,NA,FALSE
"5880","ESSFmh","ESSFmh/103","Fdi",1,"Fd",1,NA,NA,FALSE
"5881","ESSFmh","ESSFmh/103","Hw",3,"Hw",3,NA,NA,FALSE
"5882","ESSFmh","ESSFmh/103","Lw",2,"Lw",2,NA,NA,FALSE
"5883","ESSFmh","ESSFmh/103","Pli",1,"Pl",1,NA,NA,FALSE
"5884","ESSFmh","ESSFmh/103","Pw",3,"Pw",3,NA,NA,FALSE
"5885","ESSFmh","ESSFmh/103","Sxw",2,"Sx",2,NA,NA,FALSE
"5886","ESSFmh","ESSFmh/104","Bl",1,"Bl",1,NA,NA,FALSE
"5887","ESSFmh","ESSFmh/104","Pli",1,"Pl",1,NA,NA,FALSE
"5888","ESSFmh","ESSFmh/104","Sxw",1,"Sx",1,NA,NA,FALSE
"5889","ESSFmh","ESSFmh/105","Bl",1,"Bl",1,NA,NA,FALSE
"5890","ESSFmh","ESSFmh/105","Cw",2,"Cw",2,NA,NA,FALSE
"5891","ESSFmh","ESSFmh/105","Fdi",2,"Fd",2,NA,NA,FALSE
"5892","ESSFmh","ESSFmh/105","Lw",2,"Lw",2,NA,NA,FALSE
"5893","ESSFmh","ESSFmh/105","Pli",1,"Pl",1,NA,NA,FALSE
"5894","ESSFmh","ESSFmh/105","Pw",3,"Pw",3,NA,NA,FALSE
"5895","ESSFmh","ESSFmh/105","Sxw",1,"Sx",1,NA,NA,FALSE
"5896","ESSFmh","ESSFmh/110","Act",3,"Ac",3,NA,NA,FALSE
"5897","ESSFmh","ESSFmh/110","Bl",1,"Bl",1,NA,NA,FALSE
"5898","ESSFmh","ESSFmh/110","Cw",2,"Cw",2,NA,NA,FALSE
"5899","ESSFmh","ESSFmh/110","Hw",2,"Hw",2,NA,NA,FALSE
"5900","ESSFmh","ESSFmh/110","Sxw",1,"Sx",1,NA,NA,FALSE
"5901","ESSFmh","ESSFmh/111","Act",3,"Ac",3,NA,NA,FALSE
"5902","ESSFmh","ESSFmh/111","Bl",1,"Bl",1,NA,NA,FALSE
"5903","ESSFmh","ESSFmh/111","Cw",2,"Cw",2,NA,NA,FALSE
"5904","ESSFmh","ESSFmh/111","Hw",2,"Hw",2,NA,NA,FALSE
"5905","ESSFmh","ESSFmh/111","Sxw",1,"Sx",1,NA,NA,FALSE
"5906","ESSFmh","ESSFmh/112","Act",3,"Ac",3,NA,NA,FALSE
"5907","ESSFmh","ESSFmh/112","Bl",2,"Bl",2,NA,NA,FALSE
"5908","ESSFmh","ESSFmh/112","Sxw",1,"Sx",1,NA,NA,FALSE
"5909","ESSFmh","ESSFmh/112.1","Act",3,"Ac",3,NA,NA,FALSE
"5910","ESSFmh","ESSFmh/112.1","Bl",2,"Bl",2,NA,NA,FALSE
"5911","ESSFmh","ESSFmh/112.1","Sxw",1,"Sx",1,NA,NA,FALSE
"5912","ESSFmh","ESSFmh/112.2","Act",3,"Ac",3,NA,NA,FALSE
"5913","ESSFmh","ESSFmh/112.2","Bl",2,"Bl",2,NA,NA,FALSE
"5914","ESSFmh","ESSFmh/112.2","Sxw",1,"Sx",1,NA,NA,FALSE
"6018","ESSFmm3","ESSFmm3/101","Bl",1,"Bl",1,NA,NA,FALSE
